,QQQ,TSLA,AAPL,AMZN,GOOGL,FB,MSFT,CRM,NOW,WDAY,ADBE,INTU,ANSS,SNPS,CDNS,ADSK,MA,V,AXP,DFS,CME,COST,MORN,ILMN,ISRG,HD,LRCX,AMAT,XLNX,NVDA,AMD,AVGO,MU,OLED,XBI,MTN,NTES,TRIP,NFLX,DIS,ATVI,EA
2013-12-31,83.3315,150.429,73.206,398.79,562.0901,54.648999999999994,33.1829,55.19,56.01,83.16,59.879,72.2159,87.2,40.57,14.02,50.318999999999996,80.6318,53.7244,83.9162,50.7651,63.0612,104.725,73.8111,110.59,128.0265,73.9433,50.7276,16.3024,40.6768,15.2346,3.87,48.1503,21.75,34.2497,42.3067,67.3334,72.4804,82.83,52.5957,71.1903,17.1521,22.94
2014-01-02,82.6778,150.1,72.1765,397.97,558.2834,54.71,32.9611,54.86,55.69,81.77,59.29,71.8564,86.01,40.42,14.01,49.25,80.5044,53.3215,82.7323,50.2298,62.6593,103.6603,73.9624,110.34,126.6699,73.656,50.2618,16.1825,40.7211,15.0824,3.95,47.9418,21.66,33.7015,42.5147,67.1186,72.2129,80.48,51.8314,71.0692,17.3829,22.83
2014-01-03,82.0809,149.56,70.5911,396.44,554.2108,54.556999999999995,32.7394,55.12,55.18,82.47,59.16,71.7239,85.6,40.62,14.17,48.9,80.183,53.3577,83.0005,49.9666,63.656000000000006,103.2028,74.0947,108.61,124.4865,73.5392,50.2524,16.1456,40.411,14.9017,4.0,48.1239,20.97,33.7314,42.3782,66.9217,72.1207,80.92,51.8714,70.9201,17.5946,22.68
2014-01-06,81.7778,147.0,70.976,393.63,560.3899,57.2,32.0475,54.23,55.73,84.59,58.12,71.6671,85.02,40.25,14.27,48.55,79.7854,53.0368,82.9635,49.3224,63.013000000000005,102.4197,74.0475,108.87,123.6465,72.8298,49.6096,15.9428,40.2339,15.1014,4.13,47.7961,20.67,32.9339,41.8908,66.3847,71.9547,80.38,51.3671,70.6499,17.3926,22.53
2014-01-07,82.5357,149.36,70.4681,398.03,571.1932,57.92,32.2959,54.95,57.78,88.13,58.97,72.9161,85.58,40.34,14.335,49.68,80.8953,53.4421,82.6491,49.6582,62.5468,101.9445,73.934,112.51,124.5865,73.189,50.2245,16.0165,40.3224,15.3487,4.18,48.2551,21.73,34.0005,42.8981,66.1788,73.4855,84.91,48.5,71.1344,17.6186,23.1
2014-01-08,82.7157,151.28,70.9147,401.92,572.3819,58.23,31.7193,56.94,57.89,89.0,58.9,72.5093,85.28,40.78,14.42,50.24,80.8711,53.6134,82.90799999999999,49.6854,61.93600000000001,100.3519,73.8962,113.97,126.8199,73.5751,50.476000000000006,16.0626,40.6679,15.5579,4.18,48.9708,23.87,35.1867,44.0126,64.9526,75.9845,85.15,48.7128,70.0908,17.6427,23.31
2014-01-09,82.4409,147.53,70.009,401.01,566.8699,57.22,31.5153,56.29,57.66,88.84,59.09,72.6895,84.51,40.94,14.32,51.08,81.5244,53.5386,82.4166,50.012,61.9681,104.2762,73.7636,114.8,128.9265,73.2519,50.4947,16.0442,40.5527,14.9778,4.09,48.47,23.24,34.16,47.3205,64.9616,73.5593,85.17,48.15,69.7926,17.6042,22.75
2014-01-10,82.7062,145.7199,69.5419,397.66,566.8398,57.94,31.9677,56.95,59.38,89.69,59.53,72.3195,84.77,41.13,14.49,51.47,80.6701,53.3504,82.1106,50.2751,61.4778,103.6955,75.0045,116.67,140.0499,73.64699999999999,51.1282,16.1087,40.535,14.9588,4.17,48.5337,23.71,34.5288,49.9135,64.3261,75.4036,86.8,47.4485,70.2492,17.4887,23.01
2014-01-13,81.4841,139.34,69.906,390.98,563.2286,55.91,31.0275,56.21,57.09,87.88,58.6,71.1528,83.4,40.64,14.27,51.57,78.2773,52.8124,80.664,48.6873,59.4926,100.9854,74.1425,113.93,131.0239,72.71300000000001,50.8487,15.9704,40.0213,14.6069,4.13,47.9327,23.33,33.4622,48.9549,63.9949,72.2867,84.45,48.1157,68.2737,17.1905,22.38
2014-01-14,83.0378,161.27,71.297,397.54,576.4795,57.74,31.7371,57.51,57.63,91.29,60.37,72.1488,84.7,41.04,14.46,52.64,79.40899999999999,53.7172,80.7846,49.7035,60.5133,102.2701,73.8678,121.51,139.9599,72.749,52.0691,16.2563,40.7919,15.0634,4.3,50.3275,23.67,34.5388,49.2376,64.5946,73.3195,84.31,48.28,69.3733,16.825,22.46
