,TSLA,FB,BABA,AMZN
2015-12-31,240.01,104.66,81.27,675.89
2016-01-04,223.41,102.22,76.69,636.99
2016-01-05,223.43,102.73,78.63,633.79
2016-01-06,219.04,102.97,77.33,632.65
2016-01-07,215.65,97.92,72.72,607.94
2016-01-08,211.0,97.33,70.8,607.05
2016-01-11,207.85,97.51,69.92,617.74
2016-01-12,209.97,99.37,72.68,617.89
2016-01-13,200.31,95.44,70.29,581.81
2016-01-14,206.18,98.37,72.25,593.0
2016-01-15,204.99,94.97,69.59,570.18
2016-01-19,204.72,95.26,70.13,574.48
2016-01-20,198.7,94.35,68.71,571.77
2016-01-21,199.97,94.16,70.72,575.02
2016-01-22,202.55,97.94,70.37,596.38
2016-01-25,196.38,97.01,69.72,596.53
2016-01-26,193.56,97.34,69.77,601.25
2016-01-27,188.07,94.45,69.54,583.35
2016-01-28,189.7,109.11,66.92,635.35
2016-01-29,191.2,112.21,67.03,587.0
2016-02-01,196.94,115.09,67.03,574.81
2016-02-02,182.78,114.61,65.09,552.1
2016-02-03,173.48,112.69,63.44,531.07
2016-02-04,175.33,110.49,64.86,536.26
2016-02-05,162.6,104.07,62.64,502.13
2016-02-08,147.99,99.75,61.1,488.1
2016-02-09,148.25,99.54,61.39,482.07
2016-02-10,143.67,101.0,61.78,490.48
2016-02-11,150.47,101.91,60.57,503.82
2016-02-12,151.04,102.01,60.89,507.08
2016-02-16,155.17,101.61,66.29,521.1
2016-02-17,168.68,105.2,66.38,534.1
2016-02-18,166.77,103.47,66.52,525.0
2016-02-19,166.58,104.57,67.28,534.9
2016-02-22,177.74,107.16,68.84,559.5
2016-02-23,177.21,105.46,66.97,552.94
2016-02-24,179.0,106.88,67.23,554.04
2016-02-25,187.43,108.07,66.66,555.15
2016-02-26,190.34,107.92,66.91,555.23
2016-02-29,191.93,106.92,68.81,552.52
2016-03-01,186.35,109.82,70.86,579.04
2016-03-02,188.34,109.95,71.25,580.21
2016-03-03,195.74,109.58,71.02,577.49
2016-03-04,201.04,108.39,72.22,575.14
2016-03-07,205.29,105.73,72.89,562.8
2016-03-08,202.6,105.93,71.07,560.26
2016-03-09,208.72,107.51,72.43,559.47
2016-03-10,205.18,107.32,71.97,558.93
2016-03-11,207.5,109.41,74.01,569.61
2016-03-14,215.15,109.89,73.35,573.37
2016-03-15,218.34,110.67,72.23,577.02
2016-03-16,221.93,112.18,73.5,574.27
2016-03-17,226.38,111.02,74.25,559.44
2016-03-18,232.74,111.45,76.25,552.08
2016-03-21,238.32,111.85,78.11,553.98
2016-03-22,234.24,112.25,78.18,560.48
2016-03-23,222.58,112.54,76.56,569.63
2016-03-24,227.75,113.05,75.86,582.95
2016-03-28,230.26,113.69,76.48,579.87
2016-03-29,230.13,116.14,78.08,593.86
2016-03-30,226.89,114.7,78.86,598.69
2016-03-31,229.77,114.1,79.03,593.64
2016-04-01,237.59,116.06,78.73,598.5
2016-04-04,246.99,112.55,79.08,593.19
2016-04-05,255.47,112.22,77.32,586.14
2016-04-06,265.42,113.71,78.68,602.08
2016-04-07,257.2,113.64,77.61,591.43
2016-04-08,250.07,110.63,77.47,594.6
2016-04-11,249.92,108.99,77.71,595.93
2016-04-12,247.82,110.61,77.86,603.17
2016-04-13,254.53,110.51,79.64,614.82
2016-04-14,251.86,110.84,79.61,620.75
2016-04-15,254.51,109.64,78.97,625.89
