,close,5days,10days,20days
2017-12-29,165.3719,0.0,0.0,0.0
2018-01-02,168.3328,0.0,0.0,0.0
2018-01-03,168.3035,0.0,0.0,0.0
2018-01-04,169.0853,0.0,0.0,0.0
2018-01-05,171.0104,0.0,0.0,0.0
2018-01-08,170.3752,0.03,0.0,0.0
2018-01-09,170.3556,0.012,0.0,0.0
2018-01-10,170.3165,0.012,0.0,0.0
2018-01-11,171.28400000000002,0.013,0.0,0.0
2018-01-12,173.0527,0.012,0.0,0.0
2018-01-16,172.1732,0.011,0.041,0.0
2018-01-17,175.0169,0.027,0.04,0.0
2018-01-18,175.1732,0.029,0.041,0.0
2018-01-19,174.3915,0.018,0.031,0.0
2018-01-22,172.9648,-0.001,0.011,0.0
2018-01-23,173.0038,0.005,0.015,0.0
2018-01-24,170.2481,-0.027,-0.001,0.0
2018-01-25,167.209,-0.045,-0.018,0.0
2018-01-26,167.5999,-0.039,-0.022,0.0
2018-01-29,164.1309,-0.051,-0.052,0.0
2018-01-30,163.1634,-0.057,-0.052,-0.013
2018-01-31,163.6129,-0.039,-0.065,-0.028
2018-02-01,163.955,-0.019,-0.064,-0.026
2018-02-02,156.8409,-0.064,-0.101,-0.072
2018-02-05,152.9223,-0.068,-0.116,-0.106
2018-02-06,159.3132,-0.024,-0.079,-0.065
2018-02-07,155.9028,-0.047,-0.084,-0.085
2018-02-08,151.6129,-0.075,-0.093,-0.11
2018-02-09,153.4598,-0.022,-0.084,-0.104
2018-02-12,159.641,0.044,-0.027,-0.078
2018-02-13,161.2402,0.012,-0.012,-0.064
2018-02-14,164.2131,0.053,0.004,-0.062
2018-02-15,169.7271,0.119,0.035,-0.031
2018-02-16,169.1776,0.102,0.079,-0.03
2018-02-20,168.6086,0.056,0.103,-0.025
2018-02-21,167.8433,0.041,0.054,-0.03
2018-02-22,169.2463,0.031,0.086,-0.006
2018-02-23,172.1897,0.015,0.136,0.03
2018-02-26,175.5943,0.038,0.144,0.048
2018-02-27,175.0252,0.038,0.096,0.066
2018-02-28,174.7603,0.041,0.084,0.071
2018-03-01,171.6992,0.014,0.046,0.049
2018-03-02,172.8863,0.004,0.019,0.054
2018-03-05,173.4848,-0.012,0.025,0.106
2018-03-06,173.3377,-0.01,0.028,0.134
2018-03-07,171.7286,-0.017,0.023,0.078
2018-03-08,173.6026,0.011,0.026,0.114
2018-03-09,176.5852,0.021,0.026,0.165
2018-03-12,178.2924,0.028,0.015,0.162
2018-03-13,176.5754,0.019,0.009,0.106
2018-03-14,175.0743,0.019,0.002,0.086
2018-03-15,175.2803,0.01,0.021,0.067
2018-03-16,174.6622,-0.011,0.01,0.029
2018-03-19,171.9935,-0.035,-0.009,0.017
2018-03-20,171.9346,-0.026,-0.008,0.02
2018-03-21,168.0395,-0.04,-0.021,0.001
2018-03-22,165.6652,-0.055,-0.046,-0.021
2018-03-23,161.8289,-0.073,-0.084,-0.06
2018-03-26,169.5112,-0.014,-0.049,-0.035
2018-03-27,165.1648,-0.039,-0.065,-0.056
2018-03-28,163.3399,-0.028,-0.067,-0.065
2018-03-29,164.6153,-0.006,-0.061,-0.041
2018-04-02,163.5361,0.011,-0.064,-0.054
2018-04-03,165.2138,-0.025,-0.039,-0.048
2018-04-04,168.3731,0.019,-0.021,-0.029
2018-04-05,169.5407,0.038,0.009,-0.013
2018-04-06,165.204,0.004,-0.003,-0.048
2018-04-09,166.8425,0.02,0.031,-0.055
2018-04-10,169.9822,0.029,0.003,-0.047
2018-04-11,169.1874,0.005,0.024,-0.042
2018-04-12,170.8554,0.008,0.046,-0.024
2018-04-13,171.4343,0.038,0.041,-0.022
2018-04-16,172.5037,0.034,0.055,-0.012
2018-04-17,174.878,0.029,0.058,0.017
2018-04-18,174.4856,0.031,0.036,0.015
2018-04-19,169.5407,-0.008,0.0,0.009
2018-04-20,162.5942,-0.052,-0.016,-0.019
2018-04-23,162.1233,-0.06,-0.028,0.002
2018-04-24,159.8666,-0.086,-0.06,-0.057
2018-04-25,160.5632,-0.08,-0.051,-0.028
2018-04-26,161.1225,-0.05,-0.057,-0.014
2018-04-27,159.2583,-0.021,-0.071,-0.033
2018-04-30,162.1429,0.0,-0.06,-0.009
2018-05-01,165.9104,0.038,-0.051,0.004
2018-05-02,173.2395,0.079,-0.007,0.029
2018-05-03,173.5535,0.077,0.024,0.024
2018-05-04,180.3626,0.133,0.109,0.092
2018-05-07,181.6675,0.12,0.121,0.089
2018-05-08,182.5407,0.1,0.142,0.074
2018-05-09,183.826,0.061,0.145,0.087
2018-05-10,186.4555,0.074,0.157,0.091
2018-05-11,185.7491,0.03,0.166,0.084
2018-05-14,185.3157,0.02,0.143,0.074
2018-05-15,183.6314,0.006,0.107,0.05
2018-05-16,185.3452,0.008,0.07,0.062
2018-05-17,184.1732,-0.012,0.061,0.086
2018-05-18,183.5034,-0.012,0.017,0.129
2018-05-21,184.8035,-0.003,0.017,0.14
2018-05-22,184.3406,0.004,0.01,0.153
2018-05-23,185.5225,0.001,0.009,0.155
2018-05-24,185.3157,0.006,-0.006,0.15
2018-05-25,185.7392,0.012,-0.0,0.166
2018-05-29,185.0695,0.001,-0.001,0.141
2018-05-30,184.6755,0.002,0.006,0.113
2018-05-31,184.055,-0.008,-0.007,0.062
2018-06-01,187.3742,0.011,0.017,0.08
2018-06-04,188.9402,0.017,0.03,0.048
2018-06-05,190.398,0.029,0.03,0.048
2018-06-06,191.0579,0.035,0.036,0.047
2018-06-07,190.5457,0.035,0.027,0.037
2018-06-08,188.8122,0.008,0.019,0.013
2018-06-11,188.3493,-0.003,0.014,0.014
2018-06-12,189.3835,-0.005,0.023,0.022
2018-06-13,187.8273,-0.017,0.017,0.023
2018-06-14,187.9258,-0.014,0.021,0.014
2018-06-15,185.9953,-0.015,-0.007,0.01
2018-06-18,185.8968,-0.013,-0.016,0.013
2018-06-19,182.8927,-0.034,-0.039,-0.01
2018-06-20,183.6905,-0.022,-0.039,-0.004
2018-06-21,182.6662,-0.028,-0.041,-0.015
2018-06-22,182.1343,-0.021,-0.035,-0.017
2018-06-25,179.4258,-0.035,-0.047,-0.034
2018-06-26,181.6517,-0.007,-0.041,-0.018
2018-06-27,181.3858,-0.013,-0.034,-0.018
2018-06-28,182.7056,0.0,-0.028,-0.007
2018-06-29,182.3215,0.001,-0.02,-0.027
2018-07-02,184.3603,0.028,-0.008,-0.024
2018-07-03,181.1494,-0.003,-0.01,-0.049
2018-07-05,182.6071,0.007,-0.006,-0.044
2018-07-06,185.1384,0.013,0.014,-0.028
2018-07-09,187.7091,0.03,0.031,-0.006
2018-07-10,187.4825,0.017,0.045,-0.005
2018-07-11,185.0498,0.022,0.019,-0.023
2018-07-12,188.1523,0.03,0.037,0.002
2018-07-13,188.4478,0.018,0.031,0.003
2018-07-16,188.0341,0.002,0.031,0.011
2018-07-17,188.56599999999997,0.006,0.023,0.014
2018-07-18,187.5318,0.013,0.035,0.025
2018-07-19,188.9895,0.004,0.035,0.029
2018-07-20,188.5561,0.001,0.018,0.032
2018-07-23,188.7236,0.004,0.005,0.036
2018-07-24,190.0926,0.008,0.014,0.059
2018-07-25,191.8852,0.023,0.037,0.056
2018-07-26,191.2844,0.012,0.017,0.055
2018-07-27,188.1031,-0.002,-0.002,0.03
2018-07-30,187.0492,-0.009,-0.005,0.026
2018-07-31,187.4234,-0.014,-0.006,0.017
2018-08-01,198.4646,0.034,0.058,0.096
2018-08-02,204.2659,0.068,0.081,0.119
2018-08-03,204.8568,0.089,0.086,0.107
2018-08-06,205.9205,0.101,0.091,0.097
2018-08-07,203.9901,0.088,0.073,0.088
2018-08-08,204.128,0.029,0.064,0.103
2018-08-09,205.7334,0.007,0.076,0.093
2018-08-10,205.1227,0.001,0.09,0.088
2018-08-13,206.4472,0.003,0.104,0.098
2018-08-14,207.317,0.016,0.106,0.099
2018-08-15,207.8013,0.018,0.047,0.108
2018-08-16,210.8456,0.025,0.032,0.116
