,close,5days,10days,20days
2017-12-29,175.24,0.0,0.0,0.0
2018-01-02,177.7,0.0,0.0,0.0
2018-01-03,181.04,0.0,0.0,0.0
2018-01-04,183.22,0.0,0.0,0.0
2018-01-05,185.34,0.0,0.0,0.0
2018-01-08,185.04,0.056,0.0,0.0
2018-01-09,186.7,0.051,0.0,0.0
2018-01-10,187.11,0.034,0.0,0.0
2018-01-11,188.92,0.031,0.0,0.0
2018-01-12,195.05,0.052,0.0,0.0
2018-01-16,192.46,0.04,0.098,0.0
2018-01-17,196.49,0.052,0.106,0.0
2018-01-18,196.2,0.049,0.084,0.0
2018-01-19,195.73,0.036,0.068,0.0
2018-01-22,197.84,0.014,0.067,0.0
2018-01-23,200.09,0.04,0.081,0.0
2018-01-24,197.78,0.007,0.059,0.0
2018-01-25,197.51,0.007,0.056,0.0
2018-01-26,201.3,0.028,0.066,0.0
2018-01-29,198.23,0.002,0.016,0.0
2018-01-30,196.9,-0.016,0.023,0.124
2018-01-31,199.76,0.01,0.017,0.124
2018-02-01,199.38,0.009,0.016,0.101
2018-02-02,195.64,-0.028,-0.0,0.068
2018-02-05,190.27,-0.04,-0.038,0.027
2018-02-06,194.47,-0.012,-0.028,0.051
2018-02-07,192.34,-0.037,-0.028,0.03
2018-02-08,185.16,-0.071,-0.063,-0.01
2018-02-09,187.99,-0.039,-0.066,-0.005
2018-02-12,192.15,0.01,-0.031,-0.015
2018-02-13,193.48,-0.005,-0.017,0.005
2018-02-14,197.13,0.025,-0.013,0.003
2018-02-15,202.97,0.096,0.018,0.035
2018-02-16,201.56,0.072,0.03,0.03
2018-02-20,202.98,0.056,0.067,0.026
2018-02-21,202.09,0.045,0.039,0.01
2018-02-22,202.61,0.028,0.053,0.024
2018-02-23,209.74,0.033,0.133,0.062
2018-02-26,212.15,0.053,0.129,0.054
2018-02-27,208.82,0.029,0.087,0.053
2018-02-28,209.13,0.035,0.081,0.062
2018-03-01,206.03,0.017,0.045,0.031
2018-03-02,209.79,0.0,0.034,0.052
2018-03-05,211.16,-0.005,0.048,0.079
2018-03-06,212.01,0.015,0.044,0.114
2018-03-07,216.86,0.037,0.073,0.115
2018-03-08,216.4,0.05,0.068,0.125
2018-03-09,221.11,0.054,0.054,0.194
2018-03-12,220.94,0.046,0.041,0.175
2018-03-13,219.76,0.037,0.052,0.144
2018-03-14,218.44,0.007,0.045,0.129
2018-03-15,218.87,0.011,0.062,0.11
2018-03-16,225.55,0.02,0.075,0.111
2018-03-19,222.18,0.006,0.052,0.102
2018-03-20,229.75,0.045,0.084,0.132
2018-03-21,226.85,0.039,0.046,0.123
2018-03-22,220.52,0.008,0.019,0.088
2018-03-23,215.02,-0.047,-0.028,0.025
2018-03-26,228.91,0.03,0.036,0.079
2018-03-27,213.8,-0.069,-0.027,0.024
2018-03-28,212.54,-0.063,-0.027,0.016
2018-03-29,216.08,-0.02,-0.013,0.049
2018-04-02,212.28,-0.013,-0.059,0.012
2018-04-03,215.93,-0.057,-0.028,0.023
2018-04-04,225.05,0.053,-0.02,0.062
2018-04-05,223.54,0.052,-0.015,0.031
2018-04-06,218.61,0.012,-0.009,0.01
2018-04-09,219.17,0.032,0.019,-0.009
2018-04-10,224.53,0.04,-0.019,0.016
2018-04-11,223.63,-0.006,0.046,0.018
2018-04-12,226.96,0.015,0.068,0.039
2018-04-13,224.06,0.025,0.037,0.024
2018-04-16,226.52,0.034,0.067,0.004
2018-04-17,231.16,0.03,0.071,0.04
2018-04-18,231.1,0.033,0.027,0.006
2018-04-19,227.62,0.003,0.018,0.003
2018-04-20,225.24,0.005,0.03,0.021
2018-04-23,225.3,-0.005,0.028,0.048
2018-04-24,217.89,-0.057,-0.03,-0.048
2018-04-25,217.32,-0.06,-0.028,0.016
2018-04-26,221.91,-0.025,-0.022,0.044
2018-04-27,221.9,-0.015,-0.01,0.027
2018-04-30,221.6,-0.016,-0.022,0.044
2018-05-01,224.08,0.028,-0.031,0.038
2018-05-02,221.1,0.017,-0.043,-0.018
2018-05-03,226.05,0.019,-0.007,0.011
2018-05-04,228.51,0.03,0.015,0.045
2018-05-07,230.99,0.042,0.025,0.054
2018-05-08,234.56,0.047,0.077,0.045
2018-05-09,239.74,0.084,0.103,0.072
2018-05-10,241.15,0.067,0.087,0.063
2018-05-11,241.88,0.059,0.09,0.08
2018-05-14,238.37,0.032,0.076,0.052
2018-05-15,236.6,0.009,0.056,0.024
2018-05-16,237.39,-0.01,0.074,0.027
2018-05-17,236.85,-0.018,0.048,0.041
2018-05-18,238.09,-0.016,0.042,0.057
2018-05-21,238.1,-0.001,0.031,0.057
2018-05-22,238.79,0.009,0.018,0.096
2018-05-23,243.91,0.027,0.017,0.122
2018-05-24,245.15,0.035,0.017,0.105
2018-05-25,243.56,0.023,0.007,0.098
2018-05-29,242.19,0.017,0.016,0.093
2018-05-30,247.4,0.036,0.046,0.104
2018-05-31,249.28,0.022,0.05,0.127
2018-06-01,251.31,0.025,0.061,0.112
2018-06-04,253.34,0.04,0.064,0.109
2018-06-05,252.7,0.043,0.061,0.094
2018-06-06,253.95,0.026,0.063,0.083
2018-06-07,247.51,-0.007,0.015,0.032
2018-06-08,251.21,-0.0,0.025,0.042
2018-06-11,251.0,-0.009,0.031,0.038
2018-06-12,252.59,-0.0,0.043,0.06
2018-06-13,256.13,0.009,0.035,0.083
2018-06-14,258.1,0.043,0.035,0.087
2018-06-15,251.82,0.002,0.002,0.063
2018-06-18,255.69,0.019,0.009,0.074
2018-06-19,251.74,-0.003,-0.004,0.057
