,close,5days,10days,20days
2017-12-29,86.8292,0.0,0.0,0.0
2018-01-02,88.0482,0.0,0.0,0.0
2018-01-03,89.1406,0.0,0.0,0.0
2018-01-04,89.04299999999999,0.0,0.0,0.0
2018-01-05,89.4039,0.0,0.0,0.0
2018-01-08,89.5599,0.031,0.0,0.0
2018-01-09,89.3746,0.015,0.0,0.0
2018-01-10,87.8825,-0.014,0.0,0.0
2018-01-11,88.9358,-0.001,0.0,0.0
2018-01-12,89.7452,0.004,0.0,0.0
2018-01-16,90.7985,0.014,0.046,0.0
2018-01-17,93.2075,0.043,0.059,0.0
2018-01-18,94.8362,0.079,0.064,0.0
2018-01-19,93.7634,0.054,0.053,0.0
2018-01-22,94.2608,0.05,0.054,0.0
2018-01-23,94.0852,0.036,0.051,0.0
2018-01-24,92.9832,-0.002,0.04,0.0
2018-01-25,89.7062,-0.054,0.021,0.0
2018-01-26,91.5202,-0.024,0.029,0.0
2018-01-29,91.4617,-0.03,0.019,0.0
2018-01-30,89.2869,-0.051,-0.017,0.028
2018-01-31,89.6087,-0.036,-0.039,0.018
2018-02-01,89.3844,-0.004,-0.057,0.003
2018-02-02,86.9072,-0.05,-0.073,-0.024
2018-02-05,83.2889,-0.089,-0.116,-0.068
2018-02-06,86.3513,-0.033,-0.082,-0.036
2018-02-07,83.2401,-0.071,-0.105,-0.069
2018-02-08,80.6361,-0.098,-0.101,-0.082
2018-02-09,81.8552,-0.058,-0.106,-0.08
2018-02-12,82.9475,-0.004,-0.093,-0.076
2018-02-13,82.2551,-0.047,-0.079,-0.094
2018-02-14,83.0256,-0.003,-0.073,-0.109
2018-02-15,83.2889,0.033,-0.068,-0.122
2018-02-16,83.9618,0.026,-0.034,-0.105
2018-02-20,86.2245,0.04,0.035,-0.085
2018-02-21,86.2245,0.048,-0.001,-0.084
2018-02-22,86.3708,0.04,0.038,-0.071
2018-02-23,88.13600000000001,0.058,0.093,-0.018
2018-02-26,90.0768,0.073,0.1,-0.016
2018-02-27,89.9793,0.044,0.085,-0.016
2018-02-28,87.9215,0.02,0.069,-0.015
2018-03-01,86.1269,-0.003,0.037,-0.039
2018-03-02,87.3168,-0.009,0.048,-0.023
2018-03-05,88.887,-0.013,0.059,0.023
2018-03-06,89.6575,-0.004,0.04,0.076
2018-03-07,90.4474,0.029,0.049,0.047
2018-03-08,90.8961,0.055,0.052,0.092
2018-03-09,92.8665,0.064,0.054,0.152
2018-03-12,93.6508,0.054,0.04,0.144
2018-03-13,92.7979,0.035,0.031,0.119
2018-03-14,92.2391,0.02,0.049,0.121
2018-03-15,92.0921,0.013,0.069,0.109
2018-03-16,92.2979,-0.006,0.057,0.108
2018-03-19,91.6607,-0.021,0.031,0.092
2018-03-20,90.8863,-0.021,0.014,0.054
2018-03-21,90.9745,-0.014,0.006,0.055
2018-03-22,88.759,-0.036,-0.024,0.028
2018-03-23,85.9748,-0.069,-0.074,-0.025
2018-03-26,91.2784,-0.004,-0.025,0.013
2018-03-27,89.2589,-0.018,-0.038,-0.008
2018-03-28,88.1413,-0.031,-0.044,0.002
2018-03-29,89.3373,0.007,-0.03,0.037
2018-04-02,87.0042,0.012,-0.057,-0.004
2018-04-03,87.759,-0.039,-0.043,-0.013
2018-04-04,89.4452,0.002,-0.016,-0.002
2018-04-05,89.1511,0.011,-0.02,-0.014
2018-04-06,86.5728,-0.031,-0.025,-0.048
2018-04-09,86.2591,-0.009,0.003,-0.071
2018-04-10,88.259,0.006,-0.033,-0.058
2018-04-11,89.0138,-0.005,-0.003,-0.041
2018-04-12,91.1902,0.023,0.035,-0.011
2018-04-13,90.9549,0.051,0.018,-0.012
2018-04-16,91.3078,0.059,0.049,-0.011
2018-04-17,93.2979,0.057,0.063,0.018
2018-04-18,92.7097,0.042,0.036,0.02
2018-04-19,88.0825,-0.034,-0.012,-0.032
2018-04-20,87.9943,-0.033,0.016,-0.009
2018-04-23,86.2689,-0.055,0.0,0.003
2018-04-24,85.9258,-0.079,-0.026,-0.059
2018-04-25,86.0434,-0.072,-0.033,-0.036
2018-04-26,86.9551,-0.013,-0.046,-0.013
2018-04-27,85.9552,-0.023,-0.055,-0.038
2018-04-30,85.6317,-0.007,-0.062,-0.016
2018-05-01,87.11200000000001,0.014,-0.066,-0.007
2018-05-02,86.56299999999999,0.006,-0.066,-0.032
2018-05-03,86.1807,-0.009,-0.022,-0.033
2018-05-04,88.4943,0.03,0.006,0.022
2018-05-07,88.7197,0.036,0.028,0.029
2018-05-08,89.6216,0.029,0.043,0.015
2018-05-09,90.79799999999999,0.049,0.055,0.02
2018-05-10,91.5039,0.062,0.052,0.003
2018-05-11,90.7784,0.026,0.056,-0.002
2018-05-14,92.0234,0.037,0.075,0.008
2018-05-15,91.7195,0.023,0.053,-0.017
