,close,5days,10days,20days
2017-12-29,104.83,0.0,0.0,0.0
2018-01-02,107.12,0.0,0.0,0.0
2018-01-03,109.38,0.0,0.0,0.0
2018-01-04,112.07,0.0,0.0,0.0
2018-01-05,110.84,0.0,0.0,0.0
2018-01-08,111.42,0.063,0.0,0.0
2018-01-09,112.11,0.047,0.0,0.0
2018-01-10,111.47,0.019,0.0,0.0
2018-01-11,113.26,0.011,0.0,0.0
2018-01-12,115.91,0.046,0.0,0.0
2018-01-16,111.98,0.005,0.068,0.0
2018-01-17,113.0,0.008,0.055,0.0
2018-01-18,112.55,0.01,0.029,0.0
2018-01-19,115.29,0.018,0.029,0.0
2018-01-22,117.43,0.013,0.059,0.0
2018-01-23,118.73,0.06,0.066,0.0
2018-01-24,116.9,0.035,0.043,0.0
2018-01-25,116.87,0.038,0.048,0.0
2018-01-26,117.78,0.022,0.04,0.0
2018-01-29,116.38,-0.009,0.004,0.0
2018-01-30,115.02,-0.031,0.027,0.097
2018-01-31,115.62,-0.011,0.023,0.079
2018-02-01,115.57,-0.011,0.027,0.057
2018-02-02,111.64,-0.052,-0.032,-0.004
2018-02-05,109.18,-0.062,-0.07,-0.015
2018-02-06,112.62,-0.021,-0.051,0.011
2018-02-07,110.54,-0.044,-0.054,-0.014
2018-02-08,104.81,-0.093,-0.103,-0.06
2018-02-09,105.94,-0.051,-0.101,-0.065
2018-02-12,108.38,-0.007,-0.069,-0.065
2018-02-13,109.79,-0.025,-0.045,-0.02
2018-02-14,109.92,-0.006,-0.049,-0.027
2018-02-15,113.52,0.083,-0.018,0.009
2018-02-16,112.95,0.066,0.012,-0.02
2018-02-20,114.27,0.054,0.047,-0.027
2018-02-21,112.37,0.023,-0.002,-0.054
2018-02-22,112.39,0.022,0.017,-0.039
2018-02-23,115.03,0.013,0.098,-0.016
2018-02-26,116.92,0.035,0.104,-0.007
2018-02-27,116.12,0.016,0.071,-0.002
2018-02-28,117.47,0.045,0.07,0.021
2018-03-01,114.74,0.021,0.044,-0.008
2018-03-02,116.28,0.011,0.024,0.006
2018-03-05,118.87,0.017,0.052,0.065
2018-03-06,119.87,0.032,0.049,0.098
2018-03-07,137.7,0.172,0.225,0.223
