,close,5days,10days,20days
2017-12-29,50.3067,0.0,0.0,0.0
2018-01-02,52.1962,0.0,0.0,0.0
2018-01-03,53.1212,0.0,0.0,0.0
2018-01-04,53.4263,0.0,0.0,0.0
2018-01-05,53.7313,0.0,0.0,0.0
2018-01-08,55.0303,0.094,0.0,0.0
2018-01-09,53.9872,0.034,0.0,0.0
2018-01-10,52.452,-0.013,0.0,0.0
2018-01-11,52.3536,-0.02,0.0,0.0
2018-01-12,52.5996,-0.021,0.0,0.0
2018-01-16,53.6329,-0.025,0.066,0.0
2018-01-17,56.4278,0.045,0.081,0.0
2018-01-18,56.4868,0.077,0.063,0.0
2018-01-19,56.4868,0.079,0.057,0.0
2018-01-22,56.5458,0.075,0.052,0.0
2018-01-23,56.8706,0.06,0.033,0.0
2018-01-24,55.9751,-0.008,0.037,0.0
2018-01-25,54.8729,-0.029,0.046,0.0
2018-01-26,56.2113,-0.005,0.074,0.0
2018-01-29,54.4497,-0.037,0.035,0.0
2018-01-30,52.5308,-0.076,-0.021,0.044
2018-01-31,52.7768,-0.057,-0.065,0.011
2018-02-01,52.4323,-0.044,-0.072,-0.013
2018-02-02,49.8737,-0.113,-0.117,-0.066
2018-02-05,47.5414,-0.127,-0.159,-0.115
2018-02-06,49.4506,-0.059,-0.13,-0.101
2018-02-07,47.9154,-0.092,-0.144,-0.112
2018-02-08,45.0221,-0.141,-0.18,-0.142
2018-02-09,47.3151,-0.051,-0.158,-0.096
2018-02-12,48.7125,0.025,-0.105,-0.074
2018-02-13,48.7617,-0.014,-0.072,-0.091
2018-02-14,51.1333,0.067,-0.031,-0.094
2018-02-15,53.1311,0.18,0.013,-0.059
2018-02-16,54.1545,0.145,0.086,-0.041
2018-02-20,55.857,0.147,0.175,-0.012
2018-02-21,55.3345,0.135,0.119,-0.027
2018-02-22,55.2753,0.081,0.154,-0.013
2018-02-23,56.202,0.058,0.248,0.024
2018-02-26,57.9765,0.071,0.225,0.031
2018-02-27,56.8231,0.017,0.166,0.044
2018-02-28,56.7738,0.026,0.164,0.081
2018-03-01,56.2612,0.018,0.1,0.066
