,close,5days,10days,20days
2017-12-29,10.28,0.0,0.0,0.0
2018-01-02,10.98,0.0,0.0,0.0
2018-01-03,11.55,0.0,0.0,0.0
2018-01-04,12.12,0.0,0.0,0.0
2018-01-05,11.88,0.0,0.0,0.0
2018-01-08,12.28,0.195,0.0,0.0
2018-01-09,11.82,0.077,0.0,0.0
2018-01-10,11.96,0.035,0.0,0.0
2018-01-11,12.14,0.002,0.0,0.0
2018-01-12,12.02,0.012,0.0,0.0
2018-01-16,11.91,-0.03,0.159,0.0
2018-01-17,12.18,0.03,0.109,0.0
2018-01-18,12.47,0.043,0.08,0.0
2018-01-19,12.59,0.037,0.039,0.0
2018-01-22,12.65,0.052,0.065,0.0
2018-01-23,12.94,0.086,0.054,0.0
2018-01-24,12.71,0.044,0.075,0.0
2018-01-25,12.41,-0.005,0.038,0.0
2018-01-26,12.95,0.029,0.067,0.0
2018-01-29,13.32,0.053,0.108,0.0
2018-01-30,12.87,-0.005,0.081,0.252
2018-01-31,13.74,0.081,0.128,0.251
2018-02-01,13.25,0.068,0.063,0.147
2018-02-02,12.45,-0.039,-0.011,0.027
2018-02-05,11.57,-0.131,-0.085,-0.026
2018-02-06,11.65,-0.095,-0.1,-0.051
2018-02-07,11.6,-0.156,-0.087,-0.019
2018-02-08,11.22,-0.153,-0.096,-0.062
2018-02-09,11.31,-0.092,-0.127,-0.068
2018-02-12,11.68,0.01,-0.123,-0.028
2018-02-13,11.78,0.011,-0.085,-0.011
2018-02-14,12.2,0.052,-0.112,0.002
2018-02-15,12.19,0.086,-0.08,-0.022
2018-02-16,11.82,0.045,-0.051,-0.061
2018-02-20,12.02,0.029,0.039,-0.05
2018-02-21,11.72,-0.005,0.006,-0.094
2018-02-22,11.84,-0.03,0.021,-0.068
2018-02-23,12.07,-0.01,0.076,-0.027
2018-02-26,12.42,0.051,0.098,-0.041
2018-02-27,12.53,0.042,0.073,-0.059
2018-02-28,12.11,0.033,0.028,-0.059
2018-03-01,11.9,0.005,-0.025,-0.134
2018-03-02,11.81,-0.022,-0.031,-0.109
2018-03-05,11.91,-0.041,0.008,-0.043
2018-03-06,11.76,-0.061,-0.022,0.016
2018-03-07,12.24,0.011,0.044,0.051
2018-03-08,11.97,0.006,0.011,0.032
2018-03-09,11.7,-0.009,-0.031,0.043
2018-03-12,11.52,-0.033,-0.072,0.019
2018-03-13,11.64,-0.01,-0.071,-0.003
2018-03-14,11.36,-0.072,-0.062,-0.036
2018-03-15,11.46,-0.043,-0.037,-0.061
2018-03-16,11.47,-0.02,-0.029,-0.059
2018-03-19,11.43,-0.008,-0.04,-0.033
2018-03-20,11.11,-0.046,-0.055,-0.076
2018-03-21,11.26,-0.009,-0.08,-0.039
2018-03-22,10.91,-0.048,-0.089,-0.079
2018-03-23,10.63,-0.073,-0.091,-0.119
2018-03-26,10.44,-0.087,-0.094,-0.159
2018-03-27,10.0,-0.1,-0.141,-0.202
2018-03-28,9.81,-0.129,-0.136,-0.19
2018-03-29,10.05,-0.079,-0.123,-0.155
2018-04-02,9.53,-0.103,-0.169,-0.193
2018-04-03,9.55,-0.085,-0.164,-0.198
2018-04-04,9.77,-0.023,-0.121,-0.169
2018-04-05,10.02,0.021,-0.11,-0.181
2018-04-06,9.61,-0.044,-0.119,-0.197
2018-04-09,9.53,0.0,-0.103,-0.185
2018-04-10,9.98,0.045,-0.044,-0.134
2018-04-11,9.82,0.005,-0.018,-0.156
2018-04-12,10.08,0.006,0.028,-0.113
2018-04-13,9.93,0.033,-0.012,-0.134
2018-04-16,10.09,0.059,0.059,-0.12
2018-04-17,10.52,0.054,0.102,-0.08
2018-04-18,10.36,0.055,0.06,-0.068
2018-04-19,10.11,0.003,0.009,-0.102
2018-04-20,9.99,0.006,0.04,-0.084
2018-04-23,10.04,-0.005,0.054,-0.056
2018-04-24,10.09,-0.041,0.011,-0.034
2018-04-25,9.71,-0.063,-0.011,-0.029
2018-04-26,11.04,0.092,0.095,0.125
2018-04-27,11.11,0.112,0.119,0.105
2018-04-30,10.88,0.084,0.078,0.142
2018-05-01,11.13,0.103,0.058,0.165
2018-05-02,10.97,0.13,0.059,0.123
2018-05-03,10.93,-0.01,0.081,0.091
2018-05-04,11.28,0.015,0.129,0.174
2018-05-07,11.59,0.065,0.154,0.216
2018-05-08,11.61,0.043,0.151,0.163
2018-05-09,11.95,0.089,0.231,0.217
2018-05-10,12.13,0.11,0.099,0.203
2018-05-11,11.95,0.059,0.076,0.203
2018-05-14,12.23,0.055,0.124,0.212
2018-05-15,12.45,0.072,0.119,0.183
2018-05-16,12.82,0.073,0.169,0.237
2018-05-17,12.82,0.057,0.173,0.268
2018-05-18,13.0,0.088,0.152,0.301
2018-05-21,12.99,0.062,0.121,0.294
2018-05-22,12.98,0.043,0.118,0.286
2018-05-23,13.1,0.022,0.096,0.349
2018-05-24,13.41,0.046,0.106,0.215
2018-05-25,13.54,0.042,0.133,0.219
2018-05-29,13.36,0.028,0.092,0.228
2018-05-30,13.82,0.065,0.11,0.242
2018-05-31,13.73,0.048,0.071,0.252
2018-06-01,14.4,0.074,0.123,0.317
2018-06-04,14.85,0.097,0.142,0.316
2018-06-05,14.85,0.112,0.143,0.281
2018-06-06,15.67,0.134,0.207,0.35
2018-06-07,14.89,0.084,0.137,0.246
2018-06-08,15.25,0.059,0.137,0.257
2018-06-11,15.73,0.059,0.162,0.316
2018-06-12,15.85,0.067,0.186,0.296
2018-06-13,16.32,0.041,0.181,0.311
2018-06-14,16.25,0.091,0.184,0.268
2018-06-15,16.34,0.071,0.135,0.275
2018-06-18,17.11,0.088,0.152,0.316
2018-06-19,16.69,0.053,0.124,0.285
2018-06-20,16.52,0.012,0.054,0.273
2018-06-21,15.65,-0.037,0.051,0.195
2018-06-22,15.8,-0.033,0.036,0.178
2018-06-25,15.11,-0.117,-0.039,0.116
2018-06-26,15.5,-0.071,-0.022,0.16
2018-06-27,14.97,-0.094,-0.083,0.083
2018-06-28,15.31,-0.022,-0.058,0.115
2018-06-29,14.99,-0.051,-0.083,0.041
2018-07-02,15.16,0.003,-0.114,0.021
2018-07-03,15.0,-0.032,-0.101,0.01
2018-07-05,15.5,0.035,-0.062,-0.011
2018-07-06,16.36,0.069,0.045,0.099
2018-07-09,16.61,0.108,0.051,0.089
2018-07-10,16.55,0.092,0.095,0.052
2018-07-11,16.27,0.085,0.05,0.026
2018-07-12,16.56,0.068,0.106,0.015
2018-07-13,16.27,-0.006,0.063,0.001
2018-07-16,16.58,-0.002,0.106,0.015
2018-07-17,16.87,0.019,0.113,-0.014
2018-07-18,16.85,0.036,0.123,0.01
2018-07-19,16.71,0.009,0.078,0.012
2018-07-20,16.5,0.014,0.009,0.054
2018-07-23,16.66,0.005,0.003,0.054
2018-07-24,16.19,-0.04,-0.022,0.071
2018-07-25,16.05,-0.047,-0.014,0.035
2018-07-26,18.35,0.098,0.108,0.226
2018-07-27,18.94,0.148,0.164,0.237
2018-07-30,19.42,0.166,0.171,0.296
2018-07-31,18.33,0.132,0.087,0.209
2018-08-01,18.48,0.151,0.097,0.232
2018-08-02,18.79,0.024,0.124,0.212
2018-08-03,18.49,-0.024,0.121,0.13
2018-08-06,19.43,0.001,0.166,0.17
2018-08-07,19.56,0.067,0.208,0.182
2018-08-08,19.58,0.06,0.22,0.203
2018-08-09,19.1,0.016,0.041,0.153
2018-08-10,19.06,0.031,0.006,0.171
2018-08-13,19.73,0.015,0.016,0.19
2018-08-14,20.02,0.024,0.092,0.187
2018-08-15,19.7,0.006,0.066,0.169
2018-08-16,19.33,0.012,0.029,0.157
2018-08-17,19.77,0.037,0.069,0.198
2018-08-20,19.98,0.013,0.028,0.199
2018-08-21,20.4,0.019,0.043,0.26
2018-08-22,20.9,0.061,0.067,0.302
2018-08-23,22.29,0.153,0.167,0.215
2018-08-24,23.98,0.213,0.258,0.266
2018-08-27,25.26,0.264,0.28,0.301
2018-08-28,25.05,0.228,0.251,0.367
2018-08-29,25.2,0.206,0.279,0.364
2018-08-30,24.89,0.117,0.288,0.325
2018-08-31,25.17,0.05,0.273,0.361
2018-09-04,28.06,0.111,0.404,0.444
2018-09-05,28.51,0.138,0.398,0.458
2018-09-06,27.84,0.105,0.332,0.422
2018-09-07,27.38,0.1,0.228,0.434
2018-09-10,29.89,0.188,0.246,0.568
2018-09-11,30.1,0.073,0.192,0.526
2018-09-12,32.21,0.13,0.286,0.609
2018-09-13,30.48,0.095,0.21,0.547
2018-09-14,32.72,0.195,0.315,0.693
2018-09-17,32.43,0.085,0.288,0.64
2018-09-18,31.93,0.061,0.138,0.598
2018-09-19,31.21,-0.031,0.095,0.53
2018-09-20,31.18,0.023,0.12,0.492
