,close,5days,10days,20days
2017-12-29,235.58,0.0,0.0,0.0
2018-01-02,231.03,0.0,0.0,0.0
2018-01-03,235.6,0.0,0.0,0.0
2018-01-04,232.69,0.0,0.0,0.0
2018-01-05,236.77,0.0,0.0,0.0
2018-01-08,251.06,0.066,0.0,0.0
2018-01-09,249.98,0.082,0.0,0.0
2018-01-10,252.28,0.071,0.0,0.0
2018-01-11,260.79,0.121,0.0,0.0
2018-01-12,259.03,0.094,0.0,0.0
2018-01-16,252.77,0.007,0.073,0.0
2018-01-17,262.81,0.051,0.138,0.0
2018-01-18,265.19,0.051,0.126,0.0
2018-01-19,270.84,0.039,0.164,0.0
2018-01-22,275.68,0.064,0.164,0.0
2018-01-23,273.14,0.081,0.088,0.0
2018-01-24,273.14,0.039,0.093,0.0
2018-01-25,276.76,0.044,0.097,0.0
2018-01-26,283.5,0.047,0.087,0.0
2018-01-29,277.99,0.008,0.073,0.0
2018-01-30,275.23,0.008,0.089,0.168
2018-01-31,275.82,0.01,0.05,0.194
2018-02-01,275.0,-0.006,0.037,0.167
2018-02-02,273.48,-0.035,0.01,0.175
2018-02-05,265.37,-0.045,-0.037,0.121
2018-02-06,272.38,-0.01,-0.003,0.085
2018-02-07,281.62,0.021,0.031,0.127
2018-02-08,264.52,-0.038,-0.044,0.049
2018-02-09,272.55,-0.003,-0.039,0.045
2018-02-12,284.54,0.072,0.024,0.098
2018-02-13,292.58,0.074,0.063,0.157
2018-02-14,302.12,0.073,0.095,0.15
2018-02-15,307.96,0.164,0.12,0.161
2018-02-16,249.49,-0.085,-0.088,-0.079
2018-02-20,249.65,-0.123,-0.059,-0.094
2018-02-21,238.03,-0.186,-0.126,-0.129
2018-02-22,244.66,-0.19,-0.131,-0.104
2018-02-23,245.92,-0.201,-0.07,-0.111
2018-02-26,259.85,0.042,-0.047,-0.083
2018-02-27,259.14,0.038,-0.089,-0.068
2018-02-28,269.74,0.133,-0.078,-0.02
2018-03-01,263.8,0.078,-0.127,-0.044
2018-03-02,271.5,0.104,-0.118,-0.013
2018-03-05,281.86,0.085,0.13,0.031
2018-03-06,288.6,0.114,0.156,0.088
2018-03-07,291.58,0.081,0.225,0.07
2018-03-08,293.77,0.114,0.201,0.043
2018-03-09,295.15,0.087,0.2,0.116
2018-03-12,297.4,0.055,0.145,0.091
2018-03-13,289.68,0.004,0.118,0.018
2018-03-14,298.5,0.024,0.107,0.02
2018-03-15,295.9,0.007,0.122,-0.021
2018-03-16,293.72,-0.005,0.082,-0.046
2018-03-19,277.39,-0.067,-0.016,0.112
2018-03-20,285.42,-0.015,-0.011,0.143
2018-03-21,282.7,-0.053,-0.03,0.188
2018-03-22,273.74,-0.075,-0.068,0.119
2018-03-23,264.21,-0.1,-0.105,0.074
2018-03-26,270.98,-0.023,-0.089,0.043
2018-03-27,253.7,-0.111,-0.124,-0.021
2018-03-28,245.14,-0.133,-0.179,-0.091
2018-03-29,255.3,-0.067,-0.137,-0.032
2018-04-02,253.51,-0.04,-0.137,-0.066
2018-04-03,253.51,-0.064,-0.086,-0.101
2018-04-04,258.96,0.021,-0.093,-0.103
2018-04-05,262.74,0.072,-0.071,-0.099
2018-04-06,258.72,0.013,-0.055,-0.119
2018-04-09,259.5,0.024,-0.018,-0.121
2018-04-10,267.19,0.054,-0.014,-0.102
2018-04-11,266.58,0.029,0.051,-0.08
2018-04-12,268.89,0.023,0.097,-0.099
2018-04-13,244.2,-0.056,-0.043,-0.175
2018-04-16,239.44,-0.077,-0.056,-0.185
2018-04-17,256.8,-0.039,0.013,-0.074
2018-04-18,258.5,-0.03,-0.002,-0.094
2018-04-19,256.37,-0.047,-0.024,-0.093
2018-04-20,260.65,0.067,0.007,-0.048
2018-04-23,254.18,0.062,-0.021,-0.038
2018-04-24,252.06,-0.018,-0.057,-0.07
2018-04-25,253.02,-0.021,-0.051,-0.003
2018-04-26,259.51,0.012,-0.035,0.059
