date,open,high,low,close,adjusted close,volume
1998-01-02 00:00:00,7.0,7.125,6.938,7.0,1.75,8500
1998-01-05 00:00:00,7.125,7.125,7.0,7.125,1.7813,38000
1998-01-06 00:00:00,7.0,7.5,7.0,7.438,1.8595,111600
1998-01-07 00:00:00,7.5,7.5,7.438,7.438,1.8595,34200
1998-01-08 00:00:00,7.438,7.563,7.438,7.438,1.8595,21300
1998-01-09 00:00:00,7.5,7.75,7.438,7.688,1.922,63200
1998-01-12 00:00:00,7.375,7.625,7.375,7.5,1.875,3500
1998-01-13 00:00:00,7.625,7.625,7.5,7.5,1.875,25000
1998-01-14 00:00:00,7.688,7.75,7.625,7.75,1.9375,33000
1998-01-15 00:00:00,7.75,8.188,7.75,8.188,2.047,77700
1998-01-16 00:00:00,8.25,8.375,8.188,8.375,2.0938,27300
1998-01-20 00:00:00,8.313,8.375,8.188,8.188,2.047,37100
1998-01-21 00:00:00,8.188,8.375,8.188,8.375,2.0938,16800
1998-01-22 00:00:00,8.125,8.25,8.125,8.125,2.0313,3600
1998-01-23 00:00:00,8.0,8.25,8.0,8.188,2.047,3700
1998-01-26 00:00:00,8.375,8.375,8.0,8.063,2.0158,18400
1998-01-27 00:00:00,8.0,8.688,8.0,8.563,2.1408,30500
1998-01-28 00:00:00,8.625,8.688,8.375,8.625,2.1563,12000
1998-01-29 00:00:00,8.5,8.875,8.5,8.875,2.2188,12700
1998-01-30 00:00:00,8.625,8.875,8.5,8.5,2.125,21100
1998-02-02 00:00:00,8.5,8.75,8.375,8.563,2.1408,232800
1998-02-03 00:00:00,8.375,8.625,8.375,8.625,2.1563,23900
1998-02-04 00:00:00,8.625,9.25,8.5,9.25,2.3125,253200
1998-02-05 00:00:00,9.0,9.25,9.0,9.0,2.25,25500
1998-02-06 00:00:00,9.0,9.438,9.0,9.313,2.3283,65600
1998-02-09 00:00:00,9.313,9.313,9.125,9.125,2.2813,22600
1998-02-10 00:00:00,9.125,9.125,8.75,9.0,2.25,36900
1998-02-11 00:00:00,8.875,9.0,8.875,9.0,2.25,22300
1998-02-12 00:00:00,8.875,9.0,8.875,8.938,2.2345,14500
1998-02-13 00:00:00,8.938,8.938,8.625,8.688,2.172,42100
1998-02-17 00:00:00,8.625,8.688,8.5,8.625,2.1563,27300
1998-02-18 00:00:00,8.5,8.625,8.375,8.375,2.0938,35600
1998-02-19 00:00:00,8.375,8.5,8.25,8.313,2.0783,33500
1998-02-20 00:00:00,8.375,8.563,8.25,8.5,2.125,39100
1998-02-23 00:00:00,8.625,8.625,8.375,8.5,2.125,21400
1998-02-24 00:00:00,8.375,8.563,8.375,8.563,2.1408,25300
1998-02-25 00:00:00,8.563,8.563,8.375,8.5,2.125,25000
1998-02-26 00:00:00,8.25,8.375,8.25,8.25,2.0625,52900
1998-02-27 00:00:00,8.313,8.438,8.25,8.25,2.0625,22800
1998-03-02 00:00:00,8.25,8.313,8.188,8.25,2.0625,43000
1998-03-03 00:00:00,8.438,8.438,8.188,8.25,2.0625,11700
1998-03-04 00:00:00,8.438,8.5,8.188,8.5,2.125,27400
1998-03-05 00:00:00,8.25,8.625,8.188,8.438,2.1095,36800
1998-03-06 00:00:00,8.625,9.063,8.5,8.938,2.2345,123300
1998-03-09 00:00:00,9.0,9.125,8.875,9.125,2.2813,23200
1998-03-10 00:00:00,8.875,9.125,8.875,9.063,2.2658,11800
1998-03-11 00:00:00,9.125,9.25,9.0,9.25,2.3125,62800
1998-03-12 00:00:00,9.25,9.625,9.125,9.375,2.3438,46500
1998-03-13 00:00:00,9.5,10.44,9.5,10.44,2.61,228100
1998-03-16 00:00:00,10.38,11.0,10.0,10.25,2.5625,258900
1998-03-17 00:00:00,10.0,10.25,10.0,10.13,2.5325,52700
1998-03-18 00:00:00,10.13,10.13,10.0,10.13,2.5325,75200
1998-03-19 00:00:00,10.13,10.13,10.0,10.0,2.5,72700
1998-03-20 00:00:00,10.0,10.06,10.0,10.0,2.5,17800
1998-03-23 00:00:00,10.13,10.13,9.5,9.5,2.375,41600
1998-03-24 00:00:00,9.75,10.25,9.5,10.19,2.5475,85300
1998-03-25 00:00:00,10.25,10.25,10.0,10.13,2.5325,21000
1998-03-26 00:00:00,9.75,10.0,9.75,9.938,2.4845,16700
1998-03-27 00:00:00,10.13,10.13,9.875,9.875,2.4688,4800
1998-03-30 00:00:00,9.75,10.0,9.75,9.875,2.4688,10300
1998-03-31 00:00:00,9.75,10.25,9.75,10.0,2.5,57200
1998-04-01 00:00:00,10.31,10.31,9.875,10.31,2.5775,12100
1998-04-02 00:00:00,10.31,10.63,9.875,10.5,2.625,69600
1998-04-03 00:00:00,10.5,11.0,10.38,10.75,2.6875,77900
1998-04-06 00:00:00,11.0,11.25,10.75,10.81,2.7025,125900
1998-04-07 00:00:00,10.75,10.75,10.13,10.25,2.5625,131500
1998-04-08 00:00:00,10.13,10.25,9.5,9.5,2.375,40100
1998-04-09 00:00:00,9.813,10.0,9.75,9.75,2.4375,17800
1998-04-13 00:00:00,9.625,9.625,9.625,9.625,2.4063,1600
1998-04-14 00:00:00,9.625,9.625,9.375,9.375,2.3438,58800
1998-04-15 00:00:00,9.5,10.13,9.375,10.06,2.515,132900
1998-04-16 00:00:00,9.875,10.25,9.875,10.0,2.5,79900
1998-04-17 00:00:00,10.0,10.38,10.0,10.0,2.5,56900
1998-04-20 00:00:00,10.25,11.0,10.25,10.75,2.6875,102600
1998-04-21 00:00:00,11.75,11.88,10.5,11.75,2.9375,204700
1998-04-22 00:00:00,11.5,12.75,11.38,11.5,2.875,155600
1998-04-23 00:00:00,11.5,12.0,11.0,11.0,2.75,41700
1998-04-24 00:00:00,11.0,11.0,9.625,10.13,2.5325,103000
1998-04-27 00:00:00,9.625,10.13,9.625,10.13,2.5325,78600
1998-04-28 00:00:00,10.13,10.38,9.875,10.38,2.595,105400
1998-04-29 00:00:00,10.25,10.31,10.13,10.25,2.5625,44900
1998-04-30 00:00:00,10.38,10.44,10.13,10.38,2.595,80100
1998-05-01 00:00:00,10.25,10.75,10.25,10.63,2.6575,92400
1998-05-04 00:00:00,10.63,10.75,10.25,10.5,2.625,24700
