,close,5days,10days,20days
2017-12-29,147.59,0.0,0.0,0.0
2018-01-02,148.55,0.0,0.0,0.0
2018-01-03,151.42,0.0,0.0,0.0
2018-01-04,151.82,0.0,0.0,0.0
2018-01-05,152.45,0.0,0.0,0.0
2018-01-08,153.71,0.041,0.0,0.0
2018-01-09,155.14,0.044,0.0,0.0
2018-01-10,152.11,0.005,0.0,0.0
2018-01-11,152.21,0.003,0.0,0.0
2018-01-12,154.22,0.012,0.0,0.0
2018-01-16,153.39,-0.002,0.039,0.0
2018-01-17,155.75,0.004,0.048,0.0
2018-01-18,158.34,0.041,0.046,0.0
2018-01-19,161.54,0.061,0.064,0.0
2018-01-22,163.13,0.058,0.07,0.0
2018-01-23,161.85,0.055,0.053,0.0
2018-01-24,161.54,0.037,0.041,0.0
2018-01-25,159.93,0.01,0.051,0.0
2018-01-26,163.96,0.015,0.077,0.0
2018-01-29,162.75,-0.002,0.055,0.0
2018-01-30,161.68,-0.001,0.054,0.095
2018-01-31,161.65,0.001,0.038,0.088
2018-02-01,163.4,0.022,0.032,0.079
2018-02-02,160.29,-0.022,-0.008,0.056
2018-02-05,156.02,-0.041,-0.044,0.023
2018-02-06,157.1,-0.028,-0.029,0.022
2018-02-07,155.03,-0.041,-0.04,-0.001
2018-02-08,148.84,-0.089,-0.069,-0.021
2018-02-09,150.41,-0.062,-0.083,-0.012
2018-02-12,153.74,-0.015,-0.055,-0.003
2018-02-13,154.2,-0.018,-0.046,0.005
2018-02-14,157.7,0.017,-0.024,0.013
2018-02-15,162.41,0.091,-0.006,0.026
2018-02-16,164.14,0.091,0.024,0.016
2018-02-20,167.81,0.092,0.076,0.029
2018-02-21,163.54,0.061,0.041,0.01
2018-02-22,160.94,0.021,0.038,-0.004
2018-02-23,160.89,-0.009,0.081,0.006
2018-02-26,161.67,-0.015,0.075,-0.014
2018-02-27,161.34,-0.039,0.049,-0.009
2018-02-28,159.94,-0.022,0.037,-0.011
2018-03-01,158.74,-0.014,0.007,-0.018
2018-03-02,162.63,0.011,0.001,-0.005
2018-03-05,163.21,0.01,-0.006,0.018
2018-03-06,163.77,0.015,-0.024,0.05
2018-03-07,165.37,0.034,0.011,0.053
2018-03-08,168.0,0.058,0.044,0.084
2018-03-09,171.18,0.053,0.064,0.15
2018-03-12,169.94,0.041,0.051,0.13
2018-03-13,167.75,0.024,0.04,0.091
2018-03-14,166.95,0.01,0.044,0.083
2018-03-15,167.36,-0.004,0.054,0.061
2018-03-16,166.31,-0.028,0.023,0.024
2018-03-19,164.96,-0.029,0.011,0.005
2018-03-20,165.49,-0.013,0.011,-0.014
2018-03-21,166.41,-0.003,0.006,0.018
2018-03-22,162.41,-0.03,-0.033,0.009
2018-03-23,157.74,-0.052,-0.079,-0.02
2018-03-26,161.01,-0.024,-0.053,-0.004
2018-03-27,157.05,-0.051,-0.064,-0.027
2018-03-28,154.87,-0.069,-0.072,-0.032
2018-03-29,156.69,-0.035,-0.064,-0.013
2018-04-02,153.87,-0.025,-0.075,-0.054
2018-04-03,156.07,-0.031,-0.054,-0.044
2018-04-04,157.92,0.006,-0.046,-0.036
2018-04-05,157.79,0.019,-0.052,-0.046
2018-04-06,153.51,-0.02,-0.055,-0.086
2018-04-09,154.35,0.003,-0.021,-0.098
2018-04-10,157.92,0.012,-0.019,-0.071
2018-04-11,157.01,-0.006,-0.0,-0.064
2018-04-12,159.04,0.008,0.027,-0.047
2018-04-13,156.98,0.023,0.002,-0.062
