,close,5days,10days,20days
2017-12-29,62.9953,0.0,0.0,0.0
2018-01-02,63.9803,0.0,0.0,0.0
2018-01-03,64.9751,0.0,0.0,0.0
2018-01-04,64.3285,0.0,0.0,0.0
2018-01-05,66.0297,0.0,0.0,0.0
2018-01-08,66.2884,0.052,0.0,0.0
2018-01-09,65.8506,0.029,0.0,0.0
2018-01-10,66.4873,0.023,0.0,0.0
2018-01-11,68.885,0.071,0.0,0.0
2018-01-12,69.9992,0.06,0.0,0.0
2018-01-16,68.3577,0.031,0.085,0.0
2018-01-17,69.9992,0.063,0.094,0.0
2018-01-18,69.4421,0.044,0.069,0.0
2018-01-19,70.2082,0.019,0.091,0.0
2018-01-22,70.9344,0.013,0.074,0.0
2018-01-23,71.1831,0.041,0.074,0.0
2018-01-24,69.7207,-0.004,0.059,0.0
2018-01-25,70.4569,0.015,0.06,0.0
2018-01-26,72.1482,0.028,0.047,0.0
2018-01-29,72.0785,0.016,0.03,0.0
2018-01-30,71.2428,0.001,0.042,0.131
2018-01-31,73.7499,0.058,0.054,0.153
2018-02-01,72.9739,0.036,0.051,0.123
2018-02-02,71.0538,-0.015,0.012,0.105
2018-02-05,67.6314,-0.062,-0.047,0.024
2018-02-06,69.3426,-0.027,-0.026,0.046
2018-02-07,69.1038,-0.063,-0.009,0.049
2018-02-08,65.4925,-0.103,-0.07,-0.015
2018-02-09,66.7361,-0.061,-0.075,-0.031
2018-02-12,67.9697,0.005,-0.057,-0.029
2018-02-13,67.6812,-0.024,-0.05,-0.01
2018-02-14,69.2929,0.003,-0.06,-0.01
2018-02-15,71.6209,0.094,-0.019,0.031
2018-02-16,69.8301,0.046,-0.017,-0.005
2018-02-20,70.4768,0.037,0.042,-0.006
2018-02-21,69.86,0.032,0.007,-0.019
2018-02-22,69.1337,-0.002,0.0,-0.008
2018-02-23,71.7005,0.001,0.095,0.018
2018-02-26,72.7849,0.042,0.091,0.009
2018-02-27,72.2377,0.025,0.063,0.002
2018-02-28,72.755,0.041,0.075,0.021
2018-03-01,71.6408,0.036,0.034,-0.029
2018-03-02,73.6305,0.027,0.028,0.009
2018-03-05,74.7149,0.027,0.07,0.052
2018-03-06,73.541,0.018,0.043,0.087
2018-03-07,73.6902,0.013,0.055,0.063
2018-03-08,76.4162,0.067,0.105,0.106
2018-03-09,77.8189,0.057,0.085,0.188
2018-03-12,76.4659,0.023,0.051,0.146
2018-03-13,75.5407,0.027,0.046,0.111
2018-03-14,73.8394,0.002,0.015,0.091
2018-03-15,73.0037,-0.045,0.019,0.054
2018-03-16,71.3125,-0.084,-0.031,-0.004
2018-03-19,70.6857,-0.076,-0.054,0.012
2018-03-20,71.0041,-0.06,-0.034,0.007
2018-03-21,71.2428,-0.035,-0.033,0.02
2018-03-22,69.4023,-0.049,-0.092,0.004
2018-03-23,67.6911,-0.051,-0.13,-0.056
2018-03-26,69.7207,-0.014,-0.088,-0.042
2018-03-27,65.9501,-0.071,-0.127,-0.087
2018-03-28,65.97,-0.074,-0.107,-0.093
2018-03-29,67.46,-0.028,-0.076,-0.058
2018-04-02,65.09,-0.038,-0.087,-0.116
2018-04-03,65.48,-0.061,-0.074,-0.124
2018-04-04,66.27,0.005,-0.067,-0.099
2018-04-05,66.53,0.008,-0.066,-0.097
2018-04-06,64.56,-0.043,-0.07,-0.155
2018-04-09,65.77,0.01,-0.028,-0.155
2018-04-10,66.52,0.016,-0.046,-0.13
2018-04-11,65.85,-0.006,-0.002,-0.128
2018-04-12,67.22,0.01,0.019,-0.09
2018-04-13,65.88,0.02,-0.023,-0.098
2018-04-16,66.56,0.012,0.023,-0.067
2018-04-17,68.28,0.026,0.043,-0.034
2018-04-18,68.69,0.043,0.037,-0.033
2018-04-19,67.68,0.007,0.017,-0.05
2018-04-20,66.3,0.006,0.027,-0.045
2018-04-23,66.23,-0.005,0.007,-0.022
2018-04-24,65.34,-0.043,-0.018,-0.063
2018-04-25,64.82,-0.056,-0.016,-0.017
2018-04-26,66.34,-0.02,-0.013,0.006
2018-04-27,65.79,-0.008,-0.001,-0.025
2018-04-30,66.35,0.002,-0.003,0.019
2018-05-01,67.8,0.038,-0.007,0.035
2018-05-02,68.39,0.055,-0.004,0.032
2018-05-03,66.82,0.007,-0.013,0.004
2018-05-04,69.84,0.062,0.053,0.082
