,close,5days,10days,20days
2017-12-29,246.6619,0.0,0.0,0.0
2018-01-02,256.369,0.0,0.0,0.0
2018-01-03,259.1726,0.0,0.0,0.0
2018-01-04,259.259,0.0,0.0,0.0
2018-01-05,260.7953,0.0,0.0,0.0
2018-01-08,261.4194,0.06,0.0,0.0
2018-01-09,257.7996,0.006,0.0,0.0
2018-01-10,252.3556,-0.026,0.0,0.0
2018-01-11,252.9989,-0.024,0.0,0.0
2018-01-12,253.7574,-0.027,0.0,0.0
2018-01-16,252.7588,-0.033,0.025,0.0
2018-01-17,255.2168,-0.01,-0.004,0.0
2018-01-18,259.0478,0.027,-0.0,0.0
2018-01-19,255.7737,0.011,-0.013,0.0
2018-01-22,251.6643,-0.008,-0.035,0.0
2018-01-23,252.4228,-0.001,-0.034,0.0
2018-01-24,246.6235,-0.034,-0.043,0.0
2018-01-25,237.4349,-0.083,-0.059,0.0
2018-01-26,240.7954,-0.059,-0.048,0.0
2018-01-29,235.6874,-0.063,-0.071,0.0
2018-01-30,231.3763,-0.083,-0.085,-0.062
2018-01-31,238.1454,-0.034,-0.067,-0.071
2018-02-01,229.2736,-0.034,-0.115,-0.115
2018-02-02,226.0955,-0.061,-0.116,-0.128
2018-02-05,219.0096,-0.071,-0.13,-0.16
2018-02-06,230.8003,-0.002,-0.086,-0.117
2018-02-07,227.9198,-0.043,-0.076,-0.116
2018-02-08,220.4211,-0.039,-0.072,-0.127
2018-02-09,226.1147,0.0,-0.061,-0.106
2018-02-12,234.6601,0.071,-0.004,-0.075
2018-02-13,236.0619,0.023,0.02,-0.066
2018-02-14,237.7901,0.043,-0.001,-0.068
2018-02-15,241.7939,0.097,0.055,-0.067
2018-02-16,238.9711,0.057,0.057,-0.066
2018-02-20,239.672,0.021,0.094,-0.048
2018-02-21,238.7119,0.011,0.034,-0.054
2018-02-22,239.4128,0.007,0.05,-0.029
2018-02-23,243.59900000000002,0.007,0.105,0.026
2018-02-26,242.8693,0.016,0.074,0.009
2018-02-27,241.7747,0.009,0.03,0.026
2018-02-28,236.638,-0.009,0.002,0.023
2018-03-01,233.6135,-0.024,-0.018,-0.019
2018-03-02,240.8722,-0.011,-0.004,0.051
2018-03-05,237.1372,-0.024,-0.008,0.049
2018-03-06,240.9586,-0.003,0.005,0.1
2018-03-07,237.2044,0.002,-0.006,0.028
2018-03-08,237.1084,0.015,-0.01,0.04
2018-03-09,243.6662,0.012,0.0,0.105
2018-03-12,252.3652,0.064,0.039,0.116
2018-03-13,250.8097,0.041,0.037,0.069
2018-03-14,250.2048,0.055,0.057,0.06
2018-03-15,257.0891,0.084,0.1,0.081
2018-03-16,244.7128,0.004,0.016,0.012
2018-03-19,235.1881,-0.068,-0.008,-0.016
2018-03-20,232.7014,-0.072,-0.034,-0.029
2018-03-21,237.8765,-0.049,0.003,-0.003
2018-03-22,235.5268,-0.084,-0.007,-0.016
2018-03-23,234.4728,-0.042,-0.038,-0.037
2018-03-26,239.5494,0.019,-0.051,-0.014
2018-03-27,236.3004,0.015,-0.058,-0.023
2018-03-28,228.8643,-0.038,-0.085,-0.033
2018-03-29,227.8683,-0.033,-0.114,-0.025
2018-04-02,220.1615,-0.061,-0.1,-0.086
2018-04-03,228.96099999999998,-0.044,-0.026,-0.034
2018-04-04,229.1641,-0.03,-0.015,-0.049
2018-04-05,228.5065,-0.002,-0.039,-0.037
2018-04-06,221.3122,-0.029,-0.06,-0.067
2018-04-09,226.9884,0.031,-0.032,-0.068
2018-04-10,231.8329,0.013,-0.032,-0.081
2018-04-11,232.3841,0.014,-0.017,-0.073
2018-04-12,231.5235,0.013,0.012,-0.075
2018-04-13,238.7855,0.079,0.048,-0.071
2018-04-16,241.1353,0.062,0.095,-0.015
2018-04-17,243.42700000000002,0.05,0.063,0.035
2018-04-18,241.34799999999998,0.039,0.053,0.037
2018-04-19,234.8402,0.014,0.028,-0.013
2018-04-20,229.2898,-0.04,0.036,-0.026
2018-04-23,225.74099999999999,-0.064,-0.005,-0.037
2018-04-24,220.8481,-0.093,-0.047,-0.078
2018-04-25,221.4379,-0.082,-0.047,-0.063
2018-04-26,222.81099999999998,-0.051,-0.038,-0.026
2018-04-27,225.0931,-0.018,-0.057,-0.012
2018-04-30,221.8441,-0.017,-0.08,0.008
2018-05-01,222.7724,0.009,-0.085,-0.027
2018-05-02,221.1865,-0.001,-0.084,-0.035
2018-05-03,217.8118,-0.022,-0.073,-0.047
2018-05-04,222.9077,-0.01,-0.028,0.007
2018-05-07,228.1778,0.029,0.011,0.005
2018-05-08,230.9627,0.037,0.046,-0.004
2018-05-09,230.1891,0.041,0.04,-0.009
2018-05-10,235.4688,0.081,0.057,0.017
2018-05-11,235.3431,0.056,0.046,-0.014
2018-05-14,236.6775,0.037,0.067,-0.018
2018-05-15,233.6025,0.011,0.049,-0.04
2018-05-16,232.5678,0.01,0.051,-0.036
2018-05-17,231.5428,-0.017,0.063,-0.014
2018-05-18,228.1971,-0.03,0.024,-0.005
2018-05-21,231.1561,-0.023,0.013,0.024
2018-05-22,230.6145,-0.013,-0.002,0.044
2018-05-23,232.6162,0.0,0.011,0.05
2018-05-24,235.4881,0.017,0.0,0.057
2018-05-25,241.7735,0.059,0.027,0.074
2018-05-29,241.4447,0.045,0.02,0.088
2018-05-30,241.1643,0.046,0.032,0.083
2018-05-31,243.7461,0.048,0.048,0.102
2018-06-01,247.8751,0.053,0.071,0.138
2018-06-04,249.8381,0.033,0.095,0.121
2018-06-05,250.6987,0.038,0.085,0.099
2018-06-06,254.81799999999998,0.057,0.105,0.103
2018-06-07,255.9397,0.05,0.1,0.112
2018-06-08,249.4513,0.006,0.059,0.059
2018-06-11,252.2168,0.01,0.043,0.072
2018-06-12,252.797,0.008,0.047,0.068
2018-06-13,254.87599999999998,0.0,0.057,0.091
2018-06-14,259.5949,0.014,0.065,0.116
2018-06-15,261.3064,0.048,0.054,0.129
2018-06-18,255.7656,0.014,0.024,0.121
2018-06-19,254.0251,0.005,0.013,0.099
2018-06-20,254.2879,-0.002,-0.002,0.103
2018-06-21,252.7596,-0.026,-0.012,0.087
2018-06-22,252.81799999999998,-0.032,0.013,0.074
2018-06-25,245.7214,-0.039,-0.026,0.016
2018-06-26,244.8648,-0.036,-0.031,0.014
2018-06-27,240.5524,-0.054,-0.056,-0.003
2018-06-28,238.40099999999998,-0.057,-0.082,-0.022
2018-06-29,236.201,-0.066,-0.096,-0.047
2018-07-02,235.6266,-0.041,-0.079,-0.057
2018-07-03,232.9399,-0.049,-0.083,-0.071
2018-07-05,238.8877,-0.007,-0.061,-0.063
2018-07-06,241.1072,0.011,-0.046,-0.058
2018-07-09,240.8639,0.02,-0.047,-0.034
2018-07-10,243.9108,0.035,-0.007,-0.033
2018-07-11,236.9797,0.017,-0.032,-0.063
2018-07-12,204.4077,-0.144,-0.15,-0.198
2018-07-13,197.0872,-0.183,-0.173,-0.241
2018-07-16,197.8563,-0.179,-0.162,-0.243
2018-07-17,202.782,-0.169,-0.139,-0.207
2018-07-18,203.2395,-0.142,-0.128,-0.2
2018-07-19,204.7873,0.002,-0.143,-0.195
2018-07-20,204.7484,0.039,-0.151,-0.19
2018-07-23,210.9688,0.066,-0.124,-0.166
2018-07-24,211.5724,0.043,-0.133,-0.139
2018-07-25,219.9734,0.082,-0.072,-0.102
2018-07-26,217.2574,0.061,0.063,-0.097
2018-07-27,215.1839,0.051,0.092,-0.097
2018-07-30,219.2141,0.039,0.108,-0.072
2018-07-31,215.8848,0.02,0.065,-0.084
2018-08-01,211.0467,-0.041,0.038,-0.094
2018-08-02,210.6086,-0.031,0.028,-0.118
2018-08-03,212.0299,-0.015,0.036,-0.121
2018-08-06,211.1927,-0.037,0.001,-0.123
2018-08-07,214.4636,-0.007,0.014,-0.121
2018-08-08,213.6361,0.012,-0.029,-0.099
2018-08-09,210.8325,0.001,-0.03,0.031
2018-08-10,206.59799999999998,-0.026,-0.04,0.048
2018-08-13,205.4785,-0.027,-0.063,0.039
2018-08-14,201.7988,-0.059,-0.065,-0.005
2018-08-15,201.0979,-0.059,-0.047,-0.011
2018-08-16,203.1519,-0.036,-0.035,-0.008
2018-08-17,203.7165,-0.014,-0.039,-0.005
2018-08-20,201.2342,-0.021,-0.047,-0.046
2018-08-21,204.9236,0.015,-0.044,-0.031
2018-08-22,202.0324,0.005,-0.054,-0.082
2018-08-23,200.1342,-0.015,-0.051,-0.079
2018-08-24,203.4537,-0.001,-0.015,-0.055
2018-08-27,207.3183,0.03,0.009,-0.054
2018-08-28,208.7396,0.019,0.034,-0.033
2018-08-29,209.2847,0.036,0.041,-0.008
2018-08-30,210.9007,0.054,0.038,0.001
2018-08-31,213.2175,0.048,0.047,0.006
2018-09-04,213.6069,0.03,0.061,0.011
2018-09-05,215.5441,0.033,0.052,0.005
2018-09-06,210.2387,0.005,0.041,-0.016
2018-09-07,226.4079,0.074,0.131,0.074
2018-09-10,234.2248,0.099,0.151,0.134
2018-09-11,226.3787,0.06,0.092,0.102
2018-09-12,223.7893,0.038,0.072,0.109
