,close,5days,10days,20days
2017-12-29,97.1458,0.0,0.0,0.0
2018-01-02,96.7839,0.0,0.0,0.0
2018-01-03,97.3806,0.0,0.0,0.0
2018-01-04,98.9946,0.0,0.0,0.0
2018-01-05,99.2204,0.0,0.0,0.0
2018-01-08,98.3075,0.012,0.0,0.0
2018-01-09,98.6707,0.019,0.0,0.0
2018-01-10,99.3578,0.02,0.0,0.0
2018-01-11,98.8768,-0.001,0.0,0.0
2018-01-12,99.1124,-0.001,0.0,0.0
2018-01-16,98.494,0.002,0.014,0.0
2018-01-17,98.9063,0.002,0.022,0.0
2018-01-18,98.0228,-0.013,0.007,0.0
2018-01-19,96.2265,-0.027,-0.028,0.0
2018-01-22,96.5112,-0.026,-0.027,0.0
2018-01-23,96.1774,-0.024,-0.022,0.0
2018-01-24,97.4731,-0.014,-0.012,0.0
2018-01-25,97.85600000000001,-0.002,-0.015,0.0
2018-01-26,97.7971,0.016,-0.011,0.0
2018-01-29,97.5811,0.011,-0.015,0.0
2018-01-30,96.89399999999999,0.007,-0.016,-0.003
2018-01-31,97.5713,0.001,-0.013,0.008
2018-02-01,98.1603,0.003,0.001,0.008
2018-02-02,94.9013,-0.03,-0.014,-0.041
2018-02-05,90.3173,-0.074,-0.064,-0.09
2018-02-06,92.4473,-0.046,-0.039,-0.06
2018-02-07,91.8878,-0.058,-0.057,-0.069
2018-02-08,86.7148,-0.117,-0.114,-0.127
2018-02-09,90.0326,-0.051,-0.079,-0.089
2018-02-12,92.9578,0.029,-0.047,-0.062
2018-02-13,92.8203,0.004,-0.042,-0.058
2018-02-14,94.4596,0.028,-0.032,-0.045
2018-02-15,94.7835,0.093,-0.034,-0.033
2018-02-16,95.0093,0.055,0.001,-0.013
2018-02-20,95.402,0.026,0.056,-0.011
2018-02-21,95.7063,0.031,0.035,-0.005
2018-02-22,95.559,0.012,0.04,-0.02
2018-02-23,96.9823,0.023,0.118,-0.009
2018-02-26,99.7701,0.05,0.108,0.02
2018-02-27,97.74799999999999,0.025,0.052,0.002
2018-02-28,95.7161,0.0,0.031,-0.012
2018-03-01,93.3897,-0.023,-0.011,-0.043
2018-03-02,93.8412,-0.032,-0.01,-0.044
2018-03-05,94.8817,-0.049,-0.001,-0.0
2018-03-06,94.3026,-0.035,-0.012,0.044
2018-03-07,93.8805,-0.019,-0.019,0.016
2018-03-08,94.81299999999999,0.015,-0.008,0.032
2018-03-09,97.2277,0.036,0.003,0.121
2018-03-12,95.8731,0.01,-0.039,0.065
2018-03-13,93.6154,-0.007,-0.042,0.007
2018-03-14,92.7909,-0.012,-0.031,-0.0
2018-03-15,92.6535,-0.023,-0.008,-0.019
2018-03-16,93.851,-0.035,0.0,-0.01
2018-03-19,93.0952,-0.029,-0.019,-0.02
2018-03-20,93.2032,-0.004,-0.012,-0.023
2018-03-21,92.99700000000001,0.002,-0.009,-0.028
2018-03-22,89.7283,-0.032,-0.054,-0.061
2018-03-23,88.786,-0.054,-0.087,-0.085
2018-03-26,90.916,-0.023,-0.052,-0.089
2018-03-27,89.7381,-0.037,-0.041,-0.082
2018-03-28,90.5136,-0.027,-0.025,-0.054
2018-03-29,91.5639,0.02,-0.012,-0.02
2018-04-02,89.3258,0.006,-0.048,-0.048
2018-04-03,91.0338,0.001,-0.022,-0.041
2018-04-04,91.8584,0.024,-0.014,-0.026
2018-04-05,92.8105,0.025,-0.002,-0.011
2018-04-06,90.5543,-0.011,0.009,-0.045
2018-04-09,90.7809,0.016,0.022,-0.066
2018-04-10,91.6282,0.007,0.008,-0.044
2018-04-11,90.2489,-0.018,0.006,-0.036
2018-04-12,91.9731,-0.009,0.016,-0.009
2018-04-13,91.6578,0.012,0.001,-0.011
2018-04-16,92.2194,0.016,0.032,-0.017
