,close,5days,10days,20days
2017-12-29,25.27,0.0,0.0,0.0
2018-01-02,26.17,0.0,0.0,0.0
2018-01-03,27.07,0.0,0.0,0.0
2018-01-04,26.63,0.0,0.0,0.0
2018-01-05,27.09,0.0,0.0,0.0
2018-01-08,26.97,0.067,0.0,0.0
2018-01-09,26.58,0.016,0.0,0.0
2018-01-10,26.44,-0.023,0.0,0.0
2018-01-11,26.1,-0.02,0.0,0.0
2018-01-12,26.97,-0.004,0.0,0.0
2018-01-16,26.26,-0.026,0.039,0.0
2018-01-17,26.71,0.005,0.021,0.0
2018-01-18,28.09,0.062,0.038,0.0
2018-01-19,28.27,0.083,0.062,0.0
2018-01-22,28.32,0.05,0.045,0.0
2018-01-23,28.56,0.088,0.059,0.0
2018-01-24,27.83,0.042,0.047,0.0
2018-01-25,30.0,0.068,0.135,0.0
2018-01-26,30.48,0.078,0.168,0.0
2018-01-29,29.61,0.046,0.098,0.0
2018-01-30,29.31,0.026,0.116,0.16
2018-01-31,27.4,-0.015,0.026,0.047
2018-02-01,28.22,-0.059,0.005,0.042
2018-02-02,27.2,-0.108,-0.038,0.021
2018-02-05,26.53,-0.104,-0.063,-0.021
2018-02-06,27.18,-0.073,-0.048,0.008
2018-02-07,27.24,-0.006,-0.021,0.025
2018-02-08,26.27,-0.069,-0.124,-0.006
2018-02-09,25.54,-0.061,-0.162,-0.021
2018-02-12,26.01,-0.02,-0.122,-0.036
2018-02-13,26.41,-0.028,-0.099,0.006
2018-02-14,27.64,0.015,0.009,0.035
2018-02-15,28.99,0.104,0.027,0.032
2018-02-16,29.41,0.152,0.081,0.04
2018-02-20,29.3,0.126,0.104,0.035
2018-02-21,29.52,0.118,0.086,0.034
2018-02-22,33.75,0.221,0.239,0.213
2018-02-23,33.38,0.151,0.271,0.113
2018-02-26,33.5,0.139,0.312,0.099
2018-02-27,32.75,0.118,0.259,0.106
2018-02-28,34.19,0.158,0.295,0.166
2018-03-01,34.8,0.031,0.259,0.27
2018-03-02,36.63,0.097,0.264,0.298
2018-03-05,37.84,0.13,0.287,0.391
2018-03-06,38.06,0.162,0.299,0.435
2018-03-07,38.17,0.116,0.293,0.404
2018-03-08,37.7,0.083,0.117,0.384
2018-03-09,38.42,0.049,0.151,0.463
2018-03-12,38.13,0.008,0.138,0.493
2018-03-13,36.23,-0.048,0.106,0.393
2018-03-14,36.81,-0.036,0.077,0.394
2018-03-15,36.24,-0.039,0.041,0.311
2018-03-16,36.37,-0.053,-0.007,0.255
2018-03-19,35.03,-0.081,-0.074,0.191
2018-03-20,36.54,0.009,-0.04,0.247
2018-03-21,37.76,0.026,-0.011,0.279
2018-03-22,36.55,0.009,-0.031,0.083
2018-03-23,35.32,-0.029,-0.081,0.058
2018-03-26,37.03,0.057,-0.029,0.105
2018-03-27,34.98,-0.043,-0.035,0.068
2018-03-28,33.31,-0.118,-0.095,-0.026
