,close,5days,10days,20days
2017-12-29,172.43,0.0,0.0,0.0
2018-01-02,183.65,0.0,0.0,0.0
2018-01-03,184.0,0.0,0.0,0.0
2018-01-04,185.71,0.0,0.0,0.0
2018-01-05,190.7,0.0,0.0,0.0
2018-01-08,190.33,0.104,0.0,0.0
2018-01-09,190.8,0.039,0.0,0.0
2018-01-10,189.79,0.031,0.0,0.0
2018-01-11,188.75,0.016,0.0,0.0
2018-01-12,187.79,-0.015,0.0,0.0
2018-01-16,182.4,-0.042,0.058,0.0
2018-01-17,183.83,-0.037,0.001,0.0
2018-01-18,184.4,-0.028,0.002,0.0
2018-01-19,184.05,-0.025,-0.009,0.0
2018-01-22,184.02,-0.02,-0.035,0.0
2018-01-23,192.28,0.054,0.01,0.0
2018-01-24,195.53,0.064,0.025,0.0
2018-01-25,198.33,0.076,0.045,0.0
2018-01-26,205.22,0.115,0.087,0.0
2018-01-29,203.01,0.103,0.081,0.0
2018-01-30,199.66,0.038,0.095,0.158
2018-01-31,204.29,0.045,0.111,0.112
2018-02-01,192.22,-0.031,0.042,0.045
2018-02-02,187.31,-0.087,0.018,0.009
2018-02-05,180.53,-0.111,-0.019,-0.053
2018-02-06,185.17,-0.073,-0.037,-0.027
2018-02-07,180.3,-0.117,-0.078,-0.055
2018-02-08,173.7,-0.096,-0.124,-0.085
2018-02-09,176.67,-0.057,-0.139,-0.064
2018-02-12,177.44,-0.017,-0.126,-0.055
2018-02-13,179.25,-0.032,-0.102,-0.017
2018-02-14,186.76,0.036,-0.086,0.016
2018-02-15,187.45,0.079,-0.025,0.017
2018-02-16,183.68,0.04,-0.019,-0.002
2018-02-20,187.19,0.055,0.037,0.017
2018-02-21,188.82,0.053,0.02,-0.018
2018-02-22,188.75,0.011,0.047,-0.035
2018-02-23,193.29,0.031,0.113,-0.025
2018-02-26,194.19,0.057,0.099,-0.054
2018-02-27,188.26,0.006,0.061,-0.073
2018-02-28,186.14,-0.014,0.038,-0.068
2018-03-01,181.99,-0.036,-0.026,-0.109
2018-03-02,179.76,-0.07,-0.041,-0.065
2018-03-05,181.6,-0.065,-0.011,-0.03
2018-03-06,187.37,-0.005,0.001,0.038
2018-03-07,189.05,0.016,0.001,0.021
2018-03-08,187.18,0.029,-0.008,0.038
2018-03-09,190.55,0.06,-0.014,0.097
2018-03-12,192.74,0.061,-0.007,0.091
2018-03-13,188.41,0.006,0.001,0.062
2018-03-14,192.56,0.019,0.034,0.074
2018-03-15,199.06,0.063,0.094,0.066
2018-03-16,200.28,0.051,0.114,0.068
2018-03-19,194.53,0.009,0.071,0.059
2018-03-20,198.95,0.056,0.062,0.063
2018-03-21,195.3,0.014,0.033,0.034
2018-03-22,184.65,-0.072,-0.014,-0.022
2018-03-23,181.2,-0.095,-0.049,-0.063
2018-03-26,190.5,-0.021,-0.012,-0.019
2018-03-27,181.89,-0.086,-0.035,-0.034
2018-03-28,178.91,-0.084,-0.071,-0.039
2018-03-29,183.54,-0.006,-0.078,0.009
2018-04-02,177.61,-0.02,-0.113,-0.012
2018-04-03,174.67,-0.083,-0.102,-0.038
2018-04-04,172.07,-0.054,-0.135,-0.082
2018-04-05,172.57,-0.035,-0.116,-0.087
2018-04-06,167.52,-0.087,-0.093,-0.105
2018-04-09,169.87,-0.044,-0.063,-0.109
2018-04-10,177.1,0.014,-0.07,-0.081
2018-04-11,175.36,0.019,-0.036,-0.069
2018-04-12,175.92,0.019,-0.017,-0.086
2018-04-13,172.04,0.027,-0.063,-0.136
2018-04-16,174.7,0.028,-0.016,-0.128
2018-04-17,178.7,0.009,0.023,-0.081
2018-04-18,182.68,0.042,0.062,-0.082
2018-04-19,181.39,0.031,0.051,-0.071
2018-04-20,179.11,0.041,0.069,-0.03
2018-04-23,175.57,0.005,0.034,-0.031
2018-04-24,173.09,-0.031,-0.023,-0.091
2018-04-25,170.22,-0.068,-0.029,-0.064
2018-04-26,173.9,-0.041,-0.011,-0.028
2018-04-27,177.16,-0.011,0.03,-0.035
2018-04-30,178.54,0.017,0.022,0.005
2018-05-01,179.5,0.037,0.004,0.028
2018-05-02,181.45,0.066,-0.007,0.055
2018-05-03,182.45,0.049,0.006,0.057
2018-05-04,188.89,0.066,0.055,0.128
