,close,5days,10days,20days
2018-03-28,11.24,0.0,0.0,0.0
2018-03-29,11.0,0.0,0.0,0.0
2018-04-02,11.0,0.0,0.0,0.0
2018-04-03,10.91,0.0,0.0,0.0
2018-04-04,10.97,0.0,0.0,0.0
2018-04-05,10.98,-0.023,0.0,0.0
2018-04-06,10.94,-0.005,0.0,0.0
2018-04-09,11.1,0.009,0.0,0.0
2018-04-10,11.5,0.054,0.0,0.0
2018-04-11,11.48,0.046,0.0,0.0
2018-04-12,11.62,0.058,0.034,0.0
2018-04-13,11.4,0.042,0.036,0.0
2018-04-16,11.33,0.021,0.03,0.0
2018-04-17,11.32,-0.016,0.038,0.0
2018-04-18,11.35,-0.011,0.035,0.0
2018-04-19,11.35,-0.023,0.034,0.0
2018-04-20,11.19,-0.018,0.023,0.0
2018-04-23,11.19,-0.012,0.008,0.0
2018-04-24,11.29,-0.003,-0.018,0.0
2018-04-25,10.9,-0.04,-0.051,0.0
2018-04-26,11.0,-0.031,-0.053,-0.021
2018-04-27,10.61,-0.052,-0.069,-0.035
2018-04-30,10.92,-0.024,-0.036,-0.007
2018-05-01,10.58,-0.063,-0.065,-0.03
2018-05-02,10.26,-0.059,-0.096,-0.065
2018-05-03,10.08,-0.084,-0.112,-0.082
2018-05-04,9.99,-0.058,-0.107,-0.087
2018-05-07,10.0,-0.084,-0.106,-0.099
2018-05-08,10.27,-0.029,-0.09,-0.107
2018-05-09,10.65,0.038,-0.023,-0.072
2018-05-10,11.0,0.091,0.0,-0.053
2018-05-11,11.46,0.147,0.08,0.005
2018-05-14,12.07,0.207,0.105,0.065
2018-05-15,12.16,0.184,0.149,0.074
2018-05-16,14.11,0.325,0.375,0.243
2018-05-17,13.55,0.232,0.344,0.194
2018-05-18,12.84,0.12,0.285,0.147
2018-05-21,12.75,0.056,0.275,0.139
2018-05-22,13.14,0.081,0.279,0.164
2018-05-23,12.44,-0.118,0.168,0.141
2018-05-24,13.85,0.022,0.259,0.259
2018-05-25,14.24,0.109,0.243,0.342
2018-05-29,15.03,0.179,0.245,0.376
2018-05-30,16.67,0.269,0.371,0.576
2018-05-31,16.23,0.305,0.15,0.582
2018-06-01,16.91,0.221,0.248,0.678
2018-06-04,16.43,0.154,0.28,0.645
2018-06-05,16.71,0.112,0.311,0.671
2018-06-06,16.57,-0.006,0.261,0.613
2018-06-07,16.22,-0.001,0.304,0.523
2018-06-08,18.95,0.121,0.368,0.723
2018-06-11,18.42,0.121,0.294,0.607
2018-06-12,18.66,0.117,0.242,0.546
2018-06-13,20.07,0.211,0.204,0.65
2018-06-14,20.5,0.264,0.263,0.453
2018-06-15,19.65,0.037,0.162,0.45
2018-06-18,21.28,0.155,0.295,0.657
2018-06-19,19.18,0.028,0.148,0.504
2018-06-20,18.54,-0.076,0.119,0.411
2018-06-21,16.44,-0.198,0.014,0.322
2018-06-22,16.65,-0.153,-0.121,0.202
2018-06-25,15.36,-0.278,-0.166,0.079
2018-06-26,15.85,-0.174,-0.151,0.055
2018-06-27,13.9,-0.25,-0.307,-0.166
2018-06-28,14.5,-0.118,-0.293,-0.107
2018-06-29,13.99,-0.16,-0.288,-0.173
2018-07-02,13.36,-0.13,-0.372,-0.187
2018-07-03,13.8,-0.129,-0.281,-0.174
2018-07-05,12.9,-0.072,-0.304,-0.221
2018-07-06,13.3,-0.083,-0.191,-0.18
2018-07-09,13.85,-0.01,-0.168,-0.269
2018-07-10,13.26,-0.007,-0.137,-0.28
2018-07-11,12.78,-0.074,-0.194,-0.315
2018-07-12,14.26,0.105,0.026,-0.289
2018-07-13,13.8,0.038,-0.048,-0.327
2018-07-16,13.8,-0.004,-0.014,-0.298
2018-07-17,13.69,0.032,0.025,-0.357
2018-07-18,14.43,0.129,0.046,-0.248
2018-07-19,13.92,-0.024,0.079,-0.249
2018-07-20,14.41,0.044,0.083,-0.123
2018-07-23,14.18,0.028,0.024,-0.148
2018-07-24,13.92,0.017,0.05,-0.094
2018-07-25,13.36,-0.074,0.045,-0.157
2018-07-26,12.77,-0.083,-0.104,-0.081
2018-07-27,12.13,-0.158,-0.121,-0.163
2018-07-30,11.59,-0.183,-0.16,-0.172
2018-07-31,11.71,-0.159,-0.145,-0.124
2018-08-01,11.33,-0.152,-0.215,-0.179
2018-08-02,11.51,-0.099,-0.173,-0.108
2018-08-03,11.06,-0.088,-0.232,-0.168
2018-08-06,11.27,-0.028,-0.205,-0.186
2018-08-07,11.4,-0.026,-0.181,-0.14
2018-08-08,11.39,0.005,-0.147,-0.109
2018-08-09,11.25,-0.023,-0.119,-0.211
2018-08-10,11.14,0.007,-0.082,-0.193
2018-08-13,10.81,-0.041,-0.067,-0.217
2018-08-14,10.66,-0.065,-0.09,-0.221
2018-08-15,10.265,-0.099,-0.094,-0.289
2018-08-16,10.56,-0.061,-0.083,-0.241
2018-08-17,10.7,-0.039,-0.033,-0.257
2018-08-20,11.3,0.045,0.003,-0.203
2018-08-21,11.85,0.112,0.039,-0.149
2018-08-22,11.01,0.073,-0.033,-0.176
2018-08-23,10.53,-0.003,-0.064,-0.175
2018-08-24,10.91,0.02,-0.021,-0.101
2018-08-27,11.53,0.02,0.067,-0.005
2018-08-28,13.08,0.104,0.227,0.117
2018-08-29,13.76,0.25,0.34,0.214
2018-08-30,13.14,0.248,0.244,0.142
2018-08-31,12.83,0.176,0.199,0.16
2018-09-04,12.5,0.084,0.106,0.109
2018-09-05,11.39,-0.129,-0.039,-0.001
2018-09-06,11.4,-0.172,0.035,0.001
2018-09-07,11.71,-0.109,0.112,0.041
2018-09-10,11.31,-0.118,0.037,0.015
2018-09-11,11.84,-0.053,0.027,0.095
2018-09-12,13.03,0.144,-0.004,0.222
2018-09-13,13.35,0.171,-0.03,0.301
2018-09-14,13.52,0.155,0.029,0.28
2018-09-17,13.23,0.17,0.031,0.236
2018-09-18,13.76,0.162,0.101,0.218
2018-09-19,13.22,0.015,0.161,0.116
2018-09-20,13.44,0.007,0.179,0.221
2018-09-21,12.43,-0.081,0.061,0.18
2018-09-24,12.0,-0.093,0.061,0.1
2018-09-25,12.55,-0.088,0.06,0.088
2018-09-26,12.87,-0.026,-0.012,-0.016
2018-09-27,13.02,-0.031,-0.025,-0.054
