,close,5days,10days,20days
2018-05-04,23.94,0.0,0.0,0.0
2018-05-07,24.68,0.0,0.0,0.0
2018-05-08,24.8,0.0,0.0,0.0
2018-05-09,24.97,0.0,0.0,0.0
2018-05-10,24.5,0.0,0.0,0.0
2018-05-11,23.44,-0.021,0.0,0.0
2018-05-14,23.66,-0.041,0.0,0.0
2018-05-15,23.69,-0.045,0.0,0.0
2018-05-16,23.63,-0.054,0.0,0.0
2018-05-17,24.08,-0.017,0.0,0.0
2018-05-18,23.93,0.021,-0.0,0.0
2018-05-21,24.28,0.026,-0.016,0.0
2018-05-22,24.42,0.031,-0.015,0.0
2018-05-23,24.67,0.044,-0.012,0.0
2018-05-24,23.63,-0.019,-0.036,0.0
2018-05-25,23.02,-0.038,-0.018,0.0
2018-05-29,23.03,-0.051,-0.027,0.0
2018-05-30,23.91,-0.021,0.009,0.0
2018-05-31,23.51,-0.047,-0.005,0.0
2018-06-01,23.74,0.005,-0.014,0.0
2018-06-04,24.26,0.054,0.014,0.013
2018-06-05,26.32,0.143,0.084,0.066
2018-06-06,27.0,0.129,0.106,0.089
2018-06-07,26.31,0.119,0.066,0.054
2018-06-08,25.68,0.082,0.087,0.048
2018-06-11,26.2,0.08,0.138,0.118
2018-06-12,26.89,0.022,0.168,0.137
2018-06-13,28.22,0.045,0.18,0.191
2018-06-14,30.9,0.174,0.314,0.308
2018-06-15,34.1,0.328,0.436,0.416
2018-06-18,34.06,0.3,0.404,0.423
2018-06-19,30.39,0.13,0.155,0.252
2018-06-20,28.84,0.022,0.068,0.181
2018-06-21,26.67,-0.137,0.014,0.081
2018-06-22,26.14,-0.233,0.018,0.106
2018-06-25,25.45,-0.253,-0.029,0.106
2018-06-26,27.35,-0.1,0.017,0.188
2018-06-27,24.73,-0.143,-0.124,0.034
2018-06-28,25.37,-0.049,-0.179,0.079
2018-06-29,26.0,-0.005,-0.238,0.095
2018-07-02,26.34,0.035,-0.227,0.086
2018-07-03,25.69,-0.061,-0.155,-0.024
2018-07-05,24.54,-0.008,-0.149,-0.091
2018-07-06,23.06,-0.091,-0.135,-0.124
2018-07-09,21.65,-0.167,-0.172,-0.157
2018-07-10,23.35,-0.114,-0.083,-0.109
2018-07-11,24.16,-0.06,-0.117,-0.102
2018-07-12,26.08,0.063,0.055,-0.076
2018-07-13,24.92,0.081,-0.018,-0.194
2018-07-16,23.88,0.103,-0.082,-0.3
2018-07-17,24.95,0.069,-0.053,-0.267
2018-07-18,24.57,0.017,-0.044,-0.192
2018-07-19,24.09,-0.076,-0.018,-0.165
2018-07-20,23.82,-0.044,0.033,-0.107
2018-07-23,23.68,-0.008,0.094,-0.094
2018-07-24,22.7,-0.09,-0.028,-0.108
2018-07-25,22.82,-0.071,-0.055,-0.166
2018-07-26,23.09,-0.042,-0.115,-0.066
2018-07-27,22.28,-0.065,-0.106,-0.122
2018-07-30,20.44,-0.137,-0.144,-0.214
2018-07-31,20.76,-0.085,-0.168,-0.212
2018-08-01,20.46,-0.103,-0.167,-0.204
2018-08-02,21.84,-0.054,-0.093,-0.11
2018-08-03,22.5,0.01,-0.055,-0.024
2018-08-06,24.61,0.204,0.039,0.137
2018-08-07,25.61,0.234,0.128,0.097
2018-08-08,23.005,0.124,0.008,-0.048
2018-08-09,24.19,0.108,0.048,-0.072
2018-08-10,24.09,0.071,0.081,-0.033
2018-08-13,23.65,-0.039,0.157,-0.01
2018-08-14,23.28,-0.091,0.121,-0.067
2018-08-15,22.1,-0.039,0.08,-0.101
2018-08-16,21.88,-0.095,0.002,-0.092
2018-08-17,21.67,-0.1,-0.037,-0.09
2018-08-20,21.52,-0.09,-0.126,-0.091
