,close,5days,10days,20days
2017-12-29,41.82,0.0,0.0,0.0
2018-01-02,42.05,0.0,0.0,0.0
2018-01-03,42.93,0.0,0.0,0.0
2018-01-04,43.58,0.0,0.0,0.0
2018-01-05,43.99,0.0,0.0,0.0
2018-01-08,44.92,0.074,0.0,0.0
2018-01-09,45.07,0.072,0.0,0.0
2018-01-10,44.84,0.044,0.0,0.0
2018-01-11,44.87,0.03,0.0,0.0
2018-01-12,45.07,0.025,0.0,0.0
2018-01-16,44.28,-0.014,0.059,0.0
2018-01-17,44.86,-0.005,0.067,0.0
2018-01-18,44.94,0.002,0.047,0.0
2018-01-19,45.6,0.016,0.046,0.0
2018-01-22,45.69,0.014,0.039,0.0
2018-01-23,45.75,0.033,0.018,0.0
2018-01-24,45.38,0.012,0.007,0.0
2018-01-25,44.86,-0.002,0.0,0.0
2018-01-26,45.8,0.004,0.021,0.0
2018-01-29,44.56,-0.025,-0.011,0.0
2018-01-30,43.98,-0.039,-0.007,0.052
2018-01-31,44.86,-0.011,0.0,0.067
2018-02-01,42.23,-0.059,-0.06,-0.016
2018-02-02,41.1,-0.103,-0.099,-0.057
2018-02-05,39.29,-0.118,-0.14,-0.107
2018-02-06,39.58,-0.1,-0.135,-0.119
2018-02-07,38.57,-0.14,-0.15,-0.144
2018-02-08,36.82,-0.128,-0.179,-0.179
2018-02-09,37.68,-0.083,-0.177,-0.16
2018-02-12,38.6,-0.018,-0.134,-0.144
2018-02-13,37.9,-0.042,-0.138,-0.144
2018-02-14,38.63,0.002,-0.139,-0.139
2018-02-15,39.07,0.061,-0.075,-0.131
2018-02-16,39.16,0.039,-0.047,-0.141
2018-02-20,40.17,0.041,0.022,-0.121
2018-02-21,39.26,0.036,-0.008,-0.142
2018-02-22,38.8,0.004,0.006,-0.145
2018-02-23,39.74,0.017,0.079,-0.114
2018-02-26,39.89,0.019,0.059,-0.129
2018-02-27,39.39,-0.019,0.02,-0.116
2018-02-28,38.77,-0.012,0.023,-0.118
2018-03-01,38.23,-0.015,-0.01,-0.148
2018-03-02,39.29,-0.011,0.006,-0.07
2018-03-05,39.5,-0.01,0.009,-0.039
2018-03-06,38.98,-0.01,-0.03,-0.008
2018-03-07,39.37,0.015,0.003,-0.005
2018-03-08,39.3,0.028,0.013,0.019
2018-03-09,39.68,0.01,-0.002,0.078
2018-03-12,39.7,0.005,-0.005,0.054
2018-03-13,39.17,0.005,-0.006,0.015
2018-03-14,38.83,-0.014,0.002,0.025
2018-03-15,39.08,-0.006,0.022,0.012
2018-03-16,38.59,-0.027,-0.018,-0.012
2018-03-19,38.23,-0.037,-0.032,-0.024
2018-03-20,37.96,-0.031,-0.026,-0.055
2018-03-21,38.35,-0.012,-0.026,-0.023
2018-03-22,37.39,-0.043,-0.049,-0.036
2018-03-23,36.38,-0.057,-0.083,-0.085
2018-03-26,37.46,-0.02,-0.056,-0.061
2018-03-27,36.4,-0.041,-0.071,-0.076
2018-03-28,36.14,-0.058,-0.069,-0.068
2018-03-29,36.77,-0.017,-0.059,-0.038
