,close,5days,10days,20days
2017-12-29,16.52,0.0,0.0,0.0
2018-01-02,17.39,0.0,0.0,0.0
2018-01-03,17.53,0.0,0.0,0.0
2018-01-04,17.25,0.0,0.0,0.0
2018-01-05,17.25,0.0,0.0,0.0
2018-01-08,17.15,0.038,0.0,0.0
2018-01-09,17.18,-0.012,0.0,0.0
2018-01-10,18.28,0.043,0.0,0.0
2018-01-11,17.91,0.038,0.0,0.0
2018-01-12,18.14,0.052,0.0,0.0
2018-01-16,17.44,0.017,0.056,0.0
2018-01-17,17.88,0.041,0.028,0.0
2018-01-18,18.68,0.022,0.066,0.0
2018-01-19,18.45,0.03,0.07,0.0
2018-01-22,18.35,0.012,0.064,0.0
2018-01-23,18.55,0.064,0.082,0.0
2018-01-24,18.59,0.04,0.082,0.0
2018-01-25,18.52,-0.009,0.013,0.0
2018-01-26,18.74,0.016,0.046,0.0
2018-01-29,18.53,0.01,0.021,0.0
2018-01-30,18.45,-0.005,0.058,0.117
2018-01-31,18.72,0.007,0.047,0.076
2018-02-01,18.77,0.013,0.005,0.071
2018-02-02,18.12,-0.033,-0.018,0.05
2018-02-05,17.11,-0.077,-0.068,-0.008
2018-02-06,17.71,-0.04,-0.045,0.033
2018-02-07,17.88,-0.045,-0.038,0.041
2018-02-08,17.51,-0.067,-0.055,-0.042
2018-02-09,17.15,-0.054,-0.085,-0.042
2018-02-12,17.69,0.034,-0.045,-0.025
2018-02-13,17.66,-0.003,-0.043,0.013
2018-02-14,18.1,0.012,-0.033,0.012
2018-02-15,17.98,0.027,-0.042,-0.037
2018-02-16,17.82,0.039,-0.017,-0.034
2018-02-20,18.32,0.036,0.071,-0.002
2018-02-21,18.45,0.045,0.042,-0.005
2018-02-22,18.61,0.028,0.041,0.001
2018-02-23,18.44,0.026,0.053,-0.004
2018-02-26,18.91,0.061,0.103,0.009
2018-02-27,19.1,0.043,0.08,0.031
2018-02-28,19.05,0.033,0.079,0.033
2018-03-01,18.42,-0.01,0.018,-0.016
2018-03-02,18.71,0.015,0.041,-0.003
2018-03-05,19.23,0.017,0.079,0.061
2018-03-06,19.6,0.026,0.07,0.146
2018-03-07,19.72,0.035,0.069,0.113
2018-03-08,19.98,0.085,0.074,0.117
2018-03-09,19.96,0.067,0.082,0.14
2018-03-12,20.23,0.052,0.07,0.18
2018-03-13,20.14,0.028,0.054,0.138
2018-03-14,20.34,0.031,0.068,0.152
2018-03-15,19.82,-0.008,0.076,0.095
2018-03-16,19.61,-0.018,0.048,0.091
2018-03-19,19.33,-0.044,0.005,0.085
2018-03-20,20.26,0.006,0.034,0.106
2018-03-21,20.07,-0.013,0.018,0.088
2018-03-22,20.49,0.034,0.026,0.101
2018-03-23,20.29,0.035,0.017,0.1
2018-03-26,21.59,0.117,0.067,0.142
2018-03-27,21.25,0.049,0.055,0.113
2018-03-28,20.93,0.043,0.029,0.099
2018-03-29,21.58,0.053,0.089,0.172
2018-04-02,21.23,0.046,0.083,0.135
2018-04-03,22.24,0.03,0.151,0.157
2018-04-04,13.29,-0.375,-0.344,-0.322
2018-04-05,13.71,-0.345,-0.317,-0.305
2018-04-06,12.98,-0.399,-0.367,-0.35
2018-04-09,12.74,-0.4,-0.372,-0.362
2018-04-10,12.76,-0.426,-0.409,-0.369
2018-04-11,13.13,-0.012,-0.382,-0.348
2018-04-12,13.89,0.013,-0.336,-0.317
2018-04-13,13.91,0.072,-0.355,-0.298
2018-04-16,14.02,0.1,-0.34,-0.285
2018-04-17,14.37,0.126,-0.354,-0.257
2018-04-18,14.91,0.136,0.122,-0.264
2018-04-19,14.6,0.051,0.065,-0.273
2018-04-20,14.74,0.06,0.136,-0.281
2018-04-23,14.9,0.063,0.17,-0.266
2018-04-24,14.47,0.007,0.134,-0.33
2018-04-25,14.06,-0.057,0.071,-0.338
2018-04-26,14.16,-0.03,0.019,-0.323
2018-04-27,14.19,-0.037,0.02,-0.342
2018-04-30,14.25,-0.044,0.016,-0.329
2018-05-01,14.42,-0.003,0.003,-0.352
2018-05-02,14.66,0.043,-0.017,0.103
2018-05-03,15.05,0.063,0.031,0.098
2018-05-04,15.04,0.06,0.02,0.159
2018-05-07,15.63,0.097,0.049,0.227
2018-05-08,15.9,0.103,0.099,0.246
2018-05-09,15.87,0.083,0.129,0.209
2018-05-10,16.41,0.09,0.159,0.181
2018-05-11,15.96,0.061,0.125,0.147
2018-05-14,15.73,0.006,0.104,0.122
2018-05-15,15.59,-0.019,0.081,0.085
2018-05-16,16.0,0.008,0.091,0.073
2018-05-17,15.85,-0.034,0.053,0.086
2018-05-18,16.1,0.009,0.07,0.092
2018-05-21,16.25,0.033,0.04,0.091
2018-05-22,16.2,0.039,0.019,0.12
2018-05-23,16.1,0.006,0.014,0.145
2018-05-24,15.93,0.005,-0.029,0.125
2018-05-25,15.88,-0.014,-0.005,0.119
2018-05-29,15.86,-0.024,0.008,0.113
2018-05-30,16.03,-0.01,0.028,0.112
2018-05-31,16.22,0.007,0.014,0.106
2018-06-01,16.63,0.044,0.049,0.105
2018-06-04,16.91,0.065,0.05,0.124
2018-06-05,17.1,0.078,0.052,0.094
2018-06-06,17.18,0.072,0.06,0.081
2018-06-07,16.03,-0.012,-0.004,0.01
2018-06-08,16.14,-0.029,0.013,-0.016
2018-06-11,15.51,-0.083,-0.023,-0.028
2018-06-12,15.5,-0.094,-0.023,-0.015
2018-06-13,15.47,-0.1,-0.035,-0.008
2018-06-14,15.6,-0.027,-0.038,-0.025
2018-06-15,15.16,-0.061,-0.088,-0.044
2018-06-18,15.48,-0.002,-0.085,-0.039
2018-06-19,15.41,-0.006,-0.099,-0.052
2018-06-20,15.48,0.001,-0.099,-0.044
2018-06-21,15.18,-0.027,-0.053,-0.057
2018-06-22,14.54,-0.041,-0.099,-0.087
2018-06-25,13.71,-0.114,-0.116,-0.137
2018-06-26,13.67,-0.113,-0.118,-0.138
2018-06-27,13.15,-0.151,-0.15,-0.18
2018-06-28,13.45,-0.114,-0.138,-0.171
2018-06-29,13.64,-0.062,-0.1,-0.18
2018-07-02,13.76,0.004,-0.111,-0.186
2018-07-03,13.86,0.014,-0.101,-0.189
2018-07-05,14.05,0.068,-0.092,-0.182
2018-07-06,14.62,0.087,-0.037,-0.088
2018-07-09,14.71,0.078,0.012,-0.089
2018-07-10,14.79,0.075,0.079,-0.046
2018-07-11,14.7,0.061,0.075,-0.052
2018-07-12,15.03,0.07,0.143,-0.028
2018-07-13,14.77,0.01,0.098,-0.053
2018-07-16,14.83,0.008,0.087,-0.022
2018-07-17,14.91,0.008,0.084,-0.037
2018-07-18,14.79,0.006,0.067,-0.04
2018-07-19,14.82,-0.014,0.055,-0.043
2018-07-20,14.57,-0.014,-0.003,-0.04
2018-07-23,14.68,-0.01,-0.002,0.01
2018-07-24,14.29,-0.042,-0.034,0.042
2018-07-25,14.62,-0.011,-0.005,0.069
2018-07-26,14.61,-0.014,-0.028,0.111
2018-07-27,14.13,-0.03,-0.043,0.051
2018-07-30,13.45,-0.084,-0.093,-0.014
2018-07-31,13.39,-0.063,-0.102,-0.027
2018-08-01,13.94,-0.047,-0.057,0.006
2018-08-02,13.94,-0.046,-0.059,-0.008
2018-08-03,13.58,-0.039,-0.068,-0.071
2018-08-06,13.65,0.015,-0.07,-0.072
2018-08-07,13.69,0.022,-0.042,-0.074
2018-08-08,13.49,-0.032,-0.077,-0.082
2018-08-09,14.03,0.006,-0.04,-0.067
2018-08-10,14.06,0.035,-0.005,-0.048
2018-08-13,13.97,0.023,0.039,-0.058
2018-08-14,13.96,0.02,0.043,-0.064
2018-08-15,13.75,0.019,-0.014,-0.07
2018-08-16,13.73,-0.021,-0.015,-0.074
2018-08-17,13.59,-0.033,0.001,-0.067
2018-08-20,13.6,-0.026,-0.004,-0.074
2018-08-21,13.7,-0.019,0.001,-0.041
2018-08-22,13.81,0.004,0.024,-0.055
2018-08-23,13.7,-0.002,-0.024,-0.062
2018-08-24,14.05,0.034,-0.001,-0.006
2018-08-27,13.99,0.029,0.001,0.04
2018-08-28,14.0,0.022,0.003,0.046
2018-08-29,14.94,0.082,0.087,0.072
2018-08-30,14.9,0.088,0.085,0.069
2018-08-31,15.01,0.068,0.104,0.105
2018-09-04,15.07,0.077,0.108,0.104
2018-09-05,14.41,0.029,0.052,0.053
2018-09-06,17.93,0.2,0.298,0.329
2018-09-07,17.56,0.179,0.282,0.252
2018-09-10,17.43,0.161,0.241,0.24
2018-09-11,17.9,0.188,0.279,0.281
2018-09-12,18.41,0.278,0.315,0.319
2018-09-13,18.21,0.016,0.219,0.324
2018-09-14,18.57,0.058,0.246,0.353
2018-09-17,17.66,0.013,0.177,0.299
2018-09-18,17.84,-0.003,0.184,0.312
2018-09-19,17.55,-0.047,0.218,0.281
2018-09-20,17.78,-0.024,-0.008,0.287
2018-09-21,17.61,-0.052,0.003,0.285
2018-09-24,17.43,-0.013,0.0,0.241
2018-09-25,17.84,0.0,-0.003,0.275
2018-09-26,17.85,0.017,-0.03,0.275
2018-09-27,17.57,-0.012,-0.035,0.176
2018-09-28,17.65,0.002,-0.05,0.185
2018-10-01,17.19,-0.014,-0.027,0.145
2018-10-02,16.9,-0.053,-0.053,0.121
2018-10-03,17.08,-0.043,-0.027,0.185
