,close,5days,10days,20days
2017-12-29,141.768,0.0,0.0,0.0
2018-01-02,140.545,0.0,0.0,0.0
2018-01-03,142.797,0.0,0.0,0.0
2018-01-04,144.3209,0.0,0.0,0.0
2018-01-05,145.2625,0.0,0.0,0.0
2018-01-08,147.2815,0.039,0.0,0.0
2018-01-09,148.1551,0.054,0.0,0.0
2018-01-10,148.4172,0.039,0.0,0.0
2018-01-11,148.3298,0.028,0.0,0.0
2018-01-12,148.2522,0.021,0.0,0.0
2018-01-16,147.7377,0.003,0.042,0.0
2018-01-17,147.0097,-0.008,0.046,0.0
2018-01-18,147.7474,-0.005,0.035,0.0
2018-01-19,149.7567,0.01,0.038,0.0
2018-01-22,150.8924,0.018,0.039,0.0
2018-01-23,149.7276,0.013,0.017,0.0
2018-01-24,150.4459,0.023,0.015,0.0
2018-01-25,149.65,0.013,0.008,0.0
2018-01-26,150.6109,0.006,0.015,0.0
2018-01-29,148.9511,-0.013,0.005,0.0
2018-01-30,148.8346,-0.006,0.007,0.05
2018-01-31,148.9802,-0.01,0.013,0.06
2018-02-01,154.251,0.031,0.044,0.08
2018-02-02,154.4451,0.025,0.031,0.07
2018-02-05,149.4461,0.003,-0.01,0.029
2018-02-06,153.0279,0.028,0.022,0.039
2018-02-07,155.2411,0.042,0.032,0.048
2018-02-08,148.5531,-0.037,-0.007,0.001
2018-02-09,152.2514,-0.014,0.011,0.026
2018-02-12,155.4352,0.04,0.044,0.048
2018-02-13,155.4643,0.016,0.045,0.052
2018-02-14,157.39600000000002,0.014,0.056,0.071
2018-02-15,160.2692,0.079,0.039,0.085
2018-02-16,157.6193,0.035,0.021,0.053
2018-02-20,158.5608,0.02,0.061,0.051
2018-02-21,157.0368,0.01,0.026,0.049
2018-02-22,155.8235,-0.01,0.004,0.036
2018-02-23,159.2112,-0.007,0.072,0.064
2018-02-26,162.0067,0.028,0.064,0.076
2018-02-27,161.8029,0.02,0.041,0.086
2018-02-28,161.2884,0.027,0.037,0.084
2018-03-01,157.5028,0.011,0.001,0.057
2018-03-02,161.3855,0.014,0.007,0.046
2018-03-05,163.5501,0.01,0.038,0.059
2018-03-06,164.6179,0.017,0.038,0.102
2018-03-07,163.6375,0.015,0.042,0.069
2018-03-08,164.1811,0.042,0.054,0.058
2018-03-09,167.0857,0.035,0.049,0.125
2018-03-12,164.9024,0.008,0.018,0.083
2018-03-13,160.6428,-0.024,-0.007,0.034
2018-03-14,158.8299,-0.029,-0.015,0.022
2018-03-15,161.2082,-0.018,0.024,0.024
2018-03-16,160.945,-0.037,-0.003,0.004
2018-03-19,159.405,-0.033,-0.025,0.011
2018-03-20,160.0288,-0.004,-0.028,0.009
2018-03-21,160.3407,0.01,-0.02,0.021
2018-03-22,156.1104,-0.032,-0.049,0.002
2018-03-23,154.122,-0.042,-0.078,-0.032
2018-03-26,157.6212,-0.011,-0.044,-0.027
2018-03-27,154.9797,-0.032,-0.035,-0.042
2018-03-28,154.8238,-0.034,-0.025,-0.04
2018-03-29,157.6505,0.01,-0.022,0.001
2018-04-02,153.7126,-0.003,-0.045,-0.048
2018-04-03,156.5101,-0.007,-0.018,-0.043
2018-04-04,156.4321,0.009,-0.022,-0.05
2018-04-05,158.8689,0.026,-0.009,-0.029
2018-04-06,154.2585,-0.022,-0.012,-0.06
2018-04-09,155.1552,0.009,0.007,-0.071
2018-04-10,159.4537,0.019,0.012,-0.033
2018-04-11,157.1826,0.005,0.014,-0.022
2018-04-12,160.058,0.007,0.034,0.008
2018-04-13,159.28799999999998,0.033,0.01,-0.012
2018-04-16,159.8728,0.03,0.04,-0.007
2018-04-17,160.5941,0.007,0.026,0.007
2018-04-18,161.023,0.024,0.029,0.006
2018-04-19,160.3114,0.002,0.009,-0.0
2018-04-20,160.906,0.01,0.043,0.031
2018-04-23,160.0483,0.001,0.032,0.038
2018-04-24,157.514,-0.019,-0.012,-0.001
2018-04-25,157.0072,-0.025,-0.001,0.013
2018-04-26,155.4184,-0.031,-0.029,0.004
2018-04-27,153.3812,-0.047,-0.037,-0.027
2018-04-30,153.6931,-0.04,-0.039,-0.0
2018-05-01,152.543,-0.032,-0.05,-0.025
2018-05-02,152.42600000000002,-0.029,-0.053,-0.026
2018-05-03,153.0498,-0.015,-0.045,-0.037
2018-05-04,155.1357,0.011,-0.036,0.006
2018-05-07,155.1942,0.01,-0.03,0.0
2018-05-08,154.4534,0.013,-0.019,-0.031
2018-05-09,157.3873,0.033,0.002,0.001
2018-05-10,155.9155,0.019,0.003,-0.026
2018-05-11,155.2624,0.001,0.012,-0.025
2018-05-14,156.9584,0.011,0.021,-0.018
2018-05-15,156.3931,0.013,0.025,-0.026
2018-05-16,156.6075,-0.005,0.027,-0.027
2018-05-17,156.6368,0.005,0.023,-0.023
2018-05-18,155.74,0.003,0.004,-0.032
2018-05-21,157.2996,0.002,0.014,-0.017
2018-05-22,156.7927,0.003,0.015,-0.005
2018-05-23,156.0617,-0.003,-0.008,-0.006
2018-05-24,155.9642,-0.004,0.0,0.004
2018-05-25,155.5646,-0.001,0.002,0.014
2018-05-29,154.6678,-0.017,-0.015,0.006
2018-05-30,161.3057,0.029,0.031,0.057
2018-05-31,158.7811,0.017,0.014,0.042
2018-06-01,163.2941,0.047,0.043,0.067
2018-06-04,165.99400000000003,0.067,0.066,0.07
2018-06-05,166.15,0.074,0.056,0.071
2018-06-06,169.1521,0.049,0.079,0.095
2018-06-07,168.0799,0.059,0.077,0.068
2018-06-08,167.3263,0.025,0.073,0.073
2018-06-11,166.9936,0.006,0.073,0.076
2018-06-12,166.5923,0.003,0.077,0.061
2018-06-13,166.8468,-0.014,0.034,0.067
2018-06-14,165.2613,-0.017,0.041,0.055
2018-06-15,166.2106,-0.007,0.018,0.061
2018-06-18,165.5941,-0.008,-0.002,0.063
2018-06-19,163.4018,-0.019,-0.017,0.039
2018-06-20,163.6465,-0.019,-0.033,0.044
2018-06-21,164.6349,-0.004,-0.02,0.055
2018-06-22,164.8307,-0.008,-0.015,0.057
2018-06-25,162.9418,-0.016,-0.024,0.047
2018-06-26,162.0218,-0.008,-0.027,0.048
2018-06-27,159.7121,-0.024,-0.043,-0.01
2018-06-28,160.3679,-0.026,-0.03,0.01
2018-06-29,160.4266,-0.027,-0.035,-0.018
2018-07-02,160.4951,-0.015,-0.031,-0.033
2018-07-03,157.6863,-0.027,-0.035,-0.051
2018-07-05,156.8837,-0.018,-0.041,-0.073
2018-07-06,157.011,-0.021,-0.046,-0.066
2018-07-09,160.0449,-0.002,-0.029,-0.044
2018-07-10,160.6713,0.001,-0.014,-0.038
2018-07-11,161.9044,0.027,-0.001,-0.028
2018-07-12,163.1473,0.04,0.022,-0.022
2018-07-13,163.3529,0.04,0.019,-0.012
2018-07-16,164.6349,0.029,0.026,-0.009
2018-07-17,165.4179,0.03,0.031,-0.001
2018-07-18,167.3753,0.034,0.061,0.024
2018-07-19,165.2515,0.013,0.053,0.01
2018-07-20,165.3983,0.013,0.053,0.005
2018-07-23,165.6919,0.006,0.035,0.005
2018-07-24,164.8698,-0.003,0.026,0.012
2018-07-25,165.9072,-0.009,0.025,0.024
2018-07-26,162.9125,-0.014,-0.001,0.02
2018-07-27,161.9631,-0.021,-0.009,0.01
2018-07-30,157.7743,-0.048,-0.042,-0.017
2018-07-31,155.7289,-0.055,-0.059,-0.03
2018-08-01,157.9896,-0.048,-0.056,0.002
2018-08-02,157.608,-0.033,-0.046,0.005
2018-08-03,158.1854,-0.023,-0.044,0.007
2018-08-06,158.4203,0.004,-0.044,-0.01
2018-08-07,159.9372,0.027,-0.03,-0.005
2018-08-08,160.2504,0.014,-0.034,-0.01
2018-08-09,159.4968,0.012,-0.021,-0.022
2018-08-10,160.4266,0.014,-0.009,-0.018
2018-08-13,160.4559,0.013,0.017,-0.025
2018-08-14,162.7656,0.018,0.045,-0.016
2018-08-15,164.0967,0.024,0.039,-0.02
2018-08-16,164.8894,0.034,0.046,-0.002
2018-08-17,165.7702,0.033,0.048,0.002
2018-08-20,166.0638,0.035,0.048,0.002
2018-08-21,163.7933,0.006,0.024,-0.007
2018-08-22,163.3333,-0.005,0.019,-0.016
2018-08-23,164.0967,-0.005,0.029,0.007
2018-08-24,165.7115,-0.0,0.033,0.023
2018-08-27,166.9446,0.005,0.04,0.058
2018-08-28,165.9855,0.013,0.02,0.066
2018-08-29,168.5008,0.032,0.027,0.067
2018-08-30,169.6165,0.034,0.029,0.076
2018-08-31,171.0062,0.032,0.032,0.081
2018-09-04,173.2768,0.038,0.043,0.094
2018-09-05,167.6395,0.01,0.023,0.048
2018-09-06,169.8024,0.008,0.04,0.06
2018-09-07,170.7615,0.007,0.041,0.071
2018-09-10,171.076,0.0,0.032,0.066
2018-09-11,170.0246,-0.019,0.018,0.06
2018-09-12,168.6685,0.006,0.016,0.036
2018-09-13,169.3171,-0.003,0.005,0.032
2018-09-14,170.1425,-0.004,0.003,0.032
2018-09-17,168.8552,-0.013,-0.013,0.019
2018-09-18,169.4055,-0.004,-0.022,0.02
2018-09-19,170.5945,0.011,0.018,0.042
2018-09-20,171.3511,0.012,0.009,0.049
2018-09-21,172.0783,0.011,0.008,0.049
2018-09-24,171.7147,0.017,0.004,0.036
2018-09-25,170.5847,0.007,0.003,0.022
2018-09-26,169.9951,-0.004,0.008,0.024
2018-09-27,168.9437,-0.014,-0.002,0.003
2018-09-28,167.2535,-0.028,-0.017,-0.014
2018-10-01,171.2234,-0.003,0.014,0.001
2018-10-02,171.46900000000002,0.005,0.012,-0.01
2018-10-03,172.4025,0.014,0.011,0.028
2018-10-04,177.3746,0.05,0.035,0.045
2018-10-05,178.5341,0.067,0.038,0.046
2018-10-08,177.7677,0.038,0.035,0.039
2018-10-09,178.0133,0.038,0.044,0.047
2018-10-10,177.1192,0.027,0.042,0.05
2018-10-11,172.9724,-0.025,0.024,0.022
2018-10-12,173.4343,-0.029,0.037,0.019
2018-10-15,170.8008,-0.039,-0.002,0.012
2018-10-16,174.9672,-0.017,0.02,0.033
2018-10-17,178.1706,0.006,0.033,0.044
2018-10-18,178.7601,0.033,0.008,0.043
2018-10-19,179.4775,0.035,0.005,0.043
2018-10-22,178.0723,0.043,0.002,0.037
2018-10-23,177.6596,0.015,-0.002,0.041
2018-10-24,177.9347,-0.001,0.005,0.047
2018-10-25,174.3874,-0.024,0.008,0.032
2018-10-26,175.5371,-0.022,0.012,0.05
2018-10-29,176.2741,-0.01,0.032,0.029
2018-10-30,179.3006,0.009,0.025,0.046
2018-10-31,180.0572,0.012,0.011,0.044
2018-11-01,180.5584,0.035,0.01,0.018
2018-11-02,180.6664,0.029,0.007,0.012
2018-11-05,182.278,0.034,0.024,0.025
2018-11-06,183.1623,0.022,0.031,0.029
2018-11-07,185.4126,0.03,0.042,0.047
2018-11-08,186.1397,0.031,0.067,0.076
2018-11-09,186.4443,0.032,0.062,0.075
2018-11-12,183.2115,0.005,0.039,0.073
2018-11-13,184.0762,0.005,0.027,0.052
2018-11-14,184.7935,-0.003,0.026,0.037
2018-11-15,188.2327,0.011,0.043,0.053
2018-11-16,192.2124,0.031,0.064,0.071
2018-11-19,192.2124,0.049,0.055,0.079
2018-11-20,188.8223,0.026,0.031,0.063
2018-11-21,186.7096,0.01,0.007,0.049
2018-11-23,186.0218,-0.012,-0.001,0.067
2018-11-26,188.1934,-0.021,0.009,0.072
2018-11-27,190.7777,-0.007,0.041,0.082
2018-11-28,183.86,-0.026,-0.001,0.025
2018-11-29,185.6287,-0.006,0.005,0.031
2018-11-30,186.7784,0.004,-0.008,0.034
2018-12-03,184.8426,-0.018,-0.038,0.023
2018-12-04,184.9311,-0.031,-0.038,0.015
2018-12-06,185.7368,0.01,-0.016,0.014
2018-12-07,184.5478,-0.006,-0.012,-0.005
2018-12-10,187.7435,0.005,0.009,0.009
2018-12-11,186.915,0.011,-0.007,0.003
2018-12-12,185.9878,0.006,-0.025,0.015
2018-12-13,185.3665,-0.002,0.008,0.007
2018-12-14,185.0706,0.003,-0.003,0.001
2018-12-17,183.0487,-0.025,-0.02,-0.028
2018-12-18,180.287,-0.035,-0.025,-0.062
