date,open,high,low,close,adjusted close,volume
1998-01-02 00:00:00,44.63,44.75,43.5,44.0,15.8316,1725900
1998-01-05 00:00:00,43.81,45.0,43.63,44.88,16.1483,1083800
1998-01-06 00:00:00,44.75,44.88,43.88,43.88,15.7885,1688200
1998-01-07 00:00:00,43.88,44.38,42.5,43.44,15.6301,1414800
1998-01-08 00:00:00,43.44,45.25,43.44,44.81,16.1231,3642200
1998-01-09 00:00:00,44.94,45.0,42.75,43.5,15.6517,2170300
1998-01-12 00:00:00,42.81,43.88,42.25,43.75,15.7417,2036200
1998-01-13 00:00:00,44.0,44.0,43.38,43.56,15.6733,1237100
1998-01-14 00:00:00,43.88,44.13,43.31,43.31,15.5834,2056700
1998-01-15 00:00:00,43.5,43.5,42.5,43.0,15.4718,635300
1998-01-16 00:00:00,43.69,44.5,43.25,44.5,16.0115,1179200
1998-01-20 00:00:00,44.38,45.5,44.13,45.5,16.3713,1208600
1998-01-21 00:00:00,45.13,45.63,44.13,44.5,16.0115,2889900
1998-01-22 00:00:00,44.13,44.75,43.75,44.63,16.0583,709000
1998-01-23 00:00:00,44.94,45.0,43.13,43.38,15.6086,1285200
1998-01-26 00:00:00,43.38,43.88,42.0,42.13,15.1588,1522200
1998-01-27 00:00:00,42.19,44.25,42.0,43.56,15.6733,1799600
1998-01-28 00:00:00,43.94,44.0,42.5,43.25,15.5618,1269100
1998-01-29 00:00:00,43.0,43.5,43.0,43.44,15.6301,1485200
1998-01-30 00:00:00,43.63,43.88,43.25,43.38,15.6086,808500
1998-02-02 00:00:00,43.5,44.63,43.38,44.13,15.8784,993400
1998-02-03 00:00:00,44.13,45.0,43.88,44.69,16.0799,602100
1998-02-04 00:00:00,44.56,46.25,44.25,45.88,16.5081,987000
1998-02-05 00:00:00,46.13,47.13,44.88,45.5,16.3713,2090400
1998-02-06 00:00:00,45.75,46.75,45.5,46.63,16.7779,1137400
1998-02-09 00:00:00,46.25,46.31,44.5,44.69,16.0799,1328500
1998-02-10 00:00:00,44.88,46.19,44.56,45.0,16.1914,1409500
1998-02-11 00:00:00,45.13,45.94,44.75,44.75,16.1015,1046200
1998-02-12 00:00:00,44.88,46.13,44.38,45.38,16.3282,1012600
1998-02-13 00:00:00,45.25,45.94,44.75,45.5,16.3713,463900
1998-02-17 00:00:00,45.75,46.19,45.69,45.75,16.4613,860600
1998-02-18 00:00:00,45.63,46.94,45.5,46.81,16.8427,1148400
1998-02-19 00:00:00,46.88,46.88,45.5,45.75,16.4613,796900
1998-02-20 00:00:00,45.94,46.75,44.75,46.5,16.7312,1323500
1998-02-23 00:00:00,46.75,49.25,46.38,48.88,17.5875,2760800
1998-02-24 00:00:00,48.75,50.25,48.5,49.38,17.7674,2614300
1998-02-25 00:00:00,49.5,49.94,48.81,49.75,17.9005,2405100
1998-02-26 00:00:00,49.44,50.75,48.81,50.5,18.1704,1996900
1998-02-27 00:00:00,50.75,50.75,48.88,48.88,17.5875,2889200
1998-03-02 00:00:00,49.13,50.0,48.0,49.75,17.9005,1123500
1998-03-03 00:00:00,49.63,50.06,49.25,49.5,17.8106,743000
1998-03-04 00:00:00,50.13,51.31,49.88,50.88,18.3071,2679400
1998-03-05 00:00:00,50.0,51.63,49.75,50.88,18.3071,1593100
1998-03-06 00:00:00,50.94,52.75,50.88,52.63,18.9368,1880000
1998-03-09 00:00:00,52.56,54.75,52.25,54.38,19.5665,2385200
1998-03-10 00:00:00,54.75,55.56,54.19,55.31,19.9011,1676400
1998-03-11 00:00:00,55.88,56.0,53.5,54.88,19.7464,1841900
1998-03-12 00:00:00,55.63,55.75,53.5,53.88,19.3866,1897900
1998-03-13 00:00:00,53.88,55.13,53.88,54.81,19.7212,1659800
1998-03-16 00:00:00,54.38,55.94,53.75,55.88,20.1062,2624700
1998-03-17 00:00:00,55.88,56.44,55.13,55.94,20.1278,1655800
1998-03-18 00:00:00,55.69,55.69,54.75,55.38,19.9263,1132900
1998-03-19 00:00:00,55.25,56.88,54.25,56.56,20.3508,1920400
1998-03-20 00:00:00,56.44,58.75,56.44,58.19,20.9373,2672200
1998-03-23 00:00:00,57.94,58.0,55.13,55.56,19.991,2066300
1998-03-24 00:00:00,55.88,56.38,55.63,56.13,20.1961,751700
1998-03-25 00:00:00,56.25,56.25,53.75,54.63,19.6564,1489200
1998-03-26 00:00:00,54.63,55.56,53.75,53.75,19.3398,1376100
1998-03-27 00:00:00,54.38,54.5,53.0,53.25,19.1599,1304200
1998-03-30 00:00:00,53.13,53.94,51.88,52.13,18.7569,1672300
1998-03-31 00:00:00,52.38,53.75,52.0,53.38,19.2066,1658400
1998-04-01 00:00:00,53.5,54.38,53.38,54.25,19.5197,1228300
1998-04-02 00:00:00,54.13,54.88,53.56,53.63,19.2966,1587500
1998-04-03 00:00:00,53.75,53.88,52.88,53.0,19.0699,1114200
1998-04-06 00:00:00,53.5,53.63,51.38,51.38,18.487,1612600
1998-04-07 00:00:00,51.13,53.25,51.13,53.06,19.0915,2659300
1998-04-08 00:00:00,53.56,55.13,53.56,54.69,19.678,3265100
1998-04-09 00:00:00,54.94,56.75,54.75,56.69,20.3976,2064100
1998-04-13 00:00:00,56.13,56.38,55.13,55.69,20.0378,2451400
1998-04-14 00:00:00,55.44,55.88,55.0,55.38,19.9263,969500
1998-04-15 00:00:00,55.75,56.25,55.38,56.13,20.1961,1035100
1998-04-16 00:00:00,55.88,56.0,55.13,55.44,19.9479,981200
1998-04-17 00:00:00,55.25,55.88,54.75,55.75,20.0594,839200
1998-04-20 00:00:00,55.75,57.0,55.63,56.94,20.4876,1372200
1998-04-21 00:00:00,57.06,57.13,56.13,57.06,20.5307,1048300
