,close,5days,10days,20days
2017-12-29,183.2097,0.0,0.0,0.0
2018-01-02,185.3753,0.0,0.0,0.0
2018-01-03,187.5999,0.0,0.0,0.0
2018-01-04,186.1431,0.0,0.0,0.0
2018-01-05,184.8142,0.0,0.0,0.0
2018-01-08,185.5328,0.013,0.0,0.0
2018-01-09,183.377,-0.011,0.0,0.0
2018-01-10,182.5206,-0.027,0.0,0.0
2018-01-11,186.4187,0.001,0.0,0.0
2018-01-12,188.8402,0.022,0.0,0.0
2018-01-16,188.5351,0.016,0.029,0.0
2018-01-17,189.2832,0.032,0.021,0.0
2018-01-18,188.5154,0.033,0.005,0.0
2018-01-19,189.2832,0.015,0.017,0.0
2018-01-22,191.3405,0.013,0.035,0.0
2018-01-23,190.3955,0.01,0.026,0.0
2018-01-24,191.2027,0.01,0.043,0.0
2018-01-25,194.8547,0.034,0.068,0.0
2018-01-26,195.7997,0.034,0.05,0.0
2018-01-29,195.2189,0.02,0.034,0.0
2018-01-30,194.8153,0.023,0.033,0.063
2018-01-31,191.8228,0.003,0.013,0.035
2018-02-01,190.4447,-0.023,0.01,0.015
2018-02-02,188.0035,-0.04,-0.007,0.01
2018-02-05,179.912,-0.078,-0.06,-0.027
2018-02-06,182.11700000000002,-0.065,-0.043,-0.018
2018-02-07,180.3255,-0.06,-0.057,-0.017
2018-02-08,175.8171,-0.077,-0.098,-0.037
2018-02-09,177.8941,-0.054,-0.091,-0.046
2018-02-12,178.2288,-0.009,-0.087,-0.056
2018-02-13,181.2705,-0.005,-0.07,-0.039
2018-02-14,184.4204,0.023,-0.039,-0.026
2018-02-15,188.97799999999998,0.075,-0.008,0.002
2018-02-16,189.05700000000002,0.063,0.006,-0.001
2018-02-20,185.6619,0.042,0.032,-0.03
2018-02-21,183.3229,0.011,0.007,-0.037
2018-02-22,184.1519,-0.001,0.021,-0.037
2018-02-23,187.3299,-0.009,0.065,-0.039
2018-02-26,190.2907,0.007,0.07,-0.028
2018-02-27,187.6161,0.011,0.053,-0.039
2018-02-28,188.4056,0.028,0.039,-0.033
2018-03-01,186.56,0.013,0.012,-0.027
2018-03-02,186.8561,-0.003,-0.011,-0.019
2018-03-05,188.97799999999998,-0.007,-0.0,0.005
