date,open,high,low,close,adjusted close,volume
2014-03-07 00:00:00,27.15,33.0,27.1,30.0,30.0,11344100
2014-03-10 00:00:00,30.8,30.97,29.79,30.0,30.0,2289900
2014-03-11 00:00:00,29.87,29.87,27.77,27.8,27.8,892900
2014-03-12 00:00:00,27.15,29.66,25.75,29.52,29.52,838900
2014-03-13 00:00:00,29.16,29.98,26.7,26.95,26.95,630100
2014-03-14 00:00:00,26.9,27.27,26.35,26.55,26.55,534300
2014-03-17 00:00:00,26.78,30.25,26.65,30.0,30.0,712600
2014-03-18 00:00:00,29.72,30.49,28.71,29.43,29.43,446400
2014-03-19 00:00:00,29.28,29.43,26.85,27.1,27.1,523600
2014-03-20 00:00:00,27.1,28.0,26.83,27.42,27.42,250600
2014-03-21 00:00:00,27.37,28.19,24.68,26.17,26.17,549400
2014-03-24 00:00:00,26.0,26.29,22.71,23.01,23.01,937700
2014-03-25 00:00:00,23.13,26.22,23.13,25.76,25.76,691400
2014-03-26 00:00:00,25.89,26.39,24.51,24.85,24.85,464100
2014-03-27 00:00:00,24.77,25.68,23.3,25.53,25.53,367000
2014-03-28 00:00:00,25.46,25.6,24.71,25.37,25.37,65000
2014-03-31 00:00:00,25.72,25.88,24.53,24.65,24.65,136100
2014-04-01 00:00:00,24.46,24.69,23.66,24.09,24.09,857500
2014-04-02 00:00:00,24.11,24.73,23.97,24.06,24.06,270500
2014-04-03 00:00:00,24.15,24.45,22.26,22.65,22.65,212200
2014-04-04 00:00:00,23.05,23.13,19.92,20.6,20.6,664300
2014-04-07 00:00:00,20.24,20.68,20.0,20.41,20.41,1069600
2014-04-08 00:00:00,20.45,21.1,20.25,20.6,20.6,364600
2014-04-09 00:00:00,20.99,21.31,20.67,21.18,21.18,277800
2014-04-10 00:00:00,21.1,21.46,20.61,21.01,21.01,546600
2014-04-11 00:00:00,20.8,20.8,19.7,19.86,19.86,474800
2014-04-14 00:00:00,20.17,20.5,20.05,20.27,20.27,147100
2014-04-15 00:00:00,20.49,20.49,18.51,20.3,20.3,587300
2014-04-16 00:00:00,20.48,20.5,19.14,19.55,19.55,358300
2014-04-17 00:00:00,19.4,19.64,18.75,19.32,19.32,426900
2014-04-21 00:00:00,19.33,19.33,18.43,18.88,18.88,328100
2014-04-22 00:00:00,18.9,20.35,18.75,20.04,20.04,267200
2014-04-23 00:00:00,20.04,21.34,19.82,20.81,20.81,349300
2014-04-24 00:00:00,20.95,20.95,18.51,18.65,18.65,725100
2014-04-25 00:00:00,18.57,18.72,17.09,17.51,17.51,592600
2014-04-28 00:00:00,17.58,17.69,15.84,17.41,17.41,1007900
2014-04-29 00:00:00,17.49,17.5,16.72,17.32,17.32,733500
2014-04-30 00:00:00,17.18,17.32,16.7,16.82,16.82,415700
2014-05-01 00:00:00,16.78,18.03,16.78,17.93,17.93,297200
2014-05-02 00:00:00,17.92,18.05,17.31,18.0,18.0,258800
2014-05-05 00:00:00,17.67,17.97,17.35,17.92,17.92,439100
2014-05-06 00:00:00,17.93,18.13,17.54,17.76,17.76,458000
2014-05-07 00:00:00,17.88,17.88,15.99,16.46,16.46,743000
2014-05-08 00:00:00,17.0,17.45,15.56,17.13,17.13,1157100
2014-05-09 00:00:00,17.36,18.0,16.99,17.81,17.81,347100
2014-05-12 00:00:00,17.99,18.0,16.71,17.03,17.03,445500
2014-05-13 00:00:00,17.36,17.95,17.22,17.58,17.58,116100
2014-05-14 00:00:00,17.58,21.45,17.58,20.0,20.0,755900
2014-05-15 00:00:00,20.14,20.64,19.15,19.84,19.84,372400
2014-05-16 00:00:00,19.99,19.99,19.24,19.25,19.25,89800
2014-05-19 00:00:00,19.11,19.32,18.14,18.24,18.24,163400
2014-05-20 00:00:00,18.33,19.88,18.13,19.73,19.73,111800
2014-05-21 00:00:00,19.64,20.63,19.42,20.13,20.13,187000
