date,open,high,low,close,adjusted close,volume
2004-06-23 00:00:00,15.0,17.3,14.75,17.2,4.3,10893600
2004-06-24 00:00:00,17.55,17.69,16.5,16.76,4.19,2221800
2004-06-25 00:00:00,16.51,16.75,15.79,15.8,3.95,1677500
2004-06-28 00:00:00,16.0,16.21,15.436,16.0,4.0,567700
2004-06-29 00:00:00,16.0,16.7,15.83,16.4,4.1,528000
2004-06-30 00:00:00,16.4,16.94,16.03,16.07,4.0175,521900
2004-07-01 00:00:00,16.08,16.2,15.9,16.03,4.0075,438700
2004-07-02 00:00:00,16.1,16.98,16.05,16.98,4.245,248300
2004-07-06 00:00:00,16.93,17.0,16.48,17.0,4.25,304200
2004-07-07 00:00:00,16.9,16.9,16.05,16.31,4.0775,446900
2004-07-08 00:00:00,16.31,16.31,15.66,15.74,3.935,544800
2004-07-09 00:00:00,15.94,16.57,15.9,16.4,4.1,149200
2004-07-12 00:00:00,16.6,16.83,16.15,16.75,4.1875,195200
2004-07-13 00:00:00,16.74,16.74,16.08,16.08,4.02,418500
2004-07-14 00:00:00,16.05,16.05,15.58,15.65,3.9125,591500
2004-07-15 00:00:00,15.75,15.8,14.94,15.34,3.835,451500
2004-07-16 00:00:00,15.4,16.4,14.96,16.0,4.0,819700
2004-07-19 00:00:00,16.05,16.17,15.83,16.01,4.0025,238700
2004-07-20 00:00:00,16.01,16.18,15.53,16.06,4.015,561300
2004-07-21 00:00:00,16.1,16.1,11.05,11.7,2.925,6353800
2004-07-22 00:00:00,11.55,13.18,11.3,12.98,3.245,2456200
2004-07-23 00:00:00,12.95,13.5,12.75,13.04,3.26,418600
2004-07-26 00:00:00,13.55,13.55,12.88,13.28,3.32,321500
2004-07-27 00:00:00,13.38,13.43,13.1,13.14,3.285,187800
2004-07-28 00:00:00,13.05,13.22,12.6,12.99,3.2475,383700
2004-07-29 00:00:00,13.0,13.35,12.95,12.96,3.24,227000
2004-07-30 00:00:00,12.96,13.2,12.55,13.01,3.2525,203800
2004-08-02 00:00:00,12.98,13.08,12.57,12.81,3.2025,324400
2004-08-03 00:00:00,12.8,13.09,11.99,12.13,3.0325,736100
2004-08-04 00:00:00,12.13,12.15,11.95,11.98,2.995,686700
2004-08-05 00:00:00,11.99,11.99,10.68,10.9,2.725,757600
2004-08-06 00:00:00,10.9,11.0,10.71,10.77,2.6925,449300
2004-08-09 00:00:00,10.95,11.05,10.86,10.99,2.7475,280400
2004-08-10 00:00:00,11.0,11.04,10.88,11.0,2.75,183300
2004-08-11 00:00:00,10.95,10.95,10.59,10.62,2.655,157100
2004-08-12 00:00:00,10.72,10.73,9.92,9.99,2.4975,394500
2004-08-13 00:00:00,9.99,10.05,9.47,9.59,2.3975,624000
2004-08-16 00:00:00,9.6,9.85,9.0,9.72,2.43,542800
2004-08-17 00:00:00,9.88,10.99,9.88,10.97,2.7425,742000
2004-08-18 00:00:00,10.9,12.15,10.68,11.95,2.9875,424400
2004-08-19 00:00:00,11.95,12.25,11.7,12.17,3.0425,327400
2004-08-20 00:00:00,12.5,13.2,11.89,12.6,3.15,1008700
2004-08-23 00:00:00,12.7,12.95,12.36,12.5,3.125,281900
2004-08-24 00:00:00,12.6,12.78,12.42,12.77,3.1925,268100
2004-08-25 00:00:00,12.8,13.05,12.5,12.96,3.24,300200
2004-08-26 00:00:00,12.97,13.0,12.81,12.9,3.225,117800
2004-08-27 00:00:00,13.0,13.21,12.9,13.15,3.2875,115900
2004-08-30 00:00:00,13.22,13.26,13.06,13.17,3.2925,151500
2004-08-31 00:00:00,13.2,13.25,12.7,13.0,3.25,218600
2004-09-01 00:00:00,13.2,13.33,13.16,13.33,3.3325,128200
2004-09-02 00:00:00,13.28,13.97,13.28,13.89,3.4725,249700
2004-09-03 00:00:00,13.9,13.94,13.62,13.75,3.4375,231000
2004-09-07 00:00:00,13.76,13.76,13.4,13.43,3.3575,298000
2004-09-08 00:00:00,13.33,13.33,13.15,13.24,3.31,137500
2004-09-09 00:00:00,13.24,13.3,12.97,13.17,3.2925,632300
2004-09-10 00:00:00,13.15,14.3,13.15,14.25,3.5625,698800
2004-09-13 00:00:00,14.4,15.5,14.4,15.2,3.8,1086300
2004-09-14 00:00:00,15.2,16.09,15.0,15.91,3.9775,513000
2004-09-15 00:00:00,15.92,17.14,15.7,16.34,4.085,1036800
2004-09-16 00:00:00,16.35,16.49,16.06,16.26,4.065,629600
2004-09-17 00:00:00,16.2,16.21,14.84,15.67,3.9175,1121900
2004-09-20 00:00:00,15.75,16.1,15.69,16.01,4.0025,149300
2004-09-21 00:00:00,16.05,16.9,16.05,16.36,4.09,581800
2004-09-22 00:00:00,16.3,16.3,15.81,16.07,4.0175,519200
2004-09-23 00:00:00,16.07,16.07,15.65,15.71,3.9275,279400
2004-09-24 00:00:00,15.96,16.85,15.8,16.04,4.01,699000
2004-09-27 00:00:00,16.0,16.07,15.51,15.59,3.8975,345000
2004-09-28 00:00:00,15.52,15.54,14.77,15.0,3.75,465700
2004-09-29 00:00:00,15.05,15.87,15.05,15.75,3.9375,425100
2004-09-30 00:00:00,15.75,15.91,15.62,15.63,3.9075,1130300
2004-10-01 00:00:00,15.63,16.78,15.52,16.65,4.1625,653400
2004-10-04 00:00:00,17.15,17.84,16.56,16.87,4.2175,788300
2004-10-05 00:00:00,16.88,17.12,16.6,16.9,4.225,340200
2004-10-06 00:00:00,16.9,17.25,16.49,17.25,4.3125,358400
2004-10-07 00:00:00,17.9,18.82,17.61,18.5,4.625,1471800
2004-10-08 00:00:00,18.46,18.46,17.47,17.62,4.405,632100
2004-10-11 00:00:00,17.64,18.35,17.6,18.18,4.545,266200
2004-10-12 00:00:00,18.0,18.39,17.67,18.39,4.5975,224300
2004-10-13 00:00:00,18.6,19.23,18.41,18.5,4.625,432000
2004-10-14 00:00:00,18.5,18.75,17.85,17.99,4.4975,261800
2004-10-15 00:00:00,18.06,18.24,17.6,17.98,4.495,236700
2004-10-18 00:00:00,17.98,17.98,17.98,17.98,4.495,173200
2004-10-19 00:00:00,18.35,18.44,18.12,18.23,4.5575,155600
2004-10-20 00:00:00,18.13,18.26,17.9,18.15,4.5375,190200
2004-10-21 00:00:00,18.17,18.68,18.04,18.4,4.6,180400
2004-10-22 00:00:00,18.5,18.58,17.25,17.4,4.35,279200
2004-10-25 00:00:00,17.55,18.36,17.55,18.15,4.5375,264000
2004-10-26 00:00:00,18.1,18.45,17.79,18.45,4.6125,119200
2004-10-27 00:00:00,18.5,19.59,18.15,19.27,4.8175,480700
2004-10-28 00:00:00,19.3,20.6,19.0,20.15,5.0375,625200
2004-10-29 00:00:00,20.1,20.32,19.41,20.32,5.08,449900
2004-11-01 00:00:00,20.5,22.0,20.4,21.7,5.425,803400
2004-11-02 00:00:00,22.5,22.5,21.77,21.96,5.49,757400
2004-11-03 00:00:00,22.21,22.7,21.5,21.67,5.4175,479400
2004-11-04 00:00:00,21.6,21.73,20.5,20.58,5.145,349600
2004-11-05 00:00:00,20.83,21.36,20.55,20.86,5.215,393700
2004-11-08 00:00:00,20.86,20.86,20.26,20.4,5.1,253600
2004-11-09 00:00:00,19.7,20.05,19.11,19.53,4.8825,483900
2004-11-10 00:00:00,19.65,19.65,19.26,19.53,4.8825,194800
2004-11-11 00:00:00,19.53,20.14,19.45,20.02,5.005,251800
2004-11-12 00:00:00,20.2,20.25,19.5,20.0,5.0,139100
2004-11-15 00:00:00,20.08,20.8,20.0,20.8,5.2,530500
2004-11-16 00:00:00,20.8,21.2,20.3,20.59,5.1475,640600
2004-11-17 00:00:00,20.8,20.95,20.27,20.84,5.21,396600
2004-11-18 00:00:00,19.0,19.0,17.31,17.82,4.455,2358100
2004-11-19 00:00:00,18.2,18.45,17.05,17.75,4.4375,788200
2004-11-22 00:00:00,17.75,18.1,17.49,17.62,4.405,218000
2004-11-23 00:00:00,17.62,18.02,17.53,17.98,4.495,276200
2004-11-24 00:00:00,18.0,18.24,17.8,18.0,4.5,226900
2004-11-26 00:00:00,17.9,17.9,17.45,17.73,4.4325,128600
2004-11-29 00:00:00,17.74,17.85,17.5,17.5,4.375,387000
2004-11-30 00:00:00,17.51,18.07,17.34,17.46,4.365,569100
