,close,5days,10days,20days
2017-12-29,102.23,0.0,0.0,0.0
2018-01-02,104.41,0.0,0.0,0.0
2018-01-03,105.29,0.0,0.0,0.0
2018-01-04,106.68,0.0,0.0,0.0
2018-01-05,108.1,0.0,0.0,0.0
2018-01-08,108.86,0.065,0.0,0.0
2018-01-09,109.15,0.045,0.0,0.0
2018-01-10,108.8,0.033,0.0,0.0
2018-01-11,109.1,0.023,0.0,0.0
2018-01-12,110.24,0.02,0.0,0.0
2018-01-16,108.89,0.0,0.065,0.0
2018-01-17,110.04,0.008,0.054,0.0
2018-01-18,111.77,0.027,0.062,0.0
2018-01-19,111.93,0.026,0.049,0.0
2018-01-22,112.89,0.024,0.044,0.0
2018-01-23,113.24,0.04,0.04,0.0
2018-01-24,112.85,0.026,0.034,0.0
2018-01-25,111.96,0.002,0.029,0.0
2018-01-26,113.7,0.016,0.042,0.0
2018-01-29,113.3,0.004,0.028,0.0
2018-01-30,112.23,-0.009,0.031,0.098
2018-01-31,113.91,0.009,0.035,0.091
2018-02-01,112.74,0.007,0.009,0.071
2018-02-02,110.78,-0.026,-0.01,0.038
2018-02-05,107.65,-0.05,-0.046,-0.004
2018-02-06,109.57,-0.024,-0.032,0.007
2018-02-07,110.05,-0.034,-0.025,0.008
2018-02-08,104.03,-0.077,-0.071,-0.044
2018-02-09,106.98,-0.034,-0.059,-0.019
2018-02-12,108.55,0.008,-0.042,-0.015
2018-02-13,107.69,-0.017,-0.04,-0.011
2018-02-14,109.02,-0.009,-0.043,-0.009
2018-02-15,113.12,0.087,0.003,0.012
2018-02-16,112.86,0.055,0.019,0.008
2018-02-20,114.35,0.053,0.062,0.013
2018-02-21,114.48,0.063,0.045,0.011
2018-02-22,113.0,0.037,0.027,0.001
2018-02-23,114.96,0.016,0.105,0.027
2018-02-26,116.65,0.034,0.09,0.026
2018-02-27,116.47,0.019,0.073,0.028
2018-02-28,116.25,0.015,0.079,0.036
2018-03-01,119.43,0.057,0.095,0.048
2018-03-02,121.92,0.061,0.078,0.081
2018-03-05,122.5,0.05,0.085,0.106
2018-03-06,124.48,0.069,0.089,0.156
2018-03-07,125.33,0.078,0.095,0.144
2018-03-08,126.36,0.058,0.118,0.148
2018-03-09,127.41,0.045,0.108,0.225
2018-03-12,126.78,0.035,0.087,0.185
2018-03-13,126.73,0.018,0.088,0.167
2018-03-14,127.99,0.021,0.101,0.189
2018-03-15,127.22,0.007,0.065,0.167
2018-03-16,125.97,-0.011,0.033,0.114
2018-03-19,124.98,-0.014,0.02,0.107
2018-03-20,125.12,-0.013,0.005,0.094
2018-03-21,121.7,-0.049,-0.029,0.063
2018-03-22,118.04,-0.072,-0.066,0.045
2018-03-23,114.43,-0.092,-0.102,-0.005
2018-03-26,118.97,-0.048,-0.062,0.02
2018-03-27,113.81,-0.09,-0.102,-0.023
2018-03-28,112.88,-0.072,-0.118,-0.029
2018-03-29,116.3,-0.015,-0.086,-0.026
2018-04-02,115.3,0.008,-0.085,-0.054
2018-04-03,116.49,-0.021,-0.068,-0.049
2018-04-04,119.48,0.05,-0.045,-0.04
2018-04-05,119.04,0.055,-0.022,-0.05
2018-04-06,116.1,-0.002,-0.016,-0.081
2018-04-09,117.19,0.016,0.024,-0.08
2018-04-10,119.49,0.026,0.004,-0.058
2018-04-11,119.16,-0.003,0.047,-0.06
2018-04-12,121.4,0.02,0.075,-0.051
2018-04-13,119.01,0.025,0.023,-0.065
2018-04-16,119.41,0.019,0.036,-0.052
2018-04-17,123.35,0.032,0.059,-0.013
2018-04-18,124.46,0.044,0.042,-0.005
2018-04-19,124.06,0.022,0.042,0.019
2018-04-20,122.82,0.032,0.058,0.04
2018-04-23,121.89,0.021,0.04,0.065
2018-04-24,117.88,-0.044,-0.013,-0.009
2018-04-25,117.32,-0.057,-0.015,0.031
2018-04-26,120.83,-0.026,-0.005,0.07
2018-04-27,120.22,-0.021,0.01,0.034
2018-04-30,120.99,-0.007,0.013,0.049
2018-05-01,123.11,0.044,-0.002,0.057
2018-05-02,122.82,0.047,-0.013,0.028
2018-05-03,124.41,0.03,0.003,0.045
2018-05-04,125.12,0.041,0.019,0.078
2018-05-07,126.97,0.049,0.042,0.083
2018-05-08,128.75,0.046,0.092,0.077
2018-05-09,129.73,0.056,0.106,0.089
2018-05-10,130.62,0.05,0.081,0.076
2018-05-11,130.63,0.044,0.087,0.098
2018-05-14,127.69,0.006,0.055,0.069
2018-05-15,128.13,-0.005,0.041,0.039
2018-05-16,128.77,-0.007,0.048,0.035
2018-05-17,126.05,-0.035,0.013,0.016
2018-05-18,126.96,-0.028,0.015,0.034
2018-05-21,126.37,-0.01,-0.005,0.037
2018-05-22,125.44,-0.021,-0.026,0.064
2018-05-23,128.09,-0.005,-0.013,0.092
2018-05-24,128.74,0.021,-0.014,0.065
2018-05-25,127.96,0.008,-0.02,0.064
2018-05-29,126.88,0.004,-0.006,0.049
2018-05-30,129.3,0.031,0.009,0.05
2018-05-31,129.33,0.01,0.004,0.053
2018-06-01,130.52,0.014,0.035,0.049
2018-06-04,132.65,0.037,0.045,0.06
2018-06-05,134.12,0.057,0.061,0.056
2018-06-06,135.55,0.048,0.081,0.053
2018-06-07,132.91,0.028,0.038,0.025
2018-06-08,133.53,0.023,0.037,0.022
2018-06-11,133.98,0.01,0.047,0.026
2018-06-12,136.26,0.016,0.074,0.067
2018-06-13,136.5,0.007,0.056,0.065
2018-06-14,138.41,0.041,0.07,0.075
2018-06-15,138.41,0.037,0.06,0.098
2018-06-18,139.8,0.043,0.054,0.101
2018-06-19,139.52,0.024,0.04,0.104
2018-06-20,138.94,0.018,0.025,0.108
2018-06-21,137.88,-0.004,0.037,0.076
2018-06-22,135.01,-0.025,0.011,0.049
2018-06-25,133.19,-0.047,-0.006,0.041
2018-06-26,135.48,-0.029,-0.006,0.068
2018-06-27,133.22,-0.041,-0.024,0.03
2018-06-28,135.12,-0.02,-0.024,0.045
2018-06-29,136.4,0.01,-0.015,0.045
2018-07-02,140.43,0.054,0.005,0.059
2018-07-03,137.84,0.017,-0.012,0.028
2018-07-05,139.77,0.049,0.006,0.031
2018-07-06,141.4,0.046,0.026,0.064
2018-07-09,141.76,0.039,0.05,0.062
2018-07-10,142.45,0.014,0.07,0.063
2018-07-11,145.25,0.054,0.072,0.066
2018-07-12,148.16,0.06,0.112,0.085
2018-07-13,147.61,0.044,0.092,0.066
2018-07-16,146.96,0.037,0.077,0.062
2018-07-17,147.02,0.032,0.047,0.052
2018-07-18,147.84,0.018,0.073,0.06
2018-07-19,147.16,-0.007,0.053,0.059
2018-07-20,146.87,-0.005,0.039,0.065
2018-07-23,147.56,0.004,0.041,0.093
2018-07-24,146.0,-0.007,0.025,0.096
2018-07-25,148.87,0.007,0.025,0.099
2018-07-26,147.57,0.003,-0.004,0.108
2018-07-27,143.91,-0.02,-0.025,0.065
2018-07-30,138.03,-0.065,-0.061,0.012
2018-07-31,137.15,-0.061,-0.067,-0.023
2018-08-01,137.68,-0.075,-0.069,-0.001
2018-08-02,141.14,-0.044,-0.041,0.01
2018-08-03,141.04,-0.02,-0.04,-0.003
2018-08-06,142.71,0.034,-0.033,0.007
2018-08-07,144.44,0.053,-0.011,0.014
2018-08-08,145.17,0.054,-0.025,-0.001
2018-08-09,145.82,0.033,-0.012,-0.016
2018-08-10,145.51,0.032,0.011,-0.014
2018-08-13,144.45,0.012,0.047,-0.017
2018-08-14,146.57,0.015,0.069,-0.003
2018-08-15,145.04,-0.001,0.053,-0.019
2018-08-16,145.73,-0.001,0.033,-0.01
2018-08-17,145.02,-0.003,0.028,-0.013
2018-08-20,145.71,0.009,0.021,-0.013
2018-08-21,145.53,-0.007,0.008,-0.003
2018-08-22,146.46,0.01,0.009,-0.016
2018-08-23,147.83,0.014,0.014,0.002
2018-08-24,152.3,0.05,0.047,0.058
2018-08-27,151.68,0.041,0.05,0.099
2018-08-28,152.99,0.051,0.044,0.115
2018-08-29,154.8,0.057,0.067,0.124
2018-08-30,152.14,0.029,0.044,0.078
2018-08-31,152.68,0.002,0.053,0.083
2018-09-04,153.21,0.01,0.051,0.074
2018-09-05,148.65,-0.028,0.021,0.029
2018-09-06,148.83,-0.039,0.016,0.025
2018-09-07,150.43,-0.011,0.018,0.032
2018-09-10,151.32,-0.009,-0.006,0.04
2018-09-11,152.84,-0.002,0.008,0.058
2018-09-12,155.37,0.045,0.016,0.06
2018-09-13,158.18,0.063,0.022,0.091
2018-09-14,157.49,0.047,0.035,0.081
2018-09-17,154.92,0.024,0.015,0.068
2018-09-18,156.0,0.021,0.018,0.071
2018-09-19,152.9,-0.016,0.029,0.051
2018-09-20,155.5,-0.017,0.045,0.062
2018-09-21,155.52,-0.013,0.034,0.052
2018-09-24,158.78,0.025,0.049,0.043
2018-09-25,158.87,0.018,0.039,0.047
2018-09-26,158.33,0.036,0.019,0.035
2018-09-27,160.43,0.032,0.014,0.036
2018-09-28,159.03,0.023,0.01,0.045
2018-10-01,159.86,0.007,0.032,0.047
2018-10-02,157.26,-0.01,0.008,0.026
2018-10-03,159.1,0.005,0.041,0.07
2018-10-04,154.9,-0.034,-0.004,0.041
2018-10-05,155.07,-0.025,-0.003,0.031
2018-10-08,148.65,-0.07,-0.064,-0.018
2018-10-09,148.5,-0.056,-0.065,-0.028
2018-10-10,137.81,-0.134,-0.13,-0.113
2018-10-11,139.24,-0.101,-0.132,-0.12
2018-10-12,146.74,-0.054,-0.077,-0.068
2018-10-15,141.95,-0.045,-0.112,-0.084
2018-10-16,147.44,-0.007,-0.062,-0.055
2018-10-17,147.01,0.067,-0.076,-0.039
2018-10-18,142.84,0.026,-0.078,-0.081
2018-10-19,140.49,-0.043,-0.094,-0.097
2018-10-22,142.95,0.007,-0.038,-0.1
2018-10-23,140.66,-0.046,-0.053,-0.115
2018-10-24,133.26,-0.094,-0.033,-0.158
2018-10-25,140.8,-0.014,0.011,-0.122
2018-10-26,135.52,-0.035,-0.076,-0.148
2018-10-29,130.99,-0.084,-0.077,-0.181
2018-10-30,132.17,-0.06,-0.104,-0.16
2018-10-31,137.24,0.03,-0.066,-0.137
2018-11-01,139.59,-0.009,-0.023,-0.099
2018-11-02,136.79,0.009,-0.026,-0.118
2018-11-05,135.44,0.034,-0.053,-0.089
2018-11-06,133.95,0.013,-0.048,-0.098
2018-11-07,141.79,0.033,0.064,0.029
2018-11-08,141.87,0.016,0.008,0.019
2018-11-09,136.92,0.001,0.01,-0.067
2018-11-12,130.5,-0.036,-0.004,-0.081
2018-11-13,132.16,-0.013,-0.0,-0.104
2018-11-14,129.35,-0.088,-0.057,-0.12
2018-11-15,132.49,-0.066,-0.051,-0.072
2018-11-16,132.55,-0.032,-0.031,-0.057
2018-11-19,121.01,-0.073,-0.107,-0.153
2018-11-20,120.67,-0.087,-0.099,-0.142
2018-11-21,123.59,-0.045,-0.128,-0.073
2018-11-23,122.03,-0.079,-0.14,-0.133
2018-11-26,126.41,-0.046,-0.077,-0.067
2018-11-27,127.54,0.054,-0.023,-0.026
2018-11-28,140.64,0.165,0.064,0.064
2018-11-29,139.72,0.131,0.08,0.018
2018-11-30,142.76,0.17,0.078,0.023
2018-12-03,144.15,0.14,0.088,0.054
2018-12-04,139.24,0.092,0.151,0.028
2018-12-06,142.06,0.01,0.177,0.061
2018-12-07,135.95,-0.027,0.1,-0.041
2018-12-10,137.27,-0.038,0.125,-0.032
2018-12-11,136.79,-0.051,0.082,-0.001
2018-12-12,140.09,0.006,0.098,0.073
2018-12-13,141.14,-0.006,0.004,0.068
2018-12-14,137.04,0.008,-0.019,0.059
2018-12-17,130.83,-0.047,-0.084,-0.013
2018-12-18,132.32,-0.033,-0.082,-0.002
2018-12-19,131.16,-0.064,-0.058,0.084
2018-12-20,127.73,-0.095,-0.101,0.059
2018-12-21,122.91,-0.103,-0.096,-0.006
2018-12-24,121.33,-0.073,-0.116,-0.006
2018-12-26,130.84,-0.011,-0.043,0.035
2018-12-27,135.2,0.031,-0.035,0.06
2018-12-28,134.68,0.054,-0.046,-0.042
2018-12-31,136.97,0.114,-0.001,-0.02
2019-01-02,135.55,0.117,0.036,-0.051
2019-01-03,130.4,-0.003,-0.015,-0.095
2019-01-04,137.96,0.02,0.052,-0.009
2019-01-07,142.22,0.056,0.113,0.001
2019-01-08,145.72,0.064,0.186,0.072
2019-01-09,145.99,0.077,0.203,0.064
2019-01-10,147.04,0.128,0.124,0.075
2019-01-11,147.55,0.07,0.091,0.053
2019-01-14,146.05,0.027,0.084,0.035
2019-01-15,149.19,0.024,0.089,0.089
2019-01-16,148.54,0.017,0.096,0.135
2019-01-17,149.82,0.019,0.149,0.132
2019-01-18,152.51,0.034,0.105,0.163
2019-01-22,148.95,0.02,0.047,0.166
2019-01-23,149.75,0.004,0.028,0.218
2019-01-24,146.87,-0.011,0.006,0.211
2019-01-25,149.74,-0.001,0.018,0.144
2019-01-28,147.33,-0.034,-0.001,0.09
2019-01-29,145.18,-0.025,-0.006,0.078
2019-01-30,149.16,-0.004,-0.0,0.089
2019-01-31,151.97,0.035,0.023,0.121
2019-02-01,155.87,0.041,0.04,0.195
2019-02-04,157.72,0.071,0.034,0.143
2019-02-05,158.99,0.095,0.067,0.118
2019-02-06,158.13,0.06,0.056,0.085
2019-02-07,154.93,0.019,0.055,0.061
2019-02-08,156.67,0.005,0.046,0.065
2019-02-11,159.91,0.014,0.085,0.084
2019-02-12,162.79,0.024,0.121,0.115
2019-02-13,160.4,0.014,0.075,0.075
2019-02-14,159.47,0.029,0.049,0.074
2019-02-15,159.05,0.015,0.02,0.062
2019-02-19,160.61,0.004,0.018,0.053
2019-02-20,158.54,-0.026,-0.003,0.064
2019-02-21,159.63,-0.005,0.009,0.066
2019-02-22,161.31,0.012,0.041,0.098
2019-02-25,161.36,0.015,0.03,0.078
2019-02-26,163.0,0.015,0.019,0.106
2019-02-27,163.12,0.029,0.002,0.124
2019-02-28,163.65,0.025,0.02,0.097
2019-03-01,164.53,0.02,0.032,0.083
2019-03-04,158.5,-0.018,-0.003,0.017
2019-03-05,156.97,-0.037,-0.023,-0.005
2019-03-06,156.79,-0.039,-0.011,-0.014
2019-03-07,155.6,-0.049,-0.025,-0.016
2019-03-08,155.06,-0.058,-0.039,0.001
2019-03-11,157.65,-0.005,-0.023,0.006
2019-03-12,158.28,0.008,-0.029,-0.01
2019-03-13,159.81,0.019,-0.02,-0.018
2019-03-14,160.67,0.033,-0.018,0.002
2019-03-15,161.51,0.042,-0.018,0.013
2019-03-18,161.95,0.027,0.022,0.018
2019-03-19,163.93,0.036,0.044,0.021
2019-03-20,163.51,0.023,0.043,0.031
