date,open,high,low,close,adjusted close,volume
1998-01-02 00:00:00,56.63,58.38,55.63,58.06,7.6505,7142267
1998-01-05 00:00:00,58.13,59.13,56.75,57.94,7.6347,11792467
1998-01-06 00:00:00,57.25,58.38,56.13,57.19,7.5359,9039000
1998-01-07 00:00:00,56.88,56.88,54.94,55.5,7.3132,12362467
1998-01-08 00:00:00,54.94,56.75,53.5,56.13,7.3962,12657267
1998-01-09 00:00:00,55.38,56.13,53.88,54.25,7.1485,13999000
1998-01-12 00:00:00,52.0,55.75,51.5,55.69,7.3382,13087667
1998-01-13 00:00:00,56.0,56.44,55.13,56.0,7.3791,10393200
1998-01-14 00:00:00,56.88,57.13,55.88,57.0,7.5108,8698067
1998-01-15 00:00:00,56.75,58.25,56.56,57.44,7.5688,8331867
1998-01-16 00:00:00,58.25,58.75,57.56,57.88,7.6268,8095267
1998-01-20 00:00:00,58.31,59.5,58.13,59.5,7.8402,9487200
1998-01-21 00:00:00,58.75,59.5,56.75,59.38,7.8244,8710067
1998-01-22 00:00:00,58.56,59.19,57.56,57.75,7.6096,7239800
1998-01-23 00:00:00,58.31,58.63,56.5,57.69,7.6017,7794667
1998-01-26 00:00:00,57.94,58.0,55.81,56.63,7.4621,6659067
1998-01-27 00:00:00,56.63,59.38,55.88,59.25,7.8073,11252867
1998-01-28 00:00:00,59.88,62.38,59.69,61.88,8.1539,17443667
1998-01-29 00:00:00,62.0,64.75,61.88,63.75,8.4003,20851467
1998-01-30 00:00:00,64.31,64.38,62.75,63.06,8.3093,8654800
1998-02-02 00:00:00,64.94,65.63,63.5,63.94,8.4253,14033467
1998-02-03 00:00:00,63.94,64.81,62.13,63.0,8.3014,14741200
1998-02-04 00:00:00,63.5,65.75,63.38,64.56,8.507,20847667
1998-02-05 00:00:00,65.75,66.19,64.38,64.38,8.4833,12614000
1998-02-06 00:00:00,64.25,66.0,63.5,65.94,8.6888,7841467
1998-02-09 00:00:00,66.38,66.38,63.38,64.0,8.4332,9323867
1998-02-10 00:00:00,64.25,65.13,63.38,64.75,8.532,9740200
1998-02-11 00:00:00,65.06,65.13,64.06,64.88,8.5492,5452800
1998-02-12 00:00:00,64.31,65.88,64.13,65.25,8.5979,7530267
1998-02-13 00:00:00,64.94,65.81,64.5,64.88,8.5492,5037200
1998-02-17 00:00:00,65.88,66.0,64.13,64.94,8.5571,6943800
1998-02-18 00:00:00,64.63,65.63,64.5,65.5,8.6309,7425800
1998-02-19 00:00:00,65.75,66.25,65.38,65.44,8.623,7295400
1998-02-20 00:00:00,65.88,66.13,64.69,65.81,8.6717,8516667
1998-02-23 00:00:00,66.38,66.5,65.19,65.63,8.648,6374467
1998-02-24 00:00:00,65.88,66.94,64.75,64.75,8.532,9679067
1998-02-25 00:00:00,65.38,66.94,64.81,66.75,8.7956,8602467
1998-02-26 00:00:00,66.44,66.63,65.75,66.5,8.7626,7790600
1998-02-27 00:00:00,67.13,68.5,65.88,65.88,8.6809,9739867
1998-03-02 00:00:00,66.88,67.25,64.5,65.25,8.5979,7527800
1998-03-03 00:00:00,64.31,65.0,63.38,64.5,8.4991,8762267
