date,open,high,low,close,adjusted close,volume
2003-12-09 00:00:00,24.01,37.35,24.0,33.94,1.0417,5603400
2003-12-10 00:00:00,34.25,34.5,29.76,32.51,0.9978,1713700
2003-12-11 00:00:00,32.35,34.0,31.2,33.7,1.0343,768500
2003-12-12 00:00:00,33.7,40.09,32.75,39.29,1.2059,1325500
2003-12-15 00:00:00,41.67,43.05,33.64,34.5,1.0589,1355700
2003-12-16 00:00:00,34.6,34.6,31.22,33.07,1.015,885200
2003-12-17 00:00:00,33.5,34.65,31.511,32.05,0.9837,596300
2003-12-18 00:00:00,32.04,33.1,29.77,30.1,0.9238,411900
2003-12-19 00:00:00,29.69,29.8,27.99,28.5,0.8747,713900
2003-12-22 00:00:00,28.7,32.75,28.7,32.39,0.9941,502200
2003-12-23 00:00:00,31.99,34.7,31.1,32.586,1.0001,522400
2003-12-24 00:00:00,32.7,33.81,32.11,32.989,1.0125,101900
2003-12-26 00:00:00,33.14,34.9,33.0,33.9,1.0404,233400
2003-12-29 00:00:00,34.42,34.43,31.51,32.18,0.9877,542600
2003-12-30 00:00:00,32.4,33.85,32.0,32.94,1.011,245500
2003-12-31 00:00:00,33.0,34.1,32.4,34.01,1.0438,144000
2004-01-02 00:00:00,33.87,39.41,33.82,38.0,1.1663,545100
2004-01-05 00:00:00,38.34,41.64,37.74,39.22,1.2037,327400
2004-01-06 00:00:00,39.57,39.83,36.01,37.4,1.1479,242800
2004-01-07 00:00:00,37.79,38.45,36.56,37.801,1.1602,114800
2004-01-08 00:00:00,37.36,38.2,35.6,36.689,1.126,226100
2004-01-09 00:00:00,36.27,36.83,34.96,35.23,1.0813,127900
2004-01-12 00:00:00,35.75,36.48,33.51,34.25,1.0512,170700
2004-01-13 00:00:00,34.78,35.68,33.3,34.67,1.0641,255500
2004-01-14 00:00:00,35.5,36.3,34.8,35.17,1.0794,187100
2004-01-15 00:00:00,35.65,36.1,34.5,34.7,1.065,98100
2004-01-16 00:00:00,35.0,35.5,33.26,34.04,1.0447,68600
2004-01-20 00:00:00,34.75,36.0,34.55,34.99,1.0739,257800
2004-01-21 00:00:00,35.49,35.49,32.54,32.99,1.0125,420300
2004-01-22 00:00:00,33.91,34.0,31.8,32.33,0.9923,183900
2004-01-23 00:00:00,32.83,33.54,31.85,32.5,0.9975,68100
2004-01-26 00:00:00,32.5,33.5,32.0,33.18,1.0183,100300
2004-01-27 00:00:00,33.4,33.4,31.7,31.87,0.9781,95600
2004-01-28 00:00:00,32.0,32.05,28.3,28.68,0.8802,427800
2004-01-29 00:00:00,29.4,29.95,28.05,29.09,0.8928,164500
2004-01-30 00:00:00,28.8,29.09,28.1,29.0,0.8901,90400
2004-02-02 00:00:00,28.5,29.2,28.2,28.97,0.8891,97700
2004-02-03 00:00:00,28.5,29.0,27.1,28.3,0.8686,172500
2004-02-04 00:00:00,28.4,28.45,27.11,27.35,0.8394,95300
2004-02-05 00:00:00,27.39,27.49,24.75,26.12,0.8017,629500
2004-02-06 00:00:00,26.75,26.75,25.55,26.3,0.8072,419600
2004-02-09 00:00:00,26.7,29.69,26.65,28.58,0.8772,457500
2004-02-10 00:00:00,28.94,29.0,28.26,28.5,0.8747,109900
2004-02-11 00:00:00,28.98,29.48,28.5,28.999,0.89,65000
2004-02-12 00:00:00,28.71,29.4,28.26,28.48,0.8741,50000
2004-02-13 00:00:00,28.85,29.15,28.438,28.438,0.8728,88400
2004-02-17 00:00:00,29.24,29.24,27.56,28.83,0.8848,70300
2004-02-18 00:00:00,29.25,32.47,28.9,32.26,0.9901,315500
2004-02-19 00:00:00,32.8,33.85,32.239,32.58,0.9999,198300
2004-02-20 00:00:00,33.17,33.17,30.1,31.08,0.9539,172300
2004-02-23 00:00:00,31.7,32.85,31.6,32.77,1.0058,169400
2004-02-24 00:00:00,27.75,29.98,27.29,28.3,0.8686,626800
2004-02-25 00:00:00,28.0,28.6,27.51,28.08,0.8618,165000
2004-02-26 00:00:00,28.08,29.49,27.6,29.3,0.8993,79900
2004-02-27 00:00:00,29.5,29.5,28.95,29.21,0.8965,61700
2004-03-01 00:00:00,29.21,29.49,27.72,29.0,0.8901,121600
2004-03-02 00:00:00,29.05,30.415,28.91,30.25,0.9284,98700
2004-03-03 00:00:00,30.26,30.6,29.52,30.08,0.9232,22600
2004-03-04 00:00:00,29.53,30.55,29.53,30.5,0.9361,33200
2004-03-05 00:00:00,30.5,31.5,28.7,31.23,0.9585,66300
2004-03-08 00:00:00,31.23,31.73,31.0,31.05,0.953,48600
2004-03-09 00:00:00,31.46,31.6,30.651,31.04,0.9527,34700
2004-03-10 00:00:00,30.8,31.7,30.5,30.65,0.9407,152900
2004-03-11 00:00:00,30.32,30.5,28.86,29.1,0.8931,53600
2004-03-12 00:00:00,29.59,32.42,29.29,30.61,0.9395,74100
2004-03-15 00:00:00,30.7,31.14,29.4,29.69,0.9112,23400
2004-03-16 00:00:00,29.9,30.2,29.33,29.33,0.9002,60800
2004-03-17 00:00:00,29.61,30.64,29.4,30.33,0.9309,23300
2004-03-18 00:00:00,30.33,30.7,29.5,30.49,0.9358,24900
2004-03-19 00:00:00,30.25,30.78,29.6,30.03,0.9217,6100
2004-03-22 00:00:00,30.05,30.05,28.82,29.11,0.8934,127400
2004-03-23 00:00:00,29.09,29.34,28.69,29.1,0.8931,45300
2004-03-24 00:00:00,28.61,28.91,27.1,27.5,0.844,176500
2004-03-25 00:00:00,27.8,28.73,27.8,28.5,0.8747,68500
2004-03-26 00:00:00,28.74,28.75,27.79,28.36,0.8704,64500
2004-03-29 00:00:00,27.82,28.69,26.75,28.24,0.8667,208800
2004-03-30 00:00:00,28.0,28.72,27.81,28.08,0.8618,33900
2004-03-31 00:00:00,28.1,28.75,27.86,28.45,0.8732,42700
2004-04-01 00:00:00,28.73,28.74,27.9,28.73,0.8818,39600
2004-04-02 00:00:00,28.7,28.81,28.28,28.65,0.8793,29500
2004-04-05 00:00:00,28.65,28.65,28.05,28.16,0.8643,38200
2004-04-06 00:00:00,28.06,28.15,27.6,27.75,0.8517,48000
2004-04-07 00:00:00,27.5,27.98,27.5,27.59,0.8468,15900
2004-04-08 00:00:00,27.999,28.65,27.89,28.65,0.8793,75300
2004-04-12 00:00:00,28.1,29.75,28.1,29.3,0.8993,66500
2004-04-13 00:00:00,29.81,29.9,28.3,28.54,0.8759,48500
2004-04-14 00:00:00,28.75,28.75,27.68,27.68,0.8495,37600
