,close,5days,10days,20days
2017-12-29,69.2,0.0,0.0,0.0
2018-01-02,70.21,0.0,0.0,0.0
2018-01-03,71.61,0.0,0.0,0.0
2018-01-04,70.28,0.0,0.0,0.0
2018-01-05,70.28,0.0,0.0,0.0
2018-01-08,70.63,0.021,0.0,0.0
2018-01-09,70.8,0.008,0.0,0.0
2018-01-10,72.69,0.015,0.0,0.0
2018-01-11,73.7,0.049,0.0,0.0
2018-01-12,74.52,0.06,0.0,0.0
2018-01-16,73.2,0.036,0.058,0.0
2018-01-17,74.07,0.046,0.055,0.0
2018-01-18,73.04,0.005,0.02,0.0
2018-01-19,73.95,0.003,0.052,0.0
2018-01-22,74.42,-0.001,0.059,0.0
2018-01-23,73.57,0.005,0.042,0.0
2018-01-24,73.31,-0.01,0.035,0.0
2018-01-25,74.95,0.026,0.031,0.0
2018-01-26,76.82,0.039,0.042,0.0
2018-01-29,77.15,0.037,0.035,0.0
2018-01-30,76.06,0.034,0.039,0.099
2018-01-31,76.81,0.048,0.037,0.094
2018-02-01,77.09,0.029,0.055,0.077
2018-02-02,84.01,0.094,0.136,0.195
2018-02-05,80.12,0.038,0.077,0.14
2018-02-06,79.3,0.043,0.078,0.123
2018-02-07,77.83,0.013,0.062,0.099
2018-02-08,76.15,-0.012,0.016,0.048
2018-02-09,77.35,-0.079,0.007,0.05
2018-02-12,78.98,-0.014,0.024,0.06
2018-02-13,79.8,0.006,0.049,0.09
2018-02-14,81.79,0.051,0.065,0.104
2018-02-15,83.32,0.094,0.081,0.141
2018-02-16,82.15,0.062,-0.022,0.111
2018-02-20,82.66,0.047,0.032,0.111
2018-02-21,82.16,0.03,0.036,0.117
2018-02-22,81.94,0.002,0.053,0.118
2018-02-23,83.28,-0.0,0.094,0.111
2018-02-26,83.45,0.016,0.079,0.086
2018-02-27,81.76,-0.011,0.035,0.06
2018-02-28,81.67,-0.006,0.023,0.074
2018-03-01,81.48,-0.006,-0.004,0.061
2018-03-02,83.02,-0.003,-0.004,0.077
2018-03-05,85.8,0.028,0.044,0.021
2018-03-06,84.36,0.032,0.021,0.053
2018-03-07,84.41,0.034,0.027,0.064
2018-03-08,85.73,0.052,0.046,0.102
2018-03-09,86.64,0.044,0.04,0.138
2018-03-12,86.41,0.007,0.035,0.117
2018-03-13,84.22,-0.002,0.03,0.066
2018-03-14,84.67,0.003,0.037,0.061
2018-03-15,84.54,-0.014,0.038,0.034
2018-03-16,83.33,-0.038,0.004,0.0
2018-03-19,82.56,-0.045,-0.038,0.005
2018-03-20,83.59,-0.007,-0.009,0.011
2018-03-21,84.1,-0.007,-0.004,0.024
2018-03-22,82.8,-0.021,-0.034,0.01
2018-03-23,81.41,-0.023,-0.06,-0.022
2018-03-26,84.24,0.02,-0.025,0.009
2018-03-27,81.5,-0.025,-0.032,-0.003
2018-03-28,79.2,-0.058,-0.065,-0.03
2018-03-29,80.82,-0.024,-0.044,-0.008
