,close,5days,10days,20days
2018-03-23,28.48,0.0,0.0,0.0
2018-03-26,30.45,0.0,0.0,0.0
2018-03-27,29.9,0.0,0.0,0.0
2018-03-28,30.98,0.0,0.0,0.0
2018-03-29,31.25,0.0,0.0,0.0
2018-04-02,30.01,0.054,0.0,0.0
2018-04-03,31.59,0.037,0.0,0.0
2018-04-04,30.85,0.032,0.0,0.0
2018-04-05,30.535,-0.014,0.0,0.0
2018-04-06,30.24,-0.032,0.0,0.0
2018-04-09,30.14,0.004,0.058,0.0
2018-04-10,31.23,-0.011,0.026,0.0
2018-04-11,32.32,0.048,0.081,0.0
2018-04-12,33.27,0.09,0.074,0.0
2018-04-13,30.0,-0.008,-0.04,0.0
2018-04-16,29.02,-0.037,-0.033,0.0
2018-04-17,29.83,-0.045,-0.056,0.0
2018-04-18,30.56,-0.054,-0.009,0.0
2018-04-19,29.9,-0.101,-0.021,0.0
2018-04-20,28.92,-0.036,-0.044,0.0
2018-04-23,29.11,0.003,-0.034,0.022
2018-04-24,28.94,-0.03,-0.073,-0.05
2018-04-25,28.64,-0.063,-0.114,-0.042
2018-04-26,29.33,-0.019,-0.118,-0.053
2018-04-27,29.61,0.024,-0.013,-0.052
2018-04-30,30.11,0.034,0.038,0.003
2018-05-01,30.9,0.068,0.036,-0.022
2018-05-02,31.01,0.083,0.015,0.005
2018-05-03,30.19,0.029,0.01,-0.011
2018-05-04,29.13,-0.016,0.007,-0.037
2018-05-07,29.41,-0.023,0.01,-0.024
2018-05-08,30.23,-0.022,0.045,-0.032
2018-05-09,31.4,0.013,0.096,-0.028
2018-05-10,32.0,0.06,0.091,-0.038
2018-05-11,31.28,0.074,0.056,0.043
2018-05-14,29.96,0.019,-0.005,0.032
2018-05-15,29.55,-0.022,-0.044,-0.009
2018-05-16,30.74,-0.021,-0.009,0.006
2018-05-17,30.55,-0.045,0.012,0.022
2018-05-18,30.2,-0.035,0.037,0.044
2018-05-21,30.09,0.004,0.023,0.034
2018-05-22,30.09,0.018,-0.005,0.04
2018-05-23,29.74,-0.033,-0.053,0.038
2018-05-24,30.2,-0.011,-0.056,0.03
2018-05-25,29.97,-0.008,-0.042,0.012
2018-05-29,29.78,-0.01,-0.006,-0.011
2018-05-30,30.47,0.013,0.031,-0.014
2018-05-31,29.99,0.008,-0.024,-0.033
2018-06-01,29.65,-0.018,-0.029,-0.018
2018-06-04,29.98,0.0,-0.007,0.029
2018-06-05,30.89,0.037,0.027,0.05
2018-06-06,31.23,0.025,0.038,0.033
2018-06-07,30.27,0.009,0.018,-0.036
2018-06-08,29.96,0.01,-0.008,-0.064
2018-06-11,30.1,0.004,0.004,-0.038
2018-06-12,30.83,-0.002,0.035,0.029
2018-06-13,31.67,0.014,0.039,0.072
2018-06-14,36.12,0.193,0.204,0.175
2018-06-15,39.6,0.322,0.336,0.296
2018-06-18,42.0,0.395,0.401,0.391
2018-06-19,39.7,0.288,0.285,0.319
2018-06-20,37.3,0.178,0.194,0.24
2018-06-21,35.69,-0.012,0.179,0.2
2018-06-22,33.72,-0.148,0.126,0.117
2018-06-25,32.52,-0.226,0.08,0.085
2018-06-26,32.77,-0.175,0.063,0.1
2018-06-27,31.22,-0.163,-0.014,0.025
2018-06-28,33.4,-0.064,-0.075,0.114
2018-06-29,32.42,-0.039,-0.181,0.093
2018-07-02,32.8,0.009,-0.219,0.094
2018-07-03,32.0,-0.023,-0.194,0.036
2018-07-05,31.46,0.008,-0.157,0.007
2018-07-06,31.36,-0.061,-0.121,0.036
2018-07-09,31.78,-0.02,-0.058,0.061
2018-07-10,31.28,-0.046,-0.038,0.039
2018-07-11,30.94,-0.033,-0.056,0.004
2018-07-12,32.42,0.031,0.038,0.024
2018-07-13,32.17,0.026,-0.037,-0.109
2018-07-16,32.27,0.015,-0.005,-0.185
2018-07-17,31.65,0.012,-0.035,-0.246
2018-07-18,31.24,0.01,-0.024,-0.213
2018-07-19,31.3,-0.035,-0.005,-0.161
2018-07-20,31.0,-0.036,-0.011,-0.131
2018-07-23,31.8,-0.015,0.001,-0.057
2018-07-24,30.75,-0.028,-0.017,-0.054
2018-07-25,31.31,0.002,0.012,-0.045
2018-07-26,30.71,-0.019,-0.053,-0.016
