,close,5days,10days,20days
2017-12-29,75.4063,0.0,0.0,0.0
2018-01-02,75.3965,0.0,0.0,0.0
2018-01-03,75.9553,0.0,0.0,0.0
2018-01-04,76.7102,0.0,0.0,0.0
2018-01-05,76.6219,0.0,0.0,0.0
2018-01-08,76.0436,0.008,0.0,0.0
2018-01-09,76.7004,0.017,0.0,0.0
2018-01-10,77.9062,0.026,0.0,0.0
2018-01-11,78.7787,0.027,0.0,0.0
2018-01-12,78.9257,0.03,0.0,0.0
2018-01-16,77.3866,0.018,0.026,0.0
2018-01-17,77.3768,0.009,0.026,0.0
2018-01-18,76.6808,-0.016,0.01,0.0
2018-01-19,76.7788,-0.025,0.001,0.0
2018-01-22,77.318,-0.02,0.009,0.0
2018-01-23,77.1709,-0.003,0.015,0.0
2018-01-24,77.1905,-0.002,0.006,0.0
2018-01-25,78.7198,0.027,0.01,0.0
2018-01-26,79.3865,0.034,0.008,0.0
2018-01-29,79.71,0.031,0.01,0.0
2018-01-30,78.1512,0.013,0.01,0.036
2018-01-31,78.2297,0.013,0.011,0.038
2018-02-01,79.0335,0.004,0.031,0.041
2018-02-02,77.416,-0.025,0.008,0.009
2018-02-05,73.4065,-0.079,-0.051,-0.042
2018-02-06,74.6417,-0.045,-0.033,-0.018
2018-02-07,75.1221,-0.04,-0.027,-0.021
2018-02-08,70.9753,-0.102,-0.098,-0.089
2018-02-09,72.6516,-0.062,-0.085,-0.078
2018-02-12,74.4554,0.014,-0.066,-0.057
2018-02-13,74.9946,0.005,-0.04,-0.031
2018-02-14,76.0828,0.013,-0.027,-0.017
2018-02-15,77.0239,0.085,-0.025,0.004
2018-02-16,77.965,0.073,0.007,0.015
2018-02-20,78.063,0.048,0.063,0.01
2018-02-21,77.3866,0.032,0.037,0.003
2018-02-22,76.5595,0.006,0.019,-0.008
2018-02-23,78.2039,0.015,0.102,-0.007
2018-02-26,79.1984,0.016,0.09,-0.002
2018-02-27,78.3417,0.004,0.052,-0.017
2018-02-28,77.6229,0.003,0.035,-0.007
2018-03-01,74.0584,-0.033,-0.027,-0.053
2018-03-02,74.6787,-0.045,-0.03,-0.055
2018-03-05,75.8899,-0.042,-0.027,-0.02
2018-03-06,75.6339,-0.035,-0.031,0.03
2018-03-07,75.4566,-0.028,-0.025,0.011
2018-03-08,75.9194,0.025,-0.008,0.011
2018-03-09,77.2192,0.034,-0.013,0.088
2018-03-12,76.9533,0.014,-0.028,0.059
2018-03-13,76.1459,0.007,-0.028,0.023
2018-03-14,75.2892,-0.002,-0.03,0.004
2018-03-15,74.2159,-0.022,0.002,-0.025
2018-03-16,75.368,-0.024,0.009,-0.021
2018-03-19,74.8756,-0.027,-0.013,-0.04
2018-03-20,74.2061,-0.025,-0.019,-0.049
2018-03-21,73.7137,-0.021,-0.023,-0.047
2018-03-22,70.7892,-0.046,-0.068,-0.075
2018-03-23,68.9971,-0.085,-0.106,-0.118
2018-03-26,70.6907,-0.056,-0.081,-0.107
2018-03-27,69.1546,-0.068,-0.092,-0.117
2018-03-28,69.2038,-0.061,-0.081,-0.108
2018-03-29,70.8286,0.001,-0.046,-0.044
2018-04-02,68.5146,-0.007,-0.091,-0.083
2018-04-03,69.5189,-0.017,-0.072,-0.084
2018-04-04,70.5923,0.021,-0.049,-0.067
2018-04-05,71.0255,0.026,-0.036,-0.059
2018-04-06,69.2629,-0.022,-0.022,-0.088
2018-04-09,69.5879,0.016,0.009,-0.099
2018-04-10,70.79899999999999,0.018,0.002,-0.08
2018-04-11,69.8144,-0.011,0.01,-0.083
2018-04-12,70.5135,-0.007,0.019,-0.063
2018-04-13,69.4599,0.003,-0.019,-0.064
2018-04-16,70.4642,0.013,0.028,-0.065
2018-04-17,70.8187,0.0,0.019,-0.054
2018-04-18,70.9861,0.017,0.006,-0.043
2018-04-19,72.1678,0.023,0.016,-0.021
2018-04-20,72.1973,0.039,0.042,0.02
2018-04-23,72.1874,0.024,0.037,0.046
2018-04-24,71.7837,0.014,0.014,0.015
2018-04-25,70.7597,-0.003,0.014,0.023
2018-04-26,71.2618,-0.013,0.011,0.03
2018-04-27,70.1295,-0.029,0.01,-0.01
2018-04-30,70.15899999999999,-0.028,-0.004,0.024
2018-05-01,69.4402,-0.033,-0.019,-0.001
2018-05-02,69.4205,-0.019,-0.022,-0.017
2018-05-03,68.5343,-0.038,-0.05,-0.035
2018-05-04,69.7848,-0.005,-0.033,0.008
