,close,5days,10days,20days
2017-12-29,105.8234,0.0,0.0,0.0
2018-01-02,110.046,0.0,0.0,0.0
2018-01-03,110.5185,0.0,0.0,0.0
2018-01-04,110.4693,0.0,0.0,0.0
2018-01-05,109.8689,0.0,0.0,0.0
2018-01-08,108.294,0.023,0.0,0.0
2018-01-09,108.2152,-0.017,0.0,0.0
2018-01-10,107.7526,-0.025,0.0,0.0
2018-01-11,109.2488,-0.011,0.0,0.0
2018-01-12,110.7055,0.008,0.0,0.0
2018-01-16,108.9535,0.006,0.03,0.0
2018-01-17,110.2134,0.018,0.002,0.0
2018-01-18,108.6877,0.009,-0.017,0.0
2018-01-19,108.855,-0.004,-0.015,0.0
2018-01-22,109.35700000000001,-0.012,-0.005,0.0
2018-01-23,108.6779,-0.003,0.004,0.0
2018-01-24,108.7664,-0.013,0.005,0.0
2018-01-25,108.8157,0.001,0.01,0.0
2018-01-26,110.4299,0.014,0.011,0.0
2018-01-29,109.7901,0.004,-0.008,0.0
2018-01-30,108.3826,-0.003,-0.005,0.024
2018-01-31,106.9652,-0.017,-0.029,-0.028
2018-02-01,108.7566,-0.001,0.001,-0.016
2018-02-02,106.9947,-0.031,-0.017,-0.031
2018-02-05,103.0574,-0.061,-0.058,-0.062
2018-02-06,104.5044,-0.036,-0.038,-0.035
2018-02-07,103.1165,-0.036,-0.052,-0.047
2018-02-08,99.76,-0.083,-0.083,-0.074
2018-02-09,101.4727,-0.052,-0.081,-0.071
2018-02-12,101.76799999999999,-0.013,-0.073,-0.081
2018-02-13,102.4865,-0.019,-0.054,-0.059
2018-02-14,102.959,-0.002,-0.037,-0.066
2018-02-15,103.5299,0.038,-0.048,-0.047
2018-02-16,104.8587,0.033,-0.02,-0.037
2018-02-20,104.3174,0.025,0.012,-0.046
2018-02-21,103.4019,0.009,-0.011,-0.049
2018-02-22,103.589,0.006,0.005,-0.048
2018-02-23,105.5674,0.02,0.058,-0.03
2018-02-26,108.0873,0.031,0.065,-0.021
2018-02-27,103.2248,-0.01,0.014,-0.06
2018-02-28,101.5416,-0.018,-0.009,-0.063
2018-03-01,100.9609,-0.025,-0.019,-0.056
2018-03-02,101.3743,-0.04,-0.021,-0.068
2018-03-05,101.7877,-0.058,-0.029,-0.049
2018-03-06,103.2937,0.001,-0.01,0.002
2018-03-07,101.9648,0.004,-0.014,-0.024
2018-03-08,102.3979,0.014,-0.011,-0.007
2018-03-09,103.087,0.017,-0.023,0.033
2018-03-12,103.5201,0.017,-0.042,0.02
2018-03-13,102.1027,-0.012,-0.011,0.003
2018-03-14,102.27,0.003,0.007,-0.002
2018-03-15,101.6203,-0.008,0.007,-0.013
2018-03-16,101.2561,-0.018,-0.001,-0.022
2018-03-19,99.88799999999999,-0.035,-0.019,-0.047
2018-03-20,99.76,-0.023,-0.034,-0.044
2018-03-21,100.2226,-0.02,-0.017,-0.031
2018-03-22,99.0218,-0.026,-0.033,-0.044
2018-03-23,96.9941,-0.042,-0.059,-0.081
2018-03-26,99.071,-0.008,-0.043,-0.083
2018-03-27,97.8012,-0.02,-0.042,-0.053
2018-03-28,96.9941,-0.032,-0.052,-0.045
2018-03-29,98.8643,-0.002,-0.027,-0.021
2018-04-02,97.1122,0.001,-0.041,-0.042
2018-04-03,97.8603,-0.012,-0.02,-0.039
2018-04-04,99.3663,0.016,-0.004,-0.038
2018-04-05,100.5081,0.036,0.003,-0.014
2018-04-06,98.7757,-0.001,-0.002,-0.035
2018-04-09,98.1359,0.011,0.012,-0.048
2018-04-10,99.7797,0.02,0.007,-0.036
2018-04-11,99.2186,-0.001,0.014,-0.028
2018-04-12,98.8151,-0.017,0.019,-0.034
2018-04-13,98.7757,0.0,-0.001,-0.028
2018-04-16,98.6674,0.005,0.016,-0.026
2018-04-17,100.5671,0.008,0.028,0.007
2018-04-18,99.6222,0.004,0.003,-0.001
2018-04-19,99.3072,0.005,-0.012,-0.009
2018-04-20,98.6674,-0.001,-0.001,-0.004
2018-04-23,98.5788,-0.001,0.005,0.016
2018-04-24,97.8996,-0.027,-0.019,-0.012
2018-04-25,99.5631,-0.001,0.003,0.018
2018-04-26,98.2737,-0.01,-0.005,0.013
2018-04-27,97.6733,-0.01,-0.011,-0.012
2018-04-30,98.756,0.002,0.001,0.017
2018-05-01,98.4902,0.006,-0.021,0.006
2018-05-02,98.0571,-0.015,-0.016,-0.013
2018-05-03,97.2106,-0.011,-0.021,-0.033
2018-05-04,99.5631,0.019,0.009,0.008
2018-05-07,100.8723,0.021,0.023,0.028
2018-05-08,100.1931,0.017,0.023,0.004
2018-05-09,98.4016,0.004,-0.012,-0.008
2018-05-10,100.0848,0.03,0.018,0.013
2018-05-11,100.4687,0.009,0.029,0.017
2018-05-14,100.8329,-0.0,0.021,0.022
2018-05-15,101.3054,0.011,0.029,0.007
2018-05-16,103.3921,0.051,0.054,0.038
2018-05-17,102.7031,0.026,0.057,0.034
2018-05-18,102.2995,0.018,0.027,0.037
2018-05-21,102.4275,0.016,0.015,0.039
2018-05-22,102.4373,0.011,0.022,0.046
2018-05-23,101.2758,-0.02,0.029,0.017
2018-05-24,100.5081,-0.021,0.004,0.023
2018-05-25,100.5967,-0.017,0.001,0.03
2018-05-29,98.126,-0.042,-0.027,-0.006
2018-05-30,98.4115,-0.039,-0.029,-0.001
2018-05-31,97.9095,-0.033,-0.053,-0.002
2018-06-01,97.8012,-0.027,-0.048,0.006
2018-06-04,98.6674,-0.019,-0.036,-0.009
2018-06-05,98.3721,0.003,-0.04,-0.025
2018-06-06,100.3112,0.019,-0.021,0.001
2018-06-07,100.8624,0.03,-0.004,0.025
2018-06-08,102.3487,0.046,0.018,0.023
2018-06-11,102.7129,0.041,0.021,0.022
2018-06-12,102.6932,0.044,0.047,0.018
2018-06-13,104.6422,0.043,0.063,0.033
2018-06-14,107.0439,0.061,0.093,0.035
2018-06-15,107.1423,0.047,0.096,0.043
2018-06-18,105.3804,0.026,0.068,0.03
2018-06-19,104.4355,0.017,0.062,0.02
2018-06-20,105.469,0.008,0.051,0.03
2018-06-21,104.2288,-0.026,0.033,0.029
2018-06-22,104.6717,-0.023,0.023,0.041
2018-06-25,102.8114,-0.024,0.001,0.022
2018-06-26,102.6243,-0.017,-0.001,0.046
2018-06-27,102.329,-0.03,-0.022,0.04
2018-06-28,103.1263,-0.011,-0.037,0.053
2018-06-29,103.1657,-0.014,-0.037,0.055
2018-07-02,103.6776,0.008,-0.016,0.051
2018-07-03,102.4078,-0.002,-0.019,0.041
2018-07-05,103.6874,0.013,-0.017,0.034
2018-07-06,103.963,0.008,-0.003,0.031
2018-07-09,105.1933,0.02,0.005,0.028
2018-07-10,105.2033,0.015,0.023,0.024
2018-07-11,107.1976,0.047,0.045,0.044
2018-07-12,107.4059,0.036,0.05,0.026
2018-07-13,109.1423,0.05,0.058,0.02
2018-07-16,109.3407,0.039,0.06,0.021
2018-07-17,109.44,0.04,0.056,0.039
2018-07-18,109.8269,0.025,0.072,0.052
2018-07-19,111.2557,0.036,0.073,0.055
2018-07-20,110.6108,0.013,0.064,0.061
2018-07-23,110.2238,0.008,0.048,0.053
2018-07-24,109.8368,0.004,0.044,0.068
2018-07-25,110.3131,0.004,0.029,0.075
2018-07-26,112.6249,0.012,0.049,0.101
2018-07-27,111.7419,0.01,0.024,0.084
2018-07-30,111.7518,0.014,0.022,0.083
2018-07-31,112.6745,0.026,0.03,0.087
2018-08-01,112.0891,0.016,0.021,0.095
2018-08-02,111.8709,-0.007,0.006,0.079
2018-08-03,113.2004,0.013,0.023,0.089
2018-08-06,115.036,0.029,0.044,0.094
2018-08-07,115.6512,0.026,0.053,0.099
2018-08-08,113.0913,0.009,0.025,0.055
2018-08-09,113.2699,0.013,0.006,0.055
2018-08-10,111.8014,-0.012,0.001,0.024
2018-08-13,111.2458,-0.033,-0.005,0.017
2018-08-14,111.8709,-0.033,-0.007,0.022
2018-08-15,111.9701,-0.01,-0.001,0.02
2018-08-16,111.603,-0.015,-0.002,0.003
2018-08-17,111.603,-0.002,-0.014,0.009
2018-08-20,111.1168,-0.001,-0.034,0.008
2018-08-21,111.5137,-0.003,-0.036,0.015
2018-08-22,111.0672,-0.008,-0.018,0.007
2018-08-23,111.1267,-0.004,-0.019,-0.013
2018-08-24,111.0573,-0.005,-0.007,-0.006
2018-08-27,111.4541,0.003,0.002,-0.003
2018-08-28,111.7022,0.002,-0.002,-0.009
2018-08-29,111.5732,0.005,-0.004,-0.005
2018-08-30,111.0473,-0.001,-0.005,-0.007
2018-08-31,111.1465,0.001,-0.004,-0.018
2018-09-04,109.9857,-0.013,-0.01,-0.044
2018-09-05,109.0133,-0.024,-0.022,-0.057
2018-09-06,109.4003,-0.019,-0.015,-0.033
2018-09-07,110.1047,-0.008,-0.009,-0.028
2018-09-10,109.81700000000001,-0.012,-0.011,-0.018
2018-09-11,108.7454,-0.011,-0.024,-0.022
2018-09-12,108.6065,-0.004,-0.028,-0.029
2018-09-13,109.8071,0.004,-0.016,-0.019
2018-09-14,108.4081,-0.015,-0.024,-0.029
2018-09-17,108.5073,-0.012,-0.024,-0.028
2018-09-18,108.676,-0.001,-0.012,-0.022
2018-09-19,108.9339,0.003,-0.001,-0.023
2018-09-20,110.7497,0.009,0.012,-0.003
2018-09-21,109.5392,0.01,-0.005,-0.014
