,close,5days,10days,20days
2018-04-27,39.73,0.0,0.0,0.0
2018-04-30,38.63,0.0,0.0,0.0
2018-05-01,39.45,0.0,0.0,0.0
2018-05-02,39.32,0.0,0.0,0.0
2018-05-03,41.96,0.0,0.0,0.0
2018-05-04,41.09,0.034,0.0,0.0
2018-05-07,41.31,0.069,0.0,0.0
2018-05-08,43.22,0.096,0.0,0.0
2018-05-09,44.1,0.122,0.0,0.0
2018-05-10,44.01,0.049,0.0,0.0
2018-05-11,44.37,0.08,0.117,0.0
2018-05-14,44.19,0.07,0.144,0.0
2018-05-15,45.46,0.052,0.152,0.0
2018-05-16,45.23,0.026,0.15,0.0
2018-05-17,44.9,0.02,0.07,0.0
2018-05-18,44.78,0.009,0.09,0.0
2018-05-21,42.98,-0.027,0.04,0.0
2018-05-22,43.05,-0.053,-0.004,0.0
2018-05-23,45.42,0.004,0.03,0.0
2018-05-24,46.8,0.042,0.063,0.0
2018-05-25,46.37,0.036,0.045,0.167
2018-05-29,48.43,0.127,0.096,0.254
2018-05-30,49.99,0.161,0.1,0.267
2018-05-31,49.81,0.097,0.101,0.267
2018-06-01,50.12,0.071,0.116,0.194
2018-06-04,53.65,0.157,0.198,0.306
2018-06-05,54.59,0.127,0.27,0.321
2018-06-06,57.36,0.147,0.332,0.327
2018-06-07,55.99,0.124,0.233,0.27
2018-06-08,57.92,0.156,0.238,0.316
2018-06-11,59.54,0.11,0.284,0.342
2018-06-12,61.82,0.132,0.276,0.399
2018-06-13,63.77,0.112,0.276,0.403
2018-06-14,63.53,0.135,0.275,0.405
2018-06-15,63.95,0.104,0.276,0.424
2018-06-18,63.9,0.073,0.191,0.427
2018-06-19,63.87,0.033,0.17,0.486
2018-06-20,62.46,-0.021,0.089,0.451
2018-06-21,57.59,-0.093,0.029,0.268
2018-06-22,57.55,-0.1,-0.006,0.23
2018-06-25,55.0,-0.139,-0.076,0.186
2018-06-26,56.47,-0.116,-0.087,0.166
2018-06-27,51.77,-0.171,-0.188,0.036
2018-06-28,53.04,-0.079,-0.165,0.065
2018-06-29,52.95,-0.08,-0.172,0.056
2018-07-02,52.34,-0.048,-0.181,-0.024
2018-07-03,51.97,-0.08,-0.186,-0.048
2018-07-05,54.62,0.055,-0.126,-0.048
2018-07-06,54.95,0.036,-0.046,-0.019
2018-07-09,55.35,0.045,-0.038,-0.044
2018-07-10,52.37,0.001,-0.048,-0.12
2018-07-11,51.98,0.0,-0.08,-0.159
2018-07-12,55.37,0.014,0.07,-0.132
2018-07-13,55.33,0.007,0.043,-0.129
2018-07-16,55.05,-0.005,0.04,-0.139
2018-07-17,54.09,0.033,0.033,-0.154
2018-07-18,53.05,0.021,0.021,-0.169
2018-07-19,52.36,-0.054,-0.041,-0.162
2018-07-20,52.21,-0.056,-0.05,-0.093
2018-07-23,55.53,0.009,0.003,-0.035
2018-07-24,53.79,-0.006,0.027,-0.022
2018-07-25,54.69,0.031,0.052,-0.032
2018-07-26,55.51,0.06,0.003,0.072
2018-07-27,54.82,0.05,-0.009,0.034
2018-07-30,51.71,-0.069,-0.061,-0.023
2018-07-31,53.9,0.002,-0.004,0.03
2018-08-01,55.75,0.019,0.051,0.073
2018-08-02,58.91,0.061,0.125,0.079
2018-08-03,57.01,0.04,0.092,0.037
2018-08-06,60.0,0.16,0.08,0.084
2018-08-07,59.89,0.111,0.113,0.144
2018-08-08,61.35,0.1,0.122,0.18
2018-08-09,60.45,0.026,0.089,0.092
2018-08-10,58.2,0.021,0.062,0.052
2018-08-13,56.14,-0.064,0.086,0.02
2018-08-14,57.85,-0.034,0.073,0.07
2018-08-15,56.15,-0.085,0.007,0.058
2018-08-16,57.69,-0.046,-0.021,0.102
2018-08-17,58.68,0.008,0.029,0.124
2018-08-20,61.22,0.09,0.02,0.102
2018-08-21,62.5,0.08,0.044,0.162
2018-08-22,61.84,0.101,0.008,0.131
2018-08-23,63.9,0.108,0.057,0.151
2018-08-24,65.54,0.117,0.126,0.196
2018-08-27,65.53,0.07,0.167,0.267
2018-08-28,66.3,0.061,0.146,0.23
2018-08-29,67.87,0.098,0.209,0.217
2018-08-30,65.0,0.017,0.127,0.103
2018-08-31,62.44,-0.047,0.064,0.095
2018-09-04,64.85,-0.01,0.059,0.081
2018-09-05,63.1,-0.048,0.01,0.054
2018-09-06,57.85,-0.148,-0.065,-0.057
2018-09-07,56.94,-0.124,-0.109,-0.058
2018-09-10,53.93,-0.136,-0.177,-0.073
2018-09-11,53.96,-0.168,-0.177,-0.039
2018-09-12,57.18,-0.094,-0.138,-0.012
2018-09-13,55.37,-0.043,-0.184,-0.014
2018-09-14,53.79,-0.055,-0.172,-0.068
2018-09-17,52.18,-0.032,-0.164,-0.111
2018-09-18,53.03,-0.017,-0.182,-0.134
2018-09-19,51.73,-0.095,-0.18,-0.172
2018-09-20,52.23,-0.057,-0.097,-0.155
2018-09-21,52.54,-0.023,-0.077,-0.178
2018-09-24,51.83,-0.007,-0.039,-0.209
2018-09-25,53.4,0.007,-0.01,-0.185
2018-09-26,52.54,0.016,-0.081,-0.208
2018-09-27,52.82,0.011,-0.046,-0.222
2018-09-28,52.57,0.001,-0.023,-0.191
2018-10-01,48.85,-0.057,-0.064,-0.218
2018-10-02,46.4,-0.131,-0.125,-0.285
2018-10-03,47.11,-0.103,-0.089,-0.253
2018-10-04,45.8,-0.133,-0.123,-0.208
2018-10-05,45.27,-0.139,-0.138,-0.205
2018-10-08,43.23,-0.115,-0.166,-0.198
2018-10-09,41.51,-0.105,-0.223,-0.231
2018-10-10,40.6,-0.138,-0.227,-0.29
2018-10-11,40.25,-0.121,-0.238,-0.273
2018-10-12,44.64,-0.014,-0.151,-0.17
2018-10-15,43.83,0.014,-0.103,-0.16
2018-10-16,47.72,0.15,0.028,-0.1
2018-10-17,47.52,0.17,0.009,-0.081
2018-10-18,46.24,0.149,0.01,-0.115
2018-10-19,42.005,-0.059,-0.072,-0.201
2018-10-22,42.46,-0.031,-0.018,-0.181
2018-10-23,41.33,-0.134,-0.004,-0.226
2018-10-24,39.17,-0.176,-0.035,-0.254
2018-10-25,40.32,-0.128,0.002,-0.237
2018-10-26,41.18,-0.02,-0.078,-0.217
2018-10-29,40.35,-0.05,-0.079,-0.174
2018-10-30,41.74,0.01,-0.125,-0.1
2018-10-31,41.94,0.071,-0.117,-0.11
2018-11-01,41.85,0.038,-0.095,-0.086
2018-11-02,42.82,0.04,0.019,-0.054
2018-11-05,42.41,0.051,-0.001,-0.019
2018-11-06,42.55,0.019,0.03,0.025
2018-11-07,43.88,0.046,0.12,0.081
2018-11-08,44.82,0.071,0.112,0.114
2018-11-09,44.43,0.038,0.079,-0.005
2018-11-12,41.34,-0.025,0.025,-0.057
2018-11-13,42.59,0.001,0.02,-0.108
2018-11-14,39.86,-0.092,-0.05,-0.161
2018-11-15,40.37,-0.099,-0.035,-0.127
2018-11-16,39.0,-0.122,-0.089,-0.072
2018-11-19,37.41,-0.095,-0.118,-0.119
2018-11-20,38.33,-0.1,-0.099,-0.073
2018-11-21,40.76,0.023,-0.071,0.041
2018-11-23,40.82,0.011,-0.089,0.012
2018-11-26,41.11,0.054,-0.075,-0.002
2018-11-27,40.64,0.086,-0.017,0.007
2018-11-28,41.82,0.091,-0.018,0.002
2018-11-29,41.77,0.025,0.048,-0.004
2018-11-30,41.76,0.023,0.034,-0.002
2018-12-03,42.52,0.034,0.09,-0.007
2018-12-04,41.47,0.02,0.109,-0.022
2018-12-06,41.77,-0.001,0.09,-0.018
2018-12-07,39.66,-0.051,-0.027,-0.096
2018-12-10,40.69,-0.026,-0.003,-0.092
2018-12-11,41.66,-0.02,0.013,-0.062
2018-12-12,42.4,0.022,0.043,0.026
2018-12-13,43.15,0.033,0.032,0.013
2018-12-14,42.89,0.081,0.027,0.076
2018-12-17,41.75,0.026,-0.0,0.034
2018-12-18,41.87,0.005,-0.015,0.074
2018-12-19,41.11,-0.03,-0.009,0.099
2018-12-20,39.91,-0.075,-0.045,0.041
2018-12-21,37.99,-0.114,-0.042,-0.068
2018-12-24,37.48,-0.102,-0.079,-0.082
2018-12-26,39.65,-0.053,-0.048,-0.036
2018-12-27,40.99,-0.003,-0.033,0.009
2018-12-28,40.5,0.015,-0.061,-0.032
2018-12-31,40.08,0.055,-0.066,-0.04
2019-01-02,40.82,0.089,-0.022,-0.023
2019-01-03,38.83,-0.021,-0.073,-0.087
2019-01-04,40.9,-0.002,-0.005,-0.014
