date,open,high,low,close,adjusted close,volume
1998-01-02 00:00:00,37.88,38.63,36.25,37.38,9.345,601000
1998-01-05 00:00:00,37.38,38.88,36.0,36.38,9.095,1211200
1998-01-06 00:00:00,36.13,38.38,35.38,37.88,9.47,1036100
1998-01-07 00:00:00,37.63,39.63,36.5,38.13,9.5325,1802000
1998-01-08 00:00:00,38.0,38.13,37.0,37.69,9.4225,860000
1998-01-09 00:00:00,37.5,37.66,35.38,36.0,9.0,1473900
1998-01-12 00:00:00,35.5,37.38,35.25,36.75,9.1875,1292600
1998-01-13 00:00:00,37.13,39.38,36.88,38.38,9.595,1379000
1998-01-14 00:00:00,38.38,38.5,36.63,37.69,9.4225,1293200
1998-01-15 00:00:00,37.56,39.25,37.44,37.88,9.47,1362700
1998-01-16 00:00:00,37.88,38.13,37.0,37.63,9.4075,791500
1998-01-20 00:00:00,37.69,38.38,37.63,38.06,9.515,1095800
1998-01-21 00:00:00,38.0,38.25,37.25,38.13,9.5325,739000
1998-01-22 00:00:00,37.38,38.0,36.88,37.38,9.345,935600
1998-01-23 00:00:00,39.13,39.28,36.09,36.5,9.125,7580000
1998-01-26 00:00:00,36.44,37.25,36.38,36.56,9.14,2376300
1998-01-27 00:00:00,36.38,37.0,36.0,36.38,9.095,920100
1998-01-28 00:00:00,36.0,37.63,36.0,37.06,9.265,1601200
1998-01-29 00:00:00,36.5,37.13,36.5,36.88,9.22,575600
1998-01-30 00:00:00,37.0,37.19,35.5,35.94,8.985,593100
1998-02-02 00:00:00,36.25,36.63,35.13,35.75,8.9375,775900
1998-02-03 00:00:00,35.69,35.88,34.63,35.25,8.8125,789200
1998-02-04 00:00:00,34.88,35.88,34.0,35.63,8.9075,1655400
1998-02-05 00:00:00,36.0,36.38,35.13,35.5,8.875,714500
1998-02-06 00:00:00,35.25,36.13,35.25,35.75,8.9375,953600
1998-02-09 00:00:00,35.5,36.38,35.5,36.13,9.0325,1223500
1998-02-10 00:00:00,36.0,38.25,36.0,38.13,9.5325,3881100
1998-02-11 00:00:00,38.13,38.63,37.75,38.06,9.515,2012700
