,close,5days,10days,20days
2017-12-29,105.06,0.0,0.0,0.0
2018-01-02,109.45,0.0,0.0,0.0
2018-01-03,109.75,0.0,0.0,0.0
2018-01-04,107.19,0.0,0.0,0.0
2018-01-05,112.39,0.0,0.0,0.0
2018-01-08,113.22,0.078,0.0,0.0
2018-01-09,112.18,0.025,0.0,0.0
2018-01-10,112.25,0.023,0.0,0.0
2018-01-11,112.0,0.045,0.0,0.0
2018-01-12,113.13,0.007,0.0,0.0
2018-01-16,111.92,-0.011,0.065,0.0
2018-01-17,113.14,0.009,0.034,0.0
2018-01-18,115.28,0.027,0.05,0.0
2018-01-19,116.18,0.037,0.084,0.0
2018-01-22,117.99,0.043,0.05,0.0
2018-01-23,117.67,0.051,0.039,0.0
2018-01-24,114.66,0.013,0.022,0.0
2018-01-25,114.5,-0.007,0.02,0.0
2018-01-26,115.2,-0.008,0.029,0.0
2018-01-29,117.65,-0.003,0.04,0.0
2018-01-30,118.7,0.009,0.061,0.13
2018-01-31,126.96,0.107,0.122,0.16
2018-02-01,128.18,0.119,0.112,0.168
2018-02-02,124.53,0.081,0.072,0.162
2018-02-05,121.64,0.034,0.031,0.082
2018-02-06,123.13,0.037,0.046,0.088
2018-02-07,123.05,-0.031,0.073,0.097
2018-02-08,116.54,-0.091,0.018,0.038
2018-02-09,120.64,-0.031,0.047,0.077
2018-02-12,122.22,0.005,0.039,0.08
2018-02-13,122.28,-0.007,0.03,0.093
2018-02-14,123.77,0.006,-0.025,0.094
2018-02-15,126.48,0.085,-0.013,0.097
2018-02-16,126.02,0.045,0.012,0.085
2018-02-20,126.34,0.034,0.039,0.071
2018-02-21,124.9,0.021,0.014,0.061
2018-02-22,124.61,0.007,0.013,0.087
2018-02-23,127.1,0.005,0.091,0.11
2018-02-26,128.57,0.02,0.066,0.116
2018-02-27,125.8,-0.004,0.029,0.069
2018-02-28,123.7,-0.01,0.012,0.042
2018-03-01,122.17,-0.02,-0.013,-0.038
2018-03-02,125.09,-0.016,-0.011,-0.024
2018-03-05,126.1,-0.019,0.001,0.013
2018-03-06,124.55,-0.01,-0.014,0.024
2018-03-07,127.17,0.028,0.018,0.033
2018-03-08,128.82,0.054,0.034,0.047
2018-03-09,128.49,0.027,0.011,0.103
2018-03-12,128.12,0.016,-0.004,0.062
2018-03-13,126.57,0.016,0.006,0.036
2018-03-14,127.97,0.006,0.035,0.047
2018-03-15,129.12,0.002,0.057,0.043
2018-03-16,128.52,0.0,0.027,0.016
2018-03-19,125.44,-0.021,-0.005,-0.005
2018-03-20,126.85,0.002,0.018,0.004
2018-03-21,126.0,-0.015,-0.009,0.009
2018-03-22,122.98,-0.048,-0.045,-0.013
2018-03-23,121.44,-0.055,-0.055,-0.045
2018-03-26,126.44,0.008,-0.013,-0.017
2018-03-27,119.98,-0.054,-0.052,-0.046
2018-03-28,119.33,-0.053,-0.068,-0.035
2018-03-29,121.24,-0.014,-0.061,-0.008
2018-04-02,118.72,-0.022,-0.076,-0.051
2018-04-03,119.51,-0.055,-0.047,-0.052
2018-04-04,120.11,0.001,-0.053,-0.036
2018-04-05,121.23,0.016,-0.038,-0.047
2018-04-06,118.36,-0.024,-0.038,-0.081
2018-04-09,118.86,0.001,-0.021,-0.075
2018-04-10,120.71,0.01,-0.045,-0.058
2018-04-11,118.78,-0.011,-0.01,-0.062
2018-04-12,121.09,-0.001,0.015,-0.054
2018-04-13,120.53,0.018,-0.006,-0.067
2018-04-16,122.19,0.028,0.029,-0.049
2018-04-17,124.31,0.03,0.04,-0.009
2018-04-18,124.93,0.052,0.04,-0.015
2018-04-19,123.11,0.017,0.016,-0.023
2018-04-20,120.89,0.003,0.021,-0.017
2018-04-23,119.6,-0.021,0.006,-0.015
2018-04-24,118.59,-0.046,-0.018,-0.062
2018-04-25,116.68,-0.066,-0.018,-0.028
2018-04-26,119.6,-0.029,-0.012,0.002
2018-04-27,117.47,-0.028,-0.025,-0.031
2018-04-30,117.98,-0.014,-0.034,-0.006
2018-05-01,119.83,0.01,-0.036,0.003
2018-05-02,118.94,0.019,-0.048,-0.01
2018-05-03,120.17,0.005,-0.024,-0.009
2018-05-04,123.64,0.053,0.023,0.045
2018-05-07,123.92,0.05,0.036,0.043
2018-05-08,123.89,0.034,0.045,0.026
2018-05-09,131.01,0.101,0.123,0.103
2018-05-10,133.76,0.113,0.118,0.105
2018-05-11,132.81,0.074,0.131,0.102
2018-05-14,132.53,0.069,0.123,0.085
2018-05-15,130.11,0.05,0.086,0.047
2018-05-16,130.86,-0.001,0.1,0.047
2018-05-17,130.81,-0.022,0.089,0.063
2018-05-18,132.0,-0.006,0.068,0.092
2018-05-21,132.91,0.003,0.073,0.111
2018-05-22,132.18,0.016,0.067,0.115
2018-05-23,133.5,0.02,0.019,0.144
2018-05-24,131.48,0.005,-0.017,0.099
2018-05-25,131.85,-0.001,-0.007,0.122
2018-05-29,131.25,-0.012,-0.01,0.112
2018-05-30,131.37,-0.006,0.01,0.096
2018-05-31,130.91,-0.019,0.0,0.101
2018-06-01,135.69,0.032,0.037,0.129
2018-06-04,134.66,0.021,0.02,0.089
2018-06-05,136.96,0.044,0.03,0.105
2018-06-06,136.94,0.042,0.036,0.105
2018-06-07,136.91,0.046,0.026,0.045
2018-06-08,137.87,0.016,0.049,0.031
2018-06-11,139.16,0.033,0.055,0.048
2018-06-12,139.78,0.021,0.065,0.055
2018-06-13,143.28,0.046,0.091,0.101
2018-06-14,144.39,0.055,0.103,0.103
2018-06-15,146.65,0.064,0.081,0.121
2018-06-18,144.86,0.041,0.076,0.097
2018-06-19,143.09,0.024,0.045,0.077
2018-06-20,143.54,0.002,0.048,0.086
2018-06-21,143.15,-0.009,0.046,0.072
2018-06-22,141.26,-0.037,0.025,0.074
2018-06-25,140.52,-0.03,0.01,0.066
2018-06-26,140.37,-0.019,0.004,0.069
2018-06-27,137.75,-0.04,-0.039,0.049
2018-06-28,140.63,-0.018,-0.026,0.074
2018-06-29,141.02,-0.002,-0.038,0.039
2018-07-02,143.48,0.021,-0.01,0.065
2018-07-03,141.23,0.006,-0.013,0.031
2018-07-05,143.23,0.04,-0.002,0.046
2018-07-06,145.1,0.032,0.014,0.06
2018-07-09,144.64,0.026,0.024,0.049
2018-07-10,144.19,0.005,0.026,0.036
2018-07-11,145.72,0.032,0.038,0.042
2018-07-12,148.61,0.038,0.079,0.037
2018-07-13,148.73,0.025,0.058,0.03
2018-07-16,146.68,0.014,0.04,0.0
2018-07-17,148.74,0.032,0.037,0.027
2018-07-18,148.93,0.022,0.055,0.041
2018-07-19,147.96,-0.004,0.033,0.031
2018-07-20,147.48,-0.008,0.016,0.03
2018-07-23,146.56,-0.001,0.013,0.038
2018-07-24,144.32,-0.03,0.001,0.027
2018-07-25,146.5,-0.016,0.005,0.044
2018-07-26,141.9,-0.041,-0.045,0.03
2018-07-27,133.81,-0.093,-0.1,-0.048
2018-07-30,126.21,-0.139,-0.14,-0.105
2018-07-31,128.75,-0.108,-0.134,-0.103
2018-08-01,127.48,-0.13,-0.144,-0.097
