,close,5days,10days,20days
2017-12-29,1053.4,0.0,0.0,0.0
2018-01-02,1073.21,0.0,0.0,0.0
2018-01-03,1091.52,0.0,0.0,0.0
2018-01-04,1095.76,0.0,0.0,0.0
2018-01-05,1110.29,0.0,0.0,0.0
2018-01-08,1114.21,0.058,0.0,0.0
2018-01-09,1112.79,0.037,0.0,0.0
2018-01-10,1110.14,0.017,0.0,0.0
2018-01-11,1112.05,0.015,0.0,0.0
2018-01-12,1130.65,0.018,0.0,0.0
2018-01-16,1130.7,0.015,0.073,0.0
2018-01-17,1139.1,0.024,0.061,0.0
2018-01-18,1135.97,0.023,0.041,0.0
2018-01-19,1143.5,0.028,0.044,0.0
2018-01-22,1164.16,0.03,0.049,0.0
2018-01-23,1176.17,0.04,0.056,0.0
2018-01-24,1171.29,0.028,0.053,0.0
2018-01-25,1182.14,0.041,0.065,0.0
2018-01-26,1187.56,0.039,0.068,0.0
2018-01-29,1186.48,0.019,0.049,0.0
2018-01-30,1177.37,0.001,0.041,0.118
2018-01-31,1182.22,0.009,0.038,0.102
2018-02-01,1181.59,-0.0,0.04,0.083
2018-02-02,1119.2,-0.058,-0.021,0.021
2018-02-05,1062.39,-0.105,-0.087,-0.043
2018-02-06,1084.43,-0.079,-0.078,-0.027
2018-02-07,1055.41,-0.107,-0.099,-0.052
2018-02-08,1007.71,-0.147,-0.148,-0.092
2018-02-09,1046.27,-0.065,-0.119,-0.059
2018-02-12,1054.56,-0.007,-0.111,-0.067
2018-02-13,1054.14,-0.028,-0.105,-0.068
2018-02-14,1072.7,0.016,-0.093,-0.058
2018-02-15,1091.36,0.083,-0.076,-0.039
2018-02-16,1095.5,0.047,-0.021,-0.042
2018-02-20,1103.59,0.046,0.039,-0.052
2018-02-21,1113.75,0.057,0.027,-0.053
2018-02-22,1109.9,0.035,0.052,-0.052
2018-02-23,1128.09,0.034,0.119,-0.046
2018-02-26,1143.7,0.044,0.093,-0.037
2018-02-27,1117.51,0.013,0.06,-0.058
2018-02-28,1103.92,-0.009,0.047,-0.062
2018-03-01,1071.41,-0.035,-0.001,-0.094
2018-03-02,1084.14,-0.039,-0.007,-0.082
2018-03-05,1094.76,-0.043,-0.001,-0.022
