,close,5days,10days,20days
2017-12-29,184.0014,0.0,0.0,0.0
2018-01-02,182.5452,0.0,0.0,0.0
2018-01-03,183.4966,0.0,0.0,0.0
2018-01-04,184.9528,0.0,0.0,0.0
2018-01-05,186.8848,0.0,0.0,0.0
2018-01-08,186.4382,0.013,0.0,0.0
2018-01-09,187.4673,0.027,0.0,0.0
2018-01-10,186.2052,0.015,0.0,0.0
2018-01-11,189.0012,0.022,0.0,0.0
2018-01-12,190.6904,0.02,0.0,0.0
2018-01-16,190.5837,0.022,0.036,0.0
2018-01-17,193.9913,0.035,0.063,0.0
2018-01-18,192.5447,0.034,0.049,0.0
2018-01-19,195.4572,0.034,0.057,0.0
2018-01-22,198.4959,0.041,0.062,0.0
2018-01-23,198.9231,0.044,0.067,0.0
2018-01-24,200.2046,0.032,0.068,0.0
2018-01-25,199.3794,0.035,0.071,0.0
2018-01-26,201.1851,0.029,0.064,0.0
2018-01-29,198.9425,0.002,0.043,0.0
2018-01-30,195.9232,-0.015,0.028,0.065
2018-01-31,195.0398,-0.026,0.005,0.068
2018-02-01,194.0689,-0.027,0.008,0.058
2018-02-02,188.3119,-0.064,-0.037,0.018
2018-02-05,177.7687,-0.106,-0.104,-0.049
2018-02-06,185.4674,-0.053,-0.068,-0.005
2018-02-07,185.7101,-0.048,-0.072,-0.009
2018-02-08,175.9338,-0.093,-0.118,-0.055
2018-02-09,178.7492,-0.051,-0.112,-0.054
2018-02-12,178.69099999999997,0.005,-0.102,-0.063
2018-02-13,178.3609,-0.038,-0.09,-0.064
2018-02-14,179.3026,-0.035,-0.081,-0.076
2018-02-15,179.8657,0.022,-0.073,-0.066
2018-02-16,181.5161,0.015,-0.036,-0.071
2018-02-20,181.2637,0.014,0.02,-0.087
2018-02-21,177.7202,-0.004,-0.042,-0.107
2018-02-22,180.0599,0.004,-0.03,-0.101
2018-02-23,182.8558,0.017,0.039,-0.083
2018-02-26,182.9626,0.008,0.024,-0.091
