,close,5days,10days,20days
2017-12-29,88.4,0.0,0.0,0.0
2018-01-02,89.45,0.0,0.0,0.0
2018-01-03,89.15,0.0,0.0,0.0
2018-01-04,90.8,0.0,0.0,0.0
2018-01-05,90.5,0.0,0.0,0.0
2018-01-08,90.6,0.025,0.0,0.0
2018-01-09,90.4,0.011,0.0,0.0
2018-01-10,89.15,0.0,0.0,0.0
2018-01-11,90.9,0.001,0.0,0.0
2018-01-12,92.65,0.024,0.0,0.0
2018-01-16,93.25,0.029,0.055,0.0
2018-01-17,94.2,0.042,0.053,0.0
2018-01-18,96.3,0.08,0.08,0.0
2018-01-19,99.05,0.09,0.091,0.0
2018-01-22,100.9,0.089,0.115,0.0
2018-01-23,100.75,0.08,0.112,0.0
2018-01-24,97.25,0.032,0.076,0.0
2018-01-25,98.15,0.019,0.101,0.0
2018-01-26,101.7,0.027,0.119,0.0
2018-01-29,100.05,-0.008,0.08,0.0
2018-01-30,95.5,-0.052,0.024,0.08
2018-01-31,97.05,-0.002,0.03,0.085
2018-02-01,96.35,-0.018,0.001,0.081
2018-02-02,94.95,-0.066,-0.041,0.046
2018-02-05,92.65,-0.074,-0.082,0.024
2018-02-06,94.7,-0.008,-0.06,0.045
2018-02-07,95.75,-0.013,-0.015,0.059
2018-02-08,89.25,-0.074,-0.091,0.001
2018-02-09,91.05,-0.041,-0.105,0.002
2018-02-12,96.7,0.044,-0.033,0.044
2018-02-13,97.0,0.024,0.016,0.04
2018-02-14,103.15,0.077,0.063,0.095
2018-02-15,102.65,0.15,0.065,0.066
2018-02-16,105.75,0.161,0.114,0.068
2018-02-20,108.9,0.126,0.175,0.079
2018-02-21,110.1,0.135,0.163,0.093
2018-02-22,110.7,0.073,0.156,0.138
2018-02-23,111.25,0.084,0.246,0.133
2018-02-26,111.95,0.059,0.23,0.101
2018-02-27,112.05,0.029,0.159,0.12
2018-02-28,111.05,0.009,0.145,0.163
2018-03-01,112.15,0.013,0.087,0.156
2018-03-02,116.85,0.05,0.138,0.213
2018-03-05,116.8,0.043,0.104,0.23
2018-03-06,118.35,0.056,0.087,0.277
2018-03-07,120.0,0.081,0.09,0.267
2018-03-08,119.25,0.063,0.077,0.245
2018-03-09,120.5,0.031,0.083,0.35
2018-03-12,116.3,-0.004,0.039,0.277
2018-03-13,115.75,-0.022,0.033,0.197
2018-03-14,118.2,-0.015,0.064,0.219
2018-03-15,116.45,-0.023,0.038,0.129
2018-03-16,117.3,-0.027,0.004,0.143
2018-03-19,117.45,0.01,0.006,0.111
2018-03-20,118.4,0.023,0.0,0.087
2018-03-21,120.1,0.016,0.001,0.091
2018-03-22,117.45,0.009,-0.015,0.061
2018-03-23,111.6,-0.049,-0.074,0.003
2018-03-26,115.45,-0.017,-0.007,0.031
2018-03-27,109.45,-0.076,-0.054,-0.023
2018-03-28,107.45,-0.105,-0.091,-0.032
2018-03-29,108.3,-0.078,-0.07,-0.034
2018-04-02,107.5,-0.037,-0.084,-0.08
2018-04-03,109.1,-0.055,-0.071,-0.066
