,close,5days,10days,20days
2017-12-29,218.49,0.0,0.0,0.0
2018-01-02,224.03,0.0,0.0,0.0
2018-01-03,230.32,0.0,0.0,0.0
2018-01-04,232.99,0.0,0.0,0.0
2018-01-05,228.17,0.0,0.0,0.0
2018-01-08,227.06,0.039,0.0,0.0
2018-01-09,242.8,0.084,0.0,0.0
2018-01-10,242.59,0.053,0.0,0.0
2018-01-11,240.04,0.03,0.0,0.0
2018-01-12,244.72,0.073,0.0,0.0
2018-01-16,241.42,0.063,0.105,0.0
2018-01-17,242.05,-0.003,0.08,0.0
2018-01-18,241.31,-0.005,0.048,0.0
2018-01-19,243.55,0.015,0.045,0.0
2018-01-22,245.19,0.002,0.075,0.0
2018-01-23,242.94,0.006,0.07,0.0
2018-01-24,242.49,0.002,-0.001,0.0
2018-01-25,243.39,0.009,0.003,0.0
2018-01-26,244.83,0.005,0.02,0.0
2018-01-29,241.78,-0.014,-0.012,0.0
2018-01-30,241.18,-0.007,-0.001,0.104
2018-01-31,232.64,-0.041,-0.039,0.038
2018-02-01,230.29,-0.054,-0.046,-0.0
2018-02-02,220.18,-0.101,-0.096,-0.055
2018-02-05,213.0,-0.119,-0.131,-0.066
2018-02-06,220.8,-0.085,-0.091,-0.028
2018-02-07,221.2,-0.049,-0.088,-0.089
2018-02-08,209.54,-0.09,-0.139,-0.136
2018-02-09,217.19,-0.014,-0.113,-0.095
2018-02-12,221.03,0.038,-0.086,-0.097
2018-02-13,220.44,-0.002,-0.086,-0.087
2018-02-14,223.11,0.009,-0.041,-0.078
2018-02-15,229.13,0.093,-0.005,-0.05
2018-02-16,229.2,0.055,0.041,-0.059
2018-02-20,226.57,0.025,0.064,-0.076
2018-02-21,227.91,0.034,0.032,-0.062
2018-02-22,226.74,0.016,0.025,-0.065
2018-02-23,233.84,0.021,0.116,-0.039
2018-02-26,233.43,0.018,0.075,-0.047
2018-02-27,229.73,0.014,0.039,-0.05
2018-02-28,228.02,0.0,0.034,-0.055
2018-03-01,224.54,-0.01,0.006,-0.035
2018-03-02,229.19,-0.02,0.0,-0.005
2018-03-05,230.88,-0.011,0.007,0.049
2018-03-06,235.76,0.026,0.041,0.107
2018-03-07,241.2,0.058,0.058,0.092
2018-03-08,243.52,0.085,0.074,0.101
2018-03-09,250.12,0.091,0.07,0.194
2018-03-12,253.17,0.097,0.085,0.166
2018-03-13,253.54,0.075,0.104,0.147
2018-03-14,251.79,0.044,0.104,0.142
2018-03-15,251.61,0.033,0.121,0.128
2018-03-16,253.91,0.015,0.108,0.108
2018-03-19,248.73,-0.018,0.077,0.085
2018-03-20,252.65,-0.004,0.072,0.115
2018-03-21,246.84,-0.02,0.023,0.083
2018-03-22,241.12,-0.042,-0.01,0.063
2018-03-23,235.36,-0.073,-0.059,0.007
2018-03-26,242.28,-0.026,-0.043,0.038
2018-03-27,237.37,-0.06,-0.064,0.033
2018-03-28,234.99,-0.048,-0.067,0.031
2018-03-29,236.42,-0.019,-0.06,0.053
2018-04-02,229.93,-0.023,-0.094,0.003
2018-04-03,229.94,-0.051,-0.076,-0.004
2018-04-04,237.77,0.002,-0.059,0.009
2018-04-05,236.37,0.006,-0.042,-0.02
2018-04-06,228.17,-0.035,-0.054,-0.063
2018-04-09,230.18,0.001,-0.022,-0.08
2018-04-10,238.92,0.039,-0.014,-0.056
2018-04-11,237.67,-0.0,0.001,-0.063
2018-04-12,242.09,0.024,0.03,-0.039
2018-04-13,241.44,0.058,0.021,-0.04
2018-04-16,245.19,0.065,0.066,-0.034
2018-04-17,248.48,0.04,0.081,-0.001
2018-04-18,250.0,0.052,0.051,-0.01
2018-04-19,245.84,0.015,0.04,-0.004
2018-04-20,244.6,0.013,0.072,0.014
2018-04-23,245.85,0.003,0.068,0.045
2018-04-24,238.5,-0.04,-0.002,-0.016
2018-04-25,231.19,-0.075,-0.027,-0.026
2018-04-26,242.63,-0.013,0.002,0.033
2018-04-27,244.45,-0.001,0.012,0.034
2018-04-30,240.93,-0.02,-0.017,0.048
2018-05-01,242.99,0.019,-0.022,0.057
2018-05-02,240.5,0.04,-0.038,0.011
2018-05-03,239.93,-0.011,-0.024,0.015
2018-05-04,244.82,0.002,0.001,0.073
2018-05-07,256.89,0.066,0.045,0.116
2018-05-08,256.1,0.054,0.074,0.072
2018-05-09,262.52,0.092,0.136,0.105
2018-05-10,264.98,0.104,0.092,0.095
2018-05-11,266.99,0.091,0.092,0.106
2018-05-14,269.44,0.049,0.118,0.099
2018-05-15,263.75,0.03,0.085,0.061
2018-05-16,268.84,0.024,0.118,0.075
2018-05-17,268.45,0.013,0.119,0.092
2018-05-18,269.67,0.01,0.102,0.102
2018-05-21,268.29,-0.004,0.044,0.091
2018-05-22,270.8,0.027,0.057,0.135
2018-05-23,271.73,0.011,0.035,0.175
2018-05-24,270.83,0.009,0.022,0.116
2018-05-25,266.22,-0.013,-0.003,0.089
2018-05-29,266.32,-0.007,-0.012,0.105
2018-05-30,272.39,0.006,0.033,0.121
2018-05-31,272.44,0.003,0.013,0.133
2018-06-01,276.33,0.02,0.029,0.152
2018-06-04,280.26,0.053,0.039,0.145
2018-06-05,279.1,0.048,0.04,0.086
2018-06-06,285.25,0.047,0.053,0.114
2018-06-07,280.71,0.03,0.033,0.069
2018-06-08,282.03,0.021,0.041,0.064
2018-06-11,284.13,0.014,0.067,0.064
2018-06-12,292.07,0.046,0.097,0.084
2018-06-13,287.24,0.007,0.055,0.089
2018-06-14,290.16,0.034,0.065,0.079
2018-06-15,288.75,0.024,0.045,0.076
2018-06-18,288.85,0.017,0.031,0.071
2018-06-19,285.74,-0.022,0.024,0.065
2018-06-20,287.65,0.001,0.008,0.062
2018-06-21,286.05,-0.014,0.019,0.053
2018-06-22,282.65,-0.021,0.002,0.044
2018-06-25,274.46,-0.05,-0.034,0.031
2018-06-26,275.51,-0.036,-0.057,0.035
2018-06-27,270.58,-0.059,-0.058,-0.007
2018-06-28,275.54,-0.037,-0.05,0.011
2018-06-29,279.29,-0.012,-0.033,0.011
2018-07-02,279.04,0.017,-0.034,-0.004
2018-07-03,280.77,0.019,-0.017,0.006
2018-07-05,280.49,0.037,-0.025,-0.017
2018-07-06,286.13,0.038,0.0,0.019
2018-07-09,288.76,0.034,0.022,0.024
2018-07-10,291.44,0.044,0.062,0.026
2018-07-11,294.56,0.049,0.069,0.009
2018-07-12,304.69,0.086,0.126,0.061
2018-07-13,306.99,0.073,0.114,0.058
2018-07-16,301.99,0.046,0.081,0.046
2018-07-17,305.49,0.048,0.095,0.058
2018-07-18,307.28,0.043,0.094,0.075
2018-07-19,309.1,0.014,0.102,0.075
2018-07-20,311.15,0.014,0.087,0.088
2018-07-23,311.04,0.03,0.077,0.1
2018-07-24,308.64,0.01,0.059,0.125
2018-07-25,315.83,0.028,0.072,0.146
2018-07-26,311.59,0.008,0.023,0.152
2018-07-27,301.15,-0.032,-0.019,0.093
2018-07-30,289.24,-0.07,-0.042,0.036
2018-07-31,324.36,0.051,0.062,0.162
2018-08-01,323.23,0.023,0.052,0.151
2018-08-02,332.5,0.067,0.076,0.185
2018-08-03,332.49,0.104,0.069,0.162
2018-08-06,332.36,0.149,0.069,0.151
2018-08-07,337.16,0.039,0.092,0.157
2018-08-08,338.1,0.046,0.071,0.148
