date,open,high,low,close,adjusted close,volume
1998-01-02 00:00:00,41.25,41.38,39.75,40.63,6.2388,441800
1998-01-05 00:00:00,40.75,41.25,39.75,40.13,6.162,683700
1998-01-06 00:00:00,39.63,40.44,39.25,39.88,6.1236,552900
1998-01-07 00:00:00,39.5,39.5,37.13,38.25,5.8733,1246300
1998-01-08 00:00:00,37.63,38.0,37.13,37.56,5.7674,1377900
1998-01-09 00:00:00,37.25,37.75,34.63,35.13,5.3943,1190900
1998-01-12 00:00:00,34.88,35.25,33.88,35.06,5.3835,1303300
1998-01-13 00:00:00,35.06,40.88,35.06,40.13,6.162,2406300
1998-01-14 00:00:00,39.38,39.88,37.5,38.5,5.9117,965000
1998-01-15 00:00:00,38.75,38.75,36.13,36.94,5.6722,921100
1998-01-16 00:00:00,37.38,37.5,36.13,36.88,5.663,1371200
1998-01-20 00:00:00,37.13,39.63,37.0,39.63,6.0852,1297700
1998-01-21 00:00:00,39.0,40.38,39.0,40.0,6.1421,2475500
1998-01-22 00:00:00,39.5,39.88,38.5,39.0,5.9885,321900
1998-01-23 00:00:00,39.0,39.0,36.63,37.63,5.7781,519100
1998-01-26 00:00:00,38.0,38.25,35.94,36.81,5.6522,817800
1998-01-27 00:00:00,36.88,37.56,35.88,37.25,5.7198,549600
1998-01-28 00:00:00,37.5,40.13,37.25,39.88,6.1236,1873500
1998-01-29 00:00:00,39.94,40.0,37.88,38.13,5.8549,762200
1998-01-30 00:00:00,38.25,38.75,36.5,37.38,5.7397,475700
1998-02-02 00:00:00,38.0,40.13,37.75,39.13,6.0085,1161900
1998-02-03 00:00:00,39.13,40.5,38.88,40.19,6.1712,1644500
1998-02-04 00:00:00,39.88,42.5,39.38,42.13,6.4691,1662500
1998-02-05 00:00:00,42.38,43.5,42.38,43.25,6.6411,2199200
1998-02-06 00:00:00,43.13,43.75,42.5,43.0,6.6027,739500
1998-02-09 00:00:00,43.25,43.5,41.69,42.63,6.5459,463200
1998-02-10 00:00:00,42.5,44.19,41.75,43.31,6.6503,694200
1998-02-11 00:00:00,43.13,48.5,43.13,48.0,7.3705,3257500
1998-02-12 00:00:00,47.38,48.13,46.5,48.0,7.3705,1145400
1998-02-13 00:00:00,47.63,52.25,47.25,51.88,7.9662,2160500
1998-02-17 00:00:00,51.63,51.75,48.88,49.0,7.524,1506000
1998-02-18 00:00:00,49.25,50.13,47.63,47.94,7.3613,1399300
1998-02-19 00:00:00,48.0,50.13,47.75,49.63,7.6208,1220000
1998-02-20 00:00:00,50.5,51.0,47.75,50.63,7.7743,1137500
1998-02-23 00:00:00,50.5,52.94,50.5,52.13,8.0046,1112100
1998-02-24 00:00:00,52.25,53.25,49.75,49.88,7.6591,1698600
1998-02-25 00:00:00,47.0,47.5,45.25,46.75,7.1785,2790400
1998-02-26 00:00:00,46.5,48.38,46.13,47.56,7.3029,1204200
1998-02-27 00:00:00,47.63,48.88,46.25,46.5,7.1401,1482900
1998-03-02 00:00:00,46.88,47.5,46.25,46.5,7.1401,1213500
1998-03-03 00:00:00,46.25,46.5,45.63,45.94,7.0541,1021100
1998-03-04 00:00:00,45.88,46.75,45.56,46.13,7.0833,894600
1998-03-05 00:00:00,44.88,45.75,43.5,43.75,6.7179,443500
1998-03-06 00:00:00,44.0,49.38,43.75,46.66,7.1647,1689100
1998-03-09 00:00:00,46.5,46.56,44.88,44.88,6.8914,1284800
1998-03-10 00:00:00,45.0,46.75,45.0,46.38,7.1217,1120100
1998-03-11 00:00:00,46.38,48.63,46.25,47.63,7.3136,1199900
1998-03-12 00:00:00,48.0,48.38,46.5,47.19,7.2461,550300
1998-03-13 00:00:00,47.88,49.5,47.75,48.13,7.3904,1447500
1998-03-16 00:00:00,48.5,49.0,46.25,46.81,7.1877,793100
1998-03-17 00:00:00,46.38,46.5,45.0,45.13,6.9298,1057200
