,close,5days,10days,20days
2017-12-29,156.0566,0.0,0.0,0.0
2018-01-02,156.9864,0.0,0.0,0.0
2018-01-03,157.4216,0.0,0.0,0.0
2018-01-04,160.2404,0.0,0.0,0.0
2018-01-05,162.3175,0.0,0.0,0.0
2018-01-08,162.4164,0.041,0.0,0.0
2018-01-09,163.4352,0.041,0.0,0.0
2018-01-10,162.1067,0.03,0.0,0.0
2018-01-11,161.601,0.008,0.0,0.0
2018-01-12,163.0981,0.005,0.0,0.0
2018-01-16,160.8971,-0.009,0.031,0.0
2018-01-17,162.88,-0.003,0.038,0.0
2018-01-18,162.989,0.005,0.035,0.0
2018-01-19,166.3004,0.029,0.038,0.0
2018-01-22,167.2224,0.025,0.03,0.0
2018-01-23,167.0142,0.038,0.028,0.0
2018-01-24,166.112,0.02,0.016,0.0
2018-01-25,166.3797,0.021,0.026,0.0
2018-01-26,168.9772,0.016,0.046,0.0
2018-01-29,167.7577,0.003,0.029,0.0
2018-01-30,167.0538,0.0,0.038,0.07
2018-01-31,166.459,0.002,0.022,0.06
2018-02-01,164.2283,-0.013,0.008,0.043
2018-02-02,162.0174,-0.041,-0.026,0.011
2018-02-05,156.297,-0.068,-0.065,-0.037
2018-02-06,159.4893,-0.045,-0.045,-0.018
2018-02-07,159.9057,-0.039,-0.037,-0.022
2018-02-08,151.439,-0.078,-0.09,-0.066
2018-02-09,155.71200000000002,-0.039,-0.079,-0.036
2018-02-12,158.0121,0.011,-0.058,-0.031
2018-02-13,157.9923,-0.009,-0.054,-0.018
2018-02-14,162.4933,0.016,-0.024,-0.002
2018-02-15,167.8569,0.108,0.022,0.03
2018-02-16,170.2165,0.093,0.051,0.024
2018-02-20,172.0803,0.089,0.101,0.029
2018-02-21,171.8325,0.088,0.077,0.029
2018-02-22,170.6229,0.05,0.067,0.027
2018-02-23,170.3057,0.015,0.125,0.024
2018-02-26,171.1881,0.006,0.099,0.013
2018-02-27,168.888,-0.019,0.069,0.007
2018-02-28,165.4279,-0.037,0.047,-0.01
2018-03-01,162.9295,-0.045,0.003,-0.021
2018-03-02,167.3909,-0.017,-0.003,0.019
2018-03-05,168.7194,-0.014,-0.009,0.041
2018-03-06,168.0056,-0.005,-0.024,0.075
2018-03-07,169.1953,0.023,-0.015,0.061
2018-03-08,169.9984,0.043,-0.004,0.063
2018-03-09,175.6494,0.049,0.031,0.16
2018-03-12,175.8081,0.042,0.027,0.129
2018-03-13,176.1551,0.049,0.043,0.115
2018-03-14,175.7684,0.039,0.063,0.113
2018-03-15,176.4029,0.038,0.083,0.086
2018-03-16,177.0572,0.008,0.058,0.055
2018-03-19,174.2317,-0.009,0.033,0.024
2018-03-20,176.62099999999998,0.003,0.051,0.026
2018-03-21,175.1438,-0.004,0.035,0.019
2018-03-22,173.3295,-0.017,0.02,0.016
2018-03-23,168.4121,-0.049,-0.041,-0.011
2018-03-26,173.0321,-0.007,-0.016,0.011
2018-03-27,171.7631,-0.028,-0.025,0.017
2018-03-28,169.463,-0.032,-0.036,0.024
2018-03-29,171.8622,-0.008,-0.026,0.055
2018-04-02,168.422,0.0,-0.049,0.006
2018-04-03,169.0069,-0.023,-0.03,0.002
2018-04-04,171.5648,-0.001,-0.029,0.021
2018-04-05,170.3553,0.005,-0.027,0.007
2018-04-06,166.2409,-0.033,-0.041,-0.022
2018-04-09,168.3229,-0.001,-0.001,-0.042
2018-04-10,170.2308,0.007,-0.016,-0.032
2018-04-11,170.50900000000001,-0.006,-0.007,-0.032
2018-04-12,172.5361,0.013,0.018,-0.018
2018-04-13,170.9065,0.028,-0.006,-0.031
2018-04-16,174.1956,0.035,0.034,-0.016
2018-04-17,179.8597,0.057,0.064,0.032
2018-04-18,180.0485,0.056,0.049,0.019
2018-04-19,178.2797,0.033,0.047,0.018
2018-04-20,177.0078,0.036,0.065,0.021
2018-04-23,179.1641,0.029,0.064,0.064
2018-04-24,177.445,-0.013,0.042,0.026
2018-04-25,175.2589,-0.027,0.028,0.02
2018-04-26,184.0134,0.032,0.067,0.086
2018-04-27,185.4145,0.047,0.085,0.079
2018-04-30,183.6258,0.025,0.054,0.09
2018-05-01,186.0604,0.049,0.034,0.101
2018-05-02,184.7587,0.054,0.026,0.077
2018-05-03,185.2058,0.006,0.039,0.087
2018-05-04,188.2565,0.015,0.064,0.132
2018-05-07,188.3658,0.026,0.051,0.119
2018-05-08,188.9719,0.016,0.065,0.11
2018-05-09,191.4562,0.036,0.092,0.123
2018-05-10,193.0759,0.042,0.049,0.119
2018-05-11,192.9766,0.025,0.041,0.129
2018-05-14,191.3767,0.016,0.042,0.099
2018-05-15,188.5745,-0.002,0.014,0.048
2018-05-16,189.2104,-0.012,0.024,0.051
2018-05-17,188.5844,-0.023,0.018,0.058
2018-05-18,189.3396,-0.019,0.006,0.07
2018-05-21,190.4824,-0.005,0.011,0.063
2018-05-22,189.3396,0.004,0.002,0.067
2018-05-23,194.9938,0.031,0.018,0.113
2018-05-24,196.5439,0.042,0.018,0.068
2018-05-25,195.8483,0.034,0.015,0.056
2018-05-29,195.4608,0.026,0.021,0.064
2018-05-30,199.8331,0.055,0.06,0.074
2018-05-31,200.3299,0.027,0.059,0.084
2018-06-01,202.7943,0.032,0.075,0.095
2018-06-04,205.6959,0.05,0.086,0.093
2018-06-05,206.9182,0.059,0.086,0.098
2018-06-06,208.1802,0.042,0.1,0.102
2018-06-07,204.9606,0.023,0.051,0.071
2018-06-08,204.9606,0.011,0.043,0.062
2018-06-11,205.0599,-0.003,0.047,0.063
2018-06-12,206.1828,-0.004,0.055,0.077
2018-06-13,206.4809,-0.008,0.033,0.095
2018-06-14,207.7628,0.014,0.037,0.098
2018-06-15,207.6436,0.013,0.024,0.101
2018-06-18,207.8423,0.014,0.01,0.098
2018-06-19,209.2832,0.015,0.011,0.099
2018-06-20,212.1748,0.028,0.019,0.121
2018-06-21,208.4783,0.003,0.017,0.069
2018-06-22,204.6823,-0.014,-0.001,0.041
2018-06-25,200.4691,-0.035,-0.022,0.024
2018-06-26,200.8367,-0.04,-0.026,0.028
2018-06-27,196.9712,-0.072,-0.046,-0.014
2018-06-28,202.7347,-0.028,-0.024,0.012
2018-06-29,203.0179,-0.008,-0.022,0.001
2018-07-02,204.1457,0.018,-0.018,-0.008
2018-07-03,203.47,0.013,-0.028,-0.017
2018-07-05,203.7681,0.035,-0.04,-0.021
2018-07-06,206.8387,0.02,-0.008,0.009
2018-07-09,206.8089,0.019,0.01,0.009
2018-07-10,207.5356,0.017,0.035,0.012
2018-07-11,208.2624,0.024,0.037,0.01
2018-07-12,212.7723,0.044,0.08,0.03
2018-07-13,212.7623,0.029,0.049,0.024
2018-07-16,213.50900000000001,0.032,0.052,0.028
2018-07-17,215.5201,0.038,0.056,0.037
2018-07-18,217.3419,0.044,0.068,0.039
2018-07-19,215.0322,0.011,0.055,0.013
2018-07-20,214.3254,0.007,0.036,0.028
2018-07-23,216.426,0.014,0.047,0.057
2018-07-24,214.8431,-0.003,0.035,0.072
2018-07-25,216.2866,-0.005,0.039,0.077
2018-07-26,215.6793,0.003,0.014,0.095
2018-07-27,211.3685,-0.014,-0.007,0.043
2018-07-30,201.7813,-0.068,-0.055,-0.006
2018-07-31,203.3343,-0.054,-0.057,-0.004
2018-08-01,203.3542,-0.06,-0.064,-0.001
2018-08-02,204.8177,-0.05,-0.048,0.005
2018-08-03,204.2403,-0.034,-0.047,-0.013
