,close,5days,10days,20days
2017-12-29,76.7,0.0,0.0,0.0
2018-01-02,80.1,0.0,0.0,0.0
2018-01-03,83.04,0.0,0.0,0.0
2018-01-04,80.92,0.0,0.0,0.0
2018-01-05,82.0,0.0,0.0,0.0
2018-01-08,81.78,0.066,0.0,0.0
2018-01-09,81.17,0.013,0.0,0.0
2018-01-10,81.18,-0.022,0.0,0.0
2018-01-11,82.79,0.023,0.0,0.0
2018-01-12,87.19,0.063,0.0,0.0
2018-01-16,85.69,0.048,0.117,0.0
2018-01-17,88.09,0.085,0.1,0.0
2018-01-18,86.22,0.062,0.038,0.0
2018-01-19,88.79,0.072,0.097,0.0
2018-01-22,89.94,0.032,0.097,0.0
2018-01-23,91.64,0.069,0.121,0.0
2018-01-24,93.51,0.062,0.152,0.0
2018-01-25,92.66,0.075,0.141,0.0
2018-01-26,94.36,0.063,0.14,0.0
2018-01-29,93.45,0.039,0.072,0.0
2018-01-30,88.61,-0.033,0.034,0.155
2018-01-31,88.75,-0.051,0.007,0.108
2018-02-01,89.91,-0.03,0.043,0.083
2018-02-02,88.62,-0.061,-0.002,0.095
2018-02-05,81.92,-0.123,-0.089,-0.001
2018-02-06,87.09,-0.017,-0.05,0.065
2018-02-07,88.04,-0.008,-0.058,0.085
2018-02-08,59.8,-0.335,-0.355,-0.263
2018-02-09,57.9,-0.347,-0.386,-0.301
2018-02-12,61.58,-0.248,-0.341,-0.294
2018-02-13,64.53,-0.259,-0.272,-0.247
2018-02-14,64.36,-0.269,-0.275,-0.269
2018-02-15,65.95,0.103,-0.266,-0.235
2018-02-16,66.39,0.147,-0.251,-0.252
2018-02-20,65.28,0.06,-0.203,-0.274
2018-02-21,65.74,0.019,-0.245,-0.283
2018-02-22,65.03,0.01,-0.261,-0.305
2018-02-23,68.51,0.039,0.146,-0.261
2018-02-26,69.62,0.049,0.202,-0.262
2018-02-27,68.94,0.056,0.12,-0.262
2018-02-28,67.95,0.034,0.053,-0.233
2018-03-01,65.65,0.01,0.02,-0.26
2018-03-02,67.39,-0.016,0.022,-0.25
2018-03-05,68.53,-0.016,0.032,-0.227
2018-03-06,68.67,-0.004,0.052,-0.162
2018-03-07,69.28,0.02,0.054,-0.205
2018-03-08,66.93,0.019,0.029,-0.24
2018-03-09,68.41,0.015,-0.001,0.144
2018-03-12,70.27,0.025,0.009,0.214
2018-03-13,69.12,0.007,0.003,0.122
2018-03-14,69.57,0.004,0.024,0.078
2018-03-15,69.87,0.044,0.064,0.086
2018-03-16,70.13,0.025,0.041,0.063
2018-03-19,66.9,-0.048,-0.024,0.008
2018-03-20,67.86,-0.018,-0.012,0.04
2018-03-21,69.21,-0.005,-0.001,0.053
2018-03-22,66.5,-0.048,-0.006,0.023
2018-03-23,66.72,-0.049,-0.025,-0.026
2018-03-26,67.7,0.012,-0.037,-0.028
2018-03-27,65.6,-0.033,-0.051,-0.048
2018-03-28,63.09,-0.088,-0.093,-0.072
2018-03-29,64.19,-0.035,-0.081,-0.022
2018-04-02,63.6,-0.047,-0.093,-0.056
2018-04-03,65.49,-0.033,-0.021,-0.044
2018-04-04,66.76,0.018,-0.016,-0.028
2018-04-05,67.8,0.075,-0.02,-0.021
2018-04-06,66.42,0.035,-0.001,-0.008
2018-04-09,65.64,0.032,-0.016,-0.04
2018-04-10,66.97,0.023,-0.011,-0.047
2018-04-11,66.79,0.0,0.018,-0.034
2018-04-12,67.38,-0.006,0.068,-0.031
2018-04-13,65.75,-0.01,0.024,-0.059
2018-04-16,66.96,0.02,0.053,-0.045
2018-04-17,63.47,-0.052,-0.031,-0.051
2018-04-18,61.8,-0.075,-0.074,-0.089
2018-04-19,63.67,-0.055,-0.061,-0.08
2018-04-20,63.88,-0.028,-0.038,-0.039
2018-04-23,59.95,-0.105,-0.087,-0.101
2018-04-24,59.08,-0.069,-0.118,-0.127
2018-04-25,57.06,-0.077,-0.146,-0.13
2018-04-26,58.24,-0.085,-0.136,-0.077
2018-04-27,58.58,-0.083,-0.109,-0.087
2018-04-30,58.36,-0.027,-0.128,-0.082
2018-05-01,57.83,-0.021,-0.089,-0.117
