,close,5days,10days,20days
2017-12-29,364.94,0.0,0.0,0.0
2018-01-02,375.25,0.0,0.0,0.0
2018-01-03,383.82,0.0,0.0,0.0
2018-01-04,376.92,0.0,0.0,0.0
2018-01-05,379.01,0.0,0.0,0.0
2018-01-08,391.86,0.074,0.0,0.0
2018-01-09,397.6,0.06,0.0,0.0
2018-01-10,423.76,0.104,0.0,0.0
2018-01-11,421.37,0.118,0.0,0.0
2018-01-12,419.04,0.106,0.0,0.0
2018-01-16,420.07,0.072,0.151,0.0
2018-01-17,431.1,0.084,0.149,0.0
2018-01-18,432.07,0.02,0.126,0.0
2018-01-19,433.23,0.028,0.149,0.0
2018-01-22,433.94,0.036,0.145,0.0
2018-01-23,439.55,0.046,0.122,0.0
2018-01-24,437.48,0.015,0.1,0.0
2018-01-25,449.81,0.041,0.061,0.0
2018-01-26,440.24,0.016,0.045,0.0
2018-01-29,436.34,0.006,0.041,0.0
2018-01-30,427.84,-0.027,0.018,0.172
2018-01-31,431.67,-0.013,0.001,0.15
2018-02-01,425.92,-0.053,-0.014,0.11
2018-02-02,416.96,-0.053,-0.038,0.106
2018-02-05,399.01,-0.086,-0.08,0.053
2018-02-06,408.33,-0.046,-0.071,0.042
2018-02-07,399.53,-0.074,-0.087,0.005
2018-02-08,381.87,-0.103,-0.151,-0.099
2018-02-09,392.91,-0.058,-0.108,-0.068
2018-02-12,398.51,-0.001,-0.087,-0.049
2018-02-13,402.0,-0.016,-0.06,-0.043
2018-02-14,409.89,0.026,-0.05,-0.049
2018-02-15,418.56,0.096,-0.017,-0.031
2018-02-16,415.98,0.059,-0.002,-0.04
2018-02-20,421.76,0.058,0.057,-0.028
2018-02-21,416.56,0.036,0.02,-0.052
2018-02-22,419.79,0.024,0.051,-0.04
2018-02-23,427.51,0.021,0.12,-0.05
2018-02-26,432.0,0.039,0.099,-0.019
2018-02-27,430.98,0.022,0.081,-0.012
2018-02-28,426.45,0.024,0.061,-0.003
2018-03-01,412.13,-0.018,0.005,-0.045
2018-03-02,417.39,-0.024,-0.003,-0.02
2018-03-05,424.25,-0.018,0.02,0.017
2018-03-06,426.5,-0.01,0.011,0.069
2018-03-07,430.46,0.009,0.033,0.054
2018-03-08,432.36,0.049,0.03,0.082
2018-03-09,440.46,0.055,0.03,0.153
2018-03-12,438.95,0.035,0.016,0.117
2018-03-13,440.22,0.032,0.021,0.105
2018-03-14,440.77,0.024,0.034,0.096
2018-03-15,441.95,0.022,0.072,0.078
2018-03-16,435.86,-0.01,0.044,0.041
2018-03-19,426.86,-0.028,0.006,0.026
2018-03-20,430.19,-0.023,0.009,0.02
2018-03-21,424.99,-0.036,-0.013,0.02
2018-03-22,413.9,-0.063,-0.043,-0.014
2018-03-23,399.15,-0.084,-0.094,-0.066
2018-03-26,415.12,-0.028,-0.054,-0.039
2018-03-27,405.22,-0.058,-0.08,-0.06
2018-03-28,402.39,-0.053,-0.087,-0.056
2018-03-29,412.83,-0.003,-0.066,0.002
2018-04-02,400.89,0.004,-0.08,-0.04
2018-04-03,403.47,-0.028,-0.055,-0.049
2018-04-04,401.92,-0.008,-0.066,-0.058
2018-04-05,406.12,0.009,-0.044,-0.057
2018-04-06,396.55,-0.039,-0.042,-0.083
2018-04-09,405.65,0.012,0.016,-0.079
2018-04-10,418.7,0.038,0.009,-0.046
2018-04-11,412.12,0.025,0.017,-0.064
2018-04-12,415.05,0.022,0.031,-0.058
2018-04-13,414.63,0.046,0.004,-0.062
2018-04-16,418.38,0.031,0.044,-0.04
2018-04-17,435.45,0.04,0.079,0.02
2018-04-18,471.03,0.143,0.172,0.095
2018-04-19,462.71,0.115,0.139,0.089
2018-04-20,456.27,0.1,0.151,0.102
2018-04-23,447.84,0.07,0.104,0.122
2018-04-24,436.47,0.002,0.042,0.051
2018-04-25,437.96,-0.07,0.063,0.081
2018-04-26,446.19,-0.036,0.075,0.109
2018-04-27,447.03,-0.02,0.078,0.083
2018-04-30,440.78,-0.016,0.054,0.1
2018-05-01,447.55,0.025,0.028,0.109
2018-05-02,449.01,0.025,-0.047,0.117
2018-05-03,448.24,0.005,-0.031,0.104
2018-05-04,460.42,0.03,0.009,0.161
2018-05-07,465.4,0.056,0.039,0.147
2018-05-08,462.6,0.034,0.06,0.105
2018-05-09,462.27,0.03,0.056,0.122
2018-05-10,468.4,0.045,0.05,0.129
2018-05-11,468.35,0.017,0.048,0.13
2018-05-14,466.19,0.002,0.058,0.114
2018-05-15,456.83,-0.012,0.021,0.049
2018-05-16,461.04,-0.003,0.027,-0.021
2018-05-17,457.92,-0.022,0.022,-0.01
2018-05-18,458.79,-0.02,-0.004,0.006
2018-05-21,463.38,-0.006,-0.004,0.035
2018-05-22,454.61,-0.005,-0.017,0.042
2018-05-23,458.71,-0.005,-0.008,0.047
2018-05-24,457.79,-0.0,-0.023,0.026
2018-05-25,456.56,-0.005,-0.025,0.021
2018-05-29,454.63,-0.019,-0.025,0.031
2018-05-30,459.66,0.011,0.006,0.027
2018-05-31,459.67,0.002,-0.003,0.024
2018-06-01,479.25,0.047,0.047,0.069
2018-06-04,477.93,0.047,0.042,0.038
2018-06-05,492.37,0.083,0.063,0.058
2018-06-06,493.38,0.073,0.085,0.067
2018-06-07,485.34,0.056,0.058,0.05
2018-06-08,484.6,0.011,0.059,0.035
2018-06-11,490.71,0.027,0.075,0.048
2018-06-12,494.92,0.005,0.089,0.062
2018-06-13,490.47,-0.006,0.067,0.074
2018-06-14,495.52,0.021,0.078,0.075
2018-06-15,490.49,0.012,0.023,0.071
2018-06-18,490.67,-0.0,0.027,0.069
2018-06-19,488.6,-0.013,-0.008,0.054
2018-06-20,487.45,-0.006,-0.012,0.072
2018-06-21,487.08,-0.017,0.004,0.062
2018-06-22,483.21,-0.015,-0.003,0.056
2018-06-25,473.48,-0.035,-0.035,0.037
2018-06-26,482.78,-0.012,-0.025,0.062
2018-06-27,476.39,-0.023,-0.029,0.036
2018-06-28,483.71,-0.007,-0.024,0.052
2018-06-29,478.48,-0.01,-0.024,-0.002
2018-07-02,488.1,0.031,-0.005,0.021
2018-07-03,485.58,0.006,-0.006,-0.014
2018-07-05,487.39,0.023,-0.0,-0.012
2018-07-06,495.46,0.024,0.017,0.021
2018-07-09,499.42,0.044,0.034,0.031
2018-07-10,502.11,0.029,0.06,0.023
2018-07-11,504.22,0.038,0.044,0.019
2018-07-12,525.0,0.077,0.102,0.07
2018-07-13,524.34,0.058,0.084,0.058
2018-07-16,518.06,0.037,0.083,0.056
2018-07-17,523.78,0.043,0.073,0.067
2018-07-18,527.91,0.047,0.087,0.08
2018-07-19,521.29,-0.007,0.07,0.069
2018-07-20,516.78,-0.014,0.043,0.061
2018-07-23,519.87,0.003,0.041,0.076
2018-07-24,523.22,-0.001,0.042,0.105
2018-07-25,537.97,0.019,0.067,0.114
2018-07-26,526.96,0.011,0.004,0.106
2018-07-27,519.21,0.005,-0.01,0.073
2018-07-30,503.0,-0.032,-0.029,0.051
2018-07-31,508.19,-0.029,-0.03,0.041
2018-08-01,516.29,-0.04,-0.022,0.063
2018-08-02,521.9,-0.01,0.001,0.071
2018-08-03,522.6,0.007,0.011,0.055
2018-08-06,520.8,0.035,0.002,0.043
2018-08-07,517.9,0.019,-0.01,0.031
2018-08-08,519.28,0.006,-0.035,0.03
2018-08-09,522.69,0.002,-0.008,-0.004
2018-08-10,521.02,-0.003,0.003,-0.006
2018-08-13,520.36,-0.001,0.035,0.004
2018-08-14,529.0,0.021,0.041,0.01
2018-08-15,522.77,0.007,0.013,-0.01
2018-08-16,523.9,0.002,0.004,0.005
2018-08-17,524.92,0.007,0.004,0.016
2018-08-20,525.36,0.01,0.009,0.011
2018-08-21,529.05,0.0,0.022,0.011
2018-08-22,535.0,0.023,0.03,-0.006
2018-08-23,537.21,0.025,0.028,0.019
2018-08-24,541.52,0.032,0.039,0.043
2018-08-27,545.22,0.038,0.048,0.084
2018-08-28,544.91,0.03,0.03,0.072
2018-08-29,554.01,0.036,0.06,0.073
2018-08-30,555.17,0.033,0.06,0.064
2018-08-31,560.0,0.034,0.067,0.072
2018-09-04,556.03,0.02,0.058,0.068
2018-09-05,536.72,-0.015,0.014,0.036
2018-09-06,541.86,-0.022,0.013,0.043
2018-09-07,537.96,-0.031,0.001,0.029
2018-09-10,541.88,-0.032,0.001,0.04
2018-09-11,546.4,-0.017,0.002,0.05
2018-09-12,549.56,0.024,0.009,0.039
2018-09-13,558.82,0.031,0.009,0.069
2018-09-14,568.36,0.057,0.024,0.085
2018-09-17,558.65,0.031,-0.002,0.064
2018-09-18,564.82,0.034,0.016,0.075
2018-09-19,556.47,0.013,0.037,0.052
2018-09-20,561.18,0.004,0.036,0.049
2018-09-21,556.77,-0.02,0.035,0.036
2018-09-24,569.27,0.019,0.051,0.051
2018-09-25,574.19,0.017,0.051,0.053
2018-09-26,569.54,0.023,0.036,0.045
2018-09-27,569.69,0.015,0.019,0.028
2018-09-28,574.0,0.031,0.01,0.034
2018-10-01,574.74,0.01,0.029,0.026
2018-10-02,571.48,-0.005,0.012,0.028
2018-10-03,561.47,-0.014,0.009,0.046
2018-10-04,554.44,-0.027,-0.012,0.023
2018-10-05,548.71,-0.044,-0.014,0.02
2018-10-08,526.47,-0.084,-0.075,-0.028
2018-10-09,531.21,-0.07,-0.075,-0.028
2018-10-10,512.21,-0.088,-0.101,-0.068
2018-10-11,508.22,-0.083,-0.108,-0.091
2018-10-12,532.02,-0.03,-0.073,-0.064
2018-10-15,519.29,-0.014,-0.096,-0.07
2018-10-16,542.91,0.022,-0.05,-0.039
2018-10-17,542.91,0.06,-0.033,-0.024
2018-10-18,522.29,0.028,-0.058,-0.069
2018-10-19,504.26,-0.052,-0.081,-0.094
2018-10-22,511.41,-0.015,-0.029,-0.102
2018-10-23,506.93,-0.066,-0.046,-0.117
2018-10-24,483.11,-0.11,-0.057,-0.152
2018-10-25,492.92,-0.056,-0.03,-0.135
2018-10-26,486.89,-0.034,-0.085,-0.152
2018-10-29,477.86,-0.066,-0.08,-0.169
2018-10-30,490.82,-0.032,-0.096,-0.141
2018-10-31,521.18,0.079,-0.04,-0.072
2018-11-01,518.61,0.052,-0.007,-0.065
2018-11-02,516.22,0.06,0.024,-0.059
2018-11-05,507.4,0.062,-0.008,-0.036
2018-11-06,519.69,0.059,0.025,-0.022
2018-11-07,545.68,0.047,0.13,0.065
2018-11-08,540.02,0.041,0.096,0.063
2018-11-09,532.56,0.032,0.094,0.001
2018-11-12,504.0,-0.007,0.055,-0.029
2018-11-13,503.44,-0.031,0.026,-0.073
2018-11-14,498.64,-0.086,-0.043,-0.082
2018-11-15,513.64,-0.049,-0.01,-0.017
2018-11-16,518.54,-0.026,0.004,0.028
2018-11-19,482.67,-0.042,-0.049,-0.056
2018-11-20,485.24,-0.036,-0.066,-0.043
2018-11-21,491.62,-0.014,-0.099,0.018
2018-11-23,489.57,-0.047,-0.093,-0.007
2018-11-26,503.28,-0.029,-0.055,0.034
2018-11-27,496.86,0.029,-0.014,0.04
2018-11-28,521.9,0.076,0.037,0.063
2018-11-29,520.97,0.06,0.045,-0.0
2018-11-30,530.87,0.084,0.034,0.024
2018-12-03,548.93,0.091,0.059,0.063
2018-12-04,518.82,0.044,0.075,0.023
2018-12-06,519.09,-0.005,0.07,-0.001
2018-12-07,491.69,-0.056,0.0,-0.099
2018-12-10,498.11,-0.062,0.017,-0.078
2018-12-11,508.06,-0.074,0.009,-0.046
2018-12-12,515.63,-0.006,0.038,0.023
2018-12-13,512.25,-0.013,-0.018,0.017
2018-12-14,491.81,0.0,-0.056,-0.014
2018-12-17,481.75,-0.033,-0.093,-0.062
2018-12-18,482.36,-0.051,-0.121,-0.07
2018-12-19,471.92,-0.085,-0.09,-0.022
2018-12-20,459.88,-0.102,-0.114,-0.052
2018-12-21,446.02,-0.093,-0.093,-0.093
2018-12-24,434.89,-0.097,-0.127,-0.112
2018-12-26,461.98,-0.042,-0.091,-0.082
2018-12-27,468.7,-0.007,-0.091,-0.057
2018-12-28,471.2,0.025,-0.08,-0.097
2018-12-31,478.92,0.074,-0.026,-0.081
2019-01-02,466.03,0.072,-0.033,-0.122
2019-01-03,450.24,-0.025,-0.067,-0.18
2019-01-04,471.68,0.006,-0.001,-0.091
2019-01-07,478.44,0.015,0.04,-0.078
2019-01-08,482.99,0.008,0.083,-0.018
2019-01-09,517.11,0.11,0.189,0.038
2019-01-10,518.07,0.151,0.121,0.02
2019-01-11,505.32,0.071,0.078,-0.02
2019-01-14,502.71,0.051,0.067,-0.019
2019-01-15,515.46,0.067,0.076,0.048
2019-01-16,515.93,-0.002,0.107,0.071
2019-01-17,534.28,0.031,0.187,0.108
2019-01-18,542.55,0.074,0.15,0.15
2019-01-22,536.78,0.068,0.122,0.167
2019-01-23,529.95,0.028,0.097,0.188
2019-01-24,536.12,0.039,0.037,0.233
2019-01-25,515.04,-0.036,-0.006,0.115
2019-01-28,496.73,-0.084,-0.017,0.06
2019-01-29,494.25,-0.079,-0.017,0.049
2019-01-30,508.48,-0.041,-0.014,0.062
2019-01-31,523.64,-0.023,0.015,0.124
2019-02-01,524.65,0.019,-0.018,0.165
2019-02-04,522.43,0.052,-0.037,0.108
2019-02-05,522.89,0.058,-0.026,0.093
2019-02-06,521.95,0.026,-0.015,0.081
2019-02-07,509.36,-0.027,-0.05,-0.015
2019-02-08,517.05,-0.014,0.004,-0.002
2019-02-11,529.46,0.013,0.066,0.048
2019-02-12,539.71,0.032,0.092,0.074
2019-02-13,533.47,0.022,0.049,0.035
2019-02-14,536.08,0.052,0.024,0.039
2019-02-15,548.5,0.061,0.045,0.027
2019-02-19,548.17,0.035,0.049,0.01
2019-02-20,549.65,0.018,0.051,0.024
2019-02-21,549.87,0.031,0.053,0.038
2019-02-22,551.86,0.029,0.083,0.029
2019-02-25,553.39,0.009,0.07,0.074
2019-02-26,548.46,0.001,0.036,0.104
2019-02-27,549.41,-0.0,0.018,0.112
2019-02-28,547.61,-0.004,0.027,0.077
2019-03-01,558.55,0.012,0.042,0.067
2019-03-04,549.93,-0.006,0.003,0.048
2019-03-05,546.61,-0.003,-0.003,0.046
2019-03-06,536.51,-0.023,-0.024,0.026
2019-03-07,533.16,-0.026,-0.03,0.021
2019-03-08,533.76,-0.044,-0.033,0.048
2019-03-11,542.95,-0.013,-0.019,0.05
2019-03-12,550.13,0.006,0.003,0.039
2019-03-13,557.16,0.038,0.014,0.032
2019-03-14,558.73,0.048,0.02,0.047
2019-03-15,558.21,0.046,-0.001,0.041
2019-03-18,559.49,0.03,0.017,0.02
