,close,5days,10days,20days
2017-12-29,41.42,0.0,0.0,0.0
2018-01-02,43.28,0.0,0.0,0.0
2018-01-03,43.51,0.0,0.0,0.0
2018-01-04,43.67,0.0,0.0,0.0
2018-01-05,45.64,0.0,0.0,0.0
2018-01-08,46.1,0.113,0.0,0.0
2018-01-09,46.13,0.066,0.0,0.0
2018-01-10,46.45,0.068,0.0,0.0
2018-01-11,46.61,0.067,0.0,0.0
2018-01-12,46.4,0.017,0.0,0.0
2018-01-16,46.46,0.008,0.122,0.0
2018-01-17,46.61,0.01,0.077,0.0
2018-01-18,45.9,-0.012,0.055,0.0
2018-01-19,46.02,-0.013,0.054,0.0
2018-01-22,45.26,-0.025,-0.008,0.0
2018-01-23,45.18,-0.028,-0.02,0.0
2018-01-24,46.74,0.003,0.013,0.0
2018-01-25,47.38,0.032,0.02,0.0
2018-01-26,50.5,0.097,0.083,0.0
2018-01-29,49.94,0.103,0.076,0.0
2018-01-30,49.26,0.09,0.06,0.189
2018-01-31,49.23,0.053,0.056,0.137
2018-02-01,47.55,0.004,0.036,0.093
2018-02-02,46.03,-0.089,0.0,0.054
2018-02-05,44.6,-0.107,-0.015,-0.023
2018-02-06,45.05,-0.085,-0.003,-0.023
2018-02-07,44.39,-0.098,-0.05,-0.038
2018-02-08,42.25,-0.111,-0.108,-0.09
2018-02-09,42.93,-0.067,-0.15,-0.079
2018-02-12,43.72,-0.02,-0.125,-0.058
2018-02-13,44.55,-0.011,-0.096,-0.041
2018-02-14,46.86,0.056,-0.048,0.005
2018-02-15,47.11,0.115,-0.009,0.026
2018-02-16,46.42,0.081,0.008,0.009
2018-02-20,46.93,0.073,0.052,0.037
2018-02-21,47.16,0.059,0.047,0.044
2018-02-22,47.81,0.02,0.077,0.023
2018-02-23,48.35,0.026,0.144,0.02
2018-02-26,48.8,0.051,0.137,-0.034
2018-02-27,47.04,0.002,0.076,-0.058
2018-02-28,47.15,-0.0,0.058,-0.043
2018-03-01,46.21,-0.033,-0.014,-0.061
2018-03-02,43.8,-0.094,-0.07,-0.079
2018-03-05,42.99,-0.119,-0.074,-0.066
2018-03-06,43.14,-0.083,-0.081,-0.033
2018-03-07,44.41,-0.058,-0.058,-0.014
2018-03-08,45.39,-0.018,-0.051,0.023
2018-03-09,45.71,0.044,-0.055,0.082
2018-03-12,46.01,0.07,-0.057,0.072
2018-03-13,44.32,0.027,-0.058,0.014
2018-03-14,44.09,-0.007,-0.065,-0.01
2018-03-15,44.94,-0.01,-0.027,-0.041
2018-03-16,44.97,-0.016,0.027,-0.045
2018-03-19,44.15,-0.04,0.027,-0.049
2018-03-20,44.0,-0.007,0.02,-0.062
2018-03-21,43.51,-0.013,-0.02,-0.077
2018-03-22,42.51,-0.054,-0.063,-0.111
2018-03-23,40.87,-0.091,-0.106,-0.155
2018-03-26,41.85,-0.052,-0.09,-0.142
2018-03-27,40.71,-0.075,-0.081,-0.135
2018-03-28,40.01,-0.08,-0.093,-0.151
2018-03-29,40.49,-0.048,-0.099,-0.124
2018-04-02,39.08,-0.044,-0.131,-0.108
2018-04-03,38.98,-0.069,-0.117,-0.093
2018-04-04,39.44,-0.031,-0.104,-0.086
2018-04-05,40.19,0.004,-0.076,-0.095
2018-04-06,39.23,-0.031,-0.077,-0.136
2018-04-09,40.07,0.025,-0.02,-0.123
2018-04-10,40.7,0.044,-0.027,-0.115
2018-04-11,40.46,0.026,-0.006,-0.087
2018-04-12,40.6,0.01,0.015,-0.079
2018-04-13,39.8,0.015,-0.017,-0.114
2018-04-16,39.93,-0.003,0.022,-0.112
2018-04-17,40.27,-0.011,0.033,-0.088
2018-04-18,40.18,-0.007,0.019,-0.087
2018-04-19,38.9,-0.042,-0.032,-0.106
2018-04-20,37.44,-0.059,-0.046,-0.119
2018-04-23,37.0,-0.073,-0.077,-0.095
2018-04-24,35.87,-0.109,-0.119,-0.143
2018-04-25,35.88,-0.107,-0.113,-0.119
2018-04-26,36.5,-0.062,-0.101,-0.088
2018-04-27,36.76,-0.018,-0.076,-0.092
2018-04-30,36.51,-0.013,-0.086,-0.066
2018-05-01,37.47,0.045,-0.07,-0.039
2018-05-02,37.08,0.033,-0.077,-0.06
2018-05-03,37.2,0.019,-0.044,-0.074
2018-05-04,37.67,0.025,0.006,-0.04
2018-05-07,38.72,0.061,0.046,-0.034
2018-05-08,36.94,-0.014,0.03,-0.092
2018-05-09,37.14,0.002,0.035,-0.082
2018-05-10,36.85,-0.009,0.01,-0.092
2018-05-11,36.95,-0.019,0.005,-0.072
2018-05-14,37.17,-0.04,0.018,-0.069
2018-05-15,36.12,-0.022,-0.036,-0.103
2018-05-16,36.43,-0.019,-0.018,-0.093
2018-05-17,35.96,-0.024,-0.033,-0.076
2018-05-18,35.71,-0.034,-0.052,-0.046
2018-05-21,36.28,-0.024,-0.063,-0.019
2018-05-22,36.36,0.007,-0.016,0.014
2018-05-23,36.72,0.008,-0.011,0.023
2018-05-24,36.7,0.021,-0.004,0.005
2018-05-25,36.87,0.032,-0.002,0.003
2018-05-29,36.53,0.007,-0.017,0.001
2018-05-30,35.8,-0.015,-0.009,-0.045
2018-05-31,35.18,-0.042,-0.034,-0.051
2018-06-01,36.09,-0.017,0.004,-0.03
2018-06-04,38.16,0.035,0.069,0.013
2018-06-05,38.87,0.064,0.071,0.004
2018-06-06,40.4,0.128,0.111,0.094
2018-06-07,39.5,0.123,0.076,0.064
2018-06-08,39.92,0.106,0.088,0.083
2018-06-11,39.64,0.039,0.075,0.073
2018-06-12,41.47,0.067,0.135,0.116
2018-06-13,41.25,0.021,0.152,0.142
2018-06-14,43.75,0.108,0.244,0.201
2018-06-15,43.59,0.092,0.208,0.212
2018-06-18,43.76,0.104,0.147,0.225
2018-06-19,41.89,0.01,0.078,0.155
2018-06-20,41.68,0.01,0.032,0.146
2018-06-21,40.82,-0.067,0.033,0.112
2018-06-22,40.82,-0.064,0.023,0.112
2018-06-25,39.18,-0.105,-0.012,0.063
2018-06-26,39.47,-0.058,-0.048,0.08
2018-06-27,38.39,-0.079,-0.069,0.072
2018-06-28,38.93,-0.046,-0.11,0.107
2018-06-29,38.95,-0.046,-0.106,0.079
2018-07-02,38.79,-0.01,-0.114,0.017
2018-07-03,38.38,-0.028,-0.084,-0.013
2018-07-05,38.54,0.004,-0.075,-0.046
2018-07-06,39.46,0.014,-0.033,-0.001
2018-07-09,39.4,0.012,-0.035,-0.013
2018-07-10,38.59,-0.005,-0.015,-0.026
2018-07-11,37.95,-0.011,-0.039,-0.085
2018-07-12,38.52,-0.001,0.003,-0.066
2018-07-13,38.27,-0.03,-0.017,-0.125
2018-07-16,38.04,-0.035,-0.023,-0.127
2018-07-17,37.99,-0.016,-0.021,-0.132
2018-07-18,37.53,-0.011,-0.022,-0.104
2018-07-19,36.88,-0.043,-0.043,-0.115
2018-07-20,35.51,-0.072,-0.1,-0.13
2018-07-23,35.66,-0.063,-0.095,-0.126
2018-07-24,35.31,-0.071,-0.085,-0.099
2018-07-25,36.92,-0.016,-0.027,-0.065
2018-07-26,36.64,-0.007,-0.049,-0.046
2018-07-27,36.21,0.02,-0.054,-0.07
2018-07-30,35.16,-0.014,-0.076,-0.097
2018-07-31,35.86,0.016,-0.056,-0.076
2018-08-01,36.28,-0.017,-0.033,-0.055
2018-08-02,36.29,-0.01,-0.016,-0.058
2018-08-03,36.17,-0.001,0.019,-0.083
2018-08-06,35.9,0.021,0.007,-0.089
2018-08-07,36.5,0.018,0.034,-0.054
2018-08-08,36.0,-0.008,-0.025,-0.051
2018-08-09,36.02,-0.007,-0.017,-0.065
2018-08-10,35.79,-0.011,-0.012,-0.065
2018-08-13,35.07,-0.023,-0.003,-0.078
2018-08-14,33.87,-0.072,-0.055,-0.108
2018-08-15,32.36,-0.101,-0.108,-0.138
2018-08-16,31.97,-0.112,-0.119,-0.133
2018-08-17,32.22,-0.1,-0.109,-0.093
2018-08-20,33.04,-0.058,-0.08,-0.073
2018-08-21,32.8,-0.032,-0.101,-0.071
2018-08-22,32.34,-0.001,-0.102,-0.124
2018-08-23,31.39,-0.018,-0.129,-0.143
2018-08-24,31.4,-0.025,-0.123,-0.133
2018-08-27,32.67,-0.011,-0.068,-0.071
2018-08-28,32.16,-0.02,-0.05,-0.103
2018-08-29,31.95,-0.012,-0.013,-0.119
2018-08-30,31.0,-0.012,-0.03,-0.146
2018-08-31,31.3,-0.003,-0.029,-0.135
2018-09-04,29.43,-0.099,-0.109,-0.18
2018-09-05,26.3,-0.182,-0.198,-0.279
2018-09-06,27.25,-0.147,-0.157,-0.243
2018-09-07,26.95,-0.131,-0.141,-0.252
2018-09-10,26.53,-0.152,-0.155,-0.259
2018-09-11,27.09,-0.08,-0.171,-0.228
2018-09-12,27.63,0.051,-0.141,-0.184
2018-09-13,27.76,0.019,-0.131,-0.142
2018-09-14,27.11,0.006,-0.125,-0.152
2018-09-17,25.73,-0.03,-0.178,-0.201
2018-09-18,25.75,-0.049,-0.125,-0.221
2018-09-19,26.92,-0.026,0.024,-0.179
2018-09-20,26.93,-0.03,-0.012,-0.167
2018-09-21,26.49,-0.023,-0.017,-0.156
2018-09-24,24.51,-0.047,-0.076,-0.219
2018-09-25,24.54,-0.047,-0.094,-0.249
2018-09-26,25.2,-0.064,-0.088,-0.216
2018-09-27,25.43,-0.056,-0.084,-0.204
2018-09-28,26.09,-0.015,-0.038,-0.158
2018-10-01,25.49,0.04,-0.009,-0.186
2018-10-02,24.9,0.015,-0.033,-0.154
2018-10-03,25.14,-0.002,-0.066,-0.044
2018-10-04,24.32,-0.044,-0.097,-0.108
2018-10-05,23.62,-0.095,-0.108,-0.124
2018-10-08,23.89,-0.063,-0.025,-0.1
2018-10-09,23.78,-0.045,-0.031,-0.122
2018-10-10,22.71,-0.097,-0.099,-0.178
2018-10-11,23.48,-0.035,-0.077,-0.154
2018-10-12,24.45,0.035,-0.063,-0.098
2018-10-15,24.14,0.01,-0.053,-0.062
2018-10-16,24.63,0.036,-0.011,-0.043
2018-10-17,23.68,0.043,-0.058,-0.12
2018-10-18,23.33,-0.006,-0.041,-0.134
2018-10-19,23.01,-0.059,-0.026,-0.131
2018-10-22,23.54,-0.025,-0.015,-0.04
2018-10-23,23.23,-0.057,-0.023,-0.053
2018-10-24,21.76,-0.081,-0.042,-0.137
2018-10-25,22.56,-0.033,-0.039,-0.113
2018-10-26,22.58,-0.019,-0.076,-0.135
2018-10-29,21.98,-0.066,-0.089,-0.138
2018-10-30,22.38,-0.037,-0.091,-0.101
2018-10-31,23.52,0.081,-0.007,-0.064
2018-11-01,25.45,0.128,0.091,0.046
2018-11-02,24.05,0.065,0.045,0.018
2018-11-05,24.15,0.099,0.026,0.011
2018-11-06,23.6,0.055,0.016,-0.008
2018-11-07,24.07,0.023,0.106,0.06
2018-11-08,22.4,-0.12,-0.007,-0.046
2018-11-09,21.7,-0.098,-0.039,-0.112
2018-11-12,22.01,-0.089,0.001,-0.088
2018-11-13,22.39,-0.051,0.0,-0.091
2018-11-14,22.76,-0.054,-0.032,-0.039
2018-11-15,24.2,0.08,-0.049,0.037
2018-11-16,23.05,0.062,-0.042,0.002
2018-11-19,21.11,-0.041,-0.126,-0.103
2018-11-20,19.49,-0.13,-0.174,-0.161
2018-11-21,20.34,-0.106,-0.155,-0.065
2018-11-23,19.27,-0.204,-0.14,-0.146
2018-11-26,20.46,-0.112,-0.057,-0.094
2018-11-27,20.84,-0.013,-0.053,-0.052
2018-11-28,21.38,0.097,-0.045,-0.045
2018-11-29,20.97,0.031,-0.079,-0.108
2018-11-30,21.23,0.102,-0.123,-0.166
2018-12-03,22.01,0.076,-0.045,-0.085
2018-12-04,21.45,0.029,0.016,-0.112
2018-12-06,21.23,-0.007,0.089,-0.1
2018-12-07,20.93,-0.002,0.029,-0.13
2018-12-10,20.51,-0.034,0.064,-0.084
2018-12-11,20.91,-0.05,0.022,-0.036
2018-12-12,21.89,0.021,0.05,-0.005
2018-12-13,22.71,0.07,0.062,0.014
2018-12-14,22.17,0.059,0.057,-0.026
2018-12-17,21.35,0.041,0.006,-0.118
2018-12-18,21.04,0.006,-0.044,-0.087
2018-12-19,20.17,-0.079,-0.06,-0.045
2018-12-20,19.91,-0.123,-0.062,0.022
2018-12-21,21.08,-0.049,0.007,0.036
2018-12-24,19.75,-0.075,-0.037,0.025
2018-12-26,21.1,0.003,0.009,0.031
2018-12-27,21.7,0.076,-0.009,0.041
2018-12-28,21.71,0.09,-0.044,0.015
2018-12-31,20.93,-0.007,-0.056,-0.002
2019-01-02,21.27,0.077,-0.004,0.002
2019-01-03,20.35,-0.036,-0.033,-0.075
2019-01-04,22.27,0.026,0.104,0.038
2019-01-07,22.76,0.048,0.143,0.072
2019-01-08,22.95,0.097,0.089,0.097
2019-01-09,23.69,0.114,0.199,0.155
2019-01-10,23.4,0.15,0.109,0.119
2019-01-11,22.88,0.027,0.054,0.045
2019-01-14,22.04,-0.032,0.015,-0.03
2019-01-15,22.25,-0.031,0.063,0.004
2019-01-16,22.33,-0.057,0.05,0.046
2019-01-17,22.14,-0.054,0.088,0.052
2019-01-18,23.26,0.017,0.044,0.153
2019-01-22,21.68,-0.016,-0.047,0.089
2019-01-23,21.97,-0.013,-0.043,0.042
2019-01-24,22.1,-0.01,-0.067,0.119
2019-01-25,23.63,0.067,0.01,0.12
2019-01-28,23.72,0.02,0.037,0.093
2019-01-29,23.52,0.085,0.067,0.083
2019-01-30,24.64,0.122,0.107,0.177
2019-01-31,24.85,0.124,0.113,0.168
2019-02-01,24.63,0.042,0.112,0.21
2019-02-04,24.29,0.024,0.044,0.091
2019-02-05,25.42,0.081,0.173,0.117
2019-02-06,25.11,0.019,0.143,0.094
2019-02-07,23.98,-0.035,0.085,0.012
2019-02-08,23.99,-0.026,0.015,0.025
2019-02-11,24.28,-0.0,0.024,0.061
2019-02-12,24.68,-0.029,0.049,0.12
2019-02-13,24.61,-0.02,-0.001,0.106
2019-02-14,24.33,0.015,-0.021,0.09
2019-02-15,23.96,-0.001,-0.027,0.082
2019-02-19,24.64,0.015,0.014,0.059
2019-02-20,24.68,0.0,-0.029,0.138
2019-02-21,24.27,-0.014,-0.033,0.105
2019-02-22,25.95,0.067,0.082,0.174
2019-02-25,26.19,0.093,0.092,0.108
2019-02-26,26.59,0.079,0.095,0.121
2019-02-27,25.97,0.052,0.052,0.104
2019-02-28,27.71,0.142,0.126,0.125
2019-03-01,28.73,0.107,0.181,0.156
2019-03-04,28.89,0.103,0.206,0.173
2019-03-05,29.35,0.104,0.191,0.208
2019-03-06,29.03,0.118,0.176,0.142
2019-03-07,27.84,0.005,0.147,0.109
2019-03-08,27.05,-0.058,0.042,0.128
2019-03-11,27.62,-0.044,0.055,0.151
2019-03-12,28.11,-0.042,0.057,0.158
2019-03-13,28.13,-0.031,0.083,0.14
2019-03-14,27.89,0.002,0.006,0.133
2019-03-15,27.93,0.033,-0.028,0.148
2019-03-18,28.14,0.019,-0.026,0.174
2019-03-19,28.31,0.007,-0.035,0.149
2019-03-20,28.08,-0.002,-0.033,0.138
2019-03-21,28.76,0.031,0.033,0.185
2019-03-22,28.0,0.003,0.035,0.079
2019-03-25,28.39,0.009,0.028,0.084
2019-03-26,28.81,0.018,0.025,0.083
2019-03-27,29.16,0.038,0.037,0.123
2019-03-28,29.41,0.023,0.054,0.061
2019-03-29,30.15,0.077,0.079,0.049
2019-04-01,31.26,0.101,0.111,0.082
2019-04-02,30.29,0.051,0.07,0.032
2019-04-03,30.31,0.039,0.079,0.044
2019-04-04,30.25,0.029,0.052,0.087
2019-04-05,31.24,0.036,0.116,0.155
2019-04-08,30.79,-0.015,0.085,0.115
2019-04-09,30.9,0.02,0.073,0.099
2019-04-10,30.17,-0.005,0.035,0.073
2019-04-11,30.2,-0.002,0.027,0.083
2019-04-12,30.57,-0.021,0.014,0.095
2019-04-15,29.66,-0.037,-0.051,0.054
2019-04-16,29.91,-0.032,-0.013,0.057
2019-04-17,29.85,-0.011,-0.015,0.063
2019-04-18,30.01,-0.006,-0.008,0.043
2019-04-22,29.65,-0.03,-0.051,0.059
2019-04-23,29.78,0.004,-0.033,0.049
2019-04-24,29.66,-0.008,-0.04,0.03
2019-04-25,29.23,-0.021,-0.031,0.002
2019-04-26,29.13,-0.029,-0.035,-0.01
2019-04-29,29.865,0.007,-0.023,-0.009
2019-04-30,30.27,0.016,0.021,-0.032
2019-05-01,30.2,0.018,0.01,-0.003
2019-05-02,29.99,0.026,0.005,-0.011
2019-05-03,30.05,0.032,0.001,-0.007
2019-05-06,28.7,-0.039,-0.032,-0.081
2019-05-07,27.13,-0.104,-0.089,-0.119
2019-05-08,26.89,-0.11,-0.093,-0.13
2019-05-09,27.51,-0.083,-0.059,-0.088
2019-05-10,28.17,-0.063,-0.033,-0.067
2019-05-13,28.18,-0.018,-0.056,-0.078
2019-05-14,29.67,0.094,-0.02,0.0
2019-05-15,30.44,0.132,0.008,0.018
2019-05-16,30.46,0.107,0.016,0.02
2019-05-17,29.31,0.04,-0.025,-0.023
2019-05-20,28.36,0.006,-0.012,-0.044
2019-05-21,29.05,-0.021,0.071,-0.025
