,close,5days,10days,20days
2017-12-29,102.9349,0.0,0.0,0.0
2018-01-02,103.9071,0.0,0.0,0.0
2018-01-03,104.01299999999999,0.0,0.0,0.0
2018-01-04,105.4953,0.0,0.0,0.0
2018-01-05,104.8181,0.0,0.0,0.0
2018-01-08,104.9729,0.02,0.0,0.0
2018-01-09,105.505,0.015,0.0,0.0
2018-01-10,106.666,0.026,0.0,0.0
2018-01-11,107.2368,0.017,0.0,0.0
2018-01-12,109.0073,0.04,0.0,0.0
2018-01-16,108.6203,0.035,0.055,0.0
2018-01-17,109.3169,0.036,0.052,0.0
2018-01-18,109.5781,0.027,0.054,0.0
2018-01-19,109.3363,0.02,0.036,0.0
2018-01-22,110.6134,0.015,0.055,0.0
2018-01-23,110.4973,0.017,0.053,0.0
2018-01-24,111.9098,0.024,0.061,0.0
2018-01-25,111.9388,0.022,0.049,0.0
2018-01-26,112.5387,0.029,0.049,0.0
2018-01-29,112.4226,0.016,0.031,0.0
2018-01-30,111.368,0.008,0.025,0.082
2018-01-31,111.9098,0.0,0.024,0.077
2018-02-01,113.0708,0.01,0.032,0.087
2018-02-02,110.565,-0.018,0.011,0.048
2018-02-05,105.2631,-0.064,-0.048,0.004
2018-02-06,108.4655,-0.026,-0.018,0.033
2018-02-07,109.2008,-0.024,-0.024,0.035
2018-02-08,104.37299999999999,-0.077,-0.068,-0.021
2018-02-09,106.4628,-0.037,-0.054,-0.007
2018-02-12,108.1076,0.027,-0.038,-0.008
2018-02-13,108.7751,0.003,-0.023,0.001
2018-02-14,111.2906,0.019,-0.006,0.018
2018-02-15,111.755,0.071,-0.012,0.02
2018-02-16,110.95200000000001,0.042,0.004,0.015
2018-02-20,110.98100000000001,0.027,0.054,0.003
2018-02-21,111.4454,0.025,0.027,0.009
2018-02-22,111.2422,-0.0,0.019,-0.006
2018-02-23,113.4965,0.016,0.087,0.014
2018-02-26,114.90899999999999,0.036,0.079,0.021
2018-02-27,113.5449,0.023,0.05,0.01
2018-02-28,111.7453,0.003,0.027,0.003
2018-03-01,109.7426,-0.013,-0.014,-0.019
2018-03-02,109.6362,-0.034,-0.019,-0.03
2018-03-05,111.3196,-0.031,0.003,0.007
2018-03-06,111.4164,-0.019,0.004,0.058
2018-03-07,111.0004,-0.007,-0.004,0.023
2018-03-08,111.01,0.012,-0.002,0.017
2018-03-09,114.2028,0.042,0.006,0.094
2018-03-12,113.8351,0.023,-0.009,0.069
2018-03-13,112.4709,0.009,-0.009,0.04
2018-03-14,111.2132,0.002,-0.005,0.022
2018-03-15,111.4938,0.004,0.016,0.002
2018-03-16,111.6873,-0.022,0.019,-0.001
2018-03-19,110.8069,-0.027,-0.005,-0.001
2018-03-20,110.9133,-0.014,-0.005,-0.001
2018-03-21,111.01,-0.002,0.0,-0.004
2018-03-22,106.3757,-0.046,-0.042,-0.044
2018-03-23,103.5313,-0.073,-0.093,-0.088
2018-03-26,106.72399999999999,-0.037,-0.062,-0.071
2018-03-27,104.6536,-0.056,-0.07,-0.078
2018-03-28,104.4891,-0.059,-0.06,-0.065
2018-03-29,106.3951,0.0,-0.046,-0.031
2018-04-02,104.344,0.008,-0.066,-0.048
2018-04-03,105.7759,-0.009,-0.045,-0.05
2018-04-04,107.3819,0.026,-0.032,-0.036
2018-04-05,108.7848,0.041,-0.02,-0.02
2018-04-06,106.072,-0.003,-0.003,-0.044
2018-04-09,107.3457,0.029,0.037,-0.06
2018-04-10,109.3974,0.034,0.025,-0.039
2018-04-11,107.5597,0.002,0.028,-0.044
2018-04-12,110.2336,0.013,0.055,-0.009
2018-04-13,107.2485,0.011,0.008,-0.038
2018-04-16,107.161,-0.002,0.027,-0.041
2018-04-17,107.161,-0.02,0.013,-0.033
2018-04-18,106.2956,-0.012,-0.01,-0.042
2018-04-19,108.6292,-0.015,-0.001,-0.021
2018-04-20,108.3861,0.011,0.022,0.019
2018-04-23,107.8611,0.007,0.005,0.042
2018-04-24,107.3555,0.002,-0.019,0.006
2018-04-25,106.9471,0.006,-0.006,0.022
2018-04-26,107.054,-0.015,-0.029,0.025
2018-04-27,106.3734,-0.019,-0.008,-0.0
2018-04-30,105.7706,-0.019,-0.013,0.014
2018-05-01,105.7706,-0.015,-0.013,-0.0
2018-05-02,104.9344,-0.019,-0.013,-0.023
2018-05-03,104.2732,-0.026,-0.04,-0.041
2018-05-04,105.4302,-0.009,-0.027,-0.006
2018-05-07,106.3442,0.005,-0.014,-0.009
2018-05-08,107.9194,0.02,0.005,-0.014
2018-05-09,110.2725,0.051,0.031,0.025
2018-05-10,111.1281,0.066,0.038,0.008
2018-05-11,110.71,0.05,0.041,0.032
2018-05-14,110.7489,0.041,0.047,0.033
2018-05-15,109.90299999999999,0.018,0.039,0.026
2018-05-16,110.2044,-0.001,0.05,0.037
2018-05-17,109.8349,-0.012,0.053,0.011
2018-05-18,108.0555,-0.024,0.025,-0.003
2018-05-21,109.0473,-0.015,0.025,0.011
2018-05-22,109.8835,-0.0,0.018,0.024
2018-05-23,109.3779,-0.007,-0.008,0.023
2018-05-24,108.1528,-0.015,-0.027,0.01
2018-05-25,107.5985,-0.004,-0.028,0.012
2018-05-29,102.9994,-0.055,-0.07,-0.026
2018-05-30,105.3525,-0.041,-0.041,-0.004
2018-05-31,104.0495,-0.049,-0.056,-0.008
2018-06-01,105.4011,-0.025,-0.04,0.011
2018-06-04,105.4497,-0.02,-0.024,0.0
2018-06-05,104.8566,0.018,-0.038,-0.014
2018-06-06,107.3068,0.019,-0.023,-0.006
2018-06-07,107.7347,0.035,-0.015,-0.023
2018-06-08,108.0361,0.025,-0.001,-0.028
2018-06-11,107.7638,0.022,0.002,-0.027
2018-06-12,107.1416,0.022,0.04,-0.033
2018-06-13,106.9276,-0.004,0.015,-0.027
2018-06-14,105.0413,-0.025,0.01,-0.047
2018-06-15,104.9149,-0.029,-0.005,-0.045
2018-06-18,105.1872,-0.024,-0.002,-0.027
2018-06-19,104.5746,-0.024,-0.003,-0.041
2018-06-20,104.5649,-0.022,-0.026,-0.048
2018-06-21,104.5357,-0.005,-0.03,-0.044
2018-06-22,102.8244,-0.02,-0.048,-0.049
2018-06-25,101.8909,-0.031,-0.054,-0.053
2018-06-26,101.959,-0.025,-0.048,-0.01
2018-06-27,100.3838,-0.04,-0.061,-0.047
2018-06-28,102.0271,-0.024,-0.029,-0.019
2018-06-29,101.3173,-0.015,-0.034,-0.039
2018-07-02,102.1729,0.003,-0.029,-0.031
2018-07-03,100.7436,-0.012,-0.037,-0.039
2018-07-05,101.3951,0.01,-0.03,-0.055
2018-07-06,101.7274,-0.003,-0.027,-0.056
2018-07-09,104.8753,0.035,0.02,-0.029
2018-07-10,104.23,0.02,0.023,-0.033
2018-07-11,104.0052,0.032,0.02,-0.029
2018-07-12,104.4549,0.03,0.041,-0.023
2018-07-13,103.9759,0.022,0.019,-0.01
2018-07-16,108.1013,0.031,0.067,0.03
2018-07-17,108.0231,0.036,0.057,0.027
2018-07-18,109.03,0.048,0.082,0.043
2018-07-19,107.4268,0.028,0.059,0.027
2018-07-20,108.7856,0.046,0.069,0.041
2018-07-23,110.8092,0.025,0.057,0.078
2018-07-24,111.5913,0.033,0.071,0.095
2018-07-25,112.5982,0.033,0.083,0.104
2018-07-26,112.2756,0.045,0.075,0.118
2018-07-27,113.4291,0.043,0.091,0.112
2018-07-30,114.1134,0.03,0.056,0.126
2018-07-31,112.3733,0.007,0.04,0.1
2018-08-01,113.0674,0.004,0.037,0.122
2018-08-02,113.5464,0.011,0.057,0.12
2018-08-03,114.4654,0.009,0.052,0.125
2018-08-06,114.4947,0.003,0.033,0.092
2018-08-07,114.915,0.023,0.03,0.103
2018-08-08,115.1497,0.018,0.023,0.107
2018-08-09,114.2601,0.006,0.018,0.094
2018-08-10,113.1358,-0.012,-0.003,0.088
2018-08-13,111.3371,-0.028,-0.024,0.03
2018-08-14,112.0801,-0.025,-0.003,0.038
2018-08-15,111.1513,-0.035,-0.017,0.019
2018-08-16,112.1974,-0.018,-0.012,0.044
2018-08-17,112.1974,-0.008,-0.02,0.031
2018-08-20,112.0507,0.006,-0.021,0.011
2018-08-21,112.735,0.006,-0.019,0.01
2018-08-22,112.3929,0.011,-0.024,-0.002
2018-08-23,112.1583,-0.0,-0.018,-0.001
2018-08-24,112.1094,-0.001,-0.009,-0.012
2018-08-27,114.0939,0.018,0.025,-0.0
2018-08-28,113.5367,0.007,0.013,0.01
2018-08-29,113.1652,0.007,0.018,0.001
2018-08-30,112.6079,0.004,0.004,-0.008
2018-08-31,112.0116,-0.001,-0.002,-0.021
2018-09-04,112.5688,-0.013,0.005,-0.017
2018-09-05,112.0214,-0.013,-0.006,-0.025
2018-09-06,111.5424,-0.014,-0.008,-0.031
2018-09-07,111.7574,-0.008,-0.004,-0.022
2018-09-10,111.1611,-0.008,-0.008,-0.017
2018-09-11,111.865,-0.006,-0.02,0.005
2018-09-12,110.5452,-0.013,-0.026,-0.014
2018-09-13,110.9754,-0.005,-0.019,-0.002
2018-09-14,110.9558,-0.007,-0.015,-0.011
2018-09-17,111.2882,0.001,-0.006,-0.008
2018-09-18,111.7379,-0.001,-0.007,-0.003
2018-09-19,114.9835,0.04,0.026,0.02
2018-09-20,115.9708,0.045,0.04,0.032
2018-09-21,115.2083,0.038,0.031,0.027
2018-09-24,114.1037,0.025,0.026,0.018
2018-09-25,113.781,0.018,0.017,-0.003
2018-09-26,112.4418,-0.022,0.017,-0.01
2018-09-27,111.95299999999999,-0.035,0.009,-0.011
2018-09-28,110.3106,-0.043,-0.006,-0.02
2018-10-01,110.9558,-0.028,-0.003,-0.009
2018-10-02,111.4153,-0.021,-0.003,-0.01
2018-10-03,112.4613,0.0,-0.022,0.004
2018-10-04,113.4682,0.014,-0.022,0.017
2018-10-05,112.8284,0.023,-0.021,0.01
2018-10-08,113.5174,0.023,-0.005,0.021
2018-10-09,112.7299,0.012,-0.009,0.008
2018-10-10,109.7276,-0.024,-0.024,-0.007
2018-10-11,106.4398,-0.062,-0.049,-0.041
2018-10-12,105.2783,-0.067,-0.046,-0.051
2018-10-15,104.6778,-0.078,-0.057,-0.059
2018-10-16,106.9222,-0.052,-0.04,-0.043
2018-10-17,108.1133,-0.015,-0.039,-0.06
2018-10-18,106.4005,-0.0,-0.062,-0.083
2018-10-19,106.2233,0.009,-0.059,-0.078
2018-10-22,104.6975,0.0,-0.078,-0.082
2018-10-23,103.6048,-0.031,-0.081,-0.089
2018-10-24,101.6755,-0.06,-0.073,-0.096
2018-10-25,103.2209,-0.03,-0.03,-0.078
2018-10-26,101.8034,-0.042,-0.033,-0.077
2018-10-29,103.2111,-0.014,-0.014,-0.07
2018-10-30,105.0322,0.014,-0.018,-0.057
2018-10-31,107.3159,0.055,-0.007,-0.046
2018-11-01,107.2765,0.039,0.008,-0.055
2018-11-02,106.6859,0.048,0.004,-0.054
2018-11-05,107.3848,0.04,0.026,-0.054
2018-11-06,107.8868,0.027,0.041,-0.043
2018-11-07,109.7375,0.023,0.079,0.0
2018-11-08,110.6234,0.031,0.072,0.039
2018-11-09,109.5504,0.027,0.076,0.041
2018-11-12,107.24700000000001,-0.001,0.039,0.025
2018-11-13,107.87700000000001,-0.0,0.027,0.009
2018-11-14,105.6523,-0.037,-0.016,-0.023
2018-11-15,108.3495,-0.021,0.01,0.018
2018-11-16,108.2708,-0.012,0.015,0.019
2018-11-19,109.0976,0.017,0.016,0.042
2018-11-20,106.7548,-0.01,-0.01,0.03
2018-11-21,105.9575,0.003,-0.034,0.042
2018-11-23,104.98299999999999,-0.031,-0.051,0.017
2018-11-26,107.5522,-0.007,-0.018,0.056
2018-11-27,108.005,-0.01,0.007,0.046
