,close,5days,10days,20days
2017-12-29,90.3856,0.0,0.0,0.0
2018-01-02,89.1019,0.0,0.0,0.0
2018-01-03,89.4909,0.0,0.0,0.0
2018-01-04,90.1911,0.0,0.0,0.0
2018-01-05,92.1361,0.0,0.0,0.0
2018-01-08,91.1344,0.008,0.0,0.0
2018-01-09,91.9513,0.032,0.0,0.0
2018-01-10,91.5818,0.023,0.0,0.0
2018-01-11,93.1086,0.032,0.0,0.0
2018-01-12,98.0879,0.065,0.0,0.0
2018-01-16,98.1949,0.077,0.086,0.0
2018-01-17,98.8854,0.075,0.11,0.0
2018-01-18,98.5742,0.076,0.101,0.0
2018-01-19,102.0655,0.096,0.132,0.0
2018-01-22,104.1661,0.062,0.131,0.0
2018-01-23,104.5648,0.065,0.147,0.0
2018-01-24,104.1841,0.054,0.133,0.0
2018-01-25,103.8522,0.054,0.134,0.0
2018-01-26,104.848,0.027,0.126,0.0
2018-01-29,104.3013,0.001,0.063,0.0
2018-01-30,102.6807,-0.018,0.046,0.136
2018-01-31,102.2414,-0.019,0.034,0.147
2018-02-01,101.3921,-0.024,0.029,0.133
2018-02-02,99.0882,-0.055,-0.029,0.099
2018-02-05,95.2613,-0.087,-0.085,0.034
2018-02-06,97.8386,-0.047,-0.064,0.074
2018-02-07,97.5457,-0.046,-0.064,0.061
2018-02-08,92.7524,-0.085,-0.107,0.013
2018-02-09,94.861,-0.043,-0.095,0.019
2018-02-12,95.4565,0.002,-0.085,-0.027
2018-02-13,93.7774,-0.042,-0.087,-0.045
2018-02-14,94.6267,-0.03,-0.074,-0.043
2018-02-15,94.2167,0.016,-0.071,-0.044
2018-02-16,94.0215,-0.009,-0.051,-0.079
2018-02-20,93.3772,-0.022,-0.02,-0.104
2018-02-21,93.0745,-0.007,-0.049,-0.11
2018-02-22,94.5877,-0.0,-0.03,-0.092
2018-02-23,95.1734,0.01,0.026,-0.084
2018-02-26,95.193,0.012,0.003,-0.092
2018-02-27,93.5138,0.001,-0.02,-0.103
2018-02-28,87.4612,-0.06,-0.067,-0.148
2018-03-01,85.8699,-0.092,-0.093,-0.16
2018-03-02,83.3121,-0.125,-0.116,-0.178
2018-03-05,84.2786,-0.115,-0.104,-0.149
2018-03-06,85.0498,-0.091,-0.089,-0.107
2018-03-07,84.0638,-0.039,-0.097,-0.141
2018-03-08,84.1127,-0.02,-0.111,-0.138
2018-03-09,85.206,0.023,-0.105,-0.081
2018-03-12,85.5965,0.016,-0.101,-0.098
2018-03-13,84.0931,-0.011,-0.101,-0.119
2018-03-14,84.3274,0.003,-0.036,-0.101
2018-03-15,83.5074,-0.007,-0.028,-0.118
2018-03-16,84.9327,-0.003,0.019,-0.099
2018-03-19,83.7515,-0.022,-0.006,-0.109
2018-03-20,83.6929,-0.005,-0.016,-0.104
2018-03-21,85.1768,0.01,0.013,-0.085
2018-03-22,83.6636,0.002,-0.005,-0.115
2018-03-23,81.7795,-0.037,-0.04,-0.141
2018-03-26,87.178,0.041,0.018,-0.084
2018-03-27,83.9174,0.003,-0.002,-0.103
2018-03-28,83.8393,-0.016,-0.006,-0.041
2018-03-29,85.6649,0.024,0.026,-0.002
2018-04-02,82.58,0.01,-0.028,-0.009
2018-04-03,83.4195,-0.043,-0.004,-0.01
2018-04-04,85.9675,0.024,0.027,0.011
2018-04-05,86.6411,0.033,0.017,0.031
2018-04-06,86.1432,0.006,0.03,0.024
2018-04-09,83.2145,0.008,0.018,-0.023
2018-04-10,85.0694,0.02,-0.024,-0.006
2018-04-11,84.59100000000001,-0.016,0.008,0.006
2018-04-12,84.9717,-0.019,0.014,0.008
