date,open,high,low,close,adjusted close,volume
1998-01-02 00:00:00,29.5,30.81,29.13,30.5,9.4139,652100
1998-01-05 00:00:00,30.63,32.25,29.69,29.88,9.2225,1678500
1998-01-06 00:00:00,29.13,29.44,26.0,26.0,8.025,3062800
1998-01-07 00:00:00,26.13,26.81,25.13,25.44,7.8521,1755700
1998-01-08 00:00:00,25.25,27.0,24.31,24.56,7.5805,1949000
1998-01-09 00:00:00,24.88,25.5,21.88,22.75,7.0218,2420900
1998-01-12 00:00:00,22.5,25.0,22.5,23.25,7.1762,1592400
1998-01-13 00:00:00,24.38,25.88,23.25,25.19,7.775,2742200
1998-01-14 00:00:00,24.88,25.25,23.75,24.88,7.6793,2141800
1998-01-15 00:00:00,25.0,25.94,23.63,23.88,7.3706,868900
1998-01-16 00:00:00,24.25,25.0,23.75,23.75,7.3305,1216600
1998-01-20 00:00:00,24.25,25.63,24.25,25.19,7.775,624800
1998-01-21 00:00:00,24.88,27.0,24.38,25.13,7.7564,1933700
1998-01-22 00:00:00,23.13,24.38,22.56,22.88,7.062,3603500
1998-01-23 00:00:00,23.75,24.0,22.63,23.25,7.1762,952100
1998-01-26 00:00:00,23.38,23.38,21.56,21.63,6.6761,1271200
1998-01-27 00:00:00,21.5,22.63,21.38,22.44,6.9262,2054600
1998-01-28 00:00:00,22.5,23.56,21.88,23.13,7.1391,1376000
1998-01-29 00:00:00,22.63,23.38,22.13,22.5,6.9447,1625800
1998-01-30 00:00:00,22.75,22.94,22.5,22.81,7.0404,886600
1998-02-02 00:00:00,23.38,24.31,23.19,23.69,7.312,1304700
1998-02-03 00:00:00,23.69,25.63,23.19,24.81,7.6577,2690700
1998-02-04 00:00:00,24.63,26.88,24.25,25.88,7.9879,2163800
1998-02-05 00:00:00,26.63,27.38,24.56,24.88,7.6793,1660600
1998-02-06 00:00:00,25.13,26.38,24.94,25.38,7.8336,1394400
1998-02-09 00:00:00,25.75,26.0,24.88,25.25,7.7935,529100
1998-02-10 00:00:00,25.38,26.69,24.88,26.19,8.0836,1704100
1998-02-11 00:00:00,26.0,26.75,26.0,26.31,8.1206,1369600
1998-02-12 00:00:00,27.25,29.13,27.13,28.44,8.7781,3335500
1998-02-13 00:00:00,27.0,29.19,26.88,28.94,8.9324,3081200
1998-02-17 00:00:00,28.63,28.94,28.31,28.44,8.7781,2070000
1998-02-18 00:00:00,28.38,29.56,28.38,29.31,9.0466,1401700
1998-02-19 00:00:00,29.56,31.19,29.38,29.44,9.0867,1701000
1998-02-20 00:00:00,29.75,30.25,27.88,28.44,8.7781,1868800
1998-02-23 00:00:00,29.0,29.75,28.25,29.75,9.1824,953800
1998-02-24 00:00:00,29.5,29.5,27.75,27.88,8.6052,1294700
1998-02-25 00:00:00,28.5,29.94,27.88,29.69,9.1639,1283200
1998-02-26 00:00:00,29.75,30.25,29.19,29.88,9.2225,959200
1998-02-27 00:00:00,29.5,29.63,28.25,28.25,8.7194,736600
1998-03-02 00:00:00,28.31,28.5,27.38,27.63,8.5281,1120000
1998-03-03 00:00:00,27.63,28.63,27.13,28.38,8.7596,1223700
1998-03-04 00:00:00,28.44,29.13,28.25,28.5,8.7966,1198800
1998-03-05 00:00:00,27.44,27.88,26.38,26.88,8.2966,1692300
1998-03-06 00:00:00,27.0,27.88,26.38,26.56,8.1978,1564800
1998-03-09 00:00:00,26.25,26.5,25.25,25.31,7.812,1025100
1998-03-10 00:00:00,25.69,26.75,25.5,26.75,8.2564,539700
1998-03-11 00:00:00,27.13,27.25,25.88,26.63,8.2194,1147900
1998-03-12 00:00:00,26.5,27.13,26.13,26.75,8.2564,1944600
1998-03-13 00:00:00,26.88,27.63,26.75,27.19,8.3923,342000
1998-03-16 00:00:00,27.25,27.38,26.88,27.13,8.3737,243800
1998-03-17 00:00:00,27.13,27.38,26.06,27.13,8.3737,881700
1998-03-18 00:00:00,27.0,28.03,26.88,27.19,8.3923,830900
1998-03-19 00:00:00,27.19,28.63,27.0,28.63,8.8367,721700
1998-03-20 00:00:00,28.56,28.63,26.88,26.94,8.3151,1507000
1998-03-23 00:00:00,26.75,27.5,26.75,27.06,8.3521,713600
1998-03-24 00:00:00,27.06,27.19,26.5,26.88,8.2966,765700
1998-03-25 00:00:00,28.0,28.63,26.75,27.31,8.4293,1706800
1998-03-26 00:00:00,27.5,28.0,26.56,27.5,8.4879,562100
1998-03-27 00:00:00,27.63,28.38,27.5,28.25,8.7194,549900
1998-03-30 00:00:00,28.13,28.88,28.13,28.44,8.7781,451500
1998-03-31 00:00:00,28.25,28.81,28.0,28.13,8.6824,406300
1998-04-01 00:00:00,27.88,30.75,27.63,30.44,9.3954,1878300
1998-04-02 00:00:00,30.25,31.63,30.13,31.13,9.6083,1987400
1998-04-03 00:00:00,31.19,31.44,30.38,31.31,9.6639,1162200
1998-04-06 00:00:00,31.25,31.25,29.5,29.94,9.241,1214200
1998-04-07 00:00:00,29.75,29.75,28.31,28.88,8.9139,1145300
1998-04-08 00:00:00,28.56,29.13,28.31,28.75,8.8738,378800
1998-04-09 00:00:00,28.88,29.75,28.75,29.06,8.9694,1399700
1998-04-13 00:00:00,29.13,29.5,28.38,29.5,9.1052,531000
1998-04-14 00:00:00,29.25,31.25,28.63,30.13,9.2997,1237400
1998-04-15 00:00:00,30.25,31.38,29.25,31.06,9.5867,1279300
1998-04-16 00:00:00,30.63,30.88,29.38,29.88,9.2225,950400
1998-04-17 00:00:00,29.75,30.63,29.5,30.13,9.2997,439000
1998-04-20 00:00:00,29.75,33.0,29.75,31.75,9.7997,1589700
1998-04-21 00:00:00,31.25,32.13,31.0,31.25,9.6454,469300
1998-04-22 00:00:00,31.69,32.31,31.13,31.69,9.7812,1624200
1998-04-23 00:00:00,31.56,31.75,30.38,30.5,9.4139,910800
1998-04-24 00:00:00,30.75,31.25,30.5,31.25,9.6454,926200
1998-04-27 00:00:00,30.5,31.0,30.0,30.31,9.3553,863100
1998-04-28 00:00:00,30.75,30.94,30.13,30.88,9.5312,425700
1998-04-29 00:00:00,30.88,30.91,30.13,30.44,9.3954,688700
1998-04-30 00:00:00,31.0,31.25,30.63,31.0,9.5682,768800
1998-05-01 00:00:00,30.94,31.13,29.5,30.13,9.2997,727500
1998-05-04 00:00:00,30.13,32.38,30.13,31.19,9.6269,1683200
1998-05-05 00:00:00,31.25,32.13,31.13,31.13,9.6083,812700
1998-05-06 00:00:00,31.5,31.5,29.94,30.13,9.2997,701200
1998-05-07 00:00:00,30.25,30.25,28.88,29.0,8.9509,984200
1998-05-08 00:00:00,29.06,30.13,29.0,29.69,9.1639,717600
1998-05-11 00:00:00,29.88,30.25,28.88,28.94,8.9324,544000
1998-05-12 00:00:00,28.75,29.0,28.0,28.69,8.8552,727700
1998-05-13 00:00:00,28.88,29.88,28.75,29.06,8.9694,668700
1998-05-14 00:00:00,28.75,29.25,27.75,27.75,8.5651,403400
1998-05-15 00:00:00,27.5,27.75,25.81,26.0,8.025,1446100
1998-05-18 00:00:00,25.94,26.88,25.25,26.5,8.1793,1139900
1998-05-19 00:00:00,27.0,27.38,25.63,25.88,7.9879,606400
1998-05-20 00:00:00,26.13,26.25,24.63,24.88,7.6793,1082200
1998-05-21 00:00:00,25.0,25.13,24.38,24.5,7.562,650000
1998-05-22 00:00:00,24.63,24.88,23.13,24.13,7.4478,639000
1998-05-26 00:00:00,24.69,24.88,23.75,24.0,7.4077,584800
1998-05-27 00:00:00,23.44,24.25,23.0,23.38,7.2163,970100
1998-05-28 00:00:00,23.5,24.56,23.38,24.44,7.5435,819700
1998-05-29 00:00:00,24.63,24.63,23.75,23.81,7.349,777700
1998-06-01 00:00:00,23.75,23.88,22.63,23.0,7.099,1201200
1998-06-02 00:00:00,23.0,23.38,22.75,22.81,7.0404,629600
1998-06-03 00:00:00,23.0,23.13,21.63,21.94,6.7718,623100
1998-06-04 00:00:00,22.13,22.5,21.5,22.47,6.9354,1020400
1998-06-05 00:00:00,22.5,22.75,21.75,22.5,6.9447,467000
1998-06-08 00:00:00,22.5,23.25,21.69,21.69,6.6947,592800
1998-06-09 00:00:00,22.0,23.13,21.56,23.13,7.1391,921500
1998-06-10 00:00:00,22.37,22.75,21.0,21.62,6.6731,1479500
1998-06-11 00:00:00,21.75,22.13,21.38,21.63,6.6761,1127000
1998-06-12 00:00:00,21.5,21.5,20.0,20.56,6.3459,2508400
1998-06-15 00:00:00,20.44,21.63,19.88,20.25,6.2502,1194600
1998-06-16 00:00:00,20.63,21.13,19.69,21.13,6.5218,1116200
1998-06-17 00:00:00,21.25,21.75,19.94,20.13,6.2132,1017300
1998-06-18 00:00:00,20.0,21.19,20.0,21.13,6.5218,855900
1998-06-19 00:00:00,20.56,21.19,20.31,20.5,6.3274,553800
1998-06-22 00:00:00,20.63,21.38,20.25,21.13,6.5218,974800
1998-06-23 00:00:00,21.13,22.88,21.0,22.13,6.8305,1383300
1998-06-24 00:00:00,22.25,22.75,21.25,22.06,6.8089,838300
1998-06-25 00:00:00,22.69,23.38,21.69,21.69,6.6947,1637700
1998-06-26 00:00:00,21.63,21.75,19.94,20.06,6.1916,1233400
1998-06-29 00:00:00,20.38,20.81,19.88,20.06,6.1916,701900
1998-06-30 00:00:00,19.94,19.94,18.56,19.13,5.9045,1171700
1998-07-01 00:00:00,19.38,19.5,18.75,19.44,6.0002,518000
1998-07-02 00:00:00,19.0,19.25,18.0,18.06,5.5743,1051800
1998-07-06 00:00:00,18.19,18.88,18.0,18.69,5.7687,468300
1998-07-07 00:00:00,18.5,19.25,17.75,19.19,5.923,1223400
1998-07-08 00:00:00,19.19,19.69,18.38,19.56,6.0372,724900
1998-07-09 00:00:00,19.56,19.63,18.88,19.19,5.923,555200
1998-07-10 00:00:00,19.25,19.25,18.75,19.13,5.9045,416500
1998-07-13 00:00:00,19.0,19.44,18.25,19.44,6.0002,901600
1998-07-14 00:00:00,19.38,19.56,17.88,18.0,5.5557,674700
1998-07-15 00:00:00,18.13,19.94,18.13,19.75,6.0959,1228300
1998-07-16 00:00:00,19.88,21.0,18.75,19.44,6.0002,1296100
1998-07-17 00:00:00,18.81,19.38,18.75,18.81,5.8057,726600
1998-07-20 00:00:00,18.63,18.88,18.0,18.31,5.6514,373300
1998-07-21 00:00:00,18.31,19.38,18.06,18.75,5.7872,1660800
1998-07-22 00:00:00,18.5,18.69,17.5,18.44,5.6915,1185400
1998-07-23 00:00:00,18.44,18.63,17.63,18.06,5.5743,459600
1998-07-24 00:00:00,18.25,18.38,17.63,18.06,5.5743,546600
1998-07-27 00:00:00,18.13,18.13,16.88,17.13,5.2872,1141800
1998-07-28 00:00:00,17.19,18.0,17.13,17.25,5.3243,1076400
1998-07-29 00:00:00,16.81,18.5,15.75,16.94,5.2286,2705400
1998-07-30 00:00:00,17.5,18.31,17.5,18.06,5.5743,859300
1998-07-31 00:00:00,18.06,18.63,17.75,17.94,5.5372,835700
1998-08-03 00:00:00,17.75,18.25,17.38,17.81,5.4971,487200
1998-08-04 00:00:00,18.13,19.25,17.94,19.0,5.8644,1282900
1998-08-05 00:00:00,19.13,19.19,17.5,18.0,5.5557,709400
1998-08-06 00:00:00,17.88,19.13,17.63,18.38,5.673,1049600
1998-08-07 00:00:00,19.25,21.19,18.38,19.69,6.0774,1717000
1998-08-10 00:00:00,19.75,19.75,17.75,18.13,5.5959,886700
1998-08-11 00:00:00,17.63,18.75,17.38,18.13,5.5959,695000
1998-08-12 00:00:00,17.63,18.75,17.38,18.38,5.673,637300
1998-08-13 00:00:00,18.38,18.94,17.56,17.69,5.4601,531100
1998-08-14 00:00:00,18.0,18.38,17.63,18.25,5.6329,481800
1998-08-17 00:00:00,18.06,18.5,17.75,18.19,5.6144,711700
1998-08-18 00:00:00,18.44,19.75,18.13,19.31,5.9601,1465100
1998-08-19 00:00:00,19.31,19.44,18.0,18.06,5.5743,762000
1998-08-20 00:00:00,17.88,18.0,17.38,17.5,5.4014,417900
1998-08-21 00:00:00,17.25,17.38,16.5,17.13,5.2872,585300
1998-08-24 00:00:00,17.19,18.0,17.0,17.19,5.3057,341600
1998-08-25 00:00:00,17.63,17.63,16.56,16.81,5.1884,416200
1998-08-26 00:00:00,16.5,16.5,15.81,15.88,4.9014,748900
1998-08-27 00:00:00,15.31,15.63,13.94,14.06,4.3397,1651100
1998-08-28 00:00:00,14.19,14.38,13.13,13.19,4.0711,919200
1998-08-31 00:00:00,13.38,13.5,10.81,10.94,3.3767,1290400
1998-09-01 00:00:00,11.13,12.5,10.88,12.0,3.7038,1205300
