,close,5days,10days,20days
2017-12-29,180.0265,0.0,0.0,0.0
2018-01-02,185.1221,0.0,0.0,0.0
2018-01-03,188.2713,0.0,0.0,0.0
2018-01-04,189.132,0.0,0.0,0.0
2018-01-05,192.0857,0.0,0.0,0.0
2018-01-08,193.5332,0.075,0.0,0.0
2018-01-09,193.23,0.044,0.0,0.0
2018-01-10,187.4498,-0.004,0.0,0.0
2018-01-11,184.9656,-0.022,0.0,0.0
2018-01-12,184.36900000000003,-0.04,0.0,0.0
2018-01-16,186.2077,-0.038,0.034,0.0
2018-01-17,200.575,0.038,0.083,0.0
2018-01-18,200.9369,0.072,0.067,0.0
2018-01-19,202.9712,0.097,0.073,0.0
2018-01-22,204.5947,0.11,0.065,0.0
2018-01-23,210.3455,0.13,0.087,0.0
2018-01-24,205.1228,0.023,0.062,0.0
2018-01-25,194.8731,-0.03,0.04,0.0
2018-01-26,198.1201,-0.024,0.071,0.0
2018-01-29,191.6651,-0.063,0.04,0.0
2018-01-30,186.8825,-0.112,0.004,0.038
2018-01-31,187.3129,-0.087,-0.066,0.012
2018-02-01,184.9558,-0.051,-0.08,-0.018
2018-02-02,175.1266,-0.116,-0.137,-0.074
2018-02-05,166.6079,-0.131,-0.186,-0.133
2018-02-06,174.4224,-0.067,-0.171,-0.099
2018-02-07,167.8598,-0.104,-0.182,-0.131
2018-02-08,158.6663,-0.142,-0.186,-0.154
2018-02-09,162.2263,-0.074,-0.181,-0.123
2018-02-12,169.1508,0.015,-0.117,-0.083
2018-02-13,168.7694,-0.032,-0.097,-0.094
2018-02-14,178.9898,0.066,-0.044,-0.108
2018-02-15,181.6305,0.145,-0.018,-0.096
2018-02-16,183.7822,0.133,0.049,-0.095
2018-02-20,189.1907,0.118,0.136,-0.075
2018-02-21,185.0732,0.097,0.061,-0.12
2018-02-22,184.2223,0.029,0.097,-0.102
2018-02-23,188.8582,0.04,0.19,-0.031
2018-02-26,194.0711,0.056,0.196,-0.02
2018-02-27,189.22,0.0,0.119,-0.013
2018-02-28,187.6454,0.014,0.112,0.004
2018-03-01,185.8947,0.009,0.039,-0.008
2018-03-02,190.2567,0.007,0.047,0.029
2018-03-05,194.3351,0.001,0.057,0.11
2018-03-06,203.8612,0.077,0.078,0.224
2018-03-07,207.5866,0.106,0.122,0.19
2018-03-08,208.567,0.122,0.132,0.243
2018-03-09,220.5375,0.159,0.168,0.39
2018-03-12,224.1649,0.153,0.155,0.382
2018-03-13,219.5767,0.077,0.16,0.298
2018-03-14,218.2728,0.051,0.163,0.293
2018-03-15,218.7042,0.049,0.176,0.222
2018-03-16,217.567,-0.013,0.144,0.198
2018-03-19,213.3121,-0.048,0.098,0.161
2018-03-20,214.8317,-0.022,0.054,0.136
2018-03-21,219.8807,0.007,0.059,0.188
2018-03-22,210.6062,-0.037,0.01,0.143
2018-03-23,198.6553,-0.087,-0.099,0.052
2018-03-26,210.7435,-0.012,-0.06,0.086
2018-03-27,198.6455,-0.075,-0.095,0.05
2018-03-28,192.3613,-0.125,-0.119,0.025
2018-03-29,199.1749,-0.054,-0.089,0.071
2018-04-02,190.0672,-0.043,-0.126,-0.001
2018-04-03,194.0867,-0.079,-0.09,-0.001
2018-04-04,197.7142,-0.005,-0.08,-0.03
2018-04-05,191.1946,-0.006,-0.13,-0.079
2018-04-06,186.9103,-0.062,-0.113,-0.104
2018-04-09,189.3319,-0.004,-0.047,-0.141
2018-04-10,196.2436,0.011,-0.069,-0.125
2018-04-11,196.9201,-0.004,-0.009,-0.103
2018-04-12,201.9788,0.056,0.05,-0.075
2018-04-13,199.7436,0.069,0.003,-0.087
2018-04-16,199.5573,0.054,0.05,-0.083
2018-04-17,208.1651,0.061,0.073,-0.024
2018-04-18,199.773,0.014,0.01,-0.07
2018-04-19,186.6554,-0.076,-0.024,-0.151
2018-04-20,188.1456,-0.058,0.007,-0.107
