,close,5days,10days,20days
2017-12-29,150.0677,0.0,0.0,0.0
2018-01-02,150.613,0.0,0.0,0.0
2018-01-03,152.5067,0.0,0.0,0.0
2018-01-04,154.4797,0.0,0.0,0.0
2018-01-05,157.6821,0.0,0.0,0.0
2018-01-08,158.158,0.054,0.0,0.0
2018-01-09,158.3864,0.052,0.0,0.0
2018-01-10,158.7439,0.041,0.0,0.0
2018-01-11,159.7965,0.034,0.0,0.0
2018-01-12,161.1966,0.022,0.0,0.0
2018-01-16,161.1569,0.019,0.074,0.0
2018-01-17,163.1727,0.03,0.083,0.0
2018-01-18,164.3246,0.035,0.077,0.0
2018-01-19,165.6652,0.037,0.072,0.0
2018-01-22,167.1051,0.037,0.06,0.0
2018-01-23,166.0227,0.03,0.05,0.0
2018-01-24,165.8439,0.016,0.047,0.0
2018-01-25,167.4129,0.019,0.055,0.0
2018-01-26,169.1507,0.021,0.059,0.0
2018-01-29,167.3732,0.002,0.038,0.0
2018-01-30,166.0227,0.0,0.03,0.106
2018-01-31,167.8201,0.012,0.028,0.114
2018-02-01,171.7226,0.026,0.045,0.126
2018-02-02,169.3592,0.001,0.022,0.096
2018-02-05,163.4408,-0.023,-0.022,0.037
2018-02-06,168.0981,0.013,0.013,0.063
2018-02-07,167.5519,-0.002,0.01,0.058
2018-02-08,159.4986,-0.071,-0.047,0.005
2018-02-09,164.0466,-0.031,-0.03,0.027
2018-02-12,167.0157,0.022,-0.002,0.036
2018-02-13,168.9322,0.005,0.018,0.048
2018-02-14,171.3155,0.022,0.021,0.05
2018-02-15,173.4703,0.088,0.01,0.056
2018-02-16,174.4236,0.063,0.03,0.053
2018-02-20,174.1257,0.043,0.065,0.042
2018-02-21,171.1169,0.013,0.018,0.031
2018-02-22,171.7425,0.002,0.025,0.036
2018-02-23,174.5329,0.006,0.094,0.043
2018-02-26,176.6281,0.013,0.077,0.044
2018-02-27,174.7017,0.003,0.046,0.044
2018-02-28,174.5329,0.02,0.033,0.051
2018-03-01,172.2787,0.003,0.006,0.027
2018-03-02,173.798,-0.004,0.002,0.012
2018-03-05,177.2835,0.004,0.016,0.047
2018-03-06,176.2905,0.009,0.012,0.079
2018-03-07,177.9588,0.02,0.04,0.059
2018-03-08,177.9985,0.033,0.036,0.062
2018-03-09,181.9606,0.047,0.043,0.141
2018-03-12,181.2655,0.022,0.026,0.105
2018-03-13,179.7462,0.02,0.029,0.076
2018-03-14,178.8624,0.005,0.025,0.059
2018-03-15,179.6866,0.009,0.043,0.049
2018-03-16,181.2754,-0.004,0.043,0.045
2018-03-19,179.3192,-0.011,0.011,0.028
2018-03-20,181.2357,0.008,0.028,0.041
2018-03-21,179.488,0.003,0.009,0.049
2018-03-22,174.2945,-0.03,-0.021,0.015
2018-03-23,170.6303,-0.059,-0.062,-0.022
2018-03-26,175.933,-0.019,-0.029,-0.004
2018-03-27,171.3155,-0.055,-0.047,-0.019
2018-03-28,169.1606,-0.058,-0.054,-0.031
2018-03-29,173.937,-0.002,-0.032,0.01
2018-04-02,170.4019,-0.001,-0.06,-0.02
2018-04-03,171.2658,-0.027,-0.045,-0.034
2018-04-04,172.4773,0.007,-0.048,-0.022
2018-04-05,174.5726,0.032,-0.027,-0.019
2018-04-06,168.7634,-0.03,-0.032,-0.052
2018-04-09,169.3999,-0.006,-0.007,-0.069
2018-04-10,173.7557,0.015,-0.012,-0.041
2018-04-11,171.4087,-0.006,0.001,-0.046
2018-04-12,173.8353,-0.004,0.028,-0.028
2018-04-13,173.3082,0.027,-0.004,-0.035
2018-04-16,172.9104,0.021,0.015,-0.046
2018-04-17,177.3557,0.021,0.036,-0.011
2018-04-18,178.4696,0.041,0.035,-0.015
2018-04-19,178.02200000000002,0.024,0.02,-0.008
