,close,5days,10days,20days
2017-12-29,47.8793,0.0,0.0,0.0
2018-01-02,47.5194,0.0,0.0,0.0
2018-01-03,47.8225,0.0,0.0,0.0
2018-01-04,48.6369,0.0,0.0,0.0
2018-01-05,49.0914,0.0,0.0,0.0
2018-01-08,49.224,0.028,0.0,0.0
2018-01-09,49.5839,0.043,0.0,0.0
2018-01-10,50.2183,0.05,0.0,0.0
2018-01-11,50.653999999999996,0.041,0.0,0.0
2018-01-12,50.5024,0.029,0.0,0.0
2018-01-16,49.1009,-0.003,0.026,0.0
2018-01-17,49.7638,0.004,0.047,0.0
2018-01-18,50.1426,-0.002,0.049,0.0
2018-01-19,50.5687,-0.002,0.04,0.0
2018-01-22,50.9949,0.01,0.039,0.0
2018-01-23,50.7676,0.034,0.031,0.0
2018-01-24,51.2316,0.029,0.033,0.0
2018-01-25,51.1369,0.02,0.018,0.0
2018-01-26,51.8661,0.026,0.024,0.0
2018-01-29,51.5157,0.01,0.02,0.0
2018-01-30,47.0933,-0.072,-0.041,-0.016
2018-01-31,45.5213,-0.111,-0.085,-0.042
2018-02-01,45.8244,-0.104,-0.086,-0.042
2018-02-02,45.4172,-0.124,-0.102,-0.066
2018-02-05,43.8224,-0.149,-0.141,-0.107
2018-02-06,44.1184,-0.063,-0.131,-0.104
2018-02-07,44.1757,-0.03,-0.138,-0.109
2018-02-08,42.2849,-0.077,-0.173,-0.158
2018-02-09,42.6001,-0.062,-0.179,-0.159
2018-02-12,42.6096,-0.028,-0.173,-0.156
2018-02-13,43.1635,-0.022,-0.083,-0.121
2018-02-14,44.5959,0.01,-0.02,-0.104
2018-02-15,44.6245,0.055,-0.026,-0.11
2018-02-16,44.5386,0.046,-0.019,-0.119
2018-02-20,44.7773,0.051,0.022,-0.122
2018-02-21,44.8346,0.039,0.016,-0.117
2018-02-22,44.5291,-0.001,0.008,-0.131
2018-02-23,45.3312,0.016,0.072,-0.114
2018-02-26,45.4076,0.02,0.066,-0.125
2018-02-27,45.0925,0.007,0.058,-0.125
2018-02-28,44.1089,-0.016,0.022,-0.063
2018-03-01,43.6696,-0.019,-0.021,-0.041
2018-03-02,43.45,-0.041,-0.026,-0.052
2018-03-05,44.2999,-0.024,-0.005,-0.025
2018-03-06,44.9492,-0.003,0.004,0.026
2018-03-07,44.9301,0.019,0.002,0.018
2018-03-08,44.7296,0.024,0.005,0.013
2018-03-09,45.6845,0.051,0.008,0.08
2018-03-12,44.9015,0.014,-0.011,0.054
2018-03-13,44.9779,0.001,-0.003,0.056
2018-03-14,44.7964,-0.003,0.016,0.038
2018-03-15,44.8442,0.003,0.027,0.006
2018-03-16,45.188,-0.011,0.04,0.013
2018-03-19,44.9683,0.001,0.015,0.01
2018-03-20,45.0734,0.002,0.003,0.007
2018-03-21,45.0925,0.007,0.004,0.006
2018-03-22,43.6505,-0.027,-0.024,-0.02
2018-03-23,42.0939,-0.068,-0.079,-0.071
2018-03-26,44.0707,-0.02,-0.019,-0.029
2018-03-27,43.4404,-0.036,-0.034,-0.037
