date,open,high,low,close,adjusted close,volume
2014-06-12 00:00:00,10.0,11.26,9.75,11.02,11.02,12544999
2014-06-13 00:00:00,11.39,11.74,10.2,10.3,10.3,1085147
2014-06-16 00:00:00,10.34,10.85,10.3,10.7,10.7,464382
2014-06-17 00:00:00,10.7,10.7,10.0,10.1,10.1,625965
2014-06-18 00:00:00,10.01,10.23,9.85,9.97,9.97,497839
2014-06-19 00:00:00,10.01,10.1996,9.75,9.75,9.75,598165
2014-06-20 00:00:00,9.89,10.03,9.73,9.92,9.92,268254
2014-06-23 00:00:00,10.61,10.69,9.7617,10.24,10.24,550205
2014-06-24 00:00:00,10.26,10.26,9.9,10.05,10.05,185123
2014-06-25 00:00:00,9.84,10.17,9.84,9.99,9.99,124542
2014-06-26 00:00:00,9.98,9.98,8.89,9.73,9.73,744320
2014-06-27 00:00:00,9.75,9.97,9.43,9.57,9.57,196423
2014-06-30 00:00:00,9.96,9.96,9.37,9.52,9.52,119068
2014-07-01 00:00:00,9.69,9.82,9.4,9.8,9.8,171588
2014-07-02 00:00:00,9.75,10.09,9.75,9.89,9.89,164403
2014-07-03 00:00:00,9.9,9.93,9.75,9.82,9.82,76605
2014-07-07 00:00:00,10.4,11.11,10.01,11.05,11.05,1747345
2014-07-08 00:00:00,10.73,10.95,10.51,10.74,10.74,454925
2014-07-09 00:00:00,10.86,10.96,10.53,10.92,10.92,362904
2014-07-10 00:00:00,10.3,10.6,10.0,10.525,10.525,481169
2014-07-11 00:00:00,10.26,10.3999,9.8,9.88,9.88,270004
2014-07-14 00:00:00,9.75,10.125,9.41,9.49,9.49,393907
2014-07-15 00:00:00,9.5,9.5999,8.25,8.78,8.78,675583
2014-07-16 00:00:00,8.8,8.98,7.805,8.3,8.3,1025941
2014-07-17 00:00:00,8.16,8.3,8.1,8.17,8.17,272424
2014-07-18 00:00:00,8.15,8.2399,7.95,8.05,8.05,324295
2014-07-21 00:00:00,8.02,8.0699,7.64,7.75,7.75,493805
2014-07-22 00:00:00,7.85,8.42,7.7,8.42,8.42,378680
2014-07-23 00:00:00,8.45,8.78,8.3508,8.56,8.56,169352
2014-07-24 00:00:00,8.82,8.82,8.45,8.69,8.69,118368
2014-07-25 00:00:00,8.87,8.87,8.2601,8.4,8.4,128274
2014-07-28 00:00:00,8.35,8.546,8.29,8.3,8.3,98373
2014-07-29 00:00:00,8.35,8.45,8.2,8.39,8.39,189353
2014-07-30 00:00:00,8.48,8.85,8.375,8.5,8.5,562772
2014-07-31 00:00:00,9.57,9.5999,8.75,9.0,9.0,1080193
2014-08-01 00:00:00,8.54,8.98,8.4803,8.53,8.53,264973
2014-08-04 00:00:00,8.6,8.85,8.555,8.77,8.77,149277
2014-08-05 00:00:00,8.96,8.98,8.34,8.43,8.43,238830
2014-08-06 00:00:00,8.51,8.66,8.4,8.63,8.63,729773
2014-08-07 00:00:00,8.67,8.75,8.53,8.56,8.56,136017
2014-08-08 00:00:00,8.7,9.0699,8.57,8.8,8.8,233960
2014-08-11 00:00:00,8.82,9.0,8.705,8.81,8.81,174096
2014-08-12 00:00:00,8.75,8.92,8.3,8.35,8.35,217831
2014-08-13 00:00:00,8.37,8.66,8.3,8.61,8.61,211904
2014-08-14 00:00:00,8.65,8.66,8.4001,8.54,8.54,187130
2014-08-15 00:00:00,8.61,8.67,8.3,8.53,8.53,425888
2014-08-18 00:00:00,8.43,8.78,8.33,8.46,8.46,217662
2014-08-19 00:00:00,8.5,8.63,8.4,8.54,8.54,350076
2014-08-20 00:00:00,8.41,8.63,8.41,8.51,8.51,324031
2014-08-21 00:00:00,8.59,9.002,8.48,8.86,8.86,437657
2014-08-22 00:00:00,9.13,9.48,9.0,9.37,9.37,534007
2014-08-25 00:00:00,9.52,10.79,9.52,10.58,10.58,1492970
2014-08-26 00:00:00,10.79,11.8999,10.6,11.73,11.73,2212144
2014-08-27 00:00:00,12.5,12.96,11.05,11.67,11.67,1723869
2014-08-28 00:00:00,11.36,12.07,10.93,11.87,11.87,594635
2014-08-29 00:00:00,11.89,12.1558,11.5,11.59,11.59,511733
2014-09-02 00:00:00,11.44,12.22,11.3,12.02,12.02,584833
2014-09-03 00:00:00,12.1,12.6,11.85,12.05,12.05,526321
2014-09-04 00:00:00,12.15,12.74,11.7,11.74,11.74,836410
2014-09-05 00:00:00,11.78,11.78,10.52,10.89,10.89,1289956
2014-09-08 00:00:00,10.73,11.93,10.7,11.41,11.41,741763
2014-09-09 00:00:00,11.21,11.75,10.9,11.31,11.31,518006
2014-09-10 00:00:00,11.31,11.76,11.205,11.72,11.72,349152
2014-09-11 00:00:00,11.63,11.79,11.21,11.45,11.45,425774
2014-09-12 00:00:00,11.43,11.7,10.91,11.18,11.18,464393
2014-09-15 00:00:00,11.0,11.08,10.72,10.88,10.88,225728
2014-09-16 00:00:00,10.86,11.26,10.753,11.23,11.23,372621
2014-09-17 00:00:00,11.29,11.6,10.5,11.11,11.11,684349
2014-09-18 00:00:00,11.15,11.15,10.53,10.65,10.65,448420
2014-09-19 00:00:00,10.66,10.85,10.21,10.22,10.22,712949
2014-09-22 00:00:00,10.14,10.17,9.77,10.16,10.16,429675
2014-09-23 00:00:00,10.13,10.13,9.62,9.78,9.78,373304
2014-09-24 00:00:00,9.85,10.25,9.756,9.99,9.99,234255
2014-09-25 00:00:00,10.0,10.19,9.87,9.9,9.9,358783
2014-09-26 00:00:00,9.93,10.09,9.68,9.94,9.94,292622
2014-09-29 00:00:00,9.85,10.95,9.75,10.89,10.89,560516
2014-09-30 00:00:00,10.82,11.52,10.48,11.14,11.14,2189598
2014-10-01 00:00:00,11.09,11.18,10.4,10.46,10.46,542869
2014-10-02 00:00:00,10.51,10.909,9.98,10.8,10.8,288077
2014-10-03 00:00:00,10.91,11.07,10.4168,10.6,10.6,173361
2014-10-06 00:00:00,10.59,11.31,10.55,10.99,10.99,561339
2014-10-07 00:00:00,10.98,10.98,10.16,10.25,10.25,835784
2014-10-08 00:00:00,10.25,10.6,10.0332,10.4,10.4,549109
2014-10-09 00:00:00,10.34,10.5,10.1026,10.4,10.4,164323
2014-10-10 00:00:00,10.31,10.41,9.46,9.68,9.68,550324
2014-10-13 00:00:00,9.69,9.89,9.15,9.18,9.18,351235
2014-10-14 00:00:00,9.32,9.57,9.0,9.11,9.11,269644
2014-10-15 00:00:00,9.0,9.19,8.8,8.99,8.99,347816
2014-10-16 00:00:00,9.0,9.42,8.77,9.38,9.38,452826
2014-10-17 00:00:00,9.5,9.83,9.2,9.48,9.48,263492
2014-10-20 00:00:00,9.41,9.57,9.04,9.2,9.2,346220
2014-10-21 00:00:00,9.27,9.35,9.07,9.18,9.18,218658
2014-10-22 00:00:00,9.25,9.416,9.05,9.11,9.11,129094
2014-10-23 00:00:00,9.25,9.3,9.0,9.2,9.2,298464
2014-10-24 00:00:00,9.24,9.4,9.0,9.08,9.08,342483
2014-10-27 00:00:00,9.05,9.1299,8.8,8.86,8.86,337742
2014-10-28 00:00:00,8.87,9.3,8.54,9.22,9.22,626189
2014-10-29 00:00:00,9.2,9.48,9.04,9.41,9.41,516307
2014-10-30 00:00:00,10.1,10.51,9.66,9.91,9.91,1179078
2014-10-31 00:00:00,10.29,10.39,9.91,10.06,10.06,599047
2014-11-03 00:00:00,10.0,10.1,9.7282,9.82,9.82,435678
2014-11-04 00:00:00,9.72,9.875,9.48,9.81,9.81,595496
2014-11-05 00:00:00,9.87,10.02,9.5,9.59,9.59,478068
2014-11-06 00:00:00,9.64,9.65,9.39,9.4,9.4,348503
2014-11-07 00:00:00,9.4,9.66,9.3,9.35,9.35,705483
2014-11-10 00:00:00,9.39,9.71,9.31,9.66,9.66,246411
2014-11-11 00:00:00,9.7,9.8,9.4,9.46,9.46,204688
2014-11-12 00:00:00,9.4,9.78,9.4,9.66,9.66,234950
2014-11-13 00:00:00,9.67,9.79,9.45,9.69,9.69,403519
2014-11-14 00:00:00,9.66,9.8,9.6515,9.7,9.7,195761
2014-11-17 00:00:00,9.73,9.86,9.61,9.7,9.7,146876
2014-11-18 00:00:00,9.69,9.8,9.56,9.7,9.7,218946
2014-11-19 00:00:00,9.73,9.77,9.47,9.75,9.75,335317
2014-11-20 00:00:00,9.67,9.85,9.61,9.75,9.75,519326
2014-11-21 00:00:00,9.8,9.845,9.7,9.77,9.77,245274
2014-11-24 00:00:00,9.8,9.86,9.49,9.56,9.56,293028
2014-11-25 00:00:00,9.55,9.78,9.54,9.58,9.58,333274
2014-11-26 00:00:00,9.55,9.66,9.5,9.51,9.51,140085
2014-11-28 00:00:00,9.56,9.61,9.15,9.27,9.27,203551
2014-12-01 00:00:00,9.28,9.31,8.54,8.65,8.65,613814
2014-12-02 00:00:00,8.75,8.98,8.65,8.8,8.8,258941
2014-12-03 00:00:00,8.77,8.905,8.66,8.9,8.9,165492
2014-12-04 00:00:00,8.93,9.1,8.72,9.08,9.08,210639
2014-12-05 00:00:00,9.08,9.39,9.08,9.35,9.35,155524
2014-12-08 00:00:00,9.0,9.36,8.88,8.89,8.89,250201
2014-12-09 00:00:00,8.8,8.8,8.33,8.76,8.76,412606
2014-12-10 00:00:00,8.76,8.86,8.51,8.62,8.62,158986
2014-12-11 00:00:00,8.7,9.13,8.6762,8.98,8.98,201961
2014-12-12 00:00:00,8.88,9.25,8.82,9.07,9.07,205721
2014-12-15 00:00:00,9.11,9.24,8.57,8.64,8.64,203091
2014-12-16 00:00:00,8.56,8.88,8.51,8.62,8.62,376513
2014-12-17 00:00:00,8.6,8.86,8.6,8.63,8.63,600411
2014-12-18 00:00:00,8.7,8.85,8.66,8.73,8.73,328845
2014-12-19 00:00:00,8.71,9.47,8.71,9.06,9.06,761200
2014-12-22 00:00:00,9.09,9.62,8.93,9.52,9.52,391509
2014-12-23 00:00:00,9.52,9.63,9.03,9.49,9.49,228386
2014-12-24 00:00:00,9.49,9.9,9.49,9.75,9.75,113443
2014-12-26 00:00:00,9.78,9.869,9.64,9.7,9.7,79525
2014-12-29 00:00:00,9.68,10.0,9.68,10.0,10.0,262109
2014-12-30 00:00:00,9.88,10.085,9.76,9.81,9.81,222987
2014-12-31 00:00:00,9.82,10.1,9.8,9.96,9.96,277594
2015-01-02 00:00:00,10.0,10.01,9.51,9.87,9.87,268967
2015-01-05 00:00:00,9.77,9.88,9.26,9.45,9.45,374579
2015-01-06 00:00:00,9.41,9.585,9.26,9.5,9.5,174220
2015-01-07 00:00:00,9.59,9.91,9.5,9.87,9.87,247139
2015-01-08 00:00:00,9.88,10.15,9.63,9.96,9.96,1188732
2015-01-09 00:00:00,9.92,10.03,9.85,9.95,9.95,236961
2015-01-12 00:00:00,10.0,10.0299,9.8,9.96,9.96,479946
2015-01-13 00:00:00,9.8,10.15,9.77,9.93,9.93,426202
2015-01-14 00:00:00,9.83,10.0,9.76,9.96,9.96,238328
2015-01-15 00:00:00,9.99,9.99,9.1375,9.29,9.29,449881
2015-01-16 00:00:00,9.26,9.61,9.0401,9.34,9.34,311889
2015-01-20 00:00:00,9.46,9.6,9.11,9.3,9.3,119282
2015-01-21 00:00:00,9.26,9.27,8.9,9.09,9.09,214931
2015-01-22 00:00:00,9.12,9.26,8.83,9.25,9.25,309823
2015-01-23 00:00:00,9.26,9.37,9.01,9.28,9.28,191102
2015-01-26 00:00:00,9.25,9.27,9.0,9.22,9.22,155537
2015-01-27 00:00:00,9.12,9.29,9.0,9.04,9.04,97232
2015-01-28 00:00:00,9.12,9.12,8.62,8.82,8.82,267076
2015-01-29 00:00:00,8.68,8.91,8.53,8.87,8.87,188721
2015-01-30 00:00:00,8.8,9.09,8.662,8.77,8.77,142450
2015-02-02 00:00:00,8.76,8.9,8.565,8.86,8.86,108676
2015-02-03 00:00:00,8.92,9.105,8.81,8.88,8.88,102656
2015-02-04 00:00:00,8.85,9.22,8.85,9.14,9.14,133027
2015-02-05 00:00:00,9.21,9.44,9.14,9.41,9.41,270794
2015-02-06 00:00:00,9.39,9.45,9.14,9.23,9.23,103204
2015-02-09 00:00:00,9.33,9.5,9.25,9.48,9.48,147097
2015-02-10 00:00:00,9.5,9.6,9.12,9.38,9.38,107624
2015-02-11 00:00:00,9.39,9.42,9.17,9.25,9.25,106418
2015-02-12 00:00:00,9.38,9.79,9.181,9.74,9.74,558722
2015-02-13 00:00:00,9.67,9.985,8.71,9.53,9.53,1116494
2015-02-17 00:00:00,9.53,9.55,9.05,9.12,9.12,325722
2015-02-18 00:00:00,8.76,9.11,8.71,8.91,8.91,1102143
2015-02-19 00:00:00,8.77,8.93,8.72,8.74,8.74,266141
2015-02-20 00:00:00,8.76,8.85,8.6,8.8,8.8,226323
2015-02-23 00:00:00,8.58,8.694,8.55,8.56,8.56,243678
2015-02-24 00:00:00,8.53,8.73,8.4,8.6,8.6,154191
2015-02-25 00:00:00,8.57,8.77,8.52,8.63,8.63,257227
2015-02-26 00:00:00,8.52,8.78,8.52,8.68,8.68,162176
2015-02-27 00:00:00,8.73,9.0,8.665,8.93,8.93,458990
2015-03-02 00:00:00,8.88,8.9,8.41,8.67,8.67,509587
2015-03-03 00:00:00,8.61,8.64,8.5,8.58,8.58,180259
2015-03-04 00:00:00,8.58,8.65,8.357,8.6,8.6,294299
2015-03-05 00:00:00,8.6,8.97,8.45,8.96,8.96,517989
2015-03-06 00:00:00,8.9,8.97,8.72,8.76,8.76,334046
2015-03-09 00:00:00,8.74,8.92,8.55,8.92,8.92,401786
2015-03-10 00:00:00,8.4,8.71,8.17,8.41,8.41,795242
2015-03-11 00:00:00,8.44,8.88,8.31,8.78,8.78,341869
2015-03-12 00:00:00,8.79,8.96,8.57,8.92,8.92,520638
2015-03-13 00:00:00,8.93,8.99,8.72,8.74,8.74,278536
2015-03-16 00:00:00,8.8,8.92,8.67,8.79,8.79,366818
2015-03-17 00:00:00,8.77,8.91,8.66,8.87,8.87,363392
2015-03-18 00:00:00,8.86,8.9,8.74,8.89,8.89,269361
2015-03-19 00:00:00,8.85,8.96,8.74,8.8,8.8,337523
2015-03-20 00:00:00,8.89,9.0,8.83,9.0,9.0,1790950
2015-03-23 00:00:00,8.9,9.04,8.8,8.97,8.97,435016
2015-03-24 00:00:00,8.97,9.14,8.91,9.06,9.06,385965
2015-03-25 00:00:00,9.07,9.1,8.71,8.76,8.76,407818
2015-03-26 00:00:00,8.98,9.1,8.73,8.83,8.83,534240
2015-03-27 00:00:00,8.86,9.09,8.69,9.08,9.08,515082
2015-03-30 00:00:00,9.12,9.2,9.05,9.18,9.18,200879
2015-03-31 00:00:00,9.15,9.3,9.072,9.26,9.26,290730
2015-04-01 00:00:00,9.25,9.25,8.84,9.13,9.13,568134
2015-04-02 00:00:00,9.15,9.15,8.94,8.97,8.97,206652
2015-04-06 00:00:00,8.94,8.99,8.86,8.87,8.87,273740
2015-04-07 00:00:00,8.85,9.02,8.85,8.93,8.93,206613
2015-04-08 00:00:00,8.96,9.07,8.89,9.0,9.0,186671
2015-04-09 00:00:00,9.01,9.19,8.99,9.02,9.02,245565
2015-04-10 00:00:00,9.0,9.35,8.862,9.29,9.29,670391
2015-04-13 00:00:00,9.27,9.46,9.13,9.17,9.17,192688
2015-04-14 00:00:00,9.2,9.24,8.94,9.0,9.0,189332
2015-04-15 00:00:00,9.04,9.35,8.98,9.29,9.29,340791
2015-04-16 00:00:00,9.3,9.679,9.3,9.62,9.62,368465
2015-04-17 00:00:00,9.55,9.65,9.25,9.6,9.6,270521
2015-04-20 00:00:00,9.66,9.66,9.42,9.45,9.45,170055
2015-04-21 00:00:00,9.49,9.6,9.37,9.57,9.57,157388
2015-04-22 00:00:00,9.58,9.66,9.41,9.5,9.5,415643
2015-04-23 00:00:00,6.1,7.5,6.02,7.11,7.11,6802483
2015-04-24 00:00:00,7.4,7.424,6.7,6.975,6.975,1479020
2015-04-27 00:00:00,6.95,7.01,6.12,6.14,6.14,1787406
2015-04-28 00:00:00,6.12,6.446,6.0801,6.115,6.115,836933
2015-04-29 00:00:00,6.1,6.19,5.89,6.0,6.0,809595
2015-04-30 00:00:00,5.96,6.05,5.88,6.02,6.02,574262
2015-05-01 00:00:00,6.0,6.66,6.0,6.65,6.65,1305454
2015-05-04 00:00:00,6.64,6.64,6.08,6.13,6.13,758385
2015-05-05 00:00:00,6.09,6.24,5.98,6.18,6.18,612309
2015-05-06 00:00:00,6.16,6.296,6.01,6.11,6.11,524119
2015-05-07 00:00:00,6.11,6.21,5.985,6.0,6.0,442108
2015-05-08 00:00:00,6.08,6.088,5.93,5.96,5.96,287876
2015-05-11 00:00:00,5.98,6.24,5.96,6.2,6.2,354661
2015-05-12 00:00:00,6.18,6.67,6.15,6.6,6.6,739281
2015-05-13 00:00:00,6.62,6.66,6.4,6.47,6.47,376552
2015-05-14 00:00:00,6.52,6.57,6.24,6.26,6.26,280860
2015-05-15 00:00:00,6.28,6.364,6.2,6.31,6.31,289988
2015-05-18 00:00:00,6.3,6.396,6.16,6.27,6.27,268609
2015-05-19 00:00:00,6.22,6.35,6.13,6.33,6.33,269624
2015-05-20 00:00:00,6.36,6.37,6.095,6.14,6.14,335759
2015-05-21 00:00:00,5.98,6.26,5.97,6.08,6.08,363121
2015-05-22 00:00:00,6.07,6.11,5.99,6.02,6.02,281973
2015-05-26 00:00:00,5.98,6.05,5.96,6.01,6.01,349072
2015-05-27 00:00:00,5.99,6.1299,5.98,6.05,6.05,338148
2015-05-28 00:00:00,5.98,6.245,5.98,6.19,6.19,342620
2015-05-29 00:00:00,6.15,6.15,6.01,6.02,6.02,275475
2015-06-01 00:00:00,6.04,6.08,5.96,6.03,6.03,197571
2015-06-02 00:00:00,6.01,6.15,5.98,6.04,6.04,266221
2015-06-03 00:00:00,6.0,6.11,5.95,6.05,6.05,516571
2015-06-04 00:00:00,6.04,6.125,5.98,6.06,6.06,347583
2015-06-05 00:00:00,6.0,6.115,5.97,6.11,6.11,427715
2015-06-08 00:00:00,6.13,6.13,5.95,5.97,5.97,306649
2015-06-09 00:00:00,6.14,6.14,5.9,5.98,5.98,317607
2015-06-10 00:00:00,6.01,6.43,5.99,6.39,6.39,1438830
2015-06-11 00:00:00,6.23,6.28,5.95,6.03,6.03,1183252
2015-06-12 00:00:00,6.03,6.18,5.91,6.17,6.17,549073
2015-06-15 00:00:00,6.19,6.37,6.01,6.37,6.37,703522
2015-06-16 00:00:00,6.37,6.98,6.35,6.88,6.88,2198026
2015-06-17 00:00:00,6.88,7.1,6.68,6.93,6.93,1045643
2015-06-18 00:00:00,6.98,7.0601,6.58,6.68,6.68,592426
2015-06-19 00:00:00,6.71,6.72,6.51,6.58,6.58,252803
2015-06-22 00:00:00,6.61,6.68,6.24,6.44,6.44,451348
2015-06-23 00:00:00,6.46,6.585,6.28,6.47,6.47,479815
2015-06-24 00:00:00,6.49,6.6,6.25,6.27,6.27,329791
2015-06-25 00:00:00,6.29,6.44,6.18,6.31,6.31,438513
2015-06-26 00:00:00,6.32,6.38,6.1,6.13,6.13,5154269
2015-06-29 00:00:00,6.1,6.195,5.8,5.83,5.83,968737
2015-06-30 00:00:00,5.75,5.94,5.69,5.91,5.91,646030
2015-07-01 00:00:00,5.94,6.0188,5.71,5.81,5.81,547007
2015-07-02 00:00:00,5.8,5.835,5.59,5.59,5.59,684176
2015-07-06 00:00:00,5.54,5.7,5.42,5.7,5.7,443142
2015-07-07 00:00:00,5.68,5.68,5.32,5.41,5.41,424043
2015-07-08 00:00:00,5.38,5.54,5.32,5.53,5.53,343962
2015-07-09 00:00:00,5.58,5.66,5.43,5.46,5.46,328783
2015-07-10 00:00:00,5.49,5.85,5.48,5.73,5.73,458604
2015-07-13 00:00:00,5.75,5.7716,5.65,5.75,5.75,367570
2015-07-14 00:00:00,5.72,5.875,5.7,5.86,5.86,207290
2015-07-15 00:00:00,5.83,5.94,5.75,5.91,5.91,486656
2015-07-16 00:00:00,5.91,6.015,5.85,6.0,6.0,612580
2015-07-17 00:00:00,5.98,6.03,5.75,5.77,5.77,389425
2015-07-20 00:00:00,5.74,5.74,5.57,5.69,5.69,293797
2015-07-21 00:00:00,5.69,5.93,5.616,5.82,5.82,356681
2015-07-22 00:00:00,5.79,5.81,5.645,5.65,5.65,169470
2015-07-23 00:00:00,5.68,5.83,5.6498,5.67,5.67,234634
2015-07-24 00:00:00,5.65,5.73,5.41,5.47,5.47,292878
2015-07-27 00:00:00,5.46,5.55,5.37,5.49,5.49,218641
2015-07-28 00:00:00,5.5,5.568,5.32,5.43,5.43,222466
2015-07-29 00:00:00,5.43,5.44,5.3001,5.38,5.38,316308
2015-07-30 00:00:00,5.67,5.796,4.82,5.06,5.06,1329435
2015-07-31 00:00:00,5.04,5.79,4.89,5.72,5.72,847199
2015-08-03 00:00:00,5.67,5.75,5.25,5.32,5.32,544246
2015-08-04 00:00:00,5.25,5.33,5.08,5.16,5.16,532285
2015-08-05 00:00:00,5.22,5.73,5.22,5.54,5.54,602444
