date,open,high,low,close,adjusted close,volume
2005-05-03 00:00:00,18.66,20.65,18.51,20.05,18.5905,3273400
2005-05-04 00:00:00,20.97,22.0,20.25,21.6,20.0276,1263600
2005-05-05 00:00:00,23.45,23.45,22.088,22.64,20.9919,865100
2005-05-06 00:00:00,23.06,23.25,21.55,21.6,20.0276,460300
2005-05-09 00:00:00,21.7,21.7,20.5,20.77,19.258,220900
2005-05-10 00:00:00,20.5,21.81,20.2,21.2,19.6567,244200
2005-05-11 00:00:00,21.38,22.35,21.06,21.85,20.2594,169200
2005-05-12 00:00:00,22.0,22.4,21.75,21.9,20.3058,124900
2005-05-13 00:00:00,22.35,22.35,21.65,21.96,20.3614,96000
2005-05-16 00:00:00,22.24,22.24,21.63,21.98,20.38,73800
2005-05-17 00:00:00,21.87,22.0,21.01,21.3,19.7495,227000
2005-05-18 00:00:00,20.91,22.3,20.73,22.07,20.4634,272000
2005-05-19 00:00:00,21.07,22.94,21.07,22.65,21.0012,230500
2005-05-20 00:00:00,22.54,23.44,22.45,23.1,21.4184,379100
2005-05-23 00:00:00,23.45,23.45,22.8,23.33,21.6317,122300
2005-05-24 00:00:00,23.39,23.8,22.5,23.06,21.3813,168800
2005-05-25 00:00:00,21.76,22.5,21.2,22.16,20.5469,240600
2005-05-26 00:00:00,22.0,22.929,21.4,22.51,20.8714,102300
2005-05-27 00:00:00,22.84,22.84,21.77,22.03,20.4263,25500
2005-05-31 00:00:00,21.68,22.08,21.0,21.95,20.3522,108500
2005-06-01 00:00:00,21.73,23.19,21.73,23.19,21.5019,124000
2005-06-02 00:00:00,22.67,24.97,22.65,24.49,22.7073,191000
2005-06-03 00:00:00,24.61,25.95,23.97,25.79,23.9126,166200
2005-06-06 00:00:00,25.72,26.49,25.38,26.24,24.3299,123300
2005-06-07 00:00:00,26.37,28.24,26.0,27.88,25.8505,276900
2005-06-08 00:00:00,28.04,28.14,27.31,27.75,25.7299,426900
2005-06-09 00:00:00,27.4,27.79,26.67,27.38,25.3869,112000
2005-06-10 00:00:00,27.4,27.771,26.55,26.9,24.9418,88400
2005-06-13 00:00:00,27.2,27.53,26.61,26.87,24.914,87300
2005-06-14 00:00:00,27.25,27.5,26.9,27.5,25.4981,37500
2005-06-15 00:00:00,27.09,28.74,27.09,28.19,26.1379,213000
2005-06-16 00:00:00,28.36,28.8,27.6,28.6,26.5181,59300
2005-06-17 00:00:00,28.86,29.59,28.61,28.7,26.6108,154500
2005-06-20 00:00:00,28.75,28.895,27.84,28.01,25.971,58500
2005-06-21 00:00:00,28.28,28.29,27.1,27.75,25.7299,154700
2005-06-22 00:00:00,27.3,27.38,26.55,26.99,25.0253,86200
2005-06-23 00:00:00,26.69,28.18,26.55,27.65,25.6372,40600
2005-06-24 00:00:00,27.35,27.94,26.74,26.87,24.914,368400
2005-06-27 00:00:00,26.66,27.43,25.27,27.1,25.1273,94100
2005-06-28 00:00:00,27.0,28.1,26.73,28.07,26.0266,41500
2005-06-29 00:00:00,28.07,28.6,27.4385,27.45,25.4518,64100
2005-06-30 00:00:00,27.72,28.5,27.72,28.15,26.1008,39200
2005-07-01 00:00:00,28.29,28.29,27.36,27.8,25.7763,31200
2005-07-05 00:00:00,27.59,28.634,27.58,28.6,26.5181,64600
2005-07-06 00:00:00,28.44,29.0,28.02,28.42,26.3512,33300
2005-07-07 00:00:00,27.95,29.1,27.85,28.4,26.3326,21300
2005-07-08 00:00:00,28.44,28.95,28.01,28.79,26.6942,49200
2005-07-11 00:00:00,28.91,29.0,28.04,28.46,26.3883,61700
2005-07-12 00:00:00,28.29,28.44,27.15,28.26,26.2028,40900
2005-07-13 00:00:00,28.18,28.49,28.0,28.47,26.3975,16900
2005-07-14 00:00:00,28.19,28.42,27.82,28.1,26.0545,65300
2005-07-15 00:00:00,27.89,28.19,27.86,28.1,26.0545,66700
2005-07-18 00:00:00,28.2,28.2,27.771,28.02,25.9803,43300
2005-07-19 00:00:00,28.17,28.2,26.6521,27.79,25.767,70800
2005-07-20 00:00:00,27.5,27.65,26.79,27.19,25.2107,32900
2005-07-21 00:00:00,27.28,27.28,26.21,26.23,24.3206,25300
2005-07-22 00:00:00,26.11,26.99,26.01,26.97,25.0067,75800
2005-07-25 00:00:00,27.07,27.24,26.35,27.01,25.0438,37800
2005-07-26 00:00:00,27.24,27.6,26.91,27.54,25.5352,37600
2005-07-27 00:00:00,27.34,27.55,26.35,26.96,24.9974,50400
2005-07-28 00:00:00,26.79,27.38,26.6,27.38,25.3869,32400
2005-07-29 00:00:00,27.2,27.54,26.88,27.13,25.1551,22300
2005-08-01 00:00:00,27.04,28.1,27.0,27.4,25.4054,99400
2005-08-02 00:00:00,27.61,28.0,27.6,27.68,25.665,42400
2005-08-03 00:00:00,27.78,27.78,27.08,27.3,25.3127,32800
2005-08-04 00:00:00,27.17,27.74,27.17,27.3,25.3127,15700
2005-08-05 00:00:00,27.42,27.42,27.08,27.08,25.1087,15000
2005-08-08 00:00:00,27.01,27.51,26.82,27.31,25.322,21500
2005-08-09 00:00:00,27.17,27.31,26.8101,27.22,25.2385,33900
2005-08-10 00:00:00,27.63,32.0,27.62,31.55,29.2533,628800
2005-08-11 00:00:00,31.32,34.1,31.32,33.2,30.7832,312900
2005-08-12 00:00:00,32.9,33.1,32.15,32.97,30.57,127300
2005-08-15 00:00:00,32.71,33.45,32.12,32.75,30.366,83500
2005-08-16 00:00:00,32.59,33.2,32.46,32.55,30.1805,74000
2005-08-17 00:00:00,32.55,32.96,31.65,32.51,30.1434,76500
2005-08-18 00:00:00,32.35,32.94,31.99,32.5,30.1342,117500
2005-08-19 00:00:00,32.48,33.44,32.27,32.91,30.5143,96000
2005-08-22 00:00:00,33.15,33.2,32.47,33.02,30.6163,36000
2005-08-23 00:00:00,33.05,33.05,31.75,32.09,29.754,117000
2005-08-24 00:00:00,31.64,32.2,31.64,32.01,29.6798,74200
2005-08-25 00:00:00,31.83,32.1,30.41,30.85,28.6043,112000
2005-08-26 00:00:00,30.62,30.62,28.55,29.41,27.2691,154000
2005-08-29 00:00:00,29.21,29.4,28.57,29.33,27.1949,32400
2005-08-30 00:00:00,29.18,29.25,28.91,29.22,27.0929,15500
2005-08-31 00:00:00,29.31,30.42,29.01,30.42,28.2056,43300
2005-09-01 00:00:00,30.19,30.71,29.56,30.07,27.8811,28800
2005-09-02 00:00:00,30.0,30.03,28.632,28.8,26.7035,21200
2005-09-06 00:00:00,28.52,29.09,28.31,28.93,26.824,44400
2005-09-07 00:00:00,28.94,28.94,28.5,28.68,26.5922,36700
2005-09-08 00:00:00,28.39,28.6,26.71,27.61,25.6001,171000
2005-09-09 00:00:00,27.52,27.81,26.96,27.65,25.6372,33400
2005-09-12 00:00:00,27.74,28.45,27.61,28.28,26.2214,32700
2005-09-13 00:00:00,28.28,28.83,27.79,28.7,26.6108,46000
2005-09-14 00:00:00,28.511,28.7,28.29,28.43,26.3604,24600
2005-09-15 00:00:00,28.35,28.54,28.07,28.42,26.3512,41700
2005-09-16 00:00:00,28.59,29.3,28.48,29.18,27.0558,58800
2005-09-19 00:00:00,29.31,29.6,28.97,29.6,27.4453,112300
2005-09-20 00:00:00,29.65,30.16,29.64,30.08,27.8903,56300
2005-09-21 00:00:00,30.1,30.35,29.7901,29.95,27.7698,30600
2005-09-22 00:00:00,30.16,30.94,29.8,30.75,28.5116,33400
2005-09-23 00:00:00,30.5,30.82,29.93,30.71,28.4745,35100
2005-09-26 00:00:00,30.75,31.84,30.75,31.84,29.5222,58600
2005-09-27 00:00:00,31.84,31.84,31.15,31.45,29.1606,20500
2005-09-28 00:00:00,31.45,31.95,30.94,30.96,28.7063,28400
2005-09-29 00:00:00,31.75,32.48,31.32,31.59,29.2904,47700
2005-09-30 00:00:00,31.92,32.0,31.42,32.0,29.6706,25200
2005-10-03 00:00:00,31.79,32.2595,31.79,31.9,29.5778,12300
