,close,5days,10days,20days
2017-12-29,95.8286,0.0,0.0,0.0
2018-01-02,95.79899999999999,0.0,0.0,0.0
2018-01-03,94.287,0.0,0.0,0.0
2018-01-04,95.4037,0.0,0.0,0.0
2018-01-05,95.6018,0.0,0.0,0.0
2018-01-08,96.4837,0.007,0.0,0.0
2018-01-09,95.5127,-0.003,0.0,0.0
2018-01-10,95.3145,0.011,0.0,0.0
2018-01-11,95.8793,0.005,0.0,0.0
2018-01-12,96.4242,0.009,0.0,0.0
2018-01-16,95.7009,-0.008,-0.001,0.0
2018-01-17,97.4348,0.02,0.017,0.0
2018-01-18,100.1892,0.051,0.063,0.0
2018-01-19,99.6245,0.039,0.044,0.0
2018-01-22,97.7915,0.014,0.023,0.0
2018-01-23,97.9897,0.024,0.016,0.0
2018-01-24,97.098,-0.003,0.017,0.0
2018-01-25,98.0095,-0.022,0.028,0.0
2018-01-26,97.9699,-0.017,0.022,0.0
2018-01-29,95.5226,-0.023,-0.009,0.0
2018-01-30,94.9925,-0.031,-0.007,-0.009
2018-01-31,95.2353,-0.019,-0.023,-0.006
2018-02-01,95.6712,-0.024,-0.045,0.015
2018-02-02,94.2841,-0.038,-0.054,-0.012
2018-02-05,91.7477,-0.04,-0.062,-0.04
2018-02-06,93.1843,-0.019,-0.049,-0.034
2018-02-07,92.9465,-0.024,-0.043,-0.027
2018-02-08,89.6571,-0.063,-0.085,-0.059
2018-02-09,91.4702,-0.03,-0.066,-0.046
2018-02-12,94.0166,0.025,-0.016,-0.025
2018-02-13,94.0364,0.009,-0.01,-0.017
2018-02-14,96.4539,0.038,0.013,-0.01
2018-02-15,95.1857,0.062,-0.005,-0.05
2018-02-16,95.6613,0.046,0.015,-0.04
2018-02-20,95.7604,0.019,0.044,-0.021
2018-02-21,94.5615,0.006,0.015,-0.035
2018-02-22,94.7002,-0.018,0.019,-0.025
2018-02-23,94.0364,-0.012,0.049,-0.041
2018-02-26,94.6309,-0.011,0.035,-0.034
2018-02-27,93.6995,-0.022,-0.003,-0.019
2018-02-28,92.5898,-0.021,-0.015,-0.025
2018-03-01,91.6288,-0.032,-0.05,-0.038
2018-03-02,92.2926,-0.019,-0.03,-0.035
2018-03-05,93.7887,-0.009,-0.02,-0.005
2018-03-06,94.0859,0.004,-0.017,0.025
2018-03-07,93.6401,0.011,-0.01,0.005
2018-03-08,93.96700000000001,0.026,-0.008,0.011
2018-03-09,96.3747,0.044,0.025,0.075
2018-03-12,96.8403,0.033,0.023,0.059
2018-03-13,97.3159,0.034,0.039,0.035
2018-03-14,96.5827,0.031,0.043,0.027
2018-03-15,97.4051,0.037,0.063,0.01
2018-03-16,97.0781,0.007,0.052,0.02
2018-03-19,96.7809,-0.001,0.032,0.012
2018-03-20,97.0187,-0.003,0.031,0.013
2018-03-21,97.0088,0.004,0.036,0.026
2018-03-22,94.4426,-0.03,0.005,-0.003
2018-03-23,93.1447,-0.041,-0.034,-0.009
2018-03-26,95.6712,-0.011,-0.012,0.011
2018-03-27,94.7399,-0.023,-0.026,0.011
2018-03-28,93.96700000000001,-0.031,-0.027,0.015
2018-03-29,94.6408,0.002,-0.028,0.033
2018-04-02,93.8779,0.008,-0.033,0.017
2018-04-03,94.4525,-0.013,-0.024,0.007
2018-04-04,94.8488,0.001,-0.022,0.008
2018-04-05,96.7314,0.029,-0.003,0.033
2018-04-06,95.5095,0.009,0.011,0.016
2018-04-09,95.5195,0.017,0.025,-0.009
2018-04-10,96.046,0.017,0.004,-0.008
2018-04-11,96.5923,0.018,0.02,-0.007
2018-04-12,97.4466,0.007,0.037,0.009
2018-04-13,97.3572,0.019,0.029,-0.0
2018-04-16,99.0458,0.037,0.055,0.02
2018-04-17,100.9729,0.051,0.069,0.043
2018-04-18,101.6186,0.052,0.071,0.047
2018-04-19,101.4199,0.041,0.048,0.045
2018-04-20,102.3437,0.051,0.072,0.084
2018-04-23,102.9497,0.039,0.078,0.105
2018-04-24,102.7013,0.017,0.069,0.073
2018-04-25,104.6085,0.029,0.083,0.104
2018-04-26,109.0587,0.075,0.119,0.161
2018-04-27,107.6978,0.052,0.106,0.138
2018-04-30,107.8568,0.048,0.089,0.149
2018-05-01,108.4925,0.056,0.074,0.149
2018-05-02,107.37,0.026,0.057,0.132
2018-05-03,106.2376,-0.026,0.048,0.098
2018-05-04,106.4661,-0.011,0.04,0.115
2018-05-07,107.8468,-0.0,0.048,0.129
2018-05-08,108.6812,0.002,0.058,0.132
2018-05-09,109.7739,0.022,0.049,0.136
2018-05-10,110.3997,0.039,0.012,0.133
2018-05-11,110.6878,0.04,0.028,0.137
2018-05-14,111.4725,0.034,0.034,0.125
2018-05-15,112.13799999999999,0.032,0.034,0.111
2018-05-16,113.3201,0.032,0.055,0.115
2018-05-17,113.9261,0.032,0.072,0.123
2018-05-18,113.8665,0.029,0.07,0.113
2018-05-21,115.12799999999999,0.033,0.068,0.118
2018-05-22,114.9889,0.025,0.058,0.12
2018-05-23,115.8631,0.022,0.055,0.108
2018-05-24,117.1147,0.028,0.061,0.074
2018-05-25,116.9061,0.027,0.056,0.086
2018-05-29,117.4822,0.02,0.054,0.089
2018-05-30,119.1808,0.036,0.063,0.099
2018-05-31,119.2106,0.029,0.052,0.11
2018-06-01,120.2338,0.027,0.055,0.132
2018-06-04,122.9058,0.051,0.079,0.154
2018-06-05,123.0052,0.047,0.068,0.141
2018-06-06,124.5647,0.045,0.083,0.146
2018-06-07,126.3627,0.06,0.091,0.151
2018-06-08,126.8991,0.055,0.084,0.149
2018-06-11,128.7963,0.048,0.102,0.164
2018-06-12,130.1274,0.058,0.108,0.167
2018-06-13,131.2102,0.053,0.101,0.17
2018-06-14,130.8824,0.036,0.098,0.155
2018-06-15,130.1373,0.026,0.082,0.142
2018-06-18,129.0546,0.002,0.05,0.133
2018-06-19,130.4155,0.002,0.06,0.133
2018-06-20,133.1869,0.015,0.069,0.158
2018-06-21,132.6306,0.013,0.05,0.145
2018-06-22,131.3294,0.009,0.035,0.121
2018-06-25,130.9817,0.015,0.017,0.12
2018-06-26,128.7665,-0.013,-0.01,0.096
2018-06-27,128.3195,-0.037,-0.022,0.077
2018-06-28,127.0878,-0.042,-0.029,0.066
2018-06-29,127.3957,-0.03,-0.021,0.06
2018-07-02,128.0712,-0.022,-0.008,0.042
2018-07-03,127.8924,-0.007,-0.019,0.04
2018-07-05,128.7169,0.003,-0.034,0.033
2018-07-06,128.8761,0.014,-0.028,0.02
2018-07-09,131.7226,0.034,0.003,0.038
2018-07-10,132.1605,0.032,0.009,0.026
2018-07-11,130.9263,0.024,0.017,0.006
2018-07-12,131.0458,0.018,0.021,-0.001
2018-07-13,135.6737,0.053,0.068,0.037
2018-07-16,135.8031,0.031,0.066,0.044
2018-07-17,138.0624,0.045,0.078,0.07
2018-07-18,138.2017,0.056,0.081,0.06
2018-07-19,137.933,0.053,0.072,0.036
2018-07-20,138.5003,0.021,0.075,0.044
2018-07-23,138.8984,0.023,0.054,0.058
2018-07-24,138.0026,-0.0,0.044,0.054
2018-07-25,139.0576,0.006,0.062,0.08
2018-07-26,134.2505,-0.027,0.024,0.046
2018-07-27,133.7131,-0.035,-0.014,0.052
2018-07-30,132.3794,-0.047,-0.025,0.039
2018-07-31,131.3742,-0.048,-0.048,0.026
2018-08-01,130.4785,-0.062,-0.056,0.02
2018-08-02,130.369,-0.029,-0.055,0.013
2018-08-03,129.7818,-0.029,-0.063,0.007
2018-08-06,130.6974,-0.013,-0.059,-0.008
2018-08-07,132.6183,0.009,-0.039,0.003
2018-08-08,133.3647,0.022,-0.041,0.019
2018-08-09,133.6832,0.025,-0.004,0.02
2018-08-10,131.5434,0.014,-0.016,-0.03
2018-08-13,132.041,0.01,-0.003,-0.028
2018-08-14,133.7031,0.008,0.018,-0.032
2018-08-15,132.7477,-0.005,0.017,-0.039
2018-08-16,134.1211,0.003,0.029,-0.028
2018-08-17,136.4102,0.037,0.051,-0.015
2018-08-20,136.1017,0.031,0.041,-0.02
2018-08-21,136.8979,0.024,0.032,-0.008
2018-08-22,136.3107,0.027,0.022,-0.02
2018-08-23,137.1169,0.022,0.026,0.021
2018-08-24,136.7387,0.002,0.039,0.023
2018-08-27,137.4752,0.01,0.041,0.038
2018-08-28,138.8984,0.015,0.039,0.057
2018-08-29,138.8785,0.019,0.046,0.064
2018-08-30,138.142,0.007,0.03,0.06
2018-08-31,141.6453,0.036,0.038,0.091
2018-09-04,141.506,0.029,0.04,0.083
2018-09-05,140.5406,0.012,0.027,0.06
2018-09-06,141.5955,0.02,0.039,0.062
2018-09-07,138.8486,0.005,0.013,0.039
2018-09-10,138.9879,-0.019,0.016,0.057
2018-09-11,137.7638,-0.026,0.002,0.043
2018-09-12,136.9278,-0.026,-0.014,0.024
2018-09-13,136.8382,-0.034,-0.015,0.031
2018-09-14,137.6941,-0.008,-0.003,0.027
2018-09-17,131.0358,-0.057,-0.075,-0.039
2018-09-18,130.7173,-0.051,-0.076,-0.04
2018-09-19,130.5083,-0.047,-0.071,-0.047
2018-09-20,130.4486,-0.047,-0.079,-0.043
2018-09-21,130.588,-0.052,-0.059,-0.048
2018-09-24,130.5282,-0.004,-0.061,-0.045
2018-09-25,127.84100000000001,-0.022,-0.072,-0.07
2018-09-26,126.6268,-0.03,-0.075,-0.088
2018-09-27,125.5719,-0.037,-0.082,-0.096
2018-09-28,125.3031,-0.04,-0.09,-0.093
2018-10-01,124.7756,-0.044,-0.048,-0.119
2018-10-02,121.2325,-0.052,-0.073,-0.143
2018-10-03,120.9937,-0.044,-0.073,-0.139
2018-10-04,118.8439,-0.054,-0.089,-0.161
2018-10-05,117.0922,-0.066,-0.103,-0.157
2018-10-08,115.2013,-0.077,-0.117,-0.171
2018-10-09,114.6638,-0.054,-0.103,-0.168
2018-10-10,110.0458,-0.09,-0.131,-0.196
2018-10-11,109.8169,-0.076,-0.125,-0.197
2018-10-12,111.2401,-0.05,-0.112,-0.192
2018-10-15,111.9169,-0.029,-0.103,-0.146
2018-10-16,115.46,0.007,-0.048,-0.117
2018-10-17,116.5572,0.059,-0.037,-0.107
2018-10-18,113.8941,0.037,-0.042,-0.127
2018-10-19,114.8416,0.032,-0.019,-0.121
2018-10-22,115.3403,0.031,0.001,-0.116
2018-10-23,115.7892,0.003,0.01,-0.094
2018-10-24,114.6621,-0.016,0.042,-0.094
2018-10-25,130.3613,0.145,0.187,0.038
2018-10-26,129.4237,0.127,0.163,0.033
2018-10-29,120.7862,0.047,0.079,-0.032
2018-10-30,121.8035,0.052,0.055,0.005
2018-10-31,124.4766,0.086,0.068,0.029
2018-11-01,124.686,-0.044,0.095,0.049
2018-11-02,123.6886,-0.044,0.077,0.056
2018-11-05,123.8781,0.026,0.074,0.075
2018-11-06,124.1375,0.019,0.072,0.083
2018-11-07,125.7433,0.01,0.097,0.143
2018-11-08,124.5464,-0.001,-0.045,0.134
2018-11-09,124.3469,0.005,-0.039,0.118
2018-11-12,123.0104,-0.007,0.018,0.099
2018-11-13,121.3048,-0.023,-0.004,0.051
2018-11-14,120.2675,-0.044,-0.034,0.032
2018-11-15,121.4445,-0.025,-0.026,0.066
2018-11-16,121.0156,-0.027,-0.022,0.054
2018-11-19,117.7241,-0.043,-0.05,0.021
2018-11-20,115.6296,-0.047,-0.069,-0.001
2018-11-21,115.6994,-0.038,-0.08,0.009
2018-11-23,114.9114,-0.054,-0.077,-0.119
2018-11-26,115.5697,-0.045,-0.071,-0.107
2018-11-27,114.9414,-0.024,-0.066,-0.048
2018-11-28,118.2727,0.023,-0.025,-0.029
2018-11-29,119.0307,0.029,-0.01,-0.044
2018-11-30,117.8339,0.025,-0.03,-0.055
2018-12-03,118.7814,0.028,-0.018,-0.04
2018-12-04,116.9063,0.017,-0.007,-0.056
