,close,5days,10days,20days
2017-12-29,83.4178,0.0,0.0,0.0
2018-01-02,83.8177,0.0,0.0,0.0
2018-01-03,84.2077,0.0,0.0,0.0
2018-01-04,84.9489,0.0,0.0,0.0
2018-01-05,86.0021,0.0,0.0,0.0
2018-01-08,86.0899,0.032,0.0,0.0
2018-01-09,86.0314,0.026,0.0,0.0
2018-01-10,85.6413,0.017,0.0,0.0
2018-01-11,85.8948,0.011,0.0,0.0
2018-01-12,87.3771,0.016,0.0,0.0
2018-01-16,86.1581,0.001,0.033,0.0
2018-01-17,87.9037,0.022,0.049,0.0
2018-01-18,87.8647,0.026,0.043,0.0
2018-01-19,87.7672,0.022,0.033,0.0
2018-01-22,89.3372,0.022,0.039,0.0
2018-01-23,89.6201,0.04,0.041,0.0
2018-01-24,89.542,0.019,0.041,0.0
2018-01-25,90.0394,0.025,0.051,0.0
2018-01-26,91.7265,0.045,0.068,0.0
2018-01-29,91.5899,0.025,0.048,0.0
2018-01-30,90.4392,0.009,0.05,0.084
2018-01-31,92.6529,0.035,0.054,0.105
2018-02-01,91.9215,0.021,0.046,0.092
2018-02-02,89.50299999999999,-0.024,0.02,0.054
2018-02-05,85.8168,-0.063,-0.039,-0.002
2018-02-06,89.0642,-0.015,-0.006,0.035
2018-02-07,87.3869,-0.057,-0.024,0.016
2018-02-08,82.90100000000001,-0.098,-0.079,-0.032
2018-02-09,85.9923,-0.039,-0.063,0.001
2018-02-12,86.9188,0.013,-0.051,-0.005
2018-02-13,87.6014,-0.016,-0.031,0.017
2018-02-14,88.9667,0.018,-0.04,0.012
2018-02-15,90.7791,0.095,-0.012,0.033
2018-02-16,90.1325,0.048,0.007,0.027
2018-02-20,90.8379,0.045,0.059,0.017
2018-02-21,89.6329,0.023,0.006,0.0
2018-02-22,89.868,0.01,0.028,0.004
2018-02-23,92.1507,0.015,0.112,0.023
2018-02-26,93.4831,0.037,0.087,0.019
2018-02-27,92.2879,0.016,0.062,0.008
2018-02-28,91.8666,0.025,0.049,0.016
2018-03-01,90.9653,0.012,0.022,-0.018
2018-03-02,91.1612,-0.011,0.004,-0.008
2018-03-05,91.7392,-0.019,0.018,0.025
2018-03-06,91.4257,-0.009,0.006,0.065
2018-03-07,91.9548,0.001,0.026,0.032
2018-03-08,92.5132,0.017,0.029,0.059
2018-03-09,94.5804,0.038,0.026,0.141
2018-03-12,94.8057,0.033,0.014,0.102
2018-03-13,92.4936,0.012,0.002,0.064
2018-03-14,91.945,-0.0,0.001,0.05
2018-03-15,92.2683,-0.003,0.014,0.037
2018-03-16,92.6797,-0.02,0.017,0.021
2018-03-19,91.0045,-0.04,-0.008,0.01
2018-03-20,91.2396,-0.014,-0.002,0.004
2018-03-21,90.6028,-0.015,-0.015,0.011
2018-03-22,87.9674,-0.047,-0.049,-0.021
