,close,5days,10days,20days
2017-12-29,205.6047,0.0,0.0,0.0
2018-01-02,203.6499,0.0,0.0,0.0
2018-01-03,205.7208,0.0,0.0,0.0
2018-01-04,202.2758,0.0,0.0,0.0
2018-01-05,200.5727,0.0,0.0,0.0
2018-01-08,199.0147,-0.032,0.0,0.0
2018-01-09,206.4272,0.014,0.0,0.0
2018-01-10,206.611,0.004,0.0,0.0
2018-01-11,211.8656,0.047,0.0,0.0
2018-01-12,215.1267,0.073,0.0,0.0
2018-01-16,214.9815,0.08,0.046,0.0
2018-01-17,217.8266,0.055,0.07,0.0
2018-01-18,217.5459,0.053,0.057,0.0
2018-01-19,223.981,0.057,0.107,0.0
2018-01-22,224.252,0.042,0.118,0.0
2018-01-23,225.5874,0.049,0.134,0.0
2018-01-24,225.1326,0.034,0.091,0.0
2018-01-25,226.0713,0.039,0.094,0.0
2018-01-26,222.4521,-0.007,0.05,0.0
2018-01-29,217.7878,-0.029,0.012,0.0
2018-01-30,214.6042,-0.049,-0.002,0.044
2018-01-31,211.4979,-0.061,-0.029,0.039
2018-02-01,217.2846,-0.039,-0.001,0.056
2018-02-02,210.9366,-0.052,-0.058,0.043
2018-02-05,205.7498,-0.055,-0.083,0.026
2018-02-06,205.0918,-0.044,-0.091,0.031
2018-02-07,207.3271,-0.02,-0.079,0.004
2018-02-08,199.4115,-0.082,-0.118,-0.035
2018-02-09,199.3147,-0.055,-0.104,-0.059
2018-02-12,203.9402,-0.009,-0.064,-0.052
2018-02-13,205.6434,0.003,-0.042,-0.043
2018-02-14,205.4305,-0.009,-0.029,-0.057
2018-02-15,207.2788,0.039,-0.046,-0.047
2018-02-16,209.0593,0.049,-0.009,-0.067
2018-02-20,209.0206,0.025,0.016,-0.068
2018-02-21,209.127,0.017,0.02,-0.073
2018-02-22,204.8595,-0.003,-0.012,-0.09
2018-02-23,203.9112,-0.016,0.023,-0.098
2018-02-26,205.1885,-0.019,0.029,-0.078
2018-02-27,202.5951,-0.031,-0.007,-0.07
2018-02-28,199.2179,-0.047,-0.031,-0.072
2018-03-01,200.7662,-0.02,-0.023,-0.051
2018-03-02,201.9178,-0.01,-0.026,-0.071
2018-03-05,204.8111,-0.002,-0.02,-0.029
2018-03-06,206.6788,0.02,-0.011,0.005
2018-03-07,209.8044,0.053,0.003,0.023
2018-03-08,221.1457,0.102,0.079,0.067
2018-03-09,219.6555,0.088,0.077,0.102
2018-03-12,216.2008,0.056,0.054,0.085
2018-03-13,214.2171,0.036,0.057,0.05
2018-03-14,215.8525,0.029,0.083,0.05
2018-03-15,218.2814,-0.013,0.087,0.063
2018-03-16,219.5684,-0.0,0.087,0.059
2018-03-19,220.3425,0.019,0.076,0.054
2018-03-20,223.0521,0.041,0.079,0.067
2018-03-21,222.2779,0.03,0.059,0.063
2018-03-22,220.5845,0.011,-0.003,0.077
2018-03-23,216.4041,-0.014,-0.015,0.061
2018-03-26,220.9909,0.003,0.022,0.077
2018-03-27,217.0269,-0.027,0.013,0.071
2018-03-28,217.9034,-0.02,0.01,0.094
2018-03-29,215.9263,-0.021,-0.011,0.076
2018-04-02,213.5596,-0.013,-0.027,0.058
2018-04-03,217.1438,-0.017,-0.015,0.06
2018-04-04,219.75400000000002,0.013,-0.015,0.063
2018-04-05,222.9485,0.023,0.003,0.063
2018-04-06,218.0398,0.01,-0.012,-0.014
2018-04-09,219.2475,0.027,0.013,-0.002
2018-04-10,221.3513,0.019,0.002,0.024
2018-04-11,222.0135,0.01,0.023,0.036
2018-04-12,219.9877,-0.013,0.01,0.019
2018-04-13,217.6015,-0.002,0.008,-0.003
2018-04-16,219.5981,0.002,0.028,0.0
2018-04-17,222.8998,0.007,0.027,0.012
2018-04-18,220.8545,-0.005,0.005,-0.01
2018-04-19,225.588,0.025,0.012,0.015
2018-04-20,225.3347,0.036,0.033,0.022
2018-04-23,227.3606,0.035,0.037,0.051
2018-04-24,224.877,0.009,0.016,0.018
2018-04-25,224.127,0.015,0.01,0.033
2018-04-26,224.0394,-0.007,0.018,0.028
2018-04-27,224.7504,-0.003,0.033,0.041
2018-04-30,223.3381,-0.018,0.017,0.046
2018-05-01,219.8221,-0.022,-0.014,0.012
2018-05-02,216.3743,-0.035,-0.02,-0.015
2018-05-03,218.6534,-0.024,-0.031,-0.019
2018-05-04,221.8285,-0.013,-0.016,0.017
2018-05-07,222.296,-0.005,-0.022,0.014
2018-05-08,222.5979,0.013,-0.01,0.006
2018-05-09,225.3737,0.042,0.006,0.015
2018-05-10,227.6041,0.041,0.016,0.035
2018-05-11,231.831,0.045,0.032,0.065
