,close,5days,10days,20days
2017-12-29,41.12,0.0,0.0,0.0
2018-01-02,43.67,0.0,0.0,0.0
2018-01-03,44.98,0.0,0.0,0.0
2018-01-04,46.88,0.0,0.0,0.0
2018-01-05,45.8,0.0,0.0,0.0
2018-01-08,45.55,0.108,0.0,0.0
2018-01-09,42.97,-0.016,0.0,0.0
2018-01-10,43.31,-0.037,0.0,0.0
2018-01-11,42.82,-0.087,0.0,0.0
2018-01-12,42.81,-0.065,0.0,0.0
2018-01-16,42.92,-0.058,0.044,0.0
2018-01-17,44.26,0.03,0.014,0.0
2018-01-18,43.99,0.016,-0.022,0.0
2018-01-19,42.75,-0.002,-0.088,0.0
2018-01-22,42.88,0.002,-0.064,0.0
2018-01-23,43.95,0.024,-0.035,0.0
2018-01-24,43.08,-0.027,0.003,0.0
2018-01-25,43.01,-0.022,-0.007,0.0
2018-01-26,43.67,0.022,0.02,0.0
2018-01-29,43.29,0.01,0.011,0.0
2018-01-30,41.67,-0.052,-0.029,0.013
2018-01-31,43.72,0.015,-0.012,0.001
2018-02-01,42.49,-0.012,-0.034,-0.055
2018-02-02,40.82,-0.065,-0.045,-0.129
2018-02-05,39.4,-0.09,-0.081,-0.14
2018-02-06,43.88,0.053,-0.002,-0.037
2018-02-07,42.01,-0.039,-0.025,-0.022
2018-02-08,40.0,-0.059,-0.07,-0.076
2018-02-09,40.41,-0.01,-0.075,-0.056
2018-02-12,42.19,0.071,-0.025,-0.014
2018-02-13,42.63,-0.028,0.023,-0.007
2018-02-14,43.45,0.034,-0.006,-0.018
2018-02-15,43.5,0.087,0.024,-0.011
2018-02-16,44.21,0.094,0.083,0.034
2018-02-20,44.9,0.064,0.14,0.047
2018-02-21,44.54,0.045,0.015,0.013
2018-02-22,44.25,0.018,0.053,0.027
2018-02-23,46.53,0.07,0.163,0.082
2018-02-26,47.98,0.085,0.187,0.099
2018-02-27,48.58,0.082,0.151,0.122
2018-02-28,48.81,0.096,0.145,0.171
2018-03-01,47.62,0.076,0.096,0.089
2018-03-02,49.11,0.055,0.129,0.156
2018-03-05,52.03,0.084,0.177,0.275
2018-03-06,53.74,0.106,0.197,0.364
2018-03-07,53.97,0.106,0.212,0.23
2018-03-08,55.22,0.16,0.248,0.314
2018-03-09,54.59,0.112,0.173,0.365
2018-03-12,59.37,0.141,0.237,0.469
2018-03-13,59.43,0.106,0.223,0.409
2018-03-14,59.78,0.108,0.225,0.402
2018-03-15,58.84,0.066,0.236,0.354
2018-03-16,60.58,0.11,0.234,0.393
2018-03-19,60.14,0.013,0.156,0.36
2018-03-20,61.15,0.029,0.138,0.362
2018-03-21,61.07,0.022,0.132,0.371
2018-03-22,58.92,0.001,0.067,0.332
2018-03-23,54.21,-0.105,-0.007,0.165
2018-03-26,55.56,-0.076,-0.064,0.158
2018-03-27,52.4,-0.143,-0.118,0.079
2018-03-28,51.49,-0.157,-0.139,0.055
2018-03-29,52.14,-0.115,-0.114,0.095
