,close,5days,10days,20days
2017-12-29,57.77,0.0,0.0,0.0
2018-01-02,58.8,0.0,0.0,0.0
2018-01-03,59.22,0.0,0.0,0.0
2018-01-04,58.86,0.0,0.0,0.0
2018-01-05,59.31,0.0,0.0,0.0
2018-01-08,58.96,0.021,0.0,0.0
2018-01-09,58.19,-0.01,0.0,0.0
2018-01-10,58.2,-0.017,0.0,0.0
2018-01-11,59.34,0.008,0.0,0.0
2018-01-12,60.39,0.018,0.0,0.0
2018-01-16,58.2,-0.013,0.007,0.0
2018-01-17,57.93,-0.004,-0.015,0.0
2018-01-18,57.75,-0.008,-0.025,0.0
2018-01-19,58.15,-0.02,-0.012,0.0
2018-01-22,58.77,-0.027,-0.009,0.0
2018-01-23,60.09,0.032,0.019,0.0
2018-01-24,59.61,0.029,0.024,0.0
2018-01-25,59.66,0.033,0.025,0.0
2018-01-26,61.94,0.065,0.044,0.0
2018-01-29,60.29,0.026,-0.002,0.0
2018-01-30,59.19,-0.015,0.017,0.025
2018-01-31,59.73,0.002,0.031,0.016
2018-02-01,59.88,0.004,0.037,0.011
2018-02-02,59.31,-0.042,0.02,0.008
2018-02-05,58.43,-0.031,-0.006,-0.015
2018-02-06,59.3,0.002,-0.013,0.006
2018-02-07,64.63,0.082,0.084,0.111
2018-02-08,63.0,0.052,0.056,0.082
2018-02-09,64.38,0.085,0.039,0.085
2018-02-12,63.91,0.094,0.06,0.058
2018-02-13,66.53,0.122,0.124,0.143
2018-02-14,69.22,0.071,0.159,0.195
2018-02-15,69.4,0.102,0.159,0.202
2018-02-16,68.34,0.062,0.152,0.175
2018-02-20,70.82,0.108,0.212,0.205
2018-02-21,71.26,0.071,0.202,0.186
2018-02-22,70.63,0.02,0.093,0.185
2018-02-23,72.2,0.04,0.146,0.21
2018-02-26,70.99,0.039,0.103,0.146
2018-02-27,70.99,0.002,0.111,0.177
2018-02-28,71.78,0.007,0.079,0.213
2018-03-01,72.05,0.02,0.041,0.206
2018-03-02,74.28,0.029,0.07,0.24
2018-03-05,74.15,0.045,0.085,0.25
2018-03-06,73.33,0.033,0.035,0.255
2018-03-07,75.37,0.05,0.058,0.271
2018-03-08,75.65,0.05,0.071,0.171
2018-03-09,74.46,0.002,0.031,0.182
2018-03-12,73.87,-0.004,0.041,0.147
2018-03-13,72.84,-0.007,0.026,0.14
2018-03-14,75.35,-0.0,0.05,0.133
2018-03-15,75.81,0.002,0.052,0.095
2018-03-16,75.75,0.017,0.02,0.091
2018-03-19,74.91,0.014,0.01,0.096
2018-03-20,77.47,0.064,0.056,0.094
2018-03-21,78.52,0.042,0.042,0.102
2018-03-22,77.1,0.017,0.019,0.092
2018-03-23,76.64,0.012,0.029,0.061
2018-03-26,78.03,0.042,0.056,0.099
2018-03-27,75.11,-0.03,0.031,0.058
2018-03-28,72.5,-0.077,-0.038,0.01
2018-03-29,74.12,-0.039,-0.022,0.029
2018-04-02,74.38,-0.029,-0.018,0.001
2018-04-03,73.7,-0.055,-0.016,-0.006
2018-04-04,75.04,-0.001,-0.031,0.023
2018-04-05,75.54,0.042,-0.038,0.002
2018-04-06,73.84,-0.004,-0.042,-0.024
2018-04-09,73.8,-0.008,-0.037,-0.009
2018-04-10,73.9,0.003,-0.053,0.0
2018-04-11,73.75,-0.017,-0.018,0.012
2018-04-12,74.98,-0.007,0.034,-0.005
2018-04-13,73.13,-0.01,-0.013,-0.035
2018-04-16,72.94,-0.012,-0.019,-0.037
