,close,5days,10days,20days
2017-12-29,191.96,0.0,0.0,0.0
2018-01-02,201.07,0.0,0.0,0.0
2018-01-03,205.05,0.0,0.0,0.0
2018-01-04,205.63,0.0,0.0,0.0
2018-01-05,209.99,0.0,0.0,0.0
2018-01-08,212.05,0.105,0.0,0.0
2018-01-09,209.31,0.041,0.0,0.0
2018-01-10,212.52,0.036,0.0,0.0
2018-01-11,217.24,0.056,0.0,0.0
2018-01-12,221.23,0.054,0.0,0.0
2018-01-16,221.53,0.045,0.154,0.0
2018-01-17,217.5,0.039,0.082,0.0
2018-01-18,220.33,0.037,0.075,0.0
2018-01-19,220.46,0.015,0.072,0.0
2018-01-22,227.58,0.029,0.084,0.0
2018-01-23,250.29,0.13,0.18,0.0
2018-01-24,261.3,0.201,0.248,0.0
2018-01-25,269.7,0.224,0.269,0.0
2018-01-26,274.6,0.246,0.264,0.0
2018-01-29,284.59,0.251,0.286,0.0
2018-01-30,278.8,0.114,0.259,0.452
2018-01-31,270.3,0.034,0.243,0.344
2018-02-01,265.07,-0.017,0.203,0.293
2018-02-02,267.43,-0.026,0.213,0.301
2018-02-05,254.26,-0.107,0.117,0.211
2018-02-06,265.72,-0.047,0.062,0.253
2018-02-07,264.56,-0.021,0.012,0.264
2018-02-08,250.1,-0.056,-0.073,0.177
2018-02-09,249.47,-0.067,-0.092,0.148
2018-02-12,257.95,0.015,-0.094,0.166
2018-02-13,258.27,-0.028,-0.074,0.166
2018-02-14,266.0,0.005,-0.016,0.223
2018-02-15,280.27,0.121,0.057,0.272
2018-02-16,278.52,0.116,0.041,0.263
2018-02-20,278.55,0.08,0.096,0.224
2018-02-21,281.04,0.088,0.058,0.123
2018-02-22,278.14,0.046,0.051,0.064
2018-02-23,285.93,0.02,0.143,0.06
2018-02-26,294.16,0.056,0.179,0.071
2018-02-27,290.61,0.043,0.127,0.021
2018-02-28,291.38,0.037,0.128,0.045
2018-03-01,290.39,0.044,0.092,0.074
2018-03-02,301.05,0.053,0.074,0.136
2018-03-05,315.0,0.071,0.131,0.178
2018-03-06,325.22,0.119,0.168,0.279
2018-03-07,321.16,0.102,0.143,0.209
2018-03-08,317.0,0.092,0.14,0.198
2018-03-09,331.44,0.101,0.159,0.325
2018-03-12,321.3,0.02,0.092,0.288
2018-03-13,315.88,-0.029,0.087,0.225
2018-03-14,321.55,0.001,0.104,0.245
2018-03-15,321.09,0.013,0.106,0.207
2018-03-16,318.45,-0.039,0.058,0.136
2018-03-19,313.48,-0.024,-0.005,0.126
2018-03-20,317.5,0.005,-0.024,0.14
2018-03-21,316.48,-0.016,-0.015,0.126
2018-03-22,306.7,-0.045,-0.032,0.103
2018-03-23,300.94,-0.055,-0.092,0.052
2018-03-26,320.35,0.022,-0.003,0.089
2018-03-27,300.69,-0.053,-0.048,0.035
2018-03-28,285.77,-0.097,-0.111,-0.019
2018-03-29,295.35,-0.037,-0.08,0.017
2018-04-02,280.29,-0.069,-0.12,-0.069
2018-04-03,283.67,-0.114,-0.095,-0.099
2018-04-04,288.94,-0.039,-0.09,-0.112
2018-04-05,293.97,0.029,-0.071,-0.085
2018-04-06,288.85,-0.022,-0.058,-0.089
2018-04-09,289.93,0.034,-0.037,-0.125
2018-04-10,298.07,0.051,-0.07,-0.072
2018-04-11,303.67,0.051,0.01,-0.039
2018-04-12,309.25,0.052,0.082,-0.038
2018-04-13,311.65,0.079,0.055,-0.029
2018-04-16,307.78,0.062,0.098,-0.034
2018-04-17,336.06,0.127,0.185,0.072
2018-04-18,334.52,0.102,0.158,0.054
2018-04-19,332.7,0.076,0.132,0.051
2018-04-20,327.77,0.052,0.135,0.069
2018-04-23,318.69,0.035,0.099,0.059
2018-04-24,307.02,-0.086,0.03,-0.042
2018-04-25,305.76,-0.086,0.007,0.017
2018-04-26,313.98,-0.056,0.015,0.099
2018-04-27,311.76,-0.049,0.0,0.056
2018-04-30,312.46,-0.02,0.015,0.115
2018-05-01,313.3,0.02,-0.068,0.104
2018-05-02,313.36,0.025,-0.063,0.085
2018-05-03,311.69,-0.007,-0.063,0.06
2018-05-04,320.09,0.027,-0.023,0.108
2018-05-07,326.26,0.044,0.024,0.125
2018-05-08,326.89,0.043,0.065,0.097
2018-05-09,330.3,0.054,0.08,0.088
2018-05-10,329.6,0.057,0.05,0.066
2018-05-11,326.46,0.02,0.047,0.048
2018-05-14,328.53,0.007,0.051,0.067
2018-05-15,326.13,-0.002,0.041,-0.03
2018-05-16,328.19,-0.006,0.047,-0.019
2018-05-17,325.22,-0.013,0.043,-0.022
2018-05-18,324.18,-0.007,0.013,-0.011
2018-05-21,331.82,0.01,0.017,0.041
2018-05-22,331.62,0.017,0.014,0.08
2018-05-23,344.72,0.05,0.044,0.127
2018-05-24,349.29,0.074,0.06,0.112
2018-05-25,351.29,0.084,0.076,0.127
2018-05-29,349.73,0.054,0.065,0.119
2018-05-30,353.54,0.066,0.084,0.128
2018-05-31,351.6,0.02,0.071,0.122
2018-06-01,359.93,0.03,0.107,0.155
2018-06-04,361.81,0.03,0.116,0.13
2018-06-05,365.8,0.046,0.102,0.121
2018-06-06,367.45,0.039,0.108,0.124
2018-06-07,361.4,0.028,0.048,0.094
2018-06-08,360.57,0.002,0.032,0.094
2018-06-11,361.45,-0.001,0.029,0.107
2018-06-12,363.83,-0.005,0.04,0.107
2018-06-13,379.93,0.034,0.075,0.165
2018-06-14,392.87,0.087,0.117,0.197
2018-06-15,391.98,0.087,0.089,0.205
2018-06-18,390.4,0.08,0.079,0.204
2018-06-19,404.98,0.113,0.107,0.22
2018-06-20,416.76,0.097,0.134,0.257
2018-06-21,415.44,0.057,0.15,0.205
