,close,5days,10days,20days
2017-12-29,130.39,0.0,0.0,0.0
2018-01-02,131.73,0.0,0.0,0.0
2018-01-03,132.91,0.0,0.0,0.0
2018-01-04,133.85,0.0,0.0,0.0
2018-01-05,135.01,0.0,0.0,0.0
2018-01-08,135.3,0.038,0.0,0.0
2018-01-09,135.45,0.028,0.0,0.0
2018-01-10,136.23,0.025,0.0,0.0
2018-01-11,137.58,0.028,0.0,0.0
2018-01-12,138.19,0.024,0.0,0.0
2018-01-16,139.79,0.033,0.072,0.0
2018-01-17,140.79,0.039,0.069,0.0
2018-01-18,141.13,0.036,0.062,0.0
2018-01-19,142.27,0.034,0.063,0.0
2018-01-22,143.9,0.041,0.066,0.0
2018-01-23,144.43,0.033,0.067,0.0
2018-01-24,145.44,0.033,0.074,0.0
2018-01-25,145.54,0.031,0.068,0.0
2018-01-26,149.74,0.053,0.088,0.0
2018-01-29,147.09,0.022,0.064,0.0
2018-01-30,146.59,0.015,0.049,0.124
2018-01-31,148.87,0.024,0.057,0.13
2018-02-01,152.81,0.05,0.083,0.15
2018-02-02,149.76,0.0,0.053,0.119
2018-02-05,147.39,0.002,0.024,0.092
2018-02-06,149.02,0.017,0.032,0.101
2018-02-07,153.17,0.029,0.053,0.131
2018-02-08,140.1,-0.083,-0.037,0.028
2018-02-09,145.16,-0.031,-0.031,0.055
2018-02-12,147.24,-0.001,0.001,0.065
2018-02-13,147.55,-0.01,0.007,0.056
2018-02-14,147.74,-0.035,-0.008,0.049
2018-02-15,152.54,0.089,-0.002,0.081
2018-02-16,154.03,0.061,0.029,0.083
2018-02-20,156.76,0.065,0.064,0.089
2018-02-21,157.58,0.068,0.057,0.091
2018-02-22,156.05,0.056,0.019,0.073
2018-02-23,160.4,0.052,0.145,0.102
2018-02-26,160.57,0.042,0.106,0.072
2018-02-27,163.34,0.042,0.109,0.11
2018-02-28,161.01,0.022,0.091,0.098
2018-03-01,159.57,0.023,0.08,0.072
2018-03-02,166.67,0.039,0.093,0.091
2018-03-05,168.3,0.048,0.093,0.124
2018-03-06,171.07,0.047,0.091,0.161
2018-03-07,173.06,0.075,0.098,0.161
2018-03-08,172.99,0.084,0.109,0.129
2018-03-09,172.76,0.037,0.077,0.233
2018-03-12,174.43,0.036,0.086,0.202
2018-03-13,173.96,0.017,0.065,0.181
2018-03-14,175.34,0.013,0.089,0.188
2018-03-15,173.83,0.005,0.089,0.177
2018-03-16,169.98,-0.016,0.02,0.114
2018-03-19,169.81,-0.026,0.009,0.102
2018-03-20,172.11,-0.011,0.006,0.098
2018-03-21,173.19,-0.012,0.001,0.099
2018-03-22,168.76,-0.029,-0.024,0.081
2018-03-23,164.77,-0.031,-0.046,0.027
2018-03-26,171.45,0.01,-0.017,0.068
2018-03-27,162.82,-0.054,-0.064,-0.003
2018-03-28,159.68,-0.078,-0.089,-0.008
2018-03-29,165.45,-0.02,-0.048,0.037
2018-04-02,161.62,-0.019,-0.049,-0.03
2018-04-03,161.77,-0.056,-0.047,-0.039
2018-04-04,164.69,0.011,-0.043,-0.037
2018-04-05,165.77,0.038,-0.043,-0.042
2018-04-06,162.94,-0.015,-0.034,-0.058
2018-04-09,162.89,0.008,-0.011,-0.057
2018-04-10,166.58,0.03,-0.028,-0.045
2018-04-11,166.5,0.011,0.023,-0.043
2018-04-12,168.57,0.017,0.056,-0.039
2018-04-13,166.9,0.024,0.009,-0.04
2018-04-16,169.45,0.04,0.048,-0.003
2018-04-17,174.54,0.048,0.079,0.028
2018-04-18,174.3,0.047,0.058,0.013
2018-04-19,172.99,0.026,0.044,-0.001
2018-04-20,168.9,0.012,0.037,0.001
2018-04-23,167.51,-0.011,0.028,0.017
2018-04-24,160.66,-0.08,-0.036,-0.063
2018-04-25,158.0,-0.094,-0.051,-0.03
2018-04-26,165.16,-0.045,-0.02,0.034
2018-04-27,163.18,-0.034,-0.022,-0.014
2018-04-30,166.14,-0.008,-0.02,0.028
2018-05-01,165.42,0.03,-0.052,0.023
2018-05-02,165.5,0.047,-0.05,0.005
2018-05-03,168.73,0.022,-0.025,0.018
2018-05-04,171.22,0.049,0.014,0.051
2018-05-07,176.02,0.059,0.051,0.081
2018-05-08,176.03,0.064,0.096,0.057
2018-05-09,180.04,0.088,0.139,0.081
2018-05-10,178.98,0.061,0.084,0.062
2018-05-11,178.87,0.045,0.096,0.072
2018-05-14,173.73,-0.013,0.046,0.025
2018-05-15,173.42,-0.015,0.048,-0.006
2018-05-16,171.15,-0.049,0.034,-0.018
2018-05-17,171.71,-0.041,0.018,-0.007
2018-05-18,173.94,-0.028,0.016,0.03
2018-05-21,171.45,-0.013,-0.026,0.024
2018-05-22,170.26,-0.018,-0.033,0.06
2018-05-23,173.96,0.016,-0.034,0.101
2018-05-24,175.52,0.022,-0.019,0.063
2018-05-25,176.72,0.016,-0.012,0.083
2018-05-29,176.3,0.028,0.015,0.061
