date,open,high,low,close,adjusted close,volume
2000-06-30 00:00:00,15.31,17.25,10.63,12.13,2.7304,4777000
2000-07-03 00:00:00,12.25,13.38,12.22,13.0,2.9263,482700
2000-07-05 00:00:00,13.25,13.75,12.75,13.13,2.9555,410100
2000-07-06 00:00:00,13.44,14.81,13.13,14.75,3.3202,422300
2000-07-07 00:00:00,14.88,15.13,13.75,13.88,3.1244,237400
2000-07-10 00:00:00,13.94,14.0,13.38,13.44,3.0253,208600
2000-07-11 00:00:00,13.28,13.28,11.88,12.0,2.7012,309300
2000-07-12 00:00:00,12.19,12.88,12.13,12.5,2.8137,122700
2000-07-13 00:00:00,12.75,12.88,11.44,11.5,2.5886,300500
2000-07-14 00:00:00,11.38,11.63,10.81,10.94,2.4626,315400
2000-07-17 00:00:00,10.69,10.75,9.375,9.5,2.1384,363200
2000-07-18 00:00:00,9.594,10.13,8.188,8.25,1.8571,377800
2000-07-19 00:00:00,8.375,8.75,8.188,8.313,1.8712,144300
2000-07-20 00:00:00,8.188,8.75,8.188,8.75,1.9696,119500
2000-07-21 00:00:00,9.234,9.875,8.75,9.375,2.1103,303400
2000-07-24 00:00:00,9.375,9.375,8.125,8.375,1.8852,139300
2000-07-25 00:00:00,8.125,8.188,7.625,7.719,1.7375,158100
2000-07-26 00:00:00,7.5,7.625,6.5,6.75,1.5194,247000
2000-07-27 00:00:00,6.375,6.75,5.625,5.938,1.3366,178200
2000-07-28 00:00:00,6.0,6.0,4.75,5.875,1.3225,445100
2000-07-31 00:00:00,5.609,6.438,5.0,6.063,1.3648,323800
2000-08-01 00:00:00,6.375,6.375,5.813,6.0,1.3506,119000
2000-08-02 00:00:00,5.75,6.25,5.563,5.875,1.3225,127000
2000-08-03 00:00:00,5.875,5.906,5.563,5.813,1.3085,89500
2000-08-04 00:00:00,6.0,6.0,5.625,5.813,1.3085,58500
2000-08-07 00:00:00,5.781,5.938,5.563,5.813,1.3085,35800
2000-08-08 00:00:00,6.125,6.188,5.813,5.813,1.3085,75100
2000-08-09 00:00:00,5.813,6.125,5.813,6.0,1.3506,68300
2000-08-10 00:00:00,6.0,6.0,5.75,5.875,1.3225,48400
2000-08-11 00:00:00,5.938,5.938,5.188,5.375,1.2099,49200
2000-08-14 00:00:00,5.5,5.563,4.875,5.0,1.1255,637800
2000-08-15 00:00:00,4.969,5.094,4.938,5.0,1.1255,68200
2000-08-16 00:00:00,5.0,5.25,4.938,5.25,1.1818,114000
2000-08-17 00:00:00,5.25,5.813,4.938,5.625,1.2662,91900
2000-08-18 00:00:00,5.375,6.125,5.25,6.125,1.3787,118900
2000-08-21 00:00:00,6.109,6.125,5.75,6.0,1.3506,46200
2000-08-22 00:00:00,5.938,6.438,5.938,6.313,1.421,156800
2000-08-23 00:00:00,6.25,6.25,6.0,6.125,1.3787,170000
2000-08-24 00:00:00,6.25,6.25,5.813,6.063,1.3648,67100
2000-08-25 00:00:00,6.063,7.25,6.063,6.563,1.4773,132500
2000-08-28 00:00:00,6.656,6.656,6.25,6.5,1.4631,69900
2000-08-29 00:00:00,6.563,6.813,6.563,6.625,1.4913,73200
2000-08-30 00:00:00,7.219,7.5,6.625,7.0,1.5757,195000
2000-08-31 00:00:00,6.938,7.656,6.875,7.625,1.7164,275600
2000-09-01 00:00:00,7.563,7.75,7.125,7.5,1.6882,74700
2000-09-05 00:00:00,7.375,7.375,6.875,7.0,1.5757,50800
2000-09-06 00:00:00,6.875,7.0,6.375,6.375,1.435,51400
2000-09-07 00:00:00,6.5,6.75,6.375,6.625,1.4913,26500
2000-09-08 00:00:00,6.5,6.625,6.25,6.25,1.4069,24700
2000-09-11 00:00:00,6.375,6.875,6.0,6.0,1.3506,62000
2000-09-12 00:00:00,6.25,6.5,6.0,6.375,1.435,144000
2000-09-13 00:00:00,6.375,6.5,6.0,6.188,1.3929,12200
2000-09-14 00:00:00,6.313,6.625,6.313,6.625,1.4913,44300
2000-09-15 00:00:00,6.594,6.875,6.25,6.5,1.4631,29400
2000-09-18 00:00:00,6.688,6.688,6.25,6.25,1.4069,20100
2000-09-19 00:00:00,6.469,7.125,6.313,7.0,1.5757,51100
2000-09-20 00:00:00,7.125,7.125,6.188,6.25,1.4069,37900
2000-09-21 00:00:00,6.25,6.469,6.0,6.0,1.3506,103600
2000-09-22 00:00:00,5.875,5.938,5.5,5.625,1.2662,40300
2000-09-25 00:00:00,5.75,5.969,5.75,5.75,1.2943,11300
2000-09-26 00:00:00,5.813,5.813,5.375,5.5,1.238,44800
2000-09-27 00:00:00,5.5,5.75,5.375,5.5,1.238,129700
2000-09-28 00:00:00,5.375,5.5,5.375,5.438,1.2241,23500
2000-09-29 00:00:00,5.469,5.469,5.375,5.438,1.2241,13900
2000-10-02 00:00:00,5.375,5.438,5.125,5.125,1.1536,95700
2000-10-03 00:00:00,5.125,5.375,4.75,4.75,1.0692,31500
2000-10-04 00:00:00,4.766,5.125,4.625,5.0,1.1255,57800
2000-10-05 00:00:00,4.891,5.156,4.75,4.75,1.0692,28200
2000-10-06 00:00:00,4.75,4.938,4.563,4.625,1.0411,67900
2000-10-09 00:00:00,4.875,5.0,3.75,4.188,0.9427,104900
2000-10-10 00:00:00,4.297,4.313,3.875,4.125,0.9285,92500
2000-10-11 00:00:00,3.828,4.063,3.828,4.031,0.9074,71900
2000-10-12 00:00:00,3.828,4.031,3.813,3.813,0.8583,57000
2000-10-13 00:00:00,4.0,4.0,3.469,3.875,0.8723,274400
2000-10-16 00:00:00,4.0,4.25,3.75,4.0,0.9004,49700
2000-10-17 00:00:00,3.875,4.75,3.563,3.75,0.8441,36100
2000-10-18 00:00:00,3.75,3.75,3.25,3.5,0.7878,137900
2000-10-19 00:00:00,3.75,4.063,3.688,3.938,0.8864,174000
2000-10-20 00:00:00,4.063,4.625,4.0,4.313,0.9709,123400
2000-10-23 00:00:00,4.625,4.625,3.938,3.938,0.8864,17800
2000-10-24 00:00:00,4.0,4.0,3.875,3.938,0.8864,7200
2000-10-25 00:00:00,3.938,4.0,3.75,3.781,0.8511,19100
2000-10-26 00:00:00,3.875,3.875,3.5,3.625,0.816,104800
2000-10-27 00:00:00,3.75,3.875,3.563,3.625,0.816,4500
2000-10-30 00:00:00,3.625,3.75,3.438,3.5,0.7878,59200
2000-10-31 00:00:00,3.688,3.875,3.375,3.5,0.7878,54400
