,close,5days,10days,20days
2017-12-29,341.8787,0.0,0.0,0.0
2018-01-02,345.1482,0.0,0.0,0.0
2018-01-03,338.8272,0.0,0.0,0.0
2018-01-04,336.8655,0.0,0.0,0.0
2018-01-05,341.0861,0.0,0.0,0.0
2018-01-08,341.5815,-0.001,0.0,0.0
2018-01-09,335.9144,-0.027,0.0,0.0
2018-01-10,331.8028,-0.021,0.0,0.0
2018-01-11,324.3721,-0.037,0.0,0.0
2018-01-12,325.7889,-0.045,0.0,0.0
2018-01-16,319.1013,-0.066,-0.067,0.0
2018-01-17,321.3999,-0.043,-0.069,0.0
2018-01-18,319.2103,-0.038,-0.058,0.0
2018-01-19,322.5392,-0.006,-0.043,0.0
2018-01-22,328.4342,0.008,-0.037,0.0
2018-01-23,331.4758,0.039,-0.03,0.0
2018-01-24,321.6277,0.001,-0.043,0.0
2018-01-25,326.5419,0.023,-0.016,0.0
2018-01-26,332.8034,0.032,0.026,0.0
2018-01-29,323.6786,-0.014,-0.006,0.0
2018-01-30,319.8147,-0.035,0.002,-0.065
2018-01-31,317.1991,-0.014,-0.013,-0.081
2018-02-01,313.137,-0.041,-0.019,-0.076
2018-02-02,314.4646,-0.055,-0.025,-0.066
2018-02-05,309.5604,-0.044,-0.057,-0.092
2018-02-06,310.9375,-0.028,-0.062,-0.09
2018-02-07,306.1423,-0.035,-0.048,-0.089
2018-02-08,286.9316,-0.084,-0.121,-0.135
2018-02-09,288.9329,-0.081,-0.132,-0.109
2018-02-12,292.1727,-0.056,-0.097,-0.103
2018-02-13,297.3345,-0.044,-0.07,-0.068
2018-02-14,303.2196,-0.01,-0.044,-0.057
2018-02-15,306.707,0.069,-0.021,-0.039
2018-02-16,304.5967,0.054,-0.031,-0.056
2018-02-20,307.9157,0.054,-0.005,-0.062
2018-02-21,303.9131,0.022,-0.023,-0.083
2018-02-22,306.9522,0.012,0.003,-0.046
2018-02-23,309.1345,0.008,0.077,-0.053
2018-02-26,306.0793,0.005,0.059,-0.08
2018-02-27,293.9278,-0.045,0.006,-0.092
2018-02-28,290.9916,-0.043,-0.021,-0.09
2018-03-01,284.2463,-0.074,-0.063,-0.104
2018-03-02,286.3889,-0.074,-0.066,-0.085
2018-03-05,292.4101,-0.045,-0.04,-0.07
2018-03-06,298.2825,0.015,-0.031,-0.036
2018-03-07,303.8573,0.044,-0.0,-0.023
2018-03-08,310.93,0.094,0.013,0.016
2018-03-09,310.0174,0.083,0.003,0.08
2018-03-12,311.7632,0.066,0.019,0.079
2018-03-13,309.1147,0.036,0.052,0.058
2018-03-14,311.6442,0.026,0.071,0.048
2018-03-15,322.9625,0.039,0.136,0.065
2018-03-16,324.3115,0.046,0.132,0.057
2018-03-19,315.3938,0.012,0.079,0.035
2018-03-20,312.0807,0.01,0.046,0.014
2018-03-21,317.1992,0.018,0.044,0.044
2018-03-22,300.0779,-0.071,-0.035,-0.022
2018-03-23,293.283,-0.096,-0.054,-0.051
2018-03-26,294.9892,-0.065,-0.054,-0.036
2018-03-27,278.5028,-0.108,-0.099,-0.052
2018-03-28,272.3328,-0.141,-0.126,-0.064
2018-03-29,278.1358,-0.073,-0.139,-0.021
2018-04-02,273.6422,-0.067,-0.156,-0.045
2018-04-03,269.0395,-0.088,-0.147,-0.08
2018-04-04,274.7334,-0.014,-0.12,-0.079
2018-04-05,275.8344,0.013,-0.13,-0.092
2018-04-06,270.5473,-0.027,-0.098,-0.13
2018-04-09,278.2548,0.017,-0.051,-0.102
2018-04-10,280.2189,0.042,-0.05,-0.101
2018-04-11,279.4749,0.017,0.003,-0.096
2018-04-12,273.5926,-0.008,0.005,-0.122
2018-04-13,270.7953,0.001,-0.026,-0.162
2018-04-16,270.4878,-0.028,-0.012,-0.166
2018-04-17,275.9435,-0.015,0.026,-0.125
2018-04-18,274.9913,-0.016,0.001,-0.119
2018-04-19,272.928,-0.002,-0.011,-0.14
2018-04-20,264.1591,-0.025,-0.024,-0.12
2018-04-23,258.6834,-0.044,-0.07,-0.118
2018-04-24,252.0571,-0.087,-0.1,-0.146
2018-04-25,247.0676,-0.102,-0.116,-0.113
2018-04-26,248.5258,-0.089,-0.092,-0.087
2018-04-27,251.8885,-0.046,-0.07,-0.094
2018-04-30,255.0033,-0.014,-0.057,-0.068
2018-05-01,258.8521,0.027,-0.062,-0.038
2018-05-02,252.7218,0.023,-0.081,-0.08
2018-05-03,247.2065,-0.005,-0.094,-0.104
2018-05-04,249.5475,-0.009,-0.055,-0.078
2018-05-07,253.5054,-0.006,-0.02,-0.089
