,close,5days,10days,20days
2017-12-29,35.28,0.0,0.0,0.0
2018-01-02,35.95,0.0,0.0,0.0
2018-01-03,36.77,0.0,0.0,0.0
2018-01-04,36.24,0.0,0.0,0.0
2018-01-05,36.91,0.0,0.0,0.0
2018-01-08,38.41,0.089,0.0,0.0
2018-01-09,37.28,0.037,0.0,0.0
2018-01-10,37.02,0.007,0.0,0.0
2018-01-11,37.95,0.047,0.0,0.0
2018-01-12,37.84,0.025,0.0,0.0
2018-01-16,36.01,-0.062,0.021,0.0
2018-01-17,36.73,-0.015,0.022,0.0
2018-01-18,36.19,-0.022,-0.016,0.0
2018-01-19,35.93,-0.053,-0.009,0.0
2018-01-22,35.91,-0.051,-0.027,0.0
2018-01-23,37.49,0.041,-0.024,0.0
2018-01-24,36.4,-0.009,-0.024,0.0
2018-01-25,33.21,-0.082,-0.103,0.0
2018-01-26,32.99,-0.082,-0.131,0.0
2018-01-29,32.39,-0.098,-0.144,0.0
2018-01-30,32.05,-0.145,-0.11,-0.092
2018-01-31,32.1,-0.118,-0.126,-0.107
2018-02-01,32.11,-0.033,-0.113,-0.127
2018-02-02,31.26,-0.052,-0.13,-0.137
2018-02-05,30.34,-0.063,-0.155,-0.178
2018-02-06,31.23,-0.026,-0.167,-0.187
2018-02-07,32.56,0.014,-0.105,-0.127
2018-02-08,31.24,-0.027,-0.059,-0.156
2018-02-09,31.6,0.011,-0.042,-0.167
2018-02-12,32.89,0.084,0.015,-0.131
2018-02-13,33.19,0.063,0.036,-0.078
2018-02-14,34.22,0.051,0.066,-0.068
2018-02-15,34.82,0.115,0.084,-0.038
2018-02-16,34.47,0.091,0.103,-0.041
2018-02-20,34.79,0.058,0.147,-0.031
2018-02-21,34.83,0.049,0.115,-0.071
2018-02-22,34.85,0.018,0.07,-0.043
2018-02-23,35.6,0.022,0.14,0.072
2018-02-26,36.54,0.06,0.156,0.108
2018-02-27,35.93,0.033,0.092,0.109
2018-02-28,36.45,0.047,0.098,0.137
2018-03-01,36.2,0.039,0.058,0.128
2018-03-02,38.87,0.092,0.116,0.211
2018-03-05,42.03,0.15,0.219,0.345
2018-03-06,44.13,0.228,0.268,0.455
2018-03-07,45.65,0.252,0.311,0.462
2018-03-08,46.32,0.28,0.329,0.423
2018-03-09,49.095,0.263,0.379,0.572
2018-03-12,51.48,0.225,0.409,0.629
2018-03-13,53.04,0.202,0.476,0.613
2018-03-14,54.66,0.197,0.5,0.647
2018-03-15,54.41,0.175,0.503,0.59
2018-03-16,53.74,0.095,0.383,0.543
2018-03-19,53.0,0.03,0.261,0.538
2018-03-20,53.85,0.015,0.22,0.548
2018-03-21,53.43,-0.023,0.17,0.534
2018-03-22,52.87,-0.028,0.141,0.517
2018-03-23,49.92,-0.071,0.017,0.402
2018-03-26,51.89,-0.021,0.008,0.42
2018-03-27,47.36,-0.121,-0.107,0.318
2018-03-28,47.94,-0.103,-0.123,0.315
2018-03-29,49.11,-0.071,-0.097,0.357
2018-04-02,47.66,-0.045,-0.113,0.226
2018-04-03,48.62,-0.063,-0.083,0.157
2018-04-04,50.26,0.061,-0.067,0.139
2018-04-05,51.81,0.081,-0.03,0.135
2018-04-06,49.84,0.015,-0.057,0.076
2018-04-09,49.53,0.039,-0.008,0.009
2018-04-10,52.3,0.076,0.008,0.016
2018-04-11,52.29,0.04,0.104,-0.014
2018-04-12,53.49,0.032,0.116,-0.021
2018-04-13,53.78,0.079,0.095,-0.012
2018-04-16,53.41,0.078,0.121,-0.006
2018-04-17,55.33,0.058,0.138,0.044
2018-04-18,55.51,0.062,0.104,0.031
2018-04-19,55.15,0.031,0.064,0.032
2018-04-20,54.03,0.005,0.084,0.022
2018-04-23,53.86,0.008,0.087,0.079
2018-04-24,52.51,-0.051,0.004,0.012
2018-04-25,50.61,-0.088,-0.032,0.069
2018-04-26,52.15,-0.054,-0.025,0.088
2018-04-27,49.59,-0.082,-0.078,0.01
2018-04-30,50.59,-0.061,-0.053,0.061
2018-05-01,51.91,-0.011,-0.062,0.068
2018-05-02,52.1,0.029,-0.061,0.037
2018-05-03,52.71,0.011,-0.044,0.017
2018-05-04,54.39,0.097,0.007,0.091
2018-05-07,55.72,0.101,0.035,0.125
2018-05-08,57.15,0.101,0.088,0.093
2018-05-09,58.5,0.123,0.156,0.119
2018-05-10,59.13,0.122,0.134,0.105
2018-05-11,59.1,0.087,0.192,0.099
2018-05-14,57.33,0.029,0.133,0.073
2018-05-15,57.19,0.001,0.102,0.034
2018-05-16,57.35,-0.02,0.101,0.033
2018-05-17,58.3,-0.014,0.106,0.057
2018-05-18,58.24,-0.015,0.071,0.078
