,close,5days,10days,20days
2017-12-29,16.35,0.0,0.0,0.0
2018-01-02,16.62,0.0,0.0,0.0
2018-01-03,16.94,0.0,0.0,0.0
2018-01-04,17.11,0.0,0.0,0.0
2018-01-05,16.96,0.0,0.0,0.0
2018-01-08,17.11,0.046,0.0,0.0
2018-01-09,17.42,0.048,0.0,0.0
2018-01-10,17.32,0.022,0.0,0.0
2018-01-11,17.13,0.001,0.0,0.0
2018-01-12,17.09,0.008,0.0,0.0
2018-01-16,17.09,-0.001,0.045,0.0
2018-01-17,16.97,-0.026,0.021,0.0
2018-01-18,16.71,-0.035,-0.014,0.0
2018-01-19,17.01,-0.007,-0.006,0.0
2018-01-22,18.68,0.093,0.101,0.0
2018-01-23,18.36,0.074,0.073,0.0
2018-01-24,18.11,0.067,0.04,0.0
2018-01-25,17.92,0.072,0.035,0.0
2018-01-26,18.14,0.066,0.059,0.0
2018-01-29,17.85,-0.044,0.044,0.0
2018-01-30,17.68,-0.037,0.035,0.081
2018-01-31,17.81,-0.017,0.049,0.072
2018-02-01,17.7,-0.012,0.059,0.045
2018-02-02,17.47,-0.037,0.027,0.021
2018-02-05,16.89,-0.054,-0.096,-0.004
2018-02-06,16.97,-0.04,-0.076,-0.008
2018-02-07,17.06,-0.042,-0.058,-0.021
2018-02-08,16.31,-0.079,-0.09,-0.058
2018-02-09,16.1,-0.078,-0.112,-0.06
2018-02-12,16.1,-0.047,-0.098,-0.058
2018-02-13,16.11,-0.051,-0.089,-0.057
2018-02-14,16.42,-0.038,-0.078,-0.032
2018-02-15,16.6,0.018,-0.062,-0.007
2018-02-16,16.66,0.035,-0.046,-0.021
2018-02-20,16.56,0.029,-0.02,-0.113
2018-02-21,16.28,0.011,-0.041,-0.113
2018-02-22,16.21,-0.013,-0.05,-0.105
2018-02-23,16.24,-0.022,-0.004,-0.094
2018-02-26,16.33,-0.02,0.014,-0.1
2018-02-27,16.04,-0.031,-0.004,-0.101
2018-02-28,16.06,-0.014,-0.003,-0.092
2018-03-01,16.05,-0.01,-0.023,-0.099
2018-03-02,16.38,0.009,-0.013,-0.075
2018-03-05,16.36,0.002,-0.018,-0.064
2018-03-06,16.31,0.017,-0.015,-0.034
2018-03-07,16.71,0.04,0.026,-0.015
2018-03-08,17.58,0.095,0.085,0.03
2018-03-09,17.57,0.073,0.082,0.077
2018-03-12,17.96,0.098,0.1,0.116
2018-03-13,17.4,0.067,0.085,0.081
2018-03-14,17.48,0.046,0.088,0.085
2018-03-15,17.68,0.006,0.102,0.077
2018-03-16,17.43,-0.008,0.064,0.05
2018-03-19,17.17,-0.044,0.05,0.031
2018-03-20,16.98,-0.024,0.041,0.025
2018-03-21,16.85,-0.036,0.008,0.035
2018-03-22,16.35,-0.075,-0.07,0.009
2018-03-23,15.82,-0.092,-0.1,-0.026
2018-03-26,16.08,-0.063,-0.105,-0.015
2018-03-27,15.53,-0.085,-0.107,-0.032
2018-03-28,15.29,-0.093,-0.125,-0.048
2018-03-29,15.75,-0.037,-0.109,-0.019
2018-04-02,15.3,-0.033,-0.122,-0.066
2018-04-03,15.24,-0.052,-0.112,-0.068
2018-04-04,15.29,-0.015,-0.1,-0.063
2018-04-05,15.33,0.003,-0.09,-0.083
2018-04-06,15.01,-0.047,-0.082,-0.146
2018-04-09,14.93,-0.024,-0.056,-0.15
2018-04-10,15.05,-0.012,-0.064,-0.162
2018-04-11,15.03,-0.017,-0.032,-0.136
2018-04-12,15.04,-0.019,-0.016,-0.14
2018-04-13,14.88,-0.009,-0.055,-0.158
2018-04-16,15.06,0.009,-0.016,-0.136
2018-04-17,15.41,0.024,0.011,-0.103
2018-04-18,15.31,0.019,0.001,-0.098
2018-04-19,15.19,0.01,-0.009,-0.099
2018-04-20,15.01,0.009,0.0,-0.082
2018-04-23,14.91,-0.01,-0.001,-0.058
2018-04-24,14.76,-0.042,-0.019,-0.082
2018-04-25,14.64,-0.044,-0.026,-0.057
2018-04-26,14.81,-0.025,-0.015,-0.031
2018-04-27,14.78,-0.015,-0.007,-0.062
2018-04-30,14.72,-0.013,-0.023,-0.038
2018-05-01,14.77,0.001,-0.042,-0.031
2018-05-02,14.59,-0.003,-0.047,-0.046
2018-05-03,14.66,-0.01,-0.035,-0.044
2018-05-04,14.88,0.007,-0.009,-0.009
2018-05-07,15.19,0.032,0.019,0.017
2018-05-08,15.18,0.028,0.028,0.009
2018-05-09,15.28,0.047,0.044,0.017
2018-05-10,13.5,-0.079,-0.088,-0.102
2018-05-11,12.93,-0.131,-0.125,-0.131
2018-05-14,12.95,-0.147,-0.12,-0.14
2018-05-15,12.76,-0.159,-0.136,-0.172
2018-05-16,12.98,-0.151,-0.11,-0.152
2018-05-17,13.14,-0.027,-0.104,-0.135
2018-05-18,13.7,0.06,-0.079,-0.087
2018-05-21,13.95,0.077,-0.082,-0.064
2018-05-22,14.07,0.103,-0.073,-0.047
2018-05-23,14.01,0.079,-0.083,-0.043
2018-05-24,13.72,0.044,0.016,-0.074
2018-05-25,13.88,0.013,0.073,-0.061
2018-05-29,13.8,-0.011,0.066,-0.062
2018-05-30,13.62,-0.032,0.067,-0.078
