date,open,high,low,close,adjusted close,volume
1999-01-22 00:00:00,21.0,23.44,18.63,19.69,1.5156,5655600
1999-01-25 00:00:00,21.25,22.0,19.69,21.75,1.6742,1063500
1999-01-26 00:00:00,22.0,22.44,19.75,20.06,1.5441,715000
1999-01-27 00:00:00,20.13,20.63,19.0,20.0,1.5395,509100
1999-01-28 00:00:00,20.0,20.13,19.81,19.94,1.5349,474000
1999-01-29 00:00:00,19.94,20.0,19.0,19.0,1.4625,508400
1999-02-01 00:00:00,19.0,19.5,19.0,19.38,1.4918,322300
1999-02-02 00:00:00,19.0,19.5,17.31,17.88,1.3763,550200
1999-02-03 00:00:00,17.63,18.5,17.5,18.25,1.4048,156500
1999-02-04 00:00:00,18.5,19.75,18.25,19.25,1.4818,379000
1999-02-05 00:00:00,19.56,20.0,19.06,19.81,1.5249,285100
1999-02-08 00:00:00,19.94,20.0,19.13,19.13,1.4725,321000
1999-02-09 00:00:00,19.5,19.63,18.13,18.38,1.4148,181200
1999-02-10 00:00:00,18.38,18.88,17.88,18.19,1.4002,308800
1999-02-11 00:00:00,18.25,20.5,18.25,19.75,1.5203,275500
1999-02-12 00:00:00,20.0,21.0,20.0,20.88,1.6072,228600
1999-02-16 00:00:00,21.25,22.13,18.88,21.0,1.6165,439600
1999-02-17 00:00:00,20.5,20.75,19.5,19.88,1.5303,141100
1999-02-18 00:00:00,20.5,20.75,19.63,20.19,1.5541,147300
1999-02-19 00:00:00,20.0,21.25,19.75,20.88,1.6072,157000
1999-02-22 00:00:00,21.25,21.5,19.88,21.0,1.6165,427600
1999-02-23 00:00:00,21.5,22.44,20.25,22.0,1.6935,287700
1999-02-24 00:00:00,25.25,26.25,23.19,23.75,1.8282,1276600
1999-02-25 00:00:00,24.75,25.5,22.63,23.0,1.7704,310700
1999-02-26 00:00:00,23.25,24.0,21.75,21.94,1.6888,359600
1999-03-01 00:00:00,22.5,23.0,21.0,22.06,1.6981,192000
1999-03-02 00:00:00,22.0,22.13,21.5,21.88,1.6842,115100
1999-03-03 00:00:00,22.0,22.0,20.25,20.38,1.5688,127900
1999-03-04 00:00:00,21.38,21.5,19.75,19.94,1.5349,119500
1999-03-05 00:00:00,20.13,21.13,20.13,21.06,1.6211,164100
1999-03-08 00:00:00,20.5,22.0,20.13,21.38,1.6457,158100
1999-03-09 00:00:00,21.31,22.38,21.31,22.06,1.6981,298300
1999-03-10 00:00:00,22.38,22.38,21.38,21.69,1.6696,490300
1999-03-11 00:00:00,21.31,21.69,20.75,20.75,1.5972,113100
1999-03-12 00:00:00,20.88,20.88,20.0,20.38,1.5688,189100
1999-03-15 00:00:00,20.88,21.5,20.75,21.25,1.6357,226700
1999-03-16 00:00:00,21.38,21.63,20.38,20.56,1.5826,164900
1999-03-17 00:00:00,20.75,21.13,20.19,20.69,1.5926,107000
1999-03-18 00:00:00,20.75,21.25,20.25,20.94,1.6119,96500
1999-03-19 00:00:00,20.88,21.63,20.88,21.0,1.6165,219400
1999-03-22 00:00:00,21.44,21.5,20.38,20.38,1.5688,76400
1999-03-23 00:00:00,20.5,20.5,18.75,19.13,1.4725,341600
1999-03-24 00:00:00,19.0,19.13,18.25,19.0,1.4625,126800
1999-03-25 00:00:00,18.94,20.0,18.88,19.25,1.4818,84000
1999-03-26 00:00:00,19.5,21.0,19.5,20.94,1.6119,183900
1999-03-29 00:00:00,21.56,22.06,21.19,21.56,1.6596,137400
1999-03-30 00:00:00,21.63,21.81,19.63,19.75,1.5203,144800
1999-03-31 00:00:00,20.38,21.38,19.44,21.13,1.6265,320000
1999-04-01 00:00:00,21.13,21.25,20.13,20.5,1.578,63400
1999-04-05 00:00:00,20.25,20.75,19.75,19.88,1.5303,205500
1999-04-06 00:00:00,20.06,20.13,19.0,19.38,1.4918,145200
1999-04-07 00:00:00,19.5,21.13,19.38,21.0,1.6165,186000
1999-04-08 00:00:00,21.13,22.0,20.88,21.38,1.6457,271100
1999-04-09 00:00:00,21.5,21.5,20.88,21.0,1.6165,101300
1999-04-12 00:00:00,20.75,20.75,19.75,20.13,1.5495,69400
1999-04-13 00:00:00,20.5,20.5,19.0,19.31,1.4864,75300
1999-04-14 00:00:00,19.25,19.69,18.75,18.75,1.4433,100600
1999-04-15 00:00:00,19.25,19.25,18.75,19.25,1.4818,74700
1999-04-16 00:00:00,19.13,20.19,19.13,19.88,1.5303,81100
1999-04-19 00:00:00,20.13,20.13,18.75,19.0,1.4625,65200
1999-04-20 00:00:00,19.0,19.75,18.44,18.63,1.434,141000
1999-04-21 00:00:00,18.63,19.0,18.5,18.94,1.4579,78100
1999-04-22 00:00:00,19.0,19.0,17.94,18.13,1.3956,473300
1999-04-23 00:00:00,18.06,18.13,17.13,17.25,1.3278,262600
1999-04-26 00:00:00,17.25,17.5,16.0,16.38,1.2609,257300
1999-04-27 00:00:00,16.75,18.25,16.5,18.13,1.3956,472800
1999-04-28 00:00:00,18.25,18.25,17.44,18.0,1.3856,250200
1999-04-29 00:00:00,18.06,18.13,17.63,18.0,1.3856,100300
1999-04-30 00:00:00,18.19,19.0,18.06,18.25,1.4048,206900
1999-05-03 00:00:00,18.44,18.44,17.88,18.38,1.4148,70500
1999-05-04 00:00:00,18.38,18.38,17.0,17.38,1.3378,200100
1999-05-05 00:00:00,17.5,17.75,16.5,17.75,1.3663,301200
1999-05-06 00:00:00,17.63,18.0,16.88,17.41,1.3401,74200
1999-05-07 00:00:00,16.88,17.63,16.88,17.5,1.3471,52100
1999-05-10 00:00:00,17.38,17.88,17.38,17.5,1.3471,41000
1999-05-11 00:00:00,18.25,19.0,17.88,18.44,1.4194,357800
1999-05-12 00:00:00,18.63,19.06,18.38,19.0,1.4625,351000
1999-05-13 00:00:00,19.0,19.5,18.94,19.0,1.4625,145700
1999-05-14 00:00:00,19.0,19.0,17.75,18.0,1.3856,59300
1999-05-17 00:00:00,17.75,18.88,17.69,18.88,1.4533,74500
1999-05-18 00:00:00,19.06,20.0,18.5,19.75,1.5203,315700
1999-05-19 00:00:00,20.63,21.38,18.56,18.88,1.4533,941100
1999-05-20 00:00:00,19.0,19.0,16.69,17.38,1.3378,371200
1999-05-21 00:00:00,17.13,17.13,16.5,17.0,1.3086,632300
1999-05-24 00:00:00,17.13,17.5,16.69,16.94,1.304,338800
1999-05-25 00:00:00,17.0,17.25,16.88,17.06,1.3132,271000
1999-05-26 00:00:00,17.0,17.88,17.0,17.0,1.3086,218200
1999-05-27 00:00:00,17.13,17.13,16.88,16.88,1.2993,171500
1999-05-28 00:00:00,17.13,17.13,16.88,17.06,1.3132,184700
1999-06-01 00:00:00,17.0,17.13,16.75,17.13,1.3186,205300
1999-06-02 00:00:00,17.13,17.13,16.5,16.5,1.2701,271100
1999-06-03 00:00:00,16.94,17.06,16.75,16.94,1.304,86600
1999-06-04 00:00:00,17.06,17.13,16.94,17.06,1.3132,164400
1999-06-07 00:00:00,17.16,17.5,17.13,17.25,1.3278,260700
1999-06-08 00:00:00,17.31,18.0,17.25,17.69,1.3617,319400
1999-06-09 00:00:00,17.75,18.38,17.75,18.0,1.3856,198300
1999-06-10 00:00:00,18.0,18.13,17.88,18.06,1.3902,75200
1999-06-11 00:00:00,18.06,18.13,17.06,17.75,1.3663,127100
1999-06-14 00:00:00,17.72,17.75,16.88,17.0,1.3086,107600
1999-06-15 00:00:00,17.0,17.13,16.75,17.0,1.3086,102700
1999-06-16 00:00:00,17.25,18.0,17.0,17.5,1.3471,134200
1999-06-17 00:00:00,17.38,17.63,17.0,17.0,1.3086,156100
1999-06-18 00:00:00,17.13,17.13,16.38,16.38,1.2609,330700
1999-06-21 00:00:00,16.88,17.25,16.42,17.25,1.3278,173900
1999-06-22 00:00:00,17.25,17.25,16.56,16.94,1.304,402200
1999-06-23 00:00:00,16.75,17.25,16.56,17.25,1.3278,439400
1999-06-24 00:00:00,17.38,17.38,16.75,16.88,1.2993,240000
1999-06-25 00:00:00,16.75,17.31,16.75,17.13,1.3186,153200
1999-06-28 00:00:00,17.69,17.69,17.0,17.38,1.3378,227400
1999-06-29 00:00:00,17.63,17.81,17.38,17.56,1.3517,193100
1999-06-30 00:00:00,18.13,19.13,17.75,19.13,1.4725,560900
1999-07-01 00:00:00,19.13,19.13,17.13,18.13,1.3956,185400
1999-07-02 00:00:00,18.38,19.44,18.0,19.44,1.4964,468500
1999-07-06 00:00:00,19.63,19.63,19.25,19.5,1.501,412700
1999-07-07 00:00:00,19.63,19.63,19.13,19.13,1.4725,131500
1999-07-08 00:00:00,19.25,19.88,18.63,19.56,1.5056,387600
1999-07-09 00:00:00,19.5,21.38,19.5,21.22,1.6334,441100
1999-07-12 00:00:00,22.5,23.13,21.63,22.19,1.7081,835500
1999-07-13 00:00:00,22.44,22.56,21.25,22.25,1.7127,289300
1999-07-14 00:00:00,22.25,22.75,21.25,21.38,1.6457,287400
1999-07-15 00:00:00,21.56,22.25,21.5,21.5,1.655,285500
1999-07-16 00:00:00,21.88,22.13,21.5,21.94,1.6888,216400
1999-07-19 00:00:00,22.0,22.06,21.25,21.38,1.6457,90900
1999-07-20 00:00:00,21.38,21.38,20.25,21.0,1.6165,372400
1999-07-21 00:00:00,20.75,20.75,19.75,20.38,1.5688,233500
1999-07-22 00:00:00,20.25,20.25,19.25,19.44,1.4964,444300
1999-07-23 00:00:00,19.38,20.0,19.38,19.44,1.4964,167200
1999-07-26 00:00:00,19.94,19.94,19.5,19.5,1.501,126100
1999-07-27 00:00:00,19.5,19.63,19.25,19.56,1.5056,205400
1999-07-28 00:00:00,19.5,20.13,19.44,19.88,1.5303,508800
1999-07-29 00:00:00,19.5,20.13,19.38,20.06,1.5441,810000
1999-07-30 00:00:00,20.06,20.63,20.0,20.13,1.5495,942300
1999-08-02 00:00:00,20.13,20.38,20.0,20.31,1.5634,652800
1999-08-03 00:00:00,20.31,20.31,19.63,19.81,1.5249,531700
1999-08-04 00:00:00,19.94,20.0,19.75,19.81,1.5249,187400
1999-08-05 00:00:00,19.81,20.13,19.5,20.13,1.5495,501200
1999-08-06 00:00:00,20.06,20.19,20.0,20.13,1.5495,383300
1999-08-09 00:00:00,19.81,20.38,19.75,20.13,1.5495,64700
1999-08-10 00:00:00,20.25,21.38,20.13,20.5,1.578,441800
1999-08-11 00:00:00,20.88,22.13,20.63,21.88,1.6842,411900
1999-08-12 00:00:00,22.0,23.5,21.88,22.94,1.7658,499200
1999-08-13 00:00:00,22.75,23.19,22.5,22.69,1.7466,176400
1999-08-16 00:00:00,22.88,22.88,21.06,21.81,1.6788,465500
1999-08-17 00:00:00,21.88,22.25,21.31,21.88,1.6842,403200
1999-08-18 00:00:00,21.63,22.63,21.19,22.38,1.7227,583100
1999-08-19 00:00:00,23.94,28.38,23.13,27.38,2.1076,4097900
1999-08-20 00:00:00,27.19,27.38,25.88,26.88,2.0691,735600
1999-08-23 00:00:00,26.5,26.5,24.38,25.25,1.9436,1058300
1999-08-24 00:00:00,24.88,25.38,23.63,25.06,1.929,829300
1999-08-25 00:00:00,25.19,25.44,24.0,25.0,1.9244,729900
1999-08-26 00:00:00,25.0,25.38,24.25,24.63,1.8959,573700
1999-08-27 00:00:00,25.13,27.0,25.0,26.0,2.0014,1150800
1999-08-30 00:00:00,26.44,26.94,24.81,25.91,1.9944,330500
1999-08-31 00:00:00,26.0,28.25,25.5,28.13,2.1653,1639300
1999-09-01 00:00:00,28.13,28.13,26.38,26.81,2.0637,1177800
1999-09-02 00:00:00,25.94,26.63,25.38,26.5,2.0398,710600
1999-09-03 00:00:00,27.0,27.38,26.5,26.69,2.0545,539300
1999-09-07 00:00:00,27.13,27.13,26.44,26.56,2.0445,259200
1999-09-08 00:00:00,26.63,26.81,26.5,26.5,2.0398,354300
1999-09-09 00:00:00,26.75,26.94,25.63,26.13,2.0114,436400
1999-09-10 00:00:00,26.56,26.88,26.38,26.5,2.0398,348800
1999-09-13 00:00:00,26.63,26.63,25.38,25.63,1.9729,363400
1999-09-14 00:00:00,25.63,25.63,24.75,24.88,1.9151,521600
1999-09-15 00:00:00,24.56,25.38,24.38,25.06,1.929,443200
1999-09-16 00:00:00,24.75,25.0,24.13,24.44,1.8813,329400
1999-09-17 00:00:00,24.28,24.5,23.5,24.38,1.8767,357600
1999-09-20 00:00:00,23.94,24.25,23.5,23.5,1.8089,477300
1999-09-21 00:00:00,23.0,23.13,20.94,21.25,1.6357,1536100
1999-09-22 00:00:00,21.25,21.88,20.0,21.75,1.6742,783300
1999-09-23 00:00:00,21.81,21.88,19.75,19.94,1.5349,790800
1999-09-24 00:00:00,20.0,20.5,16.75,18.13,1.3956,1426900
1999-09-27 00:00:00,19.31,19.63,18.13,19.25,1.4818,900000
1999-09-28 00:00:00,19.28,21.25,19.25,21.0,1.6165,860800
1999-09-29 00:00:00,21.44,22.25,19.0,19.31,1.4864,1237600
1999-09-30 00:00:00,20.0,20.63,19.0,19.25,1.4818,713600
1999-10-01 00:00:00,18.94,19.63,18.13,19.13,1.4725,724500
1999-10-04 00:00:00,19.75,19.81,19.25,19.5,1.501,370000
1999-10-05 00:00:00,19.5,21.5,19.5,21.38,1.6457,996000
1999-10-06 00:00:00,21.44,25.0,21.25,23.94,1.8428,3143200
1999-10-07 00:00:00,24.94,24.94,22.25,22.38,1.7227,1015200
1999-10-08 00:00:00,22.38,24.19,21.5,23.5,1.8089,831100
1999-10-11 00:00:00,23.69,23.75,22.25,22.88,1.7612,1134300
1999-10-12 00:00:00,23.0,23.25,22.5,22.56,1.7366,672900
1999-10-13 00:00:00,22.31,22.31,21.5,21.94,1.6888,584100
1999-10-14 00:00:00,22.0,22.0,21.25,21.5,1.655,400700
1999-10-15 00:00:00,20.44,21.5,20.38,21.38,1.6457,439000
1999-10-18 00:00:00,21.44,21.44,20.13,20.25,1.5587,448300
1999-10-19 00:00:00,20.88,20.88,19.06,19.44,1.4964,643600
1999-10-20 00:00:00,19.75,20.38,19.44,20.13,1.5495,726500
1999-10-21 00:00:00,20.06,21.06,19.5,21.06,1.6211,796100
1999-10-22 00:00:00,21.0,22.19,21.0,21.56,1.6596,597400
1999-10-25 00:00:00,21.44,21.75,20.5,20.5,1.578,445500
1999-10-26 00:00:00,21.38,23.25,21.25,22.5,1.7319,1002600
1999-10-27 00:00:00,22.63,22.75,21.13,21.5,1.655,446100
1999-10-28 00:00:00,21.63,22.0,20.38,20.5,1.578,464100
1999-10-29 00:00:00,20.75,22.5,20.63,22.13,1.7035,688600
1999-11-01 00:00:00,21.75,24.38,21.75,23.5,1.8089,1630300
1999-11-02 00:00:00,23.94,25.13,23.75,25.0,1.9244,1744800
1999-11-03 00:00:00,26.0,28.13,25.81,27.44,2.1122,4191000
1999-11-04 00:00:00,27.75,29.94,27.75,29.19,2.2469,2625700
1999-11-05 00:00:00,30.0,30.25,26.88,28.25,2.1745,1284100
1999-11-08 00:00:00,27.38,29.88,26.5,29.06,2.2369,979200
1999-11-09 00:00:00,29.0,29.13,27.5,28.63,2.2038,567400
1999-11-10 00:00:00,28.72,28.75,27.81,28.38,2.1846,300100
1999-11-11 00:00:00,28.38,31.88,27.75,30.38,2.3385,1172300
1999-11-12 00:00:00,31.69,32.0,29.88,32.0,2.4632,1044800
1999-11-15 00:00:00,32.22,33.19,30.88,31.38,2.4155,754600
1999-11-16 00:00:00,32.13,35.0,32.0,34.38,2.6464,1507900
1999-11-17 00:00:00,35.0,37.5,34.5,35.69,2.7472,1638300
1999-11-18 00:00:00,36.44,36.75,35.5,35.81,2.7565,491600
1999-11-19 00:00:00,40.13,44.38,40.0,42.88,3.3007,4510800
1999-11-22 00:00:00,43.97,44.0,40.25,42.81,3.2953,1125400
1999-11-23 00:00:00,38.25,40.19,38.0,39.75,3.0598,1152600
1999-11-24 00:00:00,39.56,40.0,35.56,38.5,2.9635,847600
1999-11-26 00:00:00,38.13,38.5,37.0,38.25,2.9443,149500
1999-11-29 00:00:00,38.13,38.63,36.0,36.88,2.8388,622100
1999-11-30 00:00:00,37.0,37.63,34.63,34.63,2.6656,655600
1999-12-01 00:00:00,34.63,36.88,34.63,36.38,2.8004,465700
1999-12-02 00:00:00,36.5,39.56,36.5,39.06,3.0066,645600
1999-12-03 00:00:00,39.44,40.13,37.63,38.13,2.9351,714100
1999-12-06 00:00:00,38.25,39.38,38.25,39.19,3.0167,372100
1999-12-07 00:00:00,39.5,39.56,36.38,37.88,2.9158,388300
1999-12-08 00:00:00,37.75,39.94,37.63,39.56,3.0451,420200
1999-12-09 00:00:00,39.5,40.5,37.0,38.38,2.9543,447800
1999-12-10 00:00:00,39.06,39.25,37.25,37.94,2.9204,204800
1999-12-13 00:00:00,37.5,38.81,37.0,37.81,2.9104,383000
1999-12-14 00:00:00,37.88,38.81,36.81,37.19,2.8627,570600
1999-12-15 00:00:00,36.94,37.13,35.13,36.0,2.7711,429100
1999-12-16 00:00:00,36.19,36.75,35.63,35.75,2.7519,276200
1999-12-17 00:00:00,36.75,38.19,36.56,37.63,2.8966,546000
1999-12-20 00:00:00,37.69,41.13,36.38,40.75,3.1367,838400
1999-12-21 00:00:00,40.75,42.56,39.25,42.5,3.2714,809100
1999-12-22 00:00:00,42.63,44.0,41.0,43.5,3.3484,523300
1999-12-23 00:00:00,43.56,46.5,43.38,46.38,3.5701,583800
1999-12-27 00:00:00,47.38,47.44,44.13,44.63,3.4354,421700
1999-12-28 00:00:00,44.63,46.25,44.38,44.5,3.4254,373300
